geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,county,county subdivision,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
1500190630,"Hilo CCD, Hawaii County, Hawaii",47938,24052.0,1330.0,1355.0,1408.0,1012.0,621.0,332.0,474.0,1173.0,1860.0,1604.0,1144.0,1446.0,1419.0,1612.0,1557.0,727.0,966.0,411.0,825.0,1032.0,691.0,402.0,651.0,23886.0,1106.0,1280.0,1414.0,921.0,747.0,387.0,369.0,1101.0,1465.0,1227.0,1303.0,1222.0,1469.0,1578.0,1594.0,862.0,923.0,573.0,720.0,1026.0,702.0,789.0,1108.0,001,90630,15,2436.0,2635.0,2822.0,1933.0,1368.0,719.0,843.0,2274.0,3325.0,2831.0,2447.0,2668.0,2888.0,3190.0,3151.0,1589.0,1889.0,984.0,1545.0,2058.0,1393.0,1191.0,1759.0,9826.0,5105.0,4721.0,7390.0,3775.0,3615.0,5071.0,2685.0,2386.0,4755.0,2420.0,2335.0,11360.0,6064.0,5296.0,8003.0,4009.0,3994.0,9819.0,4862.0,4957.0,8930.0,4012.0,4918.0
1500193240,"South Kona CCD, Hawaii County, Hawaii",11193,5416.0,343.0,547.0,165.0,203.0,96.0,56.0,0.0,160.0,169.0,415.0,297.0,249.0,343.0,235.0,377.0,202.0,422.0,179.0,308.0,368.0,166.0,19.0,97.0,5777.0,403.0,135.0,407.0,195.0,82.0,54.0,39.0,166.0,304.0,489.0,291.0,291.0,245.0,350.0,434.0,251.0,551.0,106.0,262.0,219.0,179.0,143.0,181.0,001,93240,15,746.0,682.0,572.0,398.0,178.0,110.0,39.0,326.0,473.0,904.0,588.0,540.0,588.0,585.0,811.0,453.0,973.0,285.0,570.0,587.0,345.0,162.0,278.0,2398.0,1258.0,1140.0,1652.0,915.0,737.0,1428.0,890.0,538.0,970.0,368.0,602.0,2030.0,896.0,1134.0,1716.0,889.0,827.0,2822.0,1236.0,1586.0,2227.0,1137.0,1090.0
1500192610,"North Kona CCD, Hawaii County, Hawaii",41369,20899.0,1617.0,1061.0,1140.0,465.0,482.0,90.0,58.0,841.0,1505.0,1490.0,1245.0,1116.0,999.0,1527.0,1808.0,639.0,1088.0,661.0,885.0,1135.0,443.0,259.0,345.0,20470.0,1083.0,1318.0,1216.0,459.0,343.0,224.0,240.0,369.0,1118.0,1568.0,1460.0,960.0,1170.0,1474.0,1802.0,755.0,1013.0,767.0,815.0,966.0,569.0,328.0,453.0,001,92610,15,2700.0,2379.0,2356.0,924.0,825.0,314.0,298.0,1210.0,2623.0,3058.0,2705.0,2076.0,2169.0,3001.0,3610.0,1394.0,2101.0,1428.0,1700.0,2101.0,1012.0,587.0,798.0,8359.0,4283.0,4076.0,5659.0,2666.0,2993.0,5079.0,2678.0,2401.0,3280.0,1605.0,1675.0,8328.0,4466.0,3862.0,6950.0,3360.0,3590.0,10106.0,5062.0,5044.0,7626.0,3728.0,3898.0
1500190720,"Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",4292,2065.0,86.0,98.0,71.0,113.0,87.0,7.0,24.0,72.0,80.0,110.0,131.0,142.0,175.0,161.0,114.0,83.0,61.0,61.0,21.0,175.0,128.0,52.0,13.0,2227.0,152.0,92.0,157.0,112.0,54.0,64.0,37.0,73.0,179.0,66.0,70.0,201.0,92.0,139.0,122.0,79.0,60.0,72.0,116.0,143.0,38.0,38.0,71.0,001,90720,15,238.0,190.0,228.0,225.0,141.0,71.0,61.0,145.0,259.0,176.0,201.0,343.0,267.0,300.0,236.0,162.0,121.0,133.0,137.0,318.0,166.0,90.0,84.0,881.0,368.0,513.0,643.0,282.0,361.0,428.0,184.0,244.0,453.0,184.0,269.0,853.0,380.0,473.0,811.0,448.0,363.0,819.0,419.0,400.0,928.0,450.0,478.0
1500192700,"Paauhau-Paauilo CCD, Hawaii County, Hawaii",3003,1412.0,120.0,47.0,71.0,26.0,12.0,11.0,14.0,59.0,111.0,97.0,64.0,87.0,90.0,59.0,148.0,51.0,61.0,79.0,30.0,80.0,28.0,14.0,53.0,1591.0,181.0,153.0,48.0,66.0,0.0,60.0,36.0,38.0,90.0,114.0,75.0,86.0,44.0,92.0,129.0,46.0,65.0,96.0,22.0,46.0,49.0,24.0,31.0,001,92700,15,301.0,200.0,119.0,92.0,12.0,71.0,50.0,97.0,201.0,211.0,139.0,173.0,134.0,151.0,277.0,97.0,126.0,175.0,52.0,126.0,77.0,38.0,84.0,712.0,264.0,448.0,411.0,144.0,267.0,501.0,167.0,334.0,211.0,97.0,114.0,642.0,304.0,338.0,446.0,241.0,205.0,651.0,319.0,332.0,552.0,284.0,268.0
1500192790,"Pahoa-Kalapana CCD, Hawaii County, Hawaii",11228,5427.0,263.0,540.0,235.0,63.0,81.0,32.0,91.0,175.0,184.0,295.0,211.0,334.0,346.0,414.0,441.0,286.0,285.0,110.0,526.0,303.0,110.0,83.0,19.0,5801.0,538.0,324.0,315.0,208.0,227.0,79.0,0.0,249.0,307.0,297.0,172.0,376.0,377.0,331.0,400.0,179.0,348.0,210.0,195.0,336.0,118.0,111.0,104.0,001,92790,15,801.0,864.0,550.0,271.0,308.0,111.0,91.0,424.0,491.0,592.0,383.0,710.0,723.0,745.0,841.0,465.0,633.0,320.0,721.0,639.0,228.0,194.0,123.0,2486.0,1101.0,1385.0,1685.0,838.0,847.0,1665.0,803.0,862.0,821.0,298.0,523.0,2017.0,858.0,1159.0,1816.0,891.0,925.0,2684.0,1426.0,1258.0,2225.0,1151.0,1074.0
1500192520,"North Kohala CCD, Hawaii County, Hawaii",6310,2990.0,137.0,176.0,217.0,157.0,40.0,15.0,22.0,78.0,156.0,214.0,187.0,309.0,123.0,164.0,188.0,87.0,99.0,54.0,167.0,169.0,87.0,46.0,98.0,3320.0,343.0,161.0,159.0,49.0,0.0,18.0,14.0,174.0,289.0,248.0,100.0,227.0,134.0,200.0,210.0,154.0,89.0,175.0,136.0,176.0,86.0,98.0,80.0,001,92520,15,480.0,337.0,376.0,206.0,40.0,33.0,36.0,252.0,445.0,462.0,287.0,536.0,257.0,364.0,398.0,241.0,188.0,229.0,303.0,345.0,173.0,144.0,178.0,1399.0,687.0,712.0,919.0,550.0,369.0,817.0,313.0,504.0,582.0,374.0,208.0,1268.0,525.0,743.0,1080.0,619.0,461.0,1191.0,538.0,653.0,1372.0,621.0,751.0
1500192880,"Papaikou-Wailea CCD, Hawaii County, Hawaii",4646,2197.0,153.0,137.0,178.0,52.0,37.0,7.0,9.0,34.0,53.0,112.0,87.0,134.0,91.0,229.0,145.0,85.0,127.0,130.0,48.0,104.0,109.0,45.0,91.0,2449.0,109.0,116.0,131.0,35.0,21.0,37.0,32.0,42.0,147.0,144.0,94.0,182.0,183.0,126.0,202.0,152.0,101.0,112.0,82.0,143.0,51.0,108.0,99.0,001,92880,15,262.0,253.0,309.0,87.0,58.0,44.0,41.0,76.0,200.0,256.0,181.0,316.0,274.0,355.0,347.0,237.0,228.0,242.0,130.0,247.0,160.0,153.0,190.0,911.0,520.0,391.0,649.0,367.0,282.0,515.0,290.0,225.0,396.0,230.0,166.0,675.0,252.0,423.0,771.0,312.0,459.0,1167.0,586.0,581.0,1122.0,527.0,595.0
1500191170,"Kau CCD, Hawaii County, Hawaii",8948,4369.0,478.0,287.0,499.0,149.0,27.0,11.0,16.0,63.0,113.0,96.0,287.0,321.0,265.0,231.0,325.0,222.0,267.0,83.0,152.0,155.0,113.0,111.0,98.0,4579.0,316.0,435.0,280.0,236.0,133.0,24.0,58.0,54.0,308.0,160.0,287.0,157.0,334.0,262.0,296.0,122.0,184.0,123.0,310.0,170.0,137.0,127.0,66.0,001,91170,15,794.0,722.0,779.0,385.0,160.0,35.0,74.0,117.0,421.0,256.0,574.0,478.0,599.0,493.0,621.0,344.0,451.0,206.0,462.0,325.0,250.0,238.0,164.0,2680.0,1413.0,1267.0,1886.0,935.0,951.0,1516.0,765.0,751.0,1164.0,648.0,516.0,1063.0,326.0,737.0,1651.0,873.0,778.0,1909.0,1045.0,864.0,1645.0,712.0,933.0
1500193150,"South Kohala CCD, Hawaii County, Hawaii",19657,9428.0,581.0,799.0,738.0,309.0,22.0,86.0,9.0,450.0,402.0,587.0,672.0,529.0,653.0,593.0,711.0,170.0,344.0,491.0,701.0,155.0,263.0,49.0,114.0,10229.0,691.0,971.0,624.0,325.0,91.0,39.0,50.0,429.0,502.0,706.0,440.0,699.0,659.0,698.0,945.0,276.0,369.0,266.0,409.0,485.0,182.0,172.0,201.0,001,93150,15,1272.0,1770.0,1362.0,634.0,113.0,125.0,59.0,879.0,904.0,1293.0,1112.0,1228.0,1312.0,1291.0,1656.0,446.0,713.0,757.0,1110.0,640.0,445.0,221.0,315.0,5038.0,2427.0,2611.0,3766.0,1846.0,1920.0,3042.0,1380.0,1662.0,1996.0,1047.0,949.0,3373.0,1556.0,1817.0,3652.0,1854.0,1798.0,4106.0,1818.0,2288.0,3488.0,1773.0,1715.0
