geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,county,county subdivision,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
3504592970,"Shiprock-Sanostee CCD, San Juan County, New Mexico",17319,8554.0,525.0,823.0,618.0,408.0,234.0,134.0,174.0,312.0,646.0,738.0,428.0,582.0,462.0,538.0,636.0,252.0,184.0,121.0,180.0,257.0,162.0,82.0,58.0,8765.0,588.0,712.0,679.0,388.0,229.0,91.0,128.0,351.0,684.0,508.0,427.0,570.0,442.0,731.0,628.0,166.0,332.0,134.0,187.0,285.0,231.0,164.0,110.0,045,92970,35,1113.0,1535.0,1297.0,796.0,463.0,225.0,302.0,663.0,1330.0,1246.0,855.0,1152.0,904.0,1269.0,1264.0,418.0,516.0,255.0,367.0,542.0,393.0,246.0,168.0,4741.0,2374.0,2367.0,3628.0,1849.0,1779.0,2648.0,1348.0,1300.0,2093.0,1026.0,1067.0,4229.0,2238.0,1991.0,2911.0,1472.0,1439.0,3467.0,1610.0,1857.0,1971.0,860.0,1111.0
3504590360,"Bloomfield CCD, San Juan County, New Mexico",16808,8619.0,898.0,673.0,623.0,214.0,170.0,167.0,104.0,325.0,665.0,433.0,509.0,378.0,561.0,607.0,562.0,216.0,240.0,238.0,225.0,371.0,203.0,113.0,124.0,8189.0,588.0,592.0,651.0,331.0,134.0,129.0,107.0,290.0,547.0,580.0,352.0,367.0,585.0,567.0,684.0,173.0,260.0,168.0,308.0,262.0,180.0,198.0,136.0,045,90360,35,1486.0,1265.0,1274.0,545.0,304.0,296.0,211.0,615.0,1212.0,1013.0,861.0,745.0,1146.0,1174.0,1246.0,389.0,500.0,406.0,533.0,633.0,383.0,311.0,260.0,4570.0,2408.0,2162.0,3084.0,1510.0,1574.0,2751.0,1571.0,1180.0,1819.0,837.0,982.0,3651.0,1864.0,1787.0,2752.0,1448.0,1304.0,3309.0,1625.0,1684.0,2526.0,1274.0,1252.0
3504591290,"Farmington CCD, San Juan County, New Mexico",53920,26590.0,2107.0,2133.0,2390.0,1390.0,797.0,428.0,274.0,965.0,1894.0,1740.0,2180.0,1390.0,1319.0,1570.0,1827.0,579.0,805.0,415.0,572.0,656.0,469.0,276.0,414.0,27330.0,1928.0,2401.0,1936.0,1149.0,764.0,493.0,338.0,1087.0,1881.0,1750.0,1893.0,1588.0,1532.0,1567.0,1580.0,620.0,858.0,656.0,540.0,845.0,745.0,514.0,665.0,045,91290,35,4035.0,4534.0,4326.0,2539.0,1561.0,921.0,612.0,2052.0,3775.0,3490.0,4073.0,2978.0,2851.0,3137.0,3407.0,1199.0,1663.0,1071.0,1112.0,1501.0,1214.0,790.0,1079.0,15434.0,8020.0,7414.0,11399.0,5913.0,5486.0,8569.0,4240.0,4329.0,6865.0,3780.0,3085.0,12411.0,6098.0,6313.0,9902.0,4889.0,5013.0,9406.0,4781.0,4625.0,6767.0,2802.0,3965.0
3504592160,"Naschitti CCD, San Juan County, New Mexico",1882,972.0,60.0,59.0,80.0,37.0,33.0,0.0,4.0,40.0,76.0,52.0,50.0,45.0,40.0,72.0,98.0,6.0,50.0,20.0,50.0,34.0,35.0,16.0,15.0,910.0,33.0,68.0,58.0,50.0,10.0,11.0,4.0,48.0,37.0,38.0,77.0,17.0,56.0,64.0,59.0,19.0,44.0,28.0,25.0,37.0,44.0,51.0,32.0,045,92160,35,93.0,127.0,138.0,87.0,43.0,11.0,8.0,88.0,113.0,90.0,127.0,62.0,96.0,136.0,157.0,25.0,94.0,48.0,75.0,71.0,79.0,67.0,47.0,445.0,236.0,209.0,352.0,176.0,176.0,220.0,119.0,101.0,225.0,117.0,108.0,353.0,205.0,148.0,285.0,135.0,150.0,412.0,226.0,186.0,387.0,170.0,217.0
3504590180,"Aztec CCD, San Juan County, New Mexico",26045,12824.0,808.0,960.0,878.0,503.0,240.0,187.0,165.0,594.0,802.0,1109.0,630.0,876.0,751.0,874.0,854.0,261.0,527.0,360.0,307.0,349.0,348.0,173.0,268.0,13221.0,892.0,852.0,1028.0,614.0,212.0,56.0,185.0,474.0,817.0,1077.0,775.0,941.0,574.0,847.0,1075.0,332.0,441.0,282.0,459.0,450.0,344.0,239.0,255.0,045,90180,35,1700.0,1812.0,1906.0,1117.0,452.0,243.0,350.0,1068.0,1619.0,2186.0,1405.0,1817.0,1325.0,1721.0,1929.0,593.0,968.0,642.0,766.0,799.0,692.0,412.0,523.0,6535.0,3149.0,3386.0,4835.0,2341.0,2494.0,3512.0,1768.0,1744.0,3023.0,1381.0,1642.0,5918.0,3097.0,2821.0,4547.0,2257.0,2290.0,5211.0,2516.0,2695.0,3834.0,1805.0,2029.0
3503792730,"San Jon CCD, Quay County, New Mexico",483,213.0,0.0,29.0,16.0,19.0,12.0,0.0,0.0,0.0,0.0,26.0,3.0,3.0,7.0,11.0,17.0,15.0,7.0,9.0,6.0,17.0,6.0,3.0,7.0,270.0,20.0,17.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,42.0,18.0,13.0,10.0,14.0,25.0,10.0,9.0,9.0,2.0,20.0,10.0,7.0,11.0,037,92730,35,20.0,46.0,42.0,26.0,12.0,0.0,0.0,0.0,0.0,68.0,21.0,16.0,17.0,25.0,42.0,25.0,16.0,18.0,8.0,37.0,16.0,10.0,18.0,134.0,64.0,70.0,114.0,64.0,50.0,66.0,29.0,37.0,68.0,35.0,33.0,80.0,38.0,42.0,54.0,13.0,41.0,108.0,50.0,58.0,107.0,48.0,59.0
3503793540,"Tucumcari CCD, Quay County, New Mexico",6600,3181.0,197.0,221.0,228.0,98.0,194.0,10.0,47.0,193.0,70.0,195.0,134.0,139.0,115.0,183.0,183.0,86.0,156.0,130.0,117.0,182.0,199.0,64.0,40.0,3419.0,285.0,261.0,141.0,81.0,33.0,66.0,64.0,83.0,100.0,170.0,155.0,159.0,253.0,226.0,255.0,68.0,196.0,91.0,201.0,199.0,131.0,119.0,82.0,037,93540,35,482.0,482.0,369.0,179.0,227.0,76.0,111.0,276.0,170.0,365.0,289.0,298.0,368.0,409.0,438.0,154.0,352.0,221.0,318.0,381.0,330.0,183.0,122.0,1512.0,744.0,768.0,1030.0,547.0,483.0,964.0,418.0,546.0,548.0,326.0,222.0,1225.0,709.0,516.0,955.0,388.0,567.0,1353.0,608.0,745.0,1555.0,732.0,823.0
3502791500,"Hondo CCD, Lincoln County, New Mexico",1284,575.0,44.0,53.0,7.0,24.0,39.0,0.0,0.0,0.0,0.0,11.0,56.0,54.0,16.0,47.0,56.0,0.0,6.0,36.0,70.0,29.0,18.0,0.0,9.0,709.0,26.0,52.0,38.0,43.0,51.0,0.0,0.0,34.0,0.0,16.0,95.0,51.0,50.0,85.0,23.0,23.0,14.0,0.0,23.0,37.0,26.0,0.0,22.0,027,91500,35,70.0,105.0,45.0,67.0,90.0,0.0,0.0,34.0,0.0,27.0,151.0,105.0,66.0,132.0,79.0,23.0,20.0,36.0,93.0,66.0,44.0,0.0,31.0,287.0,128.0,159.0,217.0,84.0,133.0,175.0,97.0,78.0,112.0,31.0,81.0,151.0,50.0,101.0,322.0,126.0,196.0,254.0,109.0,145.0,270.0,162.0,108.0
3503791830,"Logan-Nara Visa CCD, Quay County, New Mexico",1071,511.0,8.0,24.0,19.0,11.0,0.0,0.0,0.0,35.0,0.0,79.0,0.0,24.0,6.0,50.0,87.0,15.0,25.0,19.0,28.0,33.0,19.0,15.0,14.0,560.0,5.0,24.0,54.0,13.0,53.0,8.0,0.0,0.0,14.0,15.0,18.0,28.0,18.0,63.0,33.0,0.0,38.0,13.0,10.0,52.0,64.0,21.0,16.0,037,91830,35,13.0,48.0,73.0,24.0,53.0,8.0,0.0,35.0,14.0,94.0,18.0,52.0,24.0,113.0,120.0,15.0,63.0,32.0,38.0,85.0,83.0,36.0,30.0,158.0,62.0,96.0,145.0,54.0,91.0,61.0,32.0,29.0,97.0,30.0,67.0,204.0,114.0,90.0,94.0,30.0,64.0,311.0,177.0,134.0,304.0,128.0,176.0
3503791530,"House-Forrest CCD, Quay County, New Mexico",293,152.0,0.0,5.0,21.0,8.0,6.0,0.0,0.0,3.0,0.0,0.0,28.0,15.0,15.0,2.0,5.0,0.0,11.0,2.0,11.0,9.0,7.0,2.0,2.0,141.0,2.0,23.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,19.0,4.0,7.0,2.0,1.0,30.0,0.0,11.0,6.0,10.0,6.0,3.0,0.0,0.0,037,91530,35,2.0,28.0,21.0,14.0,16.0,0.0,0.0,3.0,1.0,19.0,32.0,22.0,17.0,3.0,35.0,0.0,22.0,8.0,21.0,15.0,10.0,2.0,2.0,65.0,34.0,31.0,63.0,34.0,29.0,30.0,5.0,25.0,35.0,29.0,6.0,39.0,9.0,30.0,71.0,58.0,13.0,60.0,18.0,42.0,58.0,33.0,25.0
