geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,county,county subdivision,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
3200194238,"Dixie Valley CCD, Churchill County, Nevada",77,41.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,10.0,6.0,4.0,4.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,001,94238,32,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,6.0,8.0,0.0,10.0,14.0,4.0,4.0,0.0,0.0,0.0,13.0,5.0,8.0,13.0,5.0,8.0,0.0,0.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,18.0,4.0,14.0,24.0,18.0,6.0,22.0,14.0,8.0
3200194308,"Fallon CCD, Churchill County, Nevada",23945,12136.0,932.0,844.0,643.0,465.0,332.0,224.0,141.0,451.0,803.0,855.0,807.0,433.0,730.0,838.0,956.0,264.0,405.0,362.0,316.0,593.0,305.0,275.0,162.0,11809.0,790.0,952.0,575.0,372.0,180.0,83.0,192.0,493.0,783.0,716.0,655.0,579.0,727.0,809.0,923.0,367.0,399.0,296.0,454.0,537.0,426.0,286.0,215.0,001,94308,32,1722.0,1796.0,1218.0,837.0,512.0,307.0,333.0,944.0,1586.0,1571.0,1462.0,1012.0,1457.0,1647.0,1879.0,631.0,804.0,658.0,770.0,1130.0,731.0,561.0,377.0,5573.0,2884.0,2689.0,3851.0,1952.0,1899.0,3518.0,1776.0,1742.0,2055.0,1108.0,947.0,5253.0,2806.0,2447.0,3931.0,1970.0,1961.0,4961.0,2463.0,2498.0,4227.0,2013.0,2214.0
3200194154,"Carson Sink CCD, Churchill County, Nevada",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,94154,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200594378,"Genoa-Jacks Valley CCD, Douglas County, Nevada",8530,4174.0,198.0,212.0,179.0,224.0,126.0,71.0,9.0,26.0,189.0,185.0,159.0,138.0,190.0,258.0,487.0,151.0,177.0,74.0,276.0,320.0,224.0,189.0,112.0,4356.0,209.0,232.0,229.0,132.0,126.0,0.0,6.0,124.0,170.0,180.0,316.0,160.0,209.0,255.0,517.0,207.0,260.0,90.0,207.0,314.0,168.0,195.0,50.0,005,94378,32,407.0,444.0,408.0,356.0,252.0,71.0,15.0,150.0,359.0,365.0,475.0,298.0,399.0,513.0,1004.0,358.0,437.0,164.0,483.0,634.0,392.0,384.0,162.0,1615.0,813.0,802.0,1208.0,615.0,593.0,851.0,410.0,441.0,764.0,403.0,361.0,1212.0,606.0,606.0,1172.0,487.0,685.0,2312.0,1073.0,1239.0,2219.0,1195.0,1024.0
3200594658,"Pine Nut CCD, Douglas County, Nevada",804,450.0,10.0,21.0,28.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,26.0,8.0,5.0,56.0,47.0,33.0,29.0,32.0,33.0,30.0,22.0,354.0,12.0,10.0,39.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,3.0,6.0,58.0,15.0,11.0,47.0,22.0,57.0,18.0,3.0,20.0,005,94658,32,22.0,31.0,67.0,21.0,18.0,0.0,0.0,0.0,1.0,0.0,16.0,47.0,29.0,14.0,63.0,71.0,58.0,80.0,51.0,89.0,51.0,33.0,42.0,141.0,80.0,61.0,119.0,70.0,49.0,53.0,31.0,22.0,88.0,49.0,39.0,19.0,17.0,2.0,92.0,58.0,34.0,206.0,116.0,90.0,346.0,179.0,167.0
3200594952,"Zephyr Cove CCD, Douglas County, Nevada",5273,2786.0,101.0,59.0,65.0,51.0,13.0,0.0,0.0,88.0,142.0,137.0,157.0,157.0,227.0,142.0,327.0,210.0,147.0,130.0,165.0,204.0,86.0,89.0,89.0,2487.0,174.0,74.0,60.0,56.0,38.0,17.0,13.0,25.0,135.0,173.0,133.0,126.0,159.0,185.0,259.0,151.0,145.0,64.0,85.0,227.0,82.0,93.0,13.0,005,94952,32,275.0,133.0,125.0,107.0,51.0,17.0,13.0,113.0,277.0,310.0,290.0,283.0,386.0,327.0,586.0,361.0,292.0,194.0,250.0,431.0,168.0,182.0,102.0,640.0,276.0,364.0,365.0,175.0,190.0,408.0,160.0,248.0,232.0,116.0,116.0,781.0,380.0,401.0,959.0,541.0,418.0,1566.0,826.0,740.0,1327.0,763.0,564.0
3200594364,"Gardnerville-Minden CCD, Douglas County, Nevada",30680,15412.0,568.0,1105.0,860.0,615.0,347.0,147.0,175.0,532.0,692.0,793.0,644.0,1037.0,806.0,1171.0,1132.0,511.0,695.0,614.0,688.0,956.0,691.0,403.0,230.0,15268.0,529.0,887.0,792.0,467.0,123.0,73.0,220.0,565.0,664.0,852.0,712.0,686.0,975.0,1285.0,1348.0,471.0,742.0,542.0,699.0,1033.0,712.0,483.0,408.0,005,94364,32,1097.0,1992.0,1652.0,1082.0,470.0,220.0,395.0,1097.0,1356.0,1645.0,1356.0,1723.0,1781.0,2456.0,2480.0,982.0,1437.0,1156.0,1387.0,1989.0,1403.0,886.0,638.0,5823.0,3148.0,2675.0,4726.0,2580.0,2146.0,3089.0,1673.0,1416.0,2734.0,1475.0,1259.0,5183.0,2686.0,2497.0,4860.0,2487.0,2373.0,7355.0,3509.0,3846.0,7459.0,3582.0,3877.0
3200594826,"Topaz Lake CCD, Douglas County, Nevada",2345,1225.0,64.0,33.0,41.0,35.0,18.0,4.0,17.0,29.0,71.0,54.0,41.0,37.0,75.0,96.0,122.0,43.0,73.0,40.0,92.0,83.0,73.0,67.0,17.0,1120.0,34.0,44.0,53.0,22.0,9.0,2.0,7.0,19.0,61.0,30.0,41.0,54.0,28.0,101.0,119.0,36.0,88.0,54.0,74.0,89.0,92.0,39.0,24.0,005,94826,32,98.0,77.0,94.0,57.0,27.0,6.0,24.0,48.0,132.0,84.0,82.0,91.0,103.0,197.0,241.0,79.0,161.0,94.0,166.0,172.0,165.0,106.0,41.0,326.0,173.0,153.0,228.0,109.0,119.0,175.0,97.0,78.0,151.0,76.0,75.0,321.0,193.0,128.0,276.0,153.0,123.0,678.0,334.0,344.0,744.0,372.0,372.0
3201594070,"Battle Mountain CCD, Lander County, Nevada",5476,3034.0,244.0,302.0,339.0,125.0,7.0,67.0,83.0,77.0,185.0,182.0,226.0,107.0,106.0,177.0,446.0,48.0,29.0,15.0,21.0,107.0,90.0,19.0,32.0,2442.0,195.0,164.0,120.0,52.0,5.0,28.0,29.0,81.0,249.0,83.0,105.0,173.0,129.0,159.0,261.0,72.0,55.0,35.0,65.0,173.0,23.0,62.0,124.0,015,94070,32,439.0,466.0,459.0,177.0,12.0,95.0,112.0,158.0,434.0,265.0,331.0,280.0,235.0,336.0,707.0,120.0,84.0,50.0,86.0,280.0,113.0,81.0,156.0,1541.0,1010.0,531.0,1102.0,766.0,336.0,905.0,546.0,359.0,636.0,464.0,172.0,1076.0,601.0,475.0,846.0,439.0,407.0,1247.0,700.0,547.0,766.0,284.0,482.0
3201594042,"Austin CCD, Lander County, Nevada",411,242.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,21.0,33.0,19.0,17.0,0.0,21.0,43.0,44.0,0.0,0.0,18.0,169.0,10.0,33.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,51.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,015,94042,32,10.0,33.0,11.0,18.0,0.0,0.0,0.0,0.0,1.0,16.0,13.0,0.0,21.0,84.0,19.0,38.0,0.0,21.0,64.0,44.0,0.0,0.0,18.0,72.0,12.0,60.0,62.0,12.0,50.0,43.0,0.0,43.0,29.0,12.0,17.0,17.0,1.0,16.0,34.0,34.0,0.0,141.0,69.0,72.0,147.0,126.0,21.0
