geoid,name,total,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,county,county subdivision,state,total_under_5,total_5_to_9,total_10_to_14,total_15_to_17,total_18_to_19,total_20,total_21,total_22_to_24,total_25_to_29,total_30_to_34,total_35_to_39,total_40_to_44,total_45_to_49,total_50_to_54,total_55_to_59,total_60_to_61,total_62_to_64,total_65_to_66,total_67_to_69,total_70_to_74,total_75_to_79,total_80_to_84,total_85_and_over,total_0_to_17,male_0_to_17,female_0_to_17,total_5_to_17,male_5_to_17,female_5_to_17,total_0_9,male_0_9,female_0_9,total_10_to_17,male_10_to_17,female_10_to_17,total_18_to_34,male_18_to_34,female_18_to_34,total_35_to_49,male_35_to_49,female_35_to_49,total_50_to_64,male_50_to_64,female_50_to_64,total_65_and_over,male_65_and_over,female_65_and_over
4902591591,"Kanab CCD, Kane County, Utah",5862,2999.0,172.0,201.0,202.0,197.0,168.0,0.0,0.0,51.0,146.0,151.0,265.0,80.0,144.0,189.0,173.0,37.0,158.0,109.0,153.0,156.0,154.0,55.0,38.0,2863.0,129.0,184.0,156.0,60.0,100.0,19.0,0.0,119.0,99.0,175.0,215.0,104.0,182.0,190.0,226.0,119.0,136.0,70.0,168.0,197.0,92.0,40.0,83.0,025,91591,49,301.0,385.0,358.0,257.0,268.0,19.0,0.0,170.0,245.0,326.0,480.0,184.0,326.0,379.0,399.0,156.0,294.0,179.0,321.0,353.0,246.0,95.0,121.0,1301.0,772.0,529.0,1000.0,600.0,400.0,686.0,373.0,313.0,615.0,399.0,216.0,1028.0,516.0,512.0,990.0,489.0,501.0,1228.0,557.0,671.0,1315.0,665.0,650.0
4905390817,"Enterprise CCD, Washington County, Utah",2164,1137.0,121.0,167.0,81.0,96.0,9.0,0.0,15.0,56.0,27.0,97.0,56.0,60.0,66.0,43.0,39.0,54.0,21.0,25.0,14.0,36.0,23.0,21.0,10.0,1027.0,105.0,107.0,92.0,62.0,6.0,31.0,7.0,20.0,32.0,114.0,44.0,64.0,18.0,80.0,71.0,21.0,12.0,17.0,41.0,41.0,13.0,13.0,16.0,053,90817,49,226.0,274.0,173.0,158.0,15.0,31.0,22.0,76.0,59.0,211.0,100.0,124.0,84.0,123.0,110.0,75.0,33.0,42.0,55.0,77.0,36.0,34.0,26.0,831.0,465.0,366.0,605.0,344.0,261.0,500.0,288.0,212.0,331.0,177.0,154.0,414.0,204.0,210.0,308.0,182.0,126.0,341.0,157.0,184.0,270.0,129.0,141.0
4905392924,"St. George CCD, Washington County, Utah",125444,62138.0,4756.0,5141.0,4959.0,2709.0,1670.0,920.0,1114.0,2120.0,3764.0,4143.0,4122.0,2617.0,2818.0,2793.0,3019.0,1268.0,2015.0,1756.0,2128.0,2857.0,2365.0,1485.0,1599.0,63306.0,4397.0,5074.0,4136.0,2545.0,1578.0,1181.0,866.0,2369.0,3700.0,3928.0,3542.0,3146.0,3061.0,3051.0,3500.0,1899.0,2038.0,1721.0,2088.0,3263.0,2637.0,1720.0,1866.0,053,92924,49,9153.0,10215.0,9095.0,5254.0,3248.0,2101.0,1980.0,4489.0,7464.0,8071.0,7664.0,5763.0,5879.0,5844.0,6519.0,3167.0,4053.0,3477.0,4216.0,6120.0,5002.0,3205.0,3465.0,33717.0,17565.0,16152.0,24564.0,12809.0,11755.0,19368.0,9897.0,9471.0,14349.0,7668.0,6681.0,27353.0,13731.0,13622.0,19306.0,9557.0,9749.0,19583.0,9095.0,10488.0,25485.0,12190.0,13295.0
4902592494,"Orderville CCD, Kane County, Utah",1384,657.0,67.0,32.0,35.0,47.0,14.0,0.0,0.0,2.0,19.0,94.0,18.0,33.0,16.0,17.0,45.0,63.0,22.0,8.0,21.0,38.0,32.0,14.0,20.0,727.0,48.0,42.0,74.0,53.0,12.0,11.0,3.0,19.0,96.0,19.0,2.0,18.0,24.0,46.0,87.0,20.0,14.0,7.0,36.0,37.0,21.0,17.0,21.0,025,92494,49,115.0,74.0,109.0,100.0,26.0,11.0,3.0,21.0,115.0,113.0,20.0,51.0,40.0,63.0,132.0,83.0,36.0,15.0,57.0,75.0,53.0,31.0,41.0,398.0,181.0,217.0,283.0,114.0,169.0,189.0,99.0,90.0,209.0,82.0,127.0,289.0,129.0,160.0,111.0,67.0,44.0,314.0,147.0,167.0,272.0,133.0,139.0
4904392580,"Park City CCD, Summit County, Utah",26954,13928.0,951.0,840.0,1259.0,704.0,311.0,127.0,79.0,432.0,833.0,738.0,593.0,1145.0,1137.0,1095.0,1199.0,417.0,538.0,410.0,414.0,343.0,140.0,179.0,44.0,13026.0,455.0,971.0,895.0,578.0,276.0,36.0,137.0,472.0,860.0,665.0,905.0,926.0,1275.0,1179.0,1155.0,399.0,482.0,280.0,361.0,393.0,231.0,64.0,31.0,043,92580,49,1406.0,1811.0,2154.0,1282.0,587.0,163.0,216.0,904.0,1693.0,1403.0,1498.0,2071.0,2412.0,2274.0,2354.0,816.0,1020.0,690.0,775.0,736.0,371.0,243.0,75.0,6653.0,3754.0,2899.0,5247.0,2803.0,2444.0,3217.0,1791.0,1426.0,3436.0,1963.0,1473.0,4966.0,2520.0,2446.0,5981.0,2875.0,3106.0,6464.0,3249.0,3215.0,2890.0,1530.0,1360.0
4904391548,"Kamas CCD, Summit County, Utah",6784,3500.0,259.0,231.0,267.0,141.0,93.0,50.0,73.0,123.0,225.0,313.0,231.0,225.0,211.0,278.0,254.0,58.0,102.0,76.0,51.0,80.0,49.0,64.0,46.0,3284.0,249.0,373.0,223.0,117.0,64.0,16.0,10.0,117.0,165.0,258.0,164.0,249.0,231.0,236.0,256.0,68.0,96.0,72.0,68.0,91.0,80.0,35.0,46.0,043,91548,49,508.0,604.0,490.0,258.0,157.0,66.0,83.0,240.0,390.0,571.0,395.0,474.0,442.0,514.0,510.0,126.0,198.0,148.0,119.0,171.0,129.0,99.0,92.0,1860.0,898.0,962.0,1352.0,639.0,713.0,1112.0,490.0,622.0,748.0,408.0,340.0,1507.0,877.0,630.0,1311.0,667.0,644.0,1348.0,692.0,656.0,758.0,366.0,392.0
4904390430,"Coalville CCD, Summit County, Utah",5993,3071.0,197.0,241.0,262.0,123.0,159.0,84.0,59.0,152.0,138.0,197.0,219.0,224.0,143.0,217.0,188.0,64.0,114.0,48.0,63.0,79.0,54.0,16.0,30.0,2922.0,223.0,203.0,286.0,176.0,73.0,41.0,11.0,135.0,152.0,207.0,192.0,246.0,137.0,175.0,210.0,98.0,93.0,30.0,60.0,54.0,59.0,19.0,42.0,043,90430,49,420.0,444.0,548.0,299.0,232.0,125.0,70.0,287.0,290.0,404.0,411.0,470.0,280.0,392.0,398.0,162.0,207.0,78.0,123.0,133.0,113.0,35.0,72.0,1711.0,823.0,888.0,1291.0,626.0,665.0,864.0,438.0,426.0,847.0,385.0,462.0,1408.0,789.0,619.0,1161.0,586.0,575.0,1159.0,583.0,576.0,554.0,290.0,264.0
4901993526,"Uintah and Ouray CCD, Grand County, Utah",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,93526,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4901991935,"Moab CCD, Grand County, Utah",9239,4678.0,145.0,367.0,351.0,167.0,31.0,28.0,82.0,185.0,221.0,304.0,409.0,307.0,264.0,313.0,396.0,167.0,181.0,82.0,268.0,129.0,123.0,86.0,72.0,4561.0,401.0,202.0,267.0,113.0,125.0,5.0,78.0,183.0,145.0,318.0,444.0,281.0,210.0,297.0,368.0,159.0,153.0,104.0,143.0,232.0,66.0,105.0,162.0,019,91935,49,546.0,569.0,618.0,280.0,156.0,33.0,160.0,368.0,366.0,622.0,853.0,588.0,474.0,610.0,764.0,326.0,334.0,186.0,411.0,361.0,189.0,191.0,234.0,2013.0,1030.0,983.0,1467.0,885.0,582.0,1115.0,512.0,603.0,898.0,518.0,380.0,1705.0,851.0,854.0,1915.0,980.0,935.0,2034.0,1057.0,977.0,1572.0,760.0,812.0
4903190387,"Circleville CCD, Piute County, Utah",1244,617.0,48.0,52.0,79.0,32.0,4.0,6.0,0.0,4.0,25.0,70.0,45.0,18.0,16.0,32.0,21.0,7.0,11.0,8.0,26.0,27.0,32.0,34.0,20.0,627.0,40.0,31.0,45.0,23.0,4.0,9.0,0.0,8.0,27.0,94.0,40.0,7.0,13.0,54.0,34.0,28.0,19.0,24.0,21.0,45.0,14.0,12.0,35.0,031,90387,49,88.0,83.0,124.0,55.0,8.0,15.0,0.0,12.0,52.0,164.0,85.0,25.0,29.0,86.0,55.0,35.0,30.0,32.0,47.0,72.0,46.0,46.0,55.0,350.0,211.0,139.0,262.0,163.0,99.0,171.0,100.0,71.0,179.0,111.0,68.0,251.0,109.0,142.0,139.0,79.0,60.0,206.0,71.0,135.0,298.0,147.0,151.0
