geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,county subdivision,state,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",35835.0,18460.0,124.0,7.0,30.0,195.0,197.0,211.0,426.0,103.0,6112.0,1431.0,3710.0,1632.0,2649.0,1171.0,307.0,155.0,17375.0,111.0,6.0,68.0,134.0,233.0,208.0,388.0,291.0,4680.0,1339.0,3658.0,1741.0,2906.0,1421.0,152.0,39.0,122,38460,02,235.0,13.0,98.0,329.0,430.0,419.0,814.0,394.0,10792.0,2770.0,7368.0,3373.0,5555.0,2592.0,459.0,194.0,2732.0,1293.0,1439.0,10138.0,5141.0,4997.0,3245.0,1633.0,1612.0,8800.0,4282.0,4518.0
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",5413.0,2786.0,0.0,16.0,0.0,17.0,4.0,37.0,22.0,16.0,937.0,258.0,600.0,186.0,468.0,194.0,18.0,13.0,2627.0,2.0,0.0,3.0,9.0,5.0,30.0,0.0,0.0,424.0,156.0,465.0,304.0,930.0,285.0,0.0,14.0,261,14420,02,2.0,16.0,3.0,26.0,9.0,67.0,22.0,16.0,1361.0,414.0,1065.0,490.0,1398.0,479.0,18.0,27.0,161.0,112.0,49.0,1479.0,858.0,621.0,524.0,225.0,299.0,1922.0,693.0,1229.0
0206818765,"Denali census subarea, Denali Borough, Alaska",1590.0,779.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,290.0,47.0,131.0,37.0,217.0,26.0,5.0,15.0,811.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,164.0,12.0,146.0,36.0,266.0,167.0,11.0,0.0,068,18765,02,0.0,0.0,0.0,6.0,2.0,5.0,7.0,0.0,454.0,59.0,277.0,73.0,483.0,193.0,16.0,15.0,20.0,11.0,9.0,336.0,178.0,158.0,224.0,46.0,178.0,707.0,263.0,444.0
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",979.0,502.0,10.0,7.0,0.0,7.0,7.0,9.0,14.0,0.0,238.0,34.0,57.0,40.0,44.0,18.0,17.0,0.0,477.0,9.0,0.0,3.0,0.0,11.0,20.0,7.0,0.0,190.0,48.0,75.0,28.0,33.0,27.0,26.0,0.0,261,17350,02,19.0,7.0,3.0,7.0,18.0,29.0,21.0,0.0,428.0,82.0,132.0,68.0,77.0,45.0,43.0,0.0,104.0,54.0,50.0,214.0,91.0,123.0,88.0,35.0,53.0,165.0,79.0,86.0
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",4125.0,2372.0,0.0,0.0,4.0,8.0,33.0,45.0,71.0,6.0,1130.0,69.0,499.0,148.0,229.0,124.0,0.0,6.0,1753.0,0.0,12.0,24.0,0.0,2.0,5.0,35.0,0.0,530.0,59.0,466.0,132.0,355.0,133.0,0.0,0.0,122,68610,02,0.0,12.0,28.0,8.0,35.0,50.0,106.0,6.0,1660.0,128.0,965.0,280.0,584.0,257.0,0.0,6.0,245.0,167.0,78.0,1093.0,568.0,525.0,263.0,130.0,133.0,847.0,359.0,488.0
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",629.0,366.0,0.0,4.0,5.0,6.0,8.0,15.0,13.0,0.0,206.0,37.0,35.0,8.0,15.0,12.0,0.0,2.0,263.0,2.0,5.0,6.0,8.0,4.0,4.0,10.0,0.0,106.0,32.0,49.0,15.0,14.0,8.0,0.0,0.0,290,46060,02,2.0,9.0,11.0,14.0,12.0,19.0,23.0,0.0,312.0,69.0,84.0,23.0,29.0,20.0,0.0,2.0,90.0,51.0,39.0,153.0,72.0,81.0,22.0,14.0,8.0,51.0,29.0,22.0
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",789.0,413.0,0.0,5.0,4.0,7.0,6.0,6.0,15.0,5.0,207.0,19.0,81.0,9.0,32.0,17.0,0.0,0.0,376.0,9.0,7.0,0.0,17.0,4.0,6.0,6.0,0.0,149.0,22.0,64.0,15.0,34.0,16.0,27.0,0.0,164,42780,02,9.0,12.0,4.0,24.0,10.0,12.0,21.0,5.0,356.0,41.0,145.0,24.0,66.0,33.0,27.0,0.0,97.0,48.0,49.0,186.0,100.0,86.0,60.0,17.0,43.0,126.0,49.0,77.0
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",4473.0,2570.0,20.0,1.0,7.0,77.0,41.0,44.0,58.0,8.0,865.0,221.0,558.0,226.0,244.0,165.0,21.0,14.0,1903.0,0.0,3.0,10.0,36.0,13.0,31.0,24.0,7.0,617.0,126.0,446.0,161.0,205.0,205.0,18.0,1.0,240,72030,02,20.0,4.0,17.0,113.0,54.0,75.0,82.0,15.0,1482.0,347.0,1004.0,387.0,449.0,370.0,39.0,15.0,380.0,256.0,124.0,1351.0,779.0,572.0,424.0,200.0,224.0,873.0,444.0,429.0
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",2054.0,1098.0,4.0,20.0,12.0,21.0,9.0,28.0,29.0,14.0,525.0,57.0,215.0,44.0,82.0,33.0,1.0,4.0,956.0,4.0,14.0,8.0,37.0,9.0,24.0,25.0,8.0,299.0,57.0,229.0,51.0,113.0,77.0,1.0,0.0,290,42080,02,8.0,34.0,20.0,58.0,18.0,52.0,54.0,22.0,824.0,114.0,444.0,95.0,195.0,110.0,2.0,4.0,266.0,137.0,129.0,558.0,272.0,286.0,116.0,38.0,78.0,311.0,120.0,191.0
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",767.0,432.0,3.0,3.0,7.0,19.0,7.0,35.0,26.0,11.0,190.0,39.0,70.0,7.0,10.0,5.0,0.0,0.0,335.0,1.0,2.0,4.0,10.0,1.0,14.0,22.0,7.0,111.0,23.0,55.0,33.0,21.0,31.0,0.0,0.0,290,86690,02,4.0,5.0,11.0,29.0,8.0,49.0,48.0,18.0,301.0,62.0,125.0,40.0,31.0,36.0,0.0,0.0,172.0,111.0,61.0,187.0,109.0,78.0,36.0,5.0,31.0,67.0,15.0,52.0
