geoid,name,total,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,county,county subdivision,state,total_no_schooling,total_nursery_to_4th_grade,total_5th_and_6th_grade,total_7th_and_8th_grade,total_9th_grade,total_10th_grade,total_11th_grade,total_12th_grade_no_diploma,total_high_school_graduate,total_less_than_1_year_college,total_1_or_more_years_college,total_associates_degree,total_bachelors_degree,total_masters_degree,total_professional_school_degree,total_doctorate_degree,total_less_than_high_scool,male_less_than_high_scool,female_less_than_high_scool,total_some_college,male_some_college,female_some_college,total_masters_or_higher,male_masters_or_higher,female_masters_or_higher,total_bachelors_or_higher,male_bachelors_or_higher,female_bachelors_or_higher
2911522438,"Enterprise township, Linn County, Missouri",152.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,22.0,14.0,0.0,14.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0,4.0,17.0,3.0,21.0,0.0,115,22438,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,3.0,26.0,31.0,3.0,35.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,38.0,14.0,24.0,69.0,28.0,41.0
2911528612,"Grantsville township, Linn County, Missouri",109.0,64.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,37.0,0.0,9.0,7.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,3.0,8.0,0.0,0.0,0.0,0.0,115,28612,29,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,64.0,7.0,12.0,15.0,0.0,5.0,0.0,0.0,6.0,6.0,0.0,19.0,9.0,10.0,5.0,5.0,0.0,5.0,5.0,0.0
2911553300,"North Salem township, Linn County, Missouri",62.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,8.0,0.0,3.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,7.0,2.0,2.0,6.0,0.0,0.0,115,53300,29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,6.0,15.0,2.0,5.0,9.0,0.0,0.0,3.0,1.0,2.0,21.0,11.0,10.0,9.0,3.0,6.0,14.0,6.0,8.0
291154726,"Benton township, Linn County, Missouri",303.0,149.0,2.0,0.0,0.0,6.0,1.0,2.0,1.0,3.0,100.0,16.0,6.0,8.0,4.0,0.0,0.0,0.0,154.0,0.0,2.0,0.0,20.0,4.0,1.0,3.0,7.0,80.0,9.0,11.0,10.0,7.0,0.0,0.0,0.0,115,4726,29,2.0,2.0,0.0,26.0,5.0,3.0,4.0,10.0,180.0,25.0,17.0,18.0,11.0,0.0,0.0,0.0,52.0,15.0,37.0,42.0,22.0,20.0,0.0,0.0,0.0,11.0,4.0,7.0
2911535864,"Jackson township, Linn County, Missouri",79.0,39.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,16.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,4.0,3.0,11.0,3.0,0.0,0.0,115,35864,29,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,30.0,5.0,11.0,10.0,11.0,3.0,0.0,0.0,9.0,7.0,2.0,16.0,9.0,7.0,3.0,0.0,3.0,14.0,0.0,14.0
2911556378,"Parson Creek township, Linn County, Missouri",534.0,251.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,144.0,20.0,16.0,37.0,20.0,7.0,0.0,0.0,283.0,0.0,9.0,0.0,4.0,2.0,2.0,1.0,3.0,106.0,14.0,40.0,47.0,40.0,11.0,0.0,4.0,115,56378,29,0.0,13.0,0.0,4.0,2.0,2.0,4.0,3.0,250.0,34.0,56.0,84.0,60.0,18.0,0.0,4.0,28.0,7.0,21.0,90.0,36.0,54.0,22.0,7.0,15.0,82.0,27.0,55.0
2911581304,"Yellow Creek township, Linn County, Missouri",264.0,122.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,42.0,8.0,32.0,10.0,8.0,0.0,13.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,23.0,25.0,0.0,13.0,19.0,0.0,0.0,115,81304,29,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,97.0,31.0,57.0,10.0,21.0,19.0,13.0,0.0,16.0,9.0,7.0,88.0,40.0,48.0,32.0,13.0,19.0,53.0,21.0,32.0
2909180116,"Willow Springs township, Howell County, Missouri",3425.0,1630.0,24.0,0.0,10.0,35.0,52.0,28.0,11.0,34.0,710.0,100.0,371.0,42.0,132.0,48.0,21.0,12.0,1795.0,20.0,0.0,10.0,43.0,33.0,60.0,47.0,19.0,826.0,74.0,176.0,233.0,100.0,111.0,28.0,15.0,091,80116,29,44.0,0.0,20.0,78.0,85.0,88.0,58.0,53.0,1536.0,174.0,547.0,275.0,232.0,159.0,49.0,27.0,426.0,194.0,232.0,721.0,471.0,250.0,235.0,81.0,154.0,467.0,213.0,254.0
290914690,"Benton township, Howell County, Missouri",1302.0,656.0,8.0,0.0,0.0,21.0,32.0,0.0,34.0,14.0,311.0,74.0,78.0,74.0,10.0,0.0,0.0,0.0,646.0,16.0,0.0,0.0,24.0,21.0,0.0,29.0,0.0,268.0,24.0,120.0,85.0,14.0,24.0,15.0,6.0,091,4690,29,24.0,0.0,0.0,45.0,53.0,0.0,63.0,14.0,579.0,98.0,198.0,159.0,24.0,24.0,15.0,6.0,199.0,109.0,90.0,296.0,152.0,144.0,45.0,0.0,45.0,69.0,10.0,59.0
2909168780,"South Fork township, Howell County, Missouri",932.0,478.0,0.0,0.0,0.0,6.0,12.0,0.0,14.0,23.0,231.0,34.0,63.0,41.0,19.0,27.0,8.0,0.0,454.0,0.0,0.0,0.0,6.0,6.0,39.0,0.0,0.0,220.0,12.0,46.0,59.0,37.0,26.0,3.0,0.0,091,68780,29,0.0,0.0,0.0,12.0,18.0,39.0,14.0,23.0,451.0,46.0,109.0,100.0,56.0,53.0,11.0,0.0,106.0,55.0,51.0,155.0,97.0,58.0,64.0,35.0,29.0,120.0,54.0,66.0
