geoid,name,total_population_16over,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,county,county subdivision,state
1000391924,"Lower Christiana CCD, New Castle County, Delaware",29129.0,18321.0,18298.0,16693.0,1605.0,23.0,10808.0,003,91924,10
1000392960,"Piedmont CCD, New Castle County, Delaware",24074.0,14155.0,14155.0,13772.0,383.0,0.0,9919.0,003,92960,10
1000393996,"Wilmington CCD, New Castle County, Delaware",56133.0,33579.0,33550.0,30393.0,3157.0,29.0,22554.0,003,93996,10
1000393256,"Red Lion CCD, New Castle County, Delaware",7626.0,5257.0,5257.0,4880.0,377.0,0.0,2369.0,003,93256,10
1000393848,"Upper Christiana CCD, New Castle County, Delaware",22871.0,16735.0,16635.0,15573.0,1062.0,100.0,6136.0,003,93848,10
1000390148,"Brandywine CCD, New Castle County, Delaware",64374.0,41841.0,41718.0,39169.0,2549.0,123.0,22533.0,003,90148,10
1000392072,"Middletown-Odessa CCD, New Castle County, Delaware",44332.0,28452.0,28431.0,27022.0,1409.0,21.0,15880.0,003,92072,10
1000393108,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",34925.0,23485.0,23433.0,22239.0,1194.0,52.0,11440.0,003,93108,10
1000591628,"Laurel-Delmar CCD, Sussex County, Delaware",17880.0,11494.0,11486.0,10587.0,899.0,8.0,6386.0,005,91628,10
1000592664,"Milton CCD, Sussex County, Delaware",14937.0,8551.0,8515.0,8074.0,441.0,36.0,6386.0,005,92664,10
1000392812,"New Castle CCD, New Castle County, Delaware",70667.0,46717.0,46667.0,43155.0,3512.0,50.0,23950.0,003,92812,10
1000590296,"Bridgeville-Greenwood CCD, Sussex County, Delaware",10469.0,5802.0,5802.0,5365.0,437.0,0.0,4667.0,005,90296,10
1000591776,"Lewes CCD, Sussex County, Delaware",30126.0,15245.0,15203.0,14372.0,831.0,42.0,14881.0,005,91776,10
1000592516,"Millsboro CCD, Sussex County, Delaware",24121.0,12939.0,12927.0,12004.0,923.0,12.0,11182.0,005,92516,10
1000593404,"Seaford CCD, Sussex County, Delaware",20905.0,12869.0,12860.0,12108.0,752.0,9.0,8036.0,005,93404,10
1000592368,"Milford South CCD, Sussex County, Delaware",17883.0,11279.0,11247.0,10762.0,485.0,32.0,6604.0,005,92368,10
1000591036,"Georgetown CCD, Sussex County, Delaware",12665.0,6850.0,6850.0,6386.0,464.0,0.0,5815.0,005,91036,10
1000191480,"Kenton CCD, Kent County, Delaware",5317.0,3546.0,3517.0,3111.0,406.0,29.0,1771.0,001,91480,10
1000192220,"Milford North CCD, Kent County, Delaware",8912.0,5563.0,5562.0,5220.0,342.0,1.0,3349.0,001,92220,10
1000191332,"Harrington CCD, Kent County, Delaware",9933.0,6438.0,6427.0,6049.0,378.0,11.0,3495.0,001,91332,10
1000190888,"Felton CCD, Kent County, Delaware",5495.0,3381.0,3347.0,3077.0,270.0,34.0,2114.0,001,90888,10
1000190740,"Dover CCD, Kent County, Delaware",64674.0,39959.0,37920.0,35331.0,2589.0,2039.0,24715.0,001,90740,10
1000190444,"Central Kent CCD, Kent County, Delaware",21641.0,14087.0,13904.0,12992.0,912.0,183.0,7554.0,001,90444,10
1000193700,"Smyrna CCD, Kent County, Delaware",20811.0,13061.0,12964.0,12298.0,666.0,97.0,7750.0,001,93700,10
1000392738,"Newark CCD, New Castle County, Delaware",60175.0,36046.0,35995.0,34028.0,1967.0,51.0,24129.0,003,92738,10
1000391110,"Glasgow CCD, New Castle County, Delaware",33198.0,23621.0,23593.0,22240.0,1353.0,28.0,9577.0,003,91110,10
1000593552,"Selbyville-Frankford CCD, Sussex County, Delaware",29431.0,15501.0,15495.0,14613.0,882.0,6.0,13930.0,005,93552,10
