geoid,name,total_population_16over,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,county,county subdivision,state
4612316780,"Dog Ear township, Tripp County, South Dakota",32.0,13.0,13.0,13.0,0.0,0.0,19.0,123,16780,46
4612335060,"Lake township, Tripp County, South Dakota",77.0,36.0,36.0,36.0,0.0,0.0,41.0,123,35060,46
4612372060,"Wilson township, Tripp County, South Dakota",68.0,44.0,44.0,44.0,0.0,0.0,24.0,123,72060,46
4612372180,"Winner city, Tripp County, South Dakota",2375.0,1624.0,1624.0,1615.0,9.0,0.0,751.0,123,72180,46
4612318860,"Elliston township, Tripp County, South Dakota",8.0,8.0,8.0,8.0,0.0,0.0,0.0,123,18860,46
4612332980,"Jordan township, Tripp County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,32980,46
4612335700,"Lamro township, Tripp County, South Dakota",191.0,137.0,137.0,121.0,16.0,0.0,54.0,123,35700,46
4612310180,"Carter township, Tripp County, South Dakota",33.0,20.0,20.0,20.0,0.0,0.0,13.0,123,10180,46
4612330820,"Huggins township, Tripp County, South Dakota",17.0,5.0,5.0,5.0,0.0,0.0,12.0,123,30820,46
4612338580,"Lone Star township, Tripp County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,38580,46
461233620,"Banner township, Tripp County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,3620,46
461234140,"Beaver Creek township, Tripp County, South Dakota",27.0,14.0,14.0,10.0,4.0,0.0,13.0,123,4140,46
461237900,"Brunson township, Tripp County, South Dakota",46.0,42.0,42.0,29.0,13.0,0.0,4.0,123,7900,46
4612315020,"Curlew township, Tripp County, South Dakota",52.0,52.0,52.0,52.0,0.0,0.0,0.0,123,15020,46
4612323880,"Gassman UT, Tripp County, South Dakota",25.0,20.0,20.0,20.0,0.0,0.0,5.0,123,23880,46
4612313300,"Colome city, Tripp County, South Dakota",273.0,214.0,214.0,214.0,0.0,0.0,59.0,123,13300,46
4612313340,"Colome township, Tripp County, South Dakota",37.0,30.0,30.0,30.0,0.0,0.0,7.0,123,13340,46
4612356100,"Rosedale township, Tripp County, South Dakota",19.0,19.0,19.0,19.0,0.0,0.0,0.0,123,56100,46
4612361380,"Star Prairie township, Tripp County, South Dakota",30.0,25.0,25.0,25.0,0.0,0.0,5.0,123,61380,46
4612350980,"Pleasant Valley township, Tripp County, South Dakota",51.0,33.0,33.0,33.0,0.0,0.0,18.0,123,50980,46
4612352820,"Rames township, Tripp County, South Dakota",55.0,33.0,33.0,33.0,0.0,0.0,22.0,123,52820,46
4612326140,"Greenwood township, Tripp County, South Dakota",33.0,15.0,15.0,15.0,0.0,0.0,18.0,123,26140,46
461238420,"Bull Creek township, Tripp County, South Dakota",61.0,39.0,39.0,39.0,0.0,0.0,22.0,123,8420,46
4612345100,"New Witten town, Tripp County, South Dakota",38.0,29.0,29.0,27.0,2.0,0.0,9.0,123,45100,46
4612356260,"Roseland township, Tripp County, South Dakota",12.0,0.0,0.0,0.0,0.0,0.0,12.0,123,56260,46
4612361500,"Star Valley township, Tripp County, South Dakota",13.0,0.0,0.0,0.0,0.0,0.0,13.0,123,61500,46
4612363060,"Taylor township, Tripp County, South Dakota",16.0,16.0,16.0,16.0,0.0,0.0,0.0,123,63060,46
4612361660,"Stewart township, Tripp County, South Dakota",78.0,48.0,48.0,48.0,0.0,0.0,30.0,123,61660,46
4612366220,"Valley township, Tripp County, South Dakota",44.0,24.0,24.0,24.0,0.0,0.0,20.0,123,66220,46
4612371860,"Willow Creek township, Tripp County, South Dakota",20.0,15.0,15.0,15.0,0.0,0.0,5.0,123,71860,46
4612329780,"Holsclaw township, Tripp County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,29780,46
4612333780,"Keyapaha township, Tripp County, South Dakota",34.0,16.0,16.0,16.0,0.0,0.0,18.0,123,33780,46
4612372380,"Witten township, Tripp County, South Dakota",3.0,3.0,3.0,3.0,0.0,0.0,0.0,123,72380,46
4612372860,"Wortman township, Tripp County, South Dakota",9.0,0.0,0.0,0.0,0.0,0.0,9.0,123,72860,46
4612372940,"Wright township, Tripp County, South Dakota",9.0,9.0,9.0,9.0,0.0,0.0,0.0,123,72940,46
4612349940,"Plainview township, Tripp County, South Dakota",29.0,9.0,9.0,9.0,0.0,0.0,20.0,123,49940,46
461235700,"Black township, Tripp County, South Dakota",54.0,35.0,35.0,35.0,0.0,0.0,19.0,123,5700,46
4612337700,"Lincoln township, Tripp County, South Dakota",31.0,25.0,25.0,25.0,0.0,0.0,6.0,123,37700,46
4612313780,"Condon township, Tripp County, South Dakota",33.0,17.0,17.0,17.0,0.0,0.0,16.0,123,13780,46
4612362140,"Sully township, Tripp County, South Dakota",16.0,0.0,0.0,0.0,0.0,0.0,16.0,123,62140,46
4607131620,"Interior town, Jackson County, South Dakota",45.0,31.0,31.0,22.0,9.0,0.0,14.0,071,31620,46
4607133180,"Kadoka city, Jackson County, South Dakota",709.0,428.0,428.0,407.0,21.0,0.0,281.0,071,33180,46
4607125520,"Grandview II township, Jackson County, South Dakota",11.0,0.0,0.0,0.0,0.0,0.0,11.0,071,25520,46
4607170700,"Weta township, Jackson County, South Dakota",20.0,20.0,20.0,20.0,0.0,0.0,0.0,071,70700,46
4607145800,"Northwest Jackson UT, Jackson County, South Dakota",45.0,39.0,39.0,39.0,0.0,0.0,6.0,071,45800,46
460714620,"Belvidere town, Jackson County, South Dakota",47.0,39.0,39.0,34.0,5.0,0.0,8.0,071,4620,46
4607114220,"Cottonwood town, Jackson County, South Dakota",5.0,0.0,0.0,0.0,0.0,0.0,5.0,071,14220,46
4607131660,"Interior township, Jackson County, South Dakota",33.0,33.0,33.0,33.0,0.0,0.0,0.0,071,31660,46
4607132780,"Jewett township, Jackson County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,071,32780,46
4607159962,"Southwest Jackson UT, Jackson County, South Dakota",1264.0,550.0,550.0,447.0,103.0,0.0,714.0,071,59962,46
4607168340,"Wall township, Jackson County, South Dakota",11.0,0.0,0.0,0.0,0.0,0.0,11.0,071,68340,46
4607159856,"Southeast Jackson UT, Jackson County, South Dakota",148.0,77.0,77.0,65.0,12.0,0.0,71.0,071,59856,46
4609916020,"Dell Rapids township, Minnehaha County, South Dakota",488.0,278.0,278.0,278.0,0.0,0.0,210.0,099,16020,46
4609927580,"Hartford township, Minnehaha County, South Dakota",498.0,399.0,399.0,384.0,15.0,0.0,99.0,099,27580,46
4609930900,"Humboldt town, Minnehaha County, South Dakota",607.0,473.0,465.0,462.0,3.0,8.0,134.0,099,30900,46
4609948220,"Palisade township, Minnehaha County, South Dakota",223.0,167.0,167.0,167.0,0.0,0.0,56.0,099,48220,46
460996820,"Brandon township, Minnehaha County, South Dakota",559.0,426.0,426.0,426.0,0.0,0.0,133.0,099,6820,46
460998660,"Burk township, Minnehaha County, South Dakota",246.0,201.0,201.0,201.0,0.0,0.0,45.0,099,8660,46
4609914740,"Crooks city, Minnehaha County, South Dakota",932.0,794.0,790.0,790.0,0.0,4.0,138.0,099,14740,46
4609925180,"Grand Meadow township, Minnehaha County, South Dakota",302.0,266.0,266.0,257.0,9.0,0.0,36.0,099,25180,46
4609928900,"Highland township, Minnehaha County, South Dakota",157.0,140.0,140.0,140.0,0.0,0.0,17.0,099,28900,46
4609959020,"Sioux Falls city, Minnehaha County, South Dakota",113297.0,84246.0,84101.0,80847.0,3254.0,145.0,29051.0,099,59020,46
4609966260,"Valley Springs city, Minnehaha County, South Dakota",564.0,443.0,443.0,430.0,13.0,0.0,121.0,099,66260,46
4609968460,"Wall Lake township, Minnehaha County, South Dakota",1006.0,773.0,773.0,773.0,0.0,0.0,233.0,099,68460,46
4609918380,"Edison township, Minnehaha County, South Dakota",366.0,291.0,291.0,282.0,9.0,0.0,75.0,099,18380,46
4609958580,"Sherman town, Minnehaha County, South Dakota",45.0,39.0,39.0,39.0,0.0,0.0,6.0,099,58580,46
4600361700,"Stickney town, Aurora County, South Dakota",214.0,144.0,144.0,144.0,0.0,0.0,70.0,003,61700,46
4600368900,"Washington township, Aurora County, South Dakota",47.0,41.0,41.0,41.0,0.0,0.0,6.0,003,68900,46
4600321420,"Firesteel township, Aurora County, South Dakota",17.0,9.0,9.0,9.0,0.0,0.0,8.0,003,21420,46
4600334780,"Lake township, Aurora County, South Dakota",42.0,37.0,37.0,37.0,0.0,0.0,5.0,003,34780,46
4600350060,"Plankinton township, Aurora County, South Dakota",125.0,49.0,49.0,46.0,3.0,0.0,76.0,003,50060,46
4600320100,"Eureka township, Aurora County, South Dakota",15.0,2.0,2.0,2.0,0.0,0.0,13.0,003,20100,46
4600323300,"Gales township, Aurora County, South Dakota",48.0,45.0,45.0,45.0,0.0,0.0,3.0,003,23300,46
4600330020,"Hopper township, Aurora County, South Dakota",57.0,31.0,31.0,31.0,0.0,0.0,26.0,003,30020,46
4600364220,"Truro township, Aurora County, South Dakota",47.0,23.0,23.0,23.0,0.0,0.0,24.0,003,64220,46
4600350620,"Pleasant Lake township, Aurora County, South Dakota",53.0,51.0,51.0,51.0,0.0,0.0,2.0,003,50620,46
4600371220,"White Lake township, Aurora County, South Dakota",85.0,71.0,71.0,71.0,0.0,0.0,14.0,003,71220,46
4600350020,"Plankinton city, Aurora County, South Dakota",556.0,399.0,399.0,399.0,0.0,0.0,157.0,003,50020,46
460034300,"Belford township, Aurora County, South Dakota",92.0,67.0,67.0,55.0,12.0,0.0,25.0,003,4300,46
4600348660,"Patten township, Aurora County, South Dakota",17.0,14.0,14.0,14.0,0.0,0.0,3.0,003,48660,46
4600563300,"Theresa township, Beadle County, South Dakota",272.0,217.0,217.0,209.0,8.0,0.0,55.0,005,63300,46
4600538180,"Logan township, Beadle County, South Dakota",7.0,7.0,7.0,7.0,0.0,0.0,0.0,005,38180,46
4600548780,"Pearl Creek township, Beadle County, South Dakota",57.0,42.0,42.0,42.0,0.0,0.0,15.0,005,48780,46
4600557500,"Sand Creek township, Beadle County, South Dakota",12.0,6.0,6.0,6.0,0.0,0.0,6.0,005,57500,46
4600573020,"Yale town, Beadle County, South Dakota",96.0,59.0,59.0,58.0,1.0,0.0,37.0,005,73020,46
460051300,"Altoona township, Beadle County, South Dakota",50.0,44.0,44.0,39.0,5.0,0.0,6.0,005,1300,46
460053700,"Barrett township, Beadle County, South Dakota",73.0,3.0,3.0,3.0,0.0,0.0,70.0,005,3700,46
4600522380,"Foster township, Beadle County, South Dakota",63.0,49.0,49.0,47.0,2.0,0.0,14.0,005,22380,46
4600536740,"Liberty township, Beadle County, South Dakota",78.0,68.0,68.0,68.0,0.0,0.0,10.0,005,36740,46
4600542340,"Milford township, Beadle County, South Dakota",66.0,22.0,22.0,22.0,0.0,0.0,44.0,005,42340,46
4600571460,"Whiteside township, Beadle County, South Dakota",59.0,50.0,50.0,35.0,15.0,0.0,9.0,005,71460,46
4600554420,"Richland township, Beadle County, South Dakota",86.0,63.0,63.0,63.0,0.0,0.0,23.0,005,54420,46
4600566860,"Vernon township, Beadle County, South Dakota",48.0,40.0,40.0,37.0,3.0,0.0,8.0,005,66860,46
4600570140,"Wessington city, Beadle County, South Dakota",174.0,121.0,121.0,117.0,4.0,0.0,53.0,005,70140,46
4600572580,"Wolsey township, Beadle County, South Dakota",74.0,51.0,39.0,39.0,0.0,12.0,23.0,005,72580,46
4600512900,"Clifton township, Beadle County, South Dakota",36.0,14.0,14.0,14.0,0.0,0.0,22.0,005,12900,46
4600515060,"Custer township, Beadle County, South Dakota",326.0,183.0,183.0,165.0,18.0,0.0,143.0,005,15060,46
460057420,"Broadland town, Beadle County, South Dakota",19.0,17.0,17.0,17.0,0.0,0.0,2.0,005,7420,46
4601945180,"Nisland town, Butte County, South Dakota",218.0,125.0,125.0,125.0,0.0,0.0,93.0,019,45180,46
4601970290,"West Butte UT, Butte County, South Dakota",1981.0,1286.0,1286.0,1271.0,15.0,0.0,695.0,019,70290,46
4601964980,"Union township, Butte County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,64980,46
460194380,"Belle Fourche city, Butte County, South Dakota",4498.0,2955.0,2939.0,2827.0,112.0,16.0,1543.0,019,4380,46
4601944860,"Newell city, Butte County, South Dakota",624.0,457.0,457.0,441.0,16.0,0.0,167.0,019,44860,46
4601923140,"Fruitdale town, Butte County, South Dakota",63.0,23.0,23.0,23.0,0.0,0.0,40.0,019,23140,46
4601917720,"East Butte UT, Butte County, South Dakota",535.0,364.0,364.0,360.0,4.0,0.0,171.0,019,17720,46
4601965940,"Vale township, Butte County, South Dakota",75.0,49.0,49.0,49.0,0.0,0.0,26.0,019,65940,46
4603158500,"Sherman township, Corson County, South Dakota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,031,58500,46
4603143860,"Morristown town, Corson County, South Dakota",27.0,25.0,25.0,25.0,0.0,0.0,2.0,031,43860,46
4603169260,"Watauga township, Corson County, South Dakota",22.0,12.0,12.0,12.0,0.0,0.0,10.0,031,69260,46
4603168180,"Wakpala township, Corson County, South Dakota",188.0,120.0,120.0,62.0,58.0,0.0,68.0,031,68180,46
4603139940,"McIntosh city, Corson County, South Dakota",166.0,107.0,107.0,98.0,9.0,0.0,59.0,031,39940,46
4603140020,"McLaughlin city, Corson County, South Dakota",374.0,242.0,242.0,187.0,55.0,0.0,132.0,031,40020,46
4603155700,"Rolling Green township, Corson County, South Dakota",30.0,24.0,24.0,24.0,0.0,0.0,6.0,031,55700,46
4611512940,"Clifton township, Spink County, South Dakota",21.0,9.0,9.0,9.0,0.0,0.0,12.0,115,12940,46
4611551620,"Prairie Center township, Spink County, South Dakota",95.0,28.0,28.0,28.0,0.0,0.0,67.0,115,51620,46
4611564580,"Turton township, Spink County, South Dakota",15.0,5.0,5.0,5.0,0.0,0.0,10.0,115,64580,46
461152540,"Ashton city, Spink County, South Dakota",102.0,66.0,66.0,65.0,1.0,0.0,36.0,115,2540,46
4611513740,"Conde township, Spink County, South Dakota",54.0,25.0,25.0,25.0,0.0,0.0,29.0,115,13740,46
4611537660,"Lincoln township, Spink County, South Dakota",192.0,30.0,30.0,30.0,0.0,0.0,162.0,115,37660,46
4611545740,"Northville town, Spink County, South Dakota",89.0,78.0,78.0,78.0,0.0,0.0,11.0,115,45740,46
4611560420,"Spring township, Spink County, South Dakota",17.0,8.0,8.0,8.0,0.0,0.0,9.0,115,60420,46
4611563420,"Three Rivers township, Spink County, South Dakota",62.0,62.0,62.0,62.0,0.0,0.0,0.0,115,63420,46
461151700,"Antelope township, Spink County, South Dakota",56.0,46.0,46.0,46.0,0.0,0.0,10.0,115,1700,46
4611520260,"Exline township, Spink County, South Dakota",26.0,12.0,12.0,12.0,0.0,0.0,14.0,115,20260,46
4611527380,"Harrison township, Spink County, South Dakota",58.0,38.0,38.0,38.0,0.0,0.0,20.0,115,27380,46
