geoid,name,total_population_16over,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,county,county subdivision,state
5403392352,"Northern district, Harrison County, West Virginia",8449.0,4797.0,4797.0,4457.0,340.0,0.0,3652.0,033,92352,54
5403392952,"Southwest district, Harrison County, West Virginia",9072.0,4927.0,4927.0,4566.0,361.0,0.0,4145.0,033,92952,54
5403392932,"South Urban district, Harrison County, West Virginia",9411.0,5669.0,5658.0,5382.0,276.0,11.0,3742.0,033,92932,54
5403392923,"Southern district, Harrison County, West Virginia",10040.0,6062.0,6055.0,5697.0,358.0,7.0,3978.0,033,92923,54
5403392368,"North Urban district, Harrison County, West Virginia",7751.0,4138.0,4138.0,3730.0,408.0,0.0,3613.0,033,92368,54
5403390975,"Eastern district, Harrison County, West Virginia",10712.0,6888.0,6888.0,6508.0,380.0,0.0,3824.0,033,90975,54
5406990824,"District 2, Ohio County, West Virginia",9992.0,5808.0,5789.0,5462.0,327.0,19.0,4184.0,069,90824,54
5406990862,"District 3, Ohio County, West Virginia",12635.0,7242.0,7242.0,6847.0,395.0,0.0,5393.0,069,90862,54
5406990788,"District 1, Ohio County, West Virginia",13075.0,8051.0,8038.0,7696.0,342.0,13.0,5024.0,069,90788,54
5408591380,"Grant district, Ritchie County, West Virginia",1450.0,641.0,641.0,579.0,62.0,0.0,809.0,085,91380,54
5408592244,"Murphy district, Ritchie County, West Virginia",984.0,462.0,462.0,432.0,30.0,0.0,522.0,085,92244,54
5408593336,"Union district, Ritchie County, West Virginia",2866.0,1458.0,1458.0,1341.0,117.0,0.0,1408.0,085,93336,54
5408590552,"Clay district, Ritchie County, West Virginia",2928.0,1520.0,1520.0,1382.0,138.0,0.0,1408.0,085,90552,54
5401390873,"District 4, Calhoun County, West Virginia",1503.0,632.0,632.0,508.0,124.0,0.0,871.0,013,90873,54
5401390766,"District 1, Calhoun County, West Virginia",1214.0,488.0,488.0,449.0,39.0,0.0,726.0,013,90766,54
5401390885,"District 5, Calhoun County, West Virginia",1503.0,693.0,693.0,590.0,103.0,0.0,810.0,013,90885,54
5401390836,"District 3, Calhoun County, West Virginia",1140.0,530.0,530.0,450.0,80.0,0.0,610.0,013,90836,54
5401390800,"District 2, Calhoun County, West Virginia",836.0,327.0,327.0,287.0,40.0,0.0,509.0,013,90800,54
5406590822,"District 2, Morgan County, West Virginia",4843.0,2813.0,2813.0,2533.0,280.0,0.0,2030.0,065,90822,54
5406590786,"District 1, Morgan County, West Virginia",4687.0,2317.0,2302.0,1967.0,335.0,15.0,2370.0,065,90786,54
5406590858,"District 3, Morgan County, West Virginia",5081.0,2887.0,2863.0,2590.0,273.0,24.0,2194.0,065,90858,54
5408190828,"District 2, Raleigh County, West Virginia",20445.0,10207.0,10207.0,9490.0,717.0,0.0,10238.0,081,90828,54
5408190792,"District 1, Raleigh County, West Virginia",17991.0,8581.0,8544.0,8042.0,502.0,37.0,9410.0,081,90792,54
5408190864,"District 3, Raleigh County, West Virginia",24125.0,12560.0,12546.0,11393.0,1153.0,14.0,11565.0,081,90864,54
5400793597,"Western district, Braxton County, West Virginia",2857.0,1506.0,1506.0,1329.0,177.0,0.0,1351.0,007,93597,54
5400792346,"Northern district, Braxton County, West Virginia",3185.0,1821.0,1821.0,1619.0,202.0,0.0,1364.0,007,92346,54
