geoid,name,total,native,foreign_born,county,county subdivision,state
2103990968,"Cunningham CCD, Carlisle County, Kentucky",1662.0,1662.0,0.0,039,90968,21
2104192840,"Prestonville CCD, Carroll County, Kentucky",2100.0,2050.0,50.0,041,92840,21
2103990080,"Arlington CCD, Carlisle County, Kentucky",1419.0,1409.0,10.0,039,90080,21
2104190608,"Carrollton CCD, Carroll County, Kentucky",8595.0,8332.0,263.0,041,90608,21
2121991928,"Kirkmansville CCD, Todd County, Kentucky",2852.0,2825.0,27.0,219,91928,21
2103990160,"Bardwell CCD, Carlisle County, Kentucky",1809.0,1788.0,21.0,039,90160,21
2106592888,"Ravenna CCD, Estill County, Kentucky",1454.0,1431.0,23.0,065,92888,21
2105390032,"Albany CCD, Clinton County, Kentucky",7093.0,6981.0,112.0,053,90032,21
2105390944,"Cumberland City CCD, Clinton County, Kentucky",3115.0,3066.0,49.0,053,90944,21
2106591816,"Irvine CCD, Estill County, Kentucky",6027.0,6027.0,0.0,065,91816,21
2107793616,"Warsaw CCD, Gallatin County, Kentucky",8652.0,8405.0,247.0,077,93616,21
2107992664,"Paint Lick CCD, Garrard County, Kentucky",2988.0,2921.0,67.0,079,92664,21
2107991976,"Lancaster CCD, Garrard County, Kentucky",7460.0,7387.0,73.0,079,91976,21
2107990400,"Bryantsville CCD, Garrard County, Kentucky",6778.0,6668.0,110.0,079,90400,21
2116793064,"Salvisa-McAfee CCD, Mercer County, Kentucky",4265.0,4060.0,205.0,167,93064,21
2119190472,"Butler CCD, Pendleton County, Kentucky",6817.0,6782.0,35.0,191,90472,21
2116790424,"Burgin CCD, Mercer County, Kentucky",3502.0,3456.0,46.0,167,90424,21
2116791624,"Harrodsburg CCD, Mercer County, Kentucky",13611.0,13280.0,331.0,167,91624,21
2119191200,"Falmouth CCD, Pendleton County, Kentucky",5035.0,4995.0,40.0,191,91200,21
2120192408,"Mount Olivet CCD, Robertson County, Kentucky",2161.0,2159.0,2.0,201,92408,21
2120790384,"Bryan CCD, Russell County, Kentucky",1695.0,1683.0,12.0,207,90384,21
2120791120,"Eli CCD, Russell County, Kentucky",3728.0,3728.0,0.0,207,91120,21
2122993328,"Springfield CCD, Washington County, Kentucky",9018.0,8858.0,160.0,229,93328,21
2120791864,"Jamestown CCD, Russell County, Kentucky",4138.0,4029.0,109.0,207,91864,21
2120792984,"Russell Springs CCD, Russell County, Kentucky",8170.0,7885.0,285.0,207,92984,21
2121593448,"Taylorsville CCD, Spencer County, Kentucky",6045.0,6019.0,26.0,215,93448,21
2122993728,"Willisburg CCD, Washington County, Kentucky",2981.0,2835.0,146.0,229,93728,21
2101193144,"Sharpsburg CCD, Bath County, Kentucky",2018.0,2004.0,14.0,011,93144,21
2101193056,"Salt Lick CCD, Bath County, Kentucky",3784.0,3733.0,51.0,011,93056,21
2101192640,"Owingsville CCD, Bath County, Kentucky",6387.0,6325.0,62.0,011,92640,21
2100793696,"Wickliffe CCD, Ballard County, Kentucky",2173.0,2150.0,23.0,007,93696,21
2100790168,"Barlow CCD, Ballard County, Kentucky",1368.0,1345.0,23.0,007,90168,21
2100791952,"La Center CCD, Ballard County, Kentucky",4611.0,4503.0,108.0,007,91952,21
2100992944,"Rocky Hill CCD, Barren County, Kentucky",3630.0,3580.0,50.0,009,92944,21
2100991408,"Glasgow CCD, Barren County, Kentucky",21487.0,21007.0,480.0,009,91408,21
2100993496,"Tracy CCD, Barren County, Kentucky",3759.0,3686.0,73.0,009,93496,21
2100990640,"Cave City CCD, Barren County, Kentucky",7373.0,7268.0,105.0,009,90640,21
2100991744,"Hiseville CCD, Barren County, Kentucky",3309.0,3261.0,48.0,009,91744,21
2100993464,"Temple Hill CCD, Barren County, Kentucky",3860.0,3794.0,66.0,009,93464,21
2102191896,"Junction City CCD, Boyle County, Kentucky",4812.0,4771.0,41.0,021,91896,21
2102191000,"Danville CCD, Boyle County, Kentucky",20816.0,20207.0,609.0,021,91000,21
2102192744,"Perryville CCD, Boyle County, Kentucky",4145.0,4120.0,25.0,021,92744,21
2108791536,"Gresham CCD, Green County, Kentucky",1631.0,1631.0,0.0,087,91536,21
2108791504,"Greensburg CCD, Green County, Kentucky",4166.0,4115.0,51.0,087,91504,21
2108791064,"Donansburg CCD, Green County, Kentucky",2442.0,2431.0,11.0,087,91064,21
2108793408,"Summersville CCD, Green County, Kentucky",2805.0,2740.0,65.0,087,93408,21
2109192696,"Patesville CCD, Hancock County, Kentucky",2768.0,2763.0,5.0,091,92696,21
2109192032,"Lewisport CCD, Hancock County, Kentucky",3430.0,3366.0,64.0,091,92032,21
2109191640,"Hawesville CCD, Hancock County, Kentucky",2502.0,2497.0,5.0,091,91640,21
2109590648,"Cawood CCD, Harlan County, Kentucky",2040.0,2040.0,0.0,095,90648,21
2109591608,"Harlan CCD, Harlan County, Kentucky",13805.0,13649.0,156.0,095,91608,21
2109590056,"Alva CCD, Harlan County, Kentucky",975.0,975.0,0.0,095,90056,21
