geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",1096.0,106.0,101.0,59.0,60.0,81.0,43.0,48.0,77.0,16.0,26.0,107.0,189.0,117.0,36.0,7.0,23.0,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",1097.0,34.0,107.0,105.0,69.0,65.0,40.0,48.0,9.0,24.0,90.0,165.0,184.0,35.0,77.0,34.0,11.0,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",3568.0,497.0,324.0,219.0,355.0,156.0,330.0,247.0,127.0,180.0,174.0,306.0,250.0,275.0,39.0,15.0,74.0,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",2893.0,298.0,249.0,254.0,199.0,156.0,198.0,206.0,87.0,155.0,127.0,326.0,373.0,179.0,49.0,37.0,0.0,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",1939.0,205.0,184.0,127.0,267.0,72.0,131.0,86.0,79.0,38.0,78.0,196.0,154.0,132.0,134.0,30.0,26.0,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",2423.0,217.0,147.0,192.0,188.0,137.0,83.0,244.0,226.0,223.0,221.0,193.0,228.0,108.0,0.0,16.0,0.0,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",2296.0,201.0,169.0,320.0,108.0,261.0,125.0,90.0,93.0,94.0,140.0,239.0,257.0,87.0,57.0,38.0,17.0,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",1183.0,165.0,95.0,91.0,33.0,104.0,41.0,100.0,42.0,23.0,82.0,179.0,169.0,34.0,9.0,0.0,16.0,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",12546.0,326.0,184.0,195.0,395.0,212.0,386.0,335.0,468.0,411.0,1265.0,1336.0,2149.0,1381.0,1658.0,1115.0,730.0,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",6774.0,529.0,372.0,576.0,411.0,549.0,608.0,408.0,463.0,287.0,527.0,724.0,707.0,219.0,142.0,132.0,120.0,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",579.0,110.0,29.0,45.0,24.0,18.0,20.0,5.0,11.0,53.0,61.0,75.0,72.0,31.0,25.0,0.0,0.0,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",2307.0,243.0,31.0,86.0,100.0,179.0,191.0,123.0,69.0,213.0,153.0,118.0,311.0,290.0,88.0,85.0,27.0,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",2830.0,264.0,354.0,300.0,183.0,203.0,157.0,170.0,95.0,104.0,324.0,215.0,112.0,168.0,50.0,76.0,55.0,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",240.0,9.0,4.0,0.0,21.0,39.0,5.0,0.0,7.0,16.0,17.0,11.0,32.0,44.0,11.0,5.0,19.0,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",223.0,5.0,11.0,30.0,5.0,6.0,28.0,5.0,0.0,4.0,18.0,36.0,46.0,17.0,5.0,7.0,0.0,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",667.0,23.0,92.0,54.0,36.0,87.0,8.0,23.0,9.0,47.0,19.0,58.0,42.0,119.0,29.0,21.0,0.0,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",531.0,60.0,38.0,20.0,49.0,31.0,30.0,66.0,24.0,14.0,35.0,62.0,23.0,17.0,26.0,33.0,3.0,269,90557,13
1308590284,"Blacks Mill CCD, Dawson County, Georgia",5332.0,308.0,223.0,315.0,141.0,210.0,256.0,104.0,191.0,262.0,450.0,523.0,658.0,669.0,345.0,325.0,352.0,085,90284,13
