geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1914992484,"Liberty township, Plymouth County, Iowa",133.0,0.0,0.0,6.0,0.0,5.0,5.0,19.0,4.0,28.0,7.0,30.0,5.0,24.0,0.0,0.0,0.0,149,92484,19
1914993925,"Sioux City city, Plymouth County, Iowa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,93925,19
1914994254,"Union township, Plymouth County, Iowa",60.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,4.0,6.0,9.0,5.0,11.0,5.0,6.0,149,94254,19
1914991908,"Henry township, Plymouth County, Iowa",55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,29.0,0.0,5.0,0.0,5.0,149,91908,19
1914993507,"Preston township, Plymouth County, Iowa",82.0,15.0,0.0,6.0,24.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,6.0,0.0,149,93507,19
1914993564,"Remsen township, Plymouth County, Iowa",737.0,28.0,36.0,34.0,30.0,42.0,48.0,16.0,23.0,15.0,137.0,101.0,97.0,47.0,20.0,39.0,24.0,149,93564,19
1914992274,"Johnson township, Plymouth County, Iowa",108.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,25.0,0.0,0.0,30.0,28.0,10.0,0.0,0.0,149,92274,19
1914992865,"Marion township, Plymouth County, Iowa",219.0,6.0,2.0,0.0,8.0,6.0,3.0,11.0,11.0,7.0,36.0,36.0,39.0,27.0,21.0,6.0,0.0,149,92865,19
1914994545,"Washington township, Plymouth County, Iowa",132.0,0.0,0.0,19.0,1.0,15.0,0.0,5.0,11.0,21.0,7.0,11.0,8.0,9.0,2.0,14.0,9.0,149,94545,19
1914992589,"Lincoln township, Plymouth County, Iowa",74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,25.0,9.0,19.0,0.0,0.0,5.0,5.0,149,92589,19
1914993921,"Sioux township, Plymouth County, Iowa",143.0,0.0,0.0,0.0,35.0,13.0,0.0,0.0,0.0,0.0,35.0,15.0,14.0,0.0,17.0,14.0,0.0,149,93921,19
1914993462,"Portland township, Plymouth County, Iowa",760.0,35.0,52.0,63.0,60.0,30.0,36.0,30.0,27.0,45.0,52.0,119.0,118.0,35.0,40.0,13.0,5.0,149,93462,19
1901990384,"Buffalo township, Buchanan County, Iowa",133.0,9.0,6.0,9.0,4.0,5.0,9.0,5.0,11.0,7.0,9.0,26.0,23.0,4.0,1.0,3.0,2.0,019,90384,19
1901991461,"Fremont township, Buchanan County, Iowa",85.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,17.0,9.0,12.0,0.0,6.0,019,91461,19
1901994458,"Washington township, Buchanan County, Iowa",1988.0,130.0,66.0,153.0,168.0,134.0,82.0,107.0,116.0,96.0,139.0,159.0,194.0,121.0,133.0,123.0,67.0,019,94458,19
1901994047,"Sumner township, Buchanan County, Iowa",1227.0,17.0,56.0,117.0,20.0,25.0,37.0,28.0,78.0,28.0,124.0,176.0,263.0,94.0,50.0,77.0,37.0,019,94047,19
1901991977,"Homer township, Buchanan County, Iowa",278.0,3.0,4.0,4.0,3.0,6.0,26.0,35.0,5.0,16.0,49.0,40.0,49.0,14.0,0.0,15.0,9.0,019,91977,19
1901992751,"Madison township, Buchanan County, Iowa",330.0,27.0,13.0,19.0,14.0,15.0,12.0,17.0,25.0,26.0,29.0,33.0,39.0,16.0,16.0,2.0,27.0,019,92751,19
1914394678,"West Holman township, Osceola County, Iowa",762.0,75.0,60.0,37.0,53.0,42.0,56.0,32.0,50.0,46.0,46.0,53.0,126.0,33.0,34.0,14.0,5.0,143,94678,19
1901391252,"Evansdale city, Black Hawk County, Iowa",1949.0,37.0,85.0,101.0,197.0,100.0,138.0,138.0,72.0,154.0,213.0,277.0,226.0,96.0,115.0,0.0,0.0,013,91252,19
1906192285,"Julien township, Dubuque County, Iowa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,061,92285,19
