geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1210190481,"Central Pasco CCD, Pasco County, Florida",3978.0,138.0,19.0,155.0,170.0,71.0,133.0,220.0,141.0,244.0,479.0,444.0,727.0,388.0,210.0,277.0,162.0,101,90481,12
1204190130,"Bell CCD, Gilchrist County, Florida",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,041,90130,12
1212191950,"Live Oak CCD, Suwannee County, Florida",1332.0,216.0,330.0,249.0,37.0,17.0,33.0,122.0,0.0,79.0,15.0,159.0,75.0,0.0,0.0,0.0,0.0,121,91950,12
1210192860,"Port Richey CCD, Pasco County, Florida",790.0,68.0,20.0,121.0,30.0,54.0,67.0,134.0,59.0,62.0,22.0,34.0,76.0,32.0,0.0,0.0,11.0,101,92860,12
1205593120,"Sebring CCD, Highlands County, Florida",1148.0,106.0,124.0,143.0,168.0,94.0,171.0,13.0,32.0,30.0,117.0,36.0,97.0,17.0,0.0,0.0,0.0,055,93120,12
1205591846,"Lake Placid CCD, Highlands County, Florida",370.0,35.0,109.0,97.0,54.0,0.0,25.0,0.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,055,91846,12
1205590091,"Avon Park CCD, Highlands County, Florida",1647.0,169.0,142.0,114.0,270.0,169.0,80.0,85.0,98.0,3.0,38.0,198.0,137.0,45.0,43.0,0.0,56.0,055,90091,12
1212190299,"Branford CCD, Suwannee County, Florida",62.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,121,90299,12
1210190741,"Dade City CCD, Pasco County, Florida",803.0,63.0,79.0,44.0,98.0,96.0,26.0,0.0,0.0,62.0,111.0,147.0,60.0,17.0,0.0,0.0,0.0,101,90741,12
1210192327,"New Port Richey CCD, Pasco County, Florida",2499.0,346.0,92.0,142.0,173.0,278.0,236.0,130.0,117.0,146.0,87.0,195.0,233.0,97.0,77.0,113.0,37.0,101,92327,12
1204193432,"Trenton CCD, Gilchrist County, Florida",114.0,15.0,4.0,37.0,0.0,10.0,8.0,4.0,0.0,0.0,17.0,16.0,3.0,0.0,0.0,0.0,0.0,041,93432,12
1212190858,"Dowling Park CCD, Suwannee County, Florida",124.0,21.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,121,90858,12
1212192002,"McAlpin-Wellborn CCD, Suwannee County, Florida",185.0,0.0,0.0,0.0,0.0,61.0,30.0,38.0,0.0,9.0,17.0,19.0,11.0,0.0,0.0,0.0,0.0,121,92002,12
1200191248,"Gainesville CCD, Alachua County, Florida",14007.0,3039.0,1115.0,1156.0,1266.0,981.0,773.0,678.0,978.0,336.0,1121.0,1044.0,771.0,432.0,111.0,141.0,65.0,001,91248,12
1200191469,"Hawthorne CCD, Alachua County, Florida",431.0,38.0,34.0,31.0,46.0,35.0,20.0,2.0,41.0,50.0,31.0,16.0,48.0,18.0,0.0,8.0,13.0,001,91469,12
1200192314,"Newberry-Archer CCD, Alachua County, Florida",1015.0,118.0,34.0,145.0,25.0,43.0,60.0,25.0,20.0,43.0,108.0,90.0,218.0,29.0,26.0,7.0,24.0,001,92314,12
1200192184,"Micanopy CCD, Alachua County, Florida",163.0,16.0,14.0,4.0,8.0,28.0,5.0,0.0,9.0,27.0,4.0,19.0,12.0,6.0,5.0,6.0,0.0,001,92184,12
1200191495,"High Springs-Alachua CCD, Alachua County, Florida",2248.0,448.0,80.0,474.0,18.0,233.0,166.0,143.0,56.0,37.0,180.0,83.0,92.0,83.0,33.0,18.0,104.0,001,91495,12
1200193536,"Waldo CCD, Alachua County, Florida",358.0,72.0,6.0,0.0,50.0,49.0,13.0,31.0,9.0,23.0,1.0,58.0,26.0,17.0,0.0,3.0,0.0,001,93536,12
1202790078,"Arcadia West CCD, DeSoto County, Florida",179.0,0.0,18.0,55.0,76.0,0.0,19.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,90078,12
1202790065,"Arcadia East CCD, DeSoto County, Florida",1021.0,142.0,220.0,61.0,82.0,138.0,42.0,19.0,51.0,13.0,102.0,65.0,56.0,12.0,18.0,0.0,0.0,027,90065,12
1201390026,"Altha CCD, Calhoun County, Florida",50.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,013,90026,12
1201390169,"Blountstown CCD, Calhoun County, Florida",342.0,94.0,38.0,0.0,67.0,22.0,6.0,69.0,0.0,0.0,15.0,0.0,23.0,8.0,0.0,0.0,0.0,013,90169,12
1202391183,"Fort White CCD, Columbia County, Florida",296.0,37.0,21.0,2.0,24.0,12.0,0.0,34.0,5.0,9.0,0.0,47.0,44.0,3.0,48.0,10.0,0.0,023,91183,12
1201592899,"Punta Gorda CCD, Charlotte County, Florida",223.0,30.0,74.0,4.0,32.0,7.0,0.0,0.0,48.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,9.0,015,92899,12
1201591352,"Grove City-Rotonda CCD, Charlotte County, Florida",86.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,22.0,29.0,0.0,0.0,0.0,0.0,015,91352,12
1201592834,"Port Charlotte CCD, Charlotte County, Florida",3046.0,120.0,589.0,216.0,191.0,119.0,263.0,286.0,73.0,123.0,235.0,313.0,142.0,199.0,60.0,21.0,96.0,015,92834,12
1202392366,"North Columbia CCD, Columbia County, Florida",65.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,023,92366,12
1202391820,"Lake City CCD, Columbia County, Florida",3337.0,404.0,365.0,336.0,270.0,127.0,102.0,222.0,236.0,67.0,324.0,273.0,296.0,209.0,71.0,18.0,17.0,023,91820,12
1202990702,"Cross City South CCD, Dixie County, Florida",73.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,029,90702,12
1202990689,"Cross City North CCD, Dixie County, Florida",169.0,42.0,16.0,9.0,9.0,17.0,2.0,16.0,7.0,22.0,6.0,6.0,17.0,0.0,0.0,0.0,0.0,029,90689,12
1208593250,"Stuart CCD, Martin County, Florida",775.0,102.0,23.0,64.0,134.0,76.0,31.0,104.0,4.0,93.0,59.0,48.0,0.0,8.0,22.0,0.0,7.0,085,93250,12
1208591586,"Indiantown CCD, Martin County, Florida",274.0,16.0,41.0,7.0,19.0,58.0,6.0,21.0,0.0,0.0,29.0,8.0,43.0,0.0,0.0,17.0,9.0,085,91586,12
1208592873,"Port Salerno-Hobe Sound CCD, Martin County, Florida",831.0,86.0,20.0,57.0,34.0,26.0,111.0,58.0,122.0,25.0,105.0,73.0,73.0,16.0,6.0,11.0,8.0,085,92873,12
1211593484,"Venice CCD, Sarasota County, Florida",224.0,52.0,0.0,8.0,0.0,5.0,19.0,11.0,0.0,0.0,0.0,0.0,33.0,24.0,36.0,36.0,0.0,115,93484,12
1210791612,"Interlachen-Florahome CCD, Putnam County, Florida",789.0,88.0,76.0,105.0,0.0,51.0,141.0,43.0,61.0,57.0,68.0,25.0,18.0,13.0,2.0,41.0,0.0,107,91612,12
1210790663,"Crescent City CCD, Putnam County, Florida",502.0,127.0,48.0,28.0,86.0,22.0,60.0,57.0,16.0,0.0,19.0,8.0,22.0,3.0,6.0,0.0,0.0,107,90663,12
1210792574,"Palatka CCD, Putnam County, Florida",2461.0,523.0,461.0,352.0,175.0,199.0,142.0,266.0,77.0,58.0,32.0,117.0,12.0,26.0,17.0,4.0,0.0,107,92574,12
1211591599,"Interior County CCD, Sarasota County, Florida",29.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,115,91599,12
1210790923,"East Palatka CCD, Putnam County, Florida",428.0,128.0,33.0,56.0,105.0,0.0,37.0,0.0,0.0,0.0,50.0,17.0,2.0,0.0,0.0,0.0,0.0,107,90923,12
1211590975,"Englewood CCD, Sarasota County, Florida",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,90975,12
1211591963,"Longboat Key CCD, Sarasota County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,91963,12
1211592431,"North Port CCD, Sarasota County, Florida",1056.0,49.0,161.0,91.0,12.0,47.0,122.0,58.0,36.0,56.0,297.0,75.0,26.0,26.0,0.0,0.0,0.0,115,92431,12
1211593107,"Sarasota CCD, Sarasota County, Florida",3924.0,760.0,481.0,184.0,334.0,339.0,154.0,178.0,204.0,98.0,215.0,452.0,238.0,135.0,140.0,12.0,0.0,115,93107,12
1212592925,"Raiford CCD, Union County, Florida",75.0,2.0,0.0,0.0,0.0,4.0,8.0,17.0,16.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,125,92925,12
1212591807,"Lake Butler CCD, Union County, Florida",284.0,50.0,14.0,75.0,0.0,22.0,17.0,3.0,5.0,50.0,0.0,16.0,28.0,0.0,4.0,0.0,0.0,125,91807,12
1212593731,"Worthington Springs CCD, Union County, Florida",175.0,22.0,0.0,4.0,12.0,36.0,0.0,0.0,72.0,0.0,2.0,15.0,12.0,0.0,0.0,0.0,0.0,125,93731,12
1205393230,"Spring Hill CCD, Hernando County, Florida",2005.0,169.0,113.0,123.0,186.0,149.0,109.0,74.0,12.0,21.0,203.0,273.0,347.0,141.0,45.0,40.0,0.0,053,93230,12
1212790832,"DeLand CCD, Volusia County, Florida",2529.0,300.0,345.0,280.0,262.0,243.0,144.0,403.0,108.0,66.0,151.0,89.0,38.0,68.0,18.0,14.0,0.0,127,90832,12
1201191417,"Hallandale Beach CCD, Broward County, Florida",4597.0,689.0,419.0,365.0,228.0,248.0,398.0,304.0,133.0,223.0,397.0,434.0,389.0,190.0,61.0,95.0,24.0,011,91417,12
1205191781,"LaBelle CCD, Hendry County, Florida",282.0,35.0,18.0,86.0,0.0,66.0,11.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,051,91781,12
1212790793,"DeBary-Orange City CCD, Volusia County, Florida",824.0,64.0,0.0,28.0,27.0,120.0,72.0,8.0,73.0,6.0,137.0,93.0,93.0,7.0,35.0,36.0,25.0,127,90793,12
1211392218,"Midway CCD, Santa Rosa County, Florida",229.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,112.0,51.0,36.0,0.0,0.0,0.0,113,92218,12
1211393659,"Whiting Field CCD, Santa Rosa County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,93659,12
1211393127,"Skyline CCD, Santa Rosa County, Florida",286.0,36.0,14.0,12.0,3.0,24.0,6.0,56.0,0.0,0.0,0.0,71.0,0.0,9.0,38.0,17.0,0.0,113,93127,12
1211392309,"Navarre Beach CCD, Santa Rosa County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,92309,12
1211391500,"Holley-Navarre CCD, Santa Rosa County, Florida",821.0,0.0,3.0,44.0,14.0,0.0,0.0,16.0,40.0,115.0,131.0,0.0,244.0,54.0,8.0,138.0,14.0,113,91500,12
1212990949,"East Wakulla CCD, Wakulla County, Florida",953.0,42.0,0.0,36.0,50.0,20.0,117.0,98.0,82.0,33.0,68.0,177.0,62.0,168.0,0.0,0.0,0.0,129,90949,12
1213390442,"Caryville CCD, Washington County, Florida",85.0,34.0,26.0,1.0,0.0,0.0,0.0,8.0,0.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,133,90442,12
1213393497,"Vernon CCD, Washington County, Florida",263.0,14.0,11.0,42.0,38.0,0.0,29.0,18.0,16.0,15.0,48.0,16.0,10.0,6.0,0.0,0.0,0.0,133,93497,12
1212993627,"West Wakulla CCD, Wakulla County, Florida",102.0,18.0,18.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,12.0,38.0,2.0,0.0,2.0,0.0,0.0,129,93627,12
1213390546,"Chipley CCD, Washington County, Florida",418.0,144.0,61.0,12.0,0.0,17.0,22.0,20.0,0.0,8.0,21.0,87.0,21.0,0.0,0.0,5.0,0.0,133,90546,12
1200793237,"Starke CCD, Bradford County, Florida",1171.0,271.0,98.0,134.0,99.0,49.0,28.0,61.0,136.0,0.0,9.0,69.0,122.0,95.0,0.0,0.0,0.0,007,93237,12
1200790312,"Brooker CCD, Bradford County, Florida",7.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,90312,12
1200791430,"Hampton CCD, Bradford County, Florida",145.0,0.0,0.0,0.0,56.0,0.0,2.0,58.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,007,91430,12
1200791898,"Lawtey CCD, Bradford County, Florida",229.0,55.0,12.0,63.0,18.0,16.0,2.0,0.0,14.0,26.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,007,91898,12
1200992106,"Melbourne CCD, Brevard County, Florida",3930.0,364.0,597.0,572.0,435.0,254.0,338.0,281.0,166.0,151.0,119.0,226.0,188.0,39.0,93.0,63.0,44.0,009,92106,12
1200993224,"Space Center CCD, Brevard County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009,93224,12
1200993419,"Titusville CCD, Brevard County, Florida",2977.0,314.0,258.0,289.0,300.0,204.0,280.0,117.0,205.0,33.0,195.0,358.0,274.0,92.0,45.0,13.0,0.0,009,93419,12
1200990624,"Cocoa-Rockledge CCD, Brevard County, Florida",5727.0,863.0,366.0,467.0,331.0,438.0,195.0,143.0,150.0,375.0,425.0,618.0,544.0,317.0,254.0,190.0,51.0,009,90624,12
1200992119,"Melbourne Shores-Floridana Beach CCD, Brevard County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009,92119,12
1200992132,"Merritt Island CCD, Brevard County, Florida",664.0,83.0,93.0,8.0,16.0,63.0,36.0,22.0,107.0,11.0,111.0,55.0,10.0,31.0,10.0,8.0,0.0,009,92132,12
1200990611,"Cocoa Beach-Cape Canaveral CCD, Brevard County, Florida",118.0,12.0,0.0,0.0,0.0,11.0,0.0,13.0,0.0,50.0,14.0,0.0,8.0,0.0,10.0,0.0,0.0,009,90611,12
1200992587,"Palm Bay CCD, Brevard County, Florida",6859.0,338.0,563.0,323.0,572.0,556.0,721.0,714.0,333.0,439.0,451.0,712.0,579.0,416.0,72.0,13.0,57.0,009,92587,12
1200991573,"Indialantic-Melbourne Beach CCD, Brevard County, Florida",326.0,38.0,0.0,0.0,10.0,0.0,0.0,0.0,78.0,29.0,51.0,41.0,34.0,0.0,6.0,7.0,32.0,009,91573,12
1200992028,"Malabar CCD, Brevard County, Florida",145.0,0.0,0.0,28.0,30.0,0.0,0.0,16.0,0.0,10.0,19.0,13.0,29.0,0.0,0.0,0.0,0.0,009,92028,12
1200993588,"West Brevard CCD, Brevard County, Florida",113.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,24.0,19.0,009,93588,12
1201992509,"Orange Park CCD, Clay County, Florida",3175.0,182.0,85.0,103.0,172.0,252.0,77.0,195.0,186.0,219.0,423.0,505.0,198.0,235.0,191.0,124.0,28.0,019,92509,12
1201992197,"Middleburg-Clay Hill CCD, Clay County, Florida",2462.0,193.0,53.0,0.0,0.0,94.0,173.0,66.0,43.0,260.0,174.0,241.0,485.0,209.0,162.0,229.0,80.0,019,92197,12
1201992678,"Penney Farms CCD, Clay County, Florida",357.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.0,38.0,29.0,128.0,0.0,79.0,0.0,019,92678,12
1201991300,"Green Cove Springs CCD, Clay County, Florida",735.0,91.0,6.0,102.0,117.0,17.0,71.0,36.0,0.0,18.0,83.0,141.0,26.0,27.0,0.0,0.0,0.0,019,91300,12
1201991742,"Keystone Heights CCD, Clay County, Florida",116.0,0.0,63.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,5.0,0.0,019,91742,12
1206790767,"Day CCD, Lafayette County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,067,90767,12
1206792093,"Mayo CCD, Lafayette County, Florida",144.0,14.0,14.0,2.0,1.0,0.0,67.0,17.0,13.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,067,92093,12
1206991235,"Fruitland Park-Lady Lake CCD, Lake County, Florida",494.0,27.0,32.0,44.0,73.0,46.0,49.0,40.0,53.0,1.0,9.0,20.0,9.0,36.0,40.0,15.0,0.0,069,91235,12
1206991365,"Groveland-Mascotte CCD, Lake County, Florida",1088.0,92.0,98.0,95.0,33.0,31.0,99.0,31.0,83.0,48.0,177.0,184.0,97.0,20.0,0.0,0.0,0.0,069,91365,12
1206991924,"Leesburg East CCD, Lake County, Florida",363.0,0.0,26.0,18.0,0.0,43.0,0.0,59.0,20.0,25.0,6.0,128.0,0.0,0.0,17.0,7.0,14.0,069,91924,12
1206991014,"Eustis CCD, Lake County, Florida",1273.0,232.0,82.0,172.0,45.0,74.0,199.0,28.0,44.0,45.0,25.0,94.0,158.0,50.0,15.0,10.0,0.0,069,91014,12
1206990585,"Clermont CCD, Lake County, Florida",3293.0,227.0,206.0,48.0,69.0,58.0,222.0,379.0,191.0,117.0,499.0,301.0,361.0,339.0,164.0,93.0,19.0,069,90585,12
1206991541,"Howey-in-the-Hills-Okahumpka CCD, Lake County, Florida",169.0,0.0,10.0,34.0,0.0,0.0,0.0,16.0,0.0,10.0,45.0,26.0,16.0,12.0,0.0,0.0,0.0,069,91541,12
1206993445,"Umatilla CCD, Lake County, Florida",253.0,24.0,13.0,4.0,0.0,0.0,0.0,48.0,0.0,79.0,0.0,36.0,15.0,20.0,6.0,0.0,8.0,069,93445,12
1206993393,"Tavares CCD, Lake County, Florida",581.0,108.0,24.0,21.0,70.0,67.0,23.0,18.0,26.0,28.0,30.0,23.0,63.0,64.0,0.0,16.0,0.0,069,93393,12
1206991911,"Leesburg CCD, Lake County, Florida",1797.0,502.0,330.0,71.0,96.0,133.0,143.0,46.0,40.0,35.0,86.0,137.0,145.0,0.0,33.0,0.0,0.0,069,91911,12
