geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",45.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",25.0,0.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",837.0,264.0,123.0,30.0,40.0,37.0,45.0,64.0,15.0,61.0,55.0,24.0,60.0,19.0,0.0,0.0,0.0,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",477.0,76.0,59.0,84.0,71.0,28.0,63.0,29.0,0.0,14.0,0.0,0.0,40.0,13.0,0.0,0.0,0.0,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",74.0,51.0,0.0,0.0,1.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",39.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",63.0,4.0,0.0,19.0,7.0,9.0,0.0,5.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",66.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",1201.0,34.0,42.0,53.0,18.0,29.0,37.0,4.0,56.0,29.0,91.0,259.0,156.0,164.0,194.0,8.0,27.0,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",371.0,14.0,52.0,32.0,0.0,67.0,47.0,12.0,40.0,0.0,0.0,59.0,48.0,0.0,0.0,0.0,0.0,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",116.0,47.0,0.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,0.0,0.0,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",1313.0,214.0,315.0,151.0,83.0,69.0,24.0,95.0,8.0,35.0,183.0,64.0,24.0,48.0,0.0,0.0,0.0,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",45.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11.0,5.0,0.0,0.0,0.0,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",43.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",155.0,3.0,67.0,46.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",105.0,16.0,0.0,7.0,4.0,13.0,11.0,15.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,2.0,3.0,269,90557,13
