geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
5103196087,"Timberlake district, Campbell County, Virginia",244.0,13.0,11.0,0.0,5.0,16.0,0.0,32.0,0.0,7.0,25.0,29.0,73.0,0.0,18.0,6.0,9.0,031,96087,51
5103190968,"Concord district, Campbell County, Virginia",505.0,35.0,15.0,49.0,38.0,29.0,0.0,34.0,56.0,34.0,37.0,65.0,34.0,19.0,0.0,60.0,0.0,031,90968,51
5103195623,"Seneca district, Campbell County, Virginia",341.0,98.0,0.0,0.0,33.0,0.0,27.0,0.0,39.0,0.0,0.0,58.0,45.0,36.0,5.0,0.0,0.0,031,95623,51
5103190504,"Brookneal district, Campbell County, Virginia",578.0,54.0,95.0,99.0,51.0,23.0,6.0,2.0,55.0,5.0,46.0,53.0,32.0,34.0,23.0,0.0,0.0,031,90504,51
5103195503,"Rustburg district, Campbell County, Virginia",462.0,0.0,0.0,92.0,183.0,0.0,17.0,0.0,12.0,6.0,46.0,40.0,66.0,0.0,0.0,0.0,0.0,031,95503,51
5108796119,"Tuckahoe district, Henrico County, Virginia",2544.0,205.0,49.0,113.0,150.0,215.0,132.0,111.0,106.0,280.0,228.0,277.0,328.0,121.0,67.0,96.0,66.0,087,96119,51
5108793511,"Fairfield district, Henrico County, Virginia",15121.0,1470.0,760.0,892.0,879.0,932.0,745.0,844.0,793.0,674.0,913.0,1798.0,1935.0,1059.0,631.0,553.0,243.0,087,93511,51
5108796079,"Three Chopt district, Henrico County, Virginia",2102.0,72.0,96.0,109.0,47.0,152.0,63.0,103.0,193.0,110.0,123.0,165.0,419.0,163.0,112.0,76.0,99.0,087,96079,51
5108993975,"Iriswood district, Henry County, Virginia",1435.0,156.0,97.0,141.0,78.0,106.0,59.0,154.0,35.0,158.0,61.0,87.0,202.0,34.0,11.0,39.0,17.0,089,93975,51
5108790496,"Brookland district, Henrico County, Virginia",4564.0,105.0,210.0,139.0,75.0,277.0,381.0,408.0,264.0,195.0,418.0,617.0,633.0,362.0,133.0,179.0,168.0,087,90496,51
5108796175,"Varina district, Henrico County, Virginia",12106.0,1025.0,640.0,673.0,432.0,734.0,575.0,788.0,777.0,395.0,875.0,1444.0,1787.0,1047.0,419.0,300.0,195.0,087,96175,51
5108990944,"Collinsville district, Henry County, Virginia",735.0,93.0,173.0,107.0,48.0,71.0,47.0,0.0,71.0,19.0,38.0,57.0,11.0,0.0,0.0,0.0,0.0,089,90944,51
5108995263,"Reed Creek district, Henry County, Virginia",639.0,33.0,56.0,81.0,30.0,189.0,34.0,0.0,27.0,32.0,27.0,83.0,11.0,0.0,36.0,0.0,0.0,089,95263,51
5108990288,"Blackberry district, Henry County, Virginia",449.0,20.0,31.0,18.0,98.0,58.0,19.0,22.0,0.0,23.0,33.0,8.0,88.0,0.0,12.0,0.0,19.0,089,90288,51
5108995295,"Ridgeway district, Henry County, Virginia",636.0,159.0,106.0,23.0,27.0,6.0,27.0,9.0,86.0,0.0,61.0,86.0,27.0,9.0,3.0,7.0,0.0,089,95295,51
5108993919,"Horsepasture district, Henry County, Virginia",1043.0,57.0,89.0,124.0,140.0,125.0,38.0,84.0,76.0,24.0,96.0,55.0,23.0,32.0,21.0,19.0,40.0,089,93919,51
5109991080,"Dahlgren district, King George County, Virginia",437.0,18.0,28.0,12.0,0.0,20.0,15.0,27.0,4.0,30.0,31.0,15.0,103.0,21.0,66.0,45.0,2.0,099,91080,51
5109994039,"James Monroe district, King George County, Virginia",362.0,20.0,0.0,0.0,14.0,9.0,0.0,0.0,51.0,48.0,34.0,45.0,80.0,15.0,9.0,26.0,11.0,099,94039,51
5109995687,"Shiloh district, King George County, Virginia",406.0,7.0,42.0,48.0,21.0,61.0,24.0,7.0,37.0,0.0,14.0,58.0,17.0,17.0,45.0,8.0,0.0,099,95687,51
5109994031,"James Madison district, King George County, Virginia",260.0,0.0,17.0,0.0,0.0,24.0,0.0,0.0,0.0,10.0,19.0,31.0,0.0,44.0,59.0,31.0,25.0,099,94031,51
5110196327,"West Point district, King William County, Virginia",353.0,13.0,17.0,29.0,98.0,28.0,26.0,36.0,4.0,30.0,15.0,25.0,20.0,5.0,7.0,0.0,0.0,101,96327,51
5110190016,"Acquinton district, King William County, Virginia",362.0,60.0,28.0,7.0,0.0,24.0,0.0,0.0,15.0,0.0,36.0,39.0,43.0,83.0,20.0,7.0,0.0,101,90016,51
5110194479,"Mangohick district, King William County, Virginia",224.0,3.0,11.0,82.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,8.0,67.0,23.0,0.0,0.0,0.0,101,94479,51
5110994759,"Mountain Road district, Louisa County, Virginia",305.0,28.0,82.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,40.0,71.0,68.0,0.0,0.0,0.0,0.0,109,94759,51
5110995015,"Patrick Henry district, Louisa County, Virginia",516.0,46.0,5.0,52.0,17.0,55.0,12.0,0.0,62.0,26.0,46.0,43.0,119.0,5.0,15.0,13.0,0.0,109,95015,51
5110994375,"Louisa district, Louisa County, Virginia",220.0,31.0,50.0,20.0,3.0,0.0,27.0,26.0,1.0,0.0,26.0,21.0,9.0,4.0,2.0,0.0,0.0,109,94375,51
