geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
0610993080,"Sonora CCD, Tuolumne County, California",708.0,20.0,25.0,16.0,34.0,128.0,46.0,0.0,88.0,0.0,23.0,150.0,83.0,20.0,25.0,0.0,50.0,109,93080,06
0610990835,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",287.0,0.0,19.0,0.0,16.0,13.0,0.0,4.0,0.0,83.0,0.0,15.0,118.0,7.0,0.0,12.0,0.0,109,90835,06
0607790900,"Escalon CCD, San Joaquin County, California",1105.0,28.0,121.0,13.0,82.0,47.0,82.0,101.0,23.0,54.0,43.0,112.0,83.0,115.0,102.0,48.0,51.0,077,90900,06
0607793340,"Thornton CCD, San Joaquin County, California",1099.0,74.0,9.0,23.0,92.0,11.0,19.0,37.0,23.0,0.0,151.0,62.0,130.0,110.0,97.0,240.0,21.0,077,93340,06
0607791630,"Linden-Farmington CCD, San Joaquin County, California",636.0,0.0,0.0,41.0,40.0,47.0,32.0,69.0,0.0,8.0,119.0,55.0,75.0,123.0,20.0,7.0,0.0,077,91630,06
0607791690,"Lockeford CCD, San Joaquin County, California",899.0,29.0,25.0,133.0,28.0,95.0,49.0,16.0,48.0,61.0,111.0,39.0,131.0,67.0,12.0,37.0,18.0,077,91690,06
0607791700,"Lodi CCD, San Joaquin County, California",7620.0,402.0,359.0,643.0,669.0,458.0,480.0,379.0,546.0,161.0,914.0,921.0,773.0,475.0,177.0,129.0,134.0,077,91700,06
0607793240,"Stockton CCD, San Joaquin County, California",41306.0,2671.0,3082.0,2503.0,3143.0,2632.0,2851.0,2737.0,2360.0,1952.0,3993.0,4479.0,3843.0,2497.0,1281.0,743.0,539.0,077,93240,06
0607791870,"Manteca CCD, San Joaquin County, California",9792.0,397.0,537.0,364.0,480.0,518.0,405.0,451.0,443.0,383.0,951.0,1168.0,1461.0,1080.0,488.0,396.0,270.0,077,91870,06
0607792620,"Ripon CCD, San Joaquin County, California",1021.0,20.0,37.0,38.0,70.0,69.0,81.0,90.0,13.0,65.0,59.0,62.0,88.0,97.0,15.0,151.0,66.0,077,92620,06
0607793400,"Tracy CCD, San Joaquin County, California",9554.0,478.0,246.0,242.0,338.0,319.0,276.0,375.0,369.0,249.0,895.0,1114.0,1681.0,1153.0,713.0,727.0,379.0,077,93400,06
0600593300,"Sutter Creek-Plymouth CCD, Amador County, California",206.0,0.0,8.0,0.0,26.0,22.0,8.0,0.0,16.0,3.0,38.0,9.0,62.0,1.0,2.0,2.0,9.0,005,93300,06
0600591430,"Jackson CCD, Amador County, California",167.0,5.0,0.0,11.0,25.0,19.0,8.0,0.0,0.0,0.0,3.0,37.0,28.0,10.0,0.0,15.0,6.0,005,91430,06
0600592470,"Pine Grove-Silver Lake CCD, Amador County, California",358.0,39.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,13.0,10.0,257.0,0.0,19.0,0.0,005,92470,06
0600591410,"Ione CCD, Amador County, California",299.0,5.0,30.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,66.0,78.0,25.0,4.0,0.0,005,91410,06
0604790720,"Dos Palos CCD, Merced County, California",1647.0,61.0,119.0,74.0,161.0,84.0,44.0,157.0,116.0,106.0,155.0,204.0,211.0,105.0,4.0,40.0,6.0,047,90720,06
0604792500,"Planada-Le Grand CCD, Merced County, California",1807.0,72.0,174.0,182.0,165.0,86.0,95.0,88.0,173.0,112.0,158.0,217.0,130.0,86.0,36.0,33.0,0.0,047,92500,06
