geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1500190630,"Hilo CCD, Hawaii County, Hawaii",1158.0,168.0,84.0,32.0,106.0,49.0,33.0,27.0,9.0,36.0,46.0,162.0,186.0,72.0,106.0,42.0,0.0,001,90630,15
1500193240,"South Kona CCD, Hawaii County, Hawaii",295.0,40.0,0.0,11.0,31.0,9.0,16.0,42.0,19.0,16.0,43.0,0.0,19.0,30.0,0.0,19.0,0.0,001,93240,15
1500192610,"North Kona CCD, Hawaii County, Hawaii",825.0,36.0,33.0,9.0,27.0,20.0,56.0,56.0,31.0,146.0,72.0,76.0,75.0,87.0,71.0,11.0,19.0,001,92610,15
1500190720,"Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",98.0,9.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,5.0,13.0,21.0,0.0,0.0,0.0,001,90720,15
1500192700,"Paauhau-Paauilo CCD, Hawaii County, Hawaii",72.0,5.0,0.0,23.0,23.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,8.0,001,92700,15
1500192790,"Pahoa-Kalapana CCD, Hawaii County, Hawaii",401.0,104.0,4.0,14.0,0.0,20.0,5.0,32.0,34.0,0.0,46.0,65.0,74.0,0.0,0.0,3.0,0.0,001,92790,15
1500192520,"North Kohala CCD, Hawaii County, Hawaii",181.0,0.0,10.0,18.0,0.0,0.0,0.0,2.0,26.0,14.0,0.0,19.0,71.0,7.0,14.0,0.0,0.0,001,92520,15
1500192880,"Papaikou-Wailea CCD, Hawaii County, Hawaii",172.0,30.0,43.0,22.0,1.0,18.0,13.0,4.0,10.0,0.0,7.0,19.0,0.0,4.0,0.0,0.0,1.0,001,92880,15
1500191170,"Kau CCD, Hawaii County, Hawaii",230.0,46.0,0.0,43.0,10.0,0.0,9.0,9.0,7.0,5.0,8.0,54.0,0.0,0.0,0.0,12.0,27.0,001,91170,15
1500193150,"South Kohala CCD, Hawaii County, Hawaii",382.0,32.0,0.0,18.0,13.0,0.0,0.0,0.0,4.0,23.0,69.0,62.0,80.0,81.0,0.0,0.0,0.0,001,93150,15
1500191350,"Keaau-Mountain View CCD, Hawaii County, Hawaii",1397.0,299.0,18.0,153.0,44.0,192.0,66.0,11.0,35.0,35.0,117.0,126.0,172.0,50.0,42.0,0.0,37.0,001,91350,15
1500192430,"North Hilo CCD, Hawaii County, Hawaii",44.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,001,92430,15
1500391800,"Koolaupoko CCD, Honolulu County, Hawaii",2379.0,31.0,21.0,16.0,131.0,92.0,92.0,99.0,174.0,80.0,133.0,349.0,403.0,160.0,178.0,182.0,238.0,003,91800,15
1500393420,"Wahiawa CCD, Honolulu County, Hawaii",1480.0,134.0,22.0,35.0,76.0,34.0,142.0,73.0,67.0,52.0,257.0,189.0,209.0,99.0,47.0,28.0,16.0,003,93420,15
1500390270,"Ewa CCD, Honolulu County, Hawaii",8023.0,183.0,217.0,264.0,211.0,109.0,396.0,213.0,249.0,416.0,376.0,924.0,1493.0,1031.0,795.0,627.0,519.0,003,90270,15
1500393510,"Waialua CCD, Honolulu County, Hawaii",402.0,21.0,9.0,35.0,0.0,39.0,37.0,25.0,31.0,2.0,49.0,26.0,26.0,21.0,27.0,11.0,43.0,003,93510,15
1500391710,"Koolauloa CCD, Honolulu County, Hawaii",299.0,25.0,9.0,12.0,12.0,11.0,9.0,31.0,12.0,0.0,21.0,17.0,66.0,13.0,36.0,17.0,8.0,003,91710,15
1500393600,"Waianae CCD, Honolulu County, Hawaii",1460.0,212.0,63.0,33.0,49.0,124.0,108.0,26.0,46.0,80.0,65.0,200.0,123.0,93.0,98.0,107.0,33.0,003,93600,15
1500390810,"Honolulu CCD, Honolulu County, Hawaii",7434.0,448.0,295.0,339.0,357.0,408.0,477.0,300.0,317.0,331.0,757.0,834.0,652.0,646.0,345.0,493.0,435.0,003,90810,15
1500991890,"Kula CCD, Maui County, Hawaii",264.0,0.0,0.0,12.0,0.0,0.0,25.0,0.0,26.0,0.0,3.0,2.0,31.0,49.0,8.0,80.0,28.0,009,91890,15
1500992250,"Makawao-Paia CCD, Maui County, Hawaii",616.0,54.0,12.0,33.0,2.0,68.0,11.0,9.0,0.0,59.0,6.0,97.0,149.0,80.0,0.0,20.0,16.0,009,92250,15
1500991530,"Kihei CCD, Maui County, Hawaii",752.0,17.0,12.0,11.0,13.0,0.0,8.0,56.0,61.0,69.0,91.0,57.0,192.0,43.0,40.0,33.0,49.0,009,91530,15
1500990360,"Haiku-Pauwela CCD, Maui County, Hawaii",228.0,22.0,32.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,19.0,25.0,55.0,28.0,15.0,13.0,0.0,009,90360,15
1500990450,"Hana CCD, Maui County, Hawaii",18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009,90450,15
1500993870,"Wailuku CCD, Maui County, Hawaii",636.0,119.0,0.0,5.0,12.0,20.0,34.0,11.0,3.0,28.0,98.0,71.0,129.0,40.0,16.0,38.0,12.0,009,93870,15
1500992070,"Lanai CCD, Maui County, Hawaii",37.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,009,92070,15
1500993690,"Waihee-Waikapu CCD, Maui County, Hawaii",184.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,4.0,12.0,45.0,18.0,56.0,28.0,009,93690,15
1500991980,"Lahaina CCD, Maui County, Hawaii",734.0,0.0,7.0,80.0,0.0,23.0,94.0,38.0,74.0,24.0,56.0,140.0,96.0,39.0,4.0,18.0,41.0,009,91980,15
1500993960,"West Molokai CCD, Maui County, Hawaii",24.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,009,93960,15
1500990090,"East Molokai CCD, Maui County, Hawaii",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,12.0,0.0,3.0,0.0,009,90090,15
1500990900,"Kahului CCD, Maui County, Hawaii",812.0,71.0,8.0,42.0,46.0,56.0,28.0,68.0,100.0,10.0,54.0,108.0,40.0,77.0,65.0,39.0,0.0,009,90900,15
1500993060,"Puunene CCD, Maui County, Hawaii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009,93060,15
1500993330,"Spreckelsville CCD, Maui County, Hawaii",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,009,93330,15
1500792340,"Niihau CCD, Kauai County, Hawaii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,92340,15
1500791440,"Kekaha-Waimea CCD, Kauai County, Hawaii",145.0,7.0,0.0,0.0,0.0,0.0,8.0,15.0,5.0,0.0,31.0,19.0,48.0,6.0,1.0,5.0,0.0,007,91440,15
1500792160,"Lihue CCD, Kauai County, Hawaii",144.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,55.0,0.0,52.0,0.0,0.0,0.0,0.0,007,92160,15
1500792970,"Puhi-Hanamaulu CCD, Kauai County, Hawaii",139.0,0.0,0.0,3.0,0.0,22.0,17.0,0.0,0.0,15.0,12.0,12.0,24.0,15.0,0.0,8.0,11.0,007,92970,15
1500791260,"Kaumakani-Hanapepe CCD, Kauai County, Hawaii",129.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,11.0,66.0,14.0,11.0,0.0,0.0,007,91260,15
1500790180,"Eleele-Kalaheo CCD, Kauai County, Hawaii",402.0,7.0,0.0,0.0,0.0,4.0,55.0,20.0,40.0,0.0,44.0,10.0,79.0,106.0,6.0,0.0,31.0,007,90180,15
1500791080,"Kapaa CCD, Kauai County, Hawaii",206.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,0.0,53.0,39.0,0.0,22.0,0.0,007,91080,15
1500793780,"Wailua-Anahola CCD, Kauai County, Hawaii",380.0,0.0,28.0,1.0,26.0,20.0,7.0,12.0,0.0,41.0,21.0,54.0,36.0,30.0,18.0,46.0,40.0,007,93780,15
1500790540,"Hanalei CCD, Kauai County, Hawaii",135.0,0.0,0.0,16.0,0.0,0.0,2.0,15.0,31.0,22.0,21.0,0.0,13.0,5.0,0.0,8.0,2.0,007,90540,15
1500791620,"Koloa-Poipu CCD, Kauai County, Hawaii",154.0,24.0,3.0,0.0,7.0,0.0,10.0,0.0,14.0,19.0,11.0,7.0,31.0,2.0,14.0,0.0,12.0,007,91620,15
1500590990,"Kalawao CCD, Kalawao County, Hawaii",2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005,90990,15
