geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
1604393128,"St. Anthony CCD, Fremont County, Idaho",2293.0,104.0,104.0,68.0,85.0,136.0,91.0,139.0,122.0,120.0,275.0,254.0,423.0,233.0,116.0,2.0,21.0,043,93128,16
1606593381,"Sugar City CCD, Madison County, Idaho",1386.0,7.0,49.0,48.0,47.0,85.0,54.0,93.0,96.0,126.0,98.0,151.0,199.0,192.0,39.0,38.0,64.0,065,93381,16
1607992346,"Mullan CCD, Shoshone County, Idaho",329.0,26.0,27.0,22.0,26.0,18.0,24.0,13.0,21.0,20.0,18.0,43.0,44.0,25.0,0.0,2.0,0.0,079,92346,16
1607992392,"Murray CCD, Shoshone County, Idaho",229.0,0.0,23.0,0.0,0.0,10.0,32.0,5.0,33.0,11.0,29.0,69.0,8.0,0.0,9.0,0.0,0.0,079,92392,16
1607991794,"Kellogg CCD, Shoshone County, Idaho",2872.0,248.0,157.0,196.0,308.0,196.0,204.0,149.0,136.0,199.0,255.0,283.0,282.0,118.0,31.0,50.0,60.0,079,91794,16
1607990230,"Avery-Clarkia CCD, Shoshone County, Idaho",152.0,22.0,24.0,7.0,18.0,9.0,8.0,19.0,5.0,3.0,2.0,10.0,18.0,4.0,2.0,0.0,1.0,079,90230,16
1604990644,"Cottonwood CCD, Idaho County, Idaho",641.0,15.0,47.0,12.0,50.0,21.0,34.0,57.0,31.0,67.0,52.0,117.0,94.0,8.0,15.0,17.0,4.0,049,90644,16
1604991334,"Grangeville CCD, Idaho County, Idaho",2443.0,209.0,158.0,123.0,106.0,243.0,144.0,185.0,88.0,112.0,313.0,396.0,90.0,212.0,0.0,64.0,0.0,049,91334,16
1604990897,"Elk City CCD, Idaho County, Idaho",875.0,98.0,32.0,62.0,93.0,58.0,75.0,73.0,42.0,50.0,88.0,68.0,90.0,27.0,0.0,13.0,6.0,049,90897,16
1604993013,"Riggins CCD, Idaho County, Idaho",549.0,19.0,51.0,39.0,74.0,44.0,50.0,23.0,61.0,26.0,59.0,39.0,29.0,11.0,12.0,3.0,9.0,049,93013,16
