geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
0401992040,"Marana CCD, Pima County, Arizona",12392.0,11075.0,103.0,9519.0,1453.0,1317.0,019,92040,04,9622.0,2770.0
0401990051,"Ajo CCD, Pima County, Arizona",1503.0,1026.0,23.0,894.0,109.0,477.0,019,90051,04,917.0,586.0
0401993570,"Tucson CCD, Pima County, Arizona",349216.0,313656.0,2037.0,281142.0,30477.0,35560.0,019,93570,04,283179.0,66037.0
0401990153,"Arivaca CCD, Pima County, Arizona",33475.0,29727.0,191.0,27070.0,2466.0,3748.0,019,90153,04,27261.0,6214.0
0401391377,"Gila Bend CCD, Maricopa County, Arizona",6084.0,5419.0,13.0,5021.0,385.0,665.0,013,91377,04,5034.0,1050.0
0401390561,"Chandler CCD, Maricopa County, Arizona",147741.0,141961.0,393.0,134161.0,7407.0,5780.0,013,90561,04,134554.0,13187.0
0401392601,"Phoenix CCD, Maricopa County, Arizona",1159346.0,1024976.0,4917.0,915720.0,104339.0,134370.0,013,92601,04,920637.0,238709.0
0401390867,"Deer Valley CCD, Maricopa County, Arizona",98909.0,95791.0,438.0,91656.0,3697.0,3118.0,013,90867,04,92094.0,6815.0
0401393009,"St. Johns CCD, Maricopa County, Arizona",845.0,580.0,0.0,503.0,77.0,265.0,013,93009,04,503.0,342.0
0400993111,"San Carlos CCD, Graham County, Arizona",897.0,553.0,6.0,352.0,195.0,344.0,009,93111,04,358.0,539.0
0401393774,"Wickenburg CCD, Maricopa County, Arizona",47690.0,42644.0,425.0,39387.0,2832.0,5046.0,013,93774,04,39812.0,7878.0
0401390459,"Buckeye CCD, Maricopa County, Arizona",21772.0,20402.0,129.0,18234.0,2039.0,1370.0,013,90459,04,18363.0,3409.0
0400792570,"Payson CCD, Gila County, Arizona",10430.0,8989.0,130.0,7869.0,990.0,1441.0,007,92570,04,7999.0,2431.0
0400793927,"Winkelman CCD, Gila County, Arizona",455.0,348.0,0.0,175.0,173.0,107.0,007,93927,04,175.0,280.0
0401393060,"Salt River CCD, Maricopa County, Arizona",2749.0,2126.0,22.0,1595.0,509.0,623.0,013,93060,04,1617.0,1132.0
0400791495,"Globe-Miami CCD, Gila County, Arizona",7132.0,5388.0,20.0,3409.0,1959.0,1744.0,007,91495,04,3429.0,3703.0
0400990357,"Bonita-Klondyke CCD, Graham County, Arizona",404.0,347.0,0.0,290.0,57.0,57.0,009,90357,04,290.0,114.0
0400992652,"Pima CCD, Graham County, Arizona",1393.0,1242.0,0.0,1009.0,233.0,151.0,009,92652,04,1009.0,384.0
0400992907,"Safford CCD, Graham County, Arizona",8282.0,7071.0,25.0,5964.0,1082.0,1211.0,009,92907,04,5989.0,2293.0
0402392295,"Nogales CCD, Santa Cruz County, Arizona",14165.0,11231.0,115.0,9506.0,1610.0,2934.0,023,92295,04,9621.0,4544.0
0402392550,"Patagonia CCD, Santa Cruz County, Arizona",1403.0,1185.0,10.0,938.0,237.0,218.0,023,92550,04,948.0,455.0
0400390255,"Benson CCD, Cochise County, Arizona",5266.0,4219.0,57.0,3799.0,363.0,1047.0,003,90255,04,3856.0,1410.0
0400393182,"Sierra Vista CCD, Cochise County, Arizona",19951.0,17789.0,57.0,15830.0,1902.0,2162.0,003,93182,04,15887.0,4064.0
0400393825,"Willcox CCD, Cochise County, Arizona",4040.0,3235.0,16.0,2751.0,468.0,805.0,003,93825,04,2767.0,1273.0
0400390969,"Douglas CCD, Cochise County, Arizona",5033.0,4015.0,54.0,3404.0,557.0,1018.0,003,90969,04,3458.0,1575.0
0400390306,"Bisbee CCD, Cochise County, Arizona",12684.0,11119.0,35.0,10101.0,983.0,1565.0,003,90306,04,10136.0,2548.0
0401292480,"Parker CCD, La Paz County, Arizona",8798.0,6483.0,93.0,5074.0,1316.0,2315.0,012,92480,04,5167.0,3631.0
0400391122,"Elfrida CCD, Cochise County, Arizona",1453.0,1062.0,30.0,866.0,166.0,391.0,003,91122,04,896.0,557.0
0400390408,"Bowie CCD, Cochise County, Arizona",733.0,536.0,13.0,447.0,76.0,197.0,003,90408,04,460.0,273.0
0400191275,"Fort Apache CCD, Apache County, Arizona",126.0,84.0,0.0,44.0,40.0,42.0,001,91275,04,44.0,82.0
0400190918,"Dennehotso CCD, Apache County, Arizona",388.0,97.0,0.0,62.0,35.0,291.0,001,90918,04,62.0,326.0
0400193315,"Sweetwater CCD, Apache County, Arizona",1265.0,469.0,0.0,211.0,258.0,796.0,001,93315,04,211.0,1054.0
0400190612,"Chinle CCD, Apache County, Arizona",5315.0,2420.0,14.0,1252.0,1154.0,2895.0,001,90612,04,1266.0,4049.0
0400191326,"Fort Defiance CCD, Apache County, Arizona",6152.0,2456.0,98.0,1461.0,897.0,3696.0,001,91326,04,1559.0,4593.0
0400191071,"Eagar-Springerville CCD, Apache County, Arizona",2868.0,2525.0,42.0,2235.0,248.0,343.0,001,91071,04,2277.0,591.0
0400192805,"Puerco CCD, Apache County, Arizona",672.0,359.0,29.0,121.0,209.0,313.0,001,92805,04,150.0,522.0
0400192958,"St. Johns CCD, Apache County, Arizona",2744.0,2293.0,0.0,1988.0,305.0,451.0,001,92958,04,1988.0,756.0
0400593519,"Tuba City CCD, Coconino County, Arizona",9045.0,6032.0,86.0,3894.0,2052.0,3013.0,005,93519,04,3980.0,5065.0
0400591530,"Havasupai CCD, Coconino County, Arizona",2.0,2.0,0.0,2.0,0.0,0.0,005,91530,04,2.0,0.0
0400591683,"Hualapai CCD, Coconino County, Arizona",0.0,0.0,0.0,0.0,0.0,0.0,005,91683,04,0.0,0.0
0400591581,"Hopi CCD, Coconino County, Arizona",10.0,0.0,0.0,0.0,0.0,10.0,005,91581,04,0.0,10.0
0400593876,"Williams CCD, Coconino County, Arizona",4119.0,3327.0,50.0,2668.0,609.0,792.0,005,93876,04,2718.0,1401.0
0402592754,"Prescott CCD, Yavapai County, Arizona",53335.0,47444.0,424.0,42126.0,4894.0,5891.0,025,92754,04,42550.0,10785.0
0402590765,"Congress CCD, Yavapai County, Arizona",4112.0,3424.0,49.0,2705.0,670.0,688.0,025,90765,04,2754.0,1358.0
0402592193,"Mingus Mountain CCD, Yavapai County, Arizona",16083.0,14033.0,77.0,12170.0,1786.0,2050.0,025,92193,04,12247.0,3836.0
0402793978,"Yuma CCD, Yuma County, Arizona",53564.0,44476.0,208.0,40362.0,3906.0,9088.0,027,93978,04,40570.0,12994.0
0402793672,"Wellton CCD, Yuma County, Arizona",2842.0,2327.0,30.0,2033.0,264.0,515.0,027,93672,04,2063.0,779.0
0402793264,"Somerton CCD, Yuma County, Arizona",15264.0,11223.0,331.0,9631.0,1261.0,4041.0,027,93264,04,9962.0,5302.0
0401190663,"Clifton CCD, Greenlee County, Arizona",2317.0,2096.0,0.0,1853.0,243.0,221.0,011,90663,04,1853.0,464.0
0401191020,"Duncan CCD, Greenlee County, Arizona",1047.0,872.0,0.0,691.0,181.0,175.0,011,91020,04,691.0,356.0
0402191173,"Eloy CCD, Pinal County, Arizona",9103.0,7076.0,59.0,6088.0,929.0,2027.0,021,91173,04,6147.0,2956.0
0401793213,"Snowflake CCD, Navajo County, Arizona",17672.0,15550.0,88.0,13753.0,1709.0,2122.0,017,93213,04,13841.0,3831.0
0401791632,"Hopi CCD, Navajo County, Arizona",2105.0,1016.0,92.0,576.0,348.0,1089.0,017,91632,04,668.0,1437.0
0401791785,"Indian Wells CCD, Navajo County, Arizona",1935.0,901.0,11.0,394.0,496.0,1034.0,017,91785,04,405.0,1530.0
0402191224,"Florence CCD, Pinal County, Arizona",8201.0,7241.0,41.0,6399.0,801.0,960.0,021,91224,04,6440.0,1761.0
0402192346,"North Pinal CCD, Pinal County, Arizona",60551.0,53883.0,342.0,48346.0,5195.0,6668.0,021,92346,04,48688.0,11863.0
0402190816,"Coolidge CCD, Pinal County, Arizona",5294.0,4293.0,46.0,3375.0,872.0,1001.0,021,90816,04,3421.0,1873.0
0402192091,"Maricopa-Stanfield CCD, Pinal County, Arizona",17169.0,15592.0,114.0,14329.0,1149.0,1577.0,021,92091,04,14443.0,2726.0
0402191428,"Gila River CCD, Pinal County, Arizona",2518.0,1034.0,47.0,660.0,327.0,1484.0,021,91428,04,707.0,1811.0
0402190510,"Casa Grande CCD, Pinal County, Arizona",21137.0,17903.0,56.0,15897.0,1950.0,3234.0,021,90510,04,15953.0,5184.0
0402193162,"San Manuel CCD, Pinal County, Arizona",9437.0,8346.0,8.0,7171.0,1167.0,1091.0,021,93162,04,7179.0,2258.0
0401591885,"Kingman CCD, Mohave County, Arizona",27744.0,23127.0,222.0,20429.0,2476.0,4617.0,015,91885,04,20651.0,7093.0
0402590204,"Ash Fork CCD, Yavapai County, Arizona",1062.0,831.0,0.0,599.0,232.0,231.0,025,90204,04,599.0,463.0
0401393472,"Tonto National Forest CCD, Maricopa County, Arizona",4397.0,4381.0,38.0,4081.0,262.0,16.0,013,93472,04,4119.0,278.0
0402590484,"Camp Verde-Sedona CCD, Yavapai County, Arizona",16871.0,15179.0,151.0,13615.0,1413.0,1692.0,025,90484,04,13766.0,3105.0
0400591198,"Flagstaff CCD, Coconino County, Arizona",33639.0,31610.0,94.0,28499.0,3017.0,2029.0,005,91198,04,28593.0,5046.0
0400591838,"Kaibab Plateau CCD, Coconino County, Arizona",773.0,689.0,15.0,517.0,157.0,84.0,005,91838,04,532.0,241.0
0401590470,"Bullhead City CCD, Mohave County, Arizona",27906.0,22955.0,198.0,20502.0,2255.0,4951.0,015,90470,04,20700.0,7206.0
0401592340,"North Mohave CCD, Mohave County, Arizona",2548.0,2225.0,162.0,1414.0,649.0,323.0,015,92340,04,1576.0,972.0
0401591964,"Lake Havasu City CCD, Mohave County, Arizona",25704.0,22825.0,169.0,21000.0,1656.0,2879.0,015,91964,04,21169.0,4535.0
0401791279,"Fort Apache CCD, Navajo County, Arizona",2899.0,1756.0,0.0,953.0,803.0,1143.0,017,91279,04,953.0,1946.0
0401793952,"Winslow-Holbrook CCD, Navajo County, Arizona",5162.0,4206.0,9.0,3451.0,746.0,956.0,017,93952,04,3460.0,1702.0
0401791860,"Kayenta CCD, Navajo County, Arizona",2678.0,772.0,40.0,495.0,237.0,1906.0,017,91860,04,535.0,2143.0
0400793109,"San Carlos CCD, Gila County, Arizona",1435.0,876.0,0.0,470.0,406.0,559.0,007,93109,04,470.0,965.0
0400793470,"Tonto Basin CCD, Gila County, Arizona",1615.0,1176.0,0.0,936.0,240.0,439.0,007,93470,04,936.0,679.0
0400791277,"Fort Apache CCD, Gila County, Arizona",518.0,290.0,5.0,183.0,102.0,228.0,007,91277,04,188.0,330.0
0402590840,"Cordes Lakes-Mayer CCD, Yavapai County, Arizona",2880.0,2442.0,28.0,2152.0,262.0,438.0,025,90840,04,2180.0,700.0
0401792703,"Piñon CCD, Navajo County, Arizona",1800.0,924.0,5.0,476.0,443.0,876.0,017,92703,04,481.0,1319.0
0402193377,"Tohono O'odham Nation CCD, Pinal County, Arizona",103.0,50.0,0.0,31.0,19.0,53.0,021,93377,04,31.0,72.0
0401993375,"Tohono O'odham Nation CCD, Pima County, Arizona",1944.0,1016.0,5.0,678.0,333.0,928.0,019,93375,04,683.0,1261.0
