geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
0803991190,"Elizabeth CCD, Elbert County, Colorado",8007.0,7683.0,48.0,7149.0,486.0,324.0,039,91190,08,7197.0,810.0
0803990019,"Agate CCD, Elbert County, Colorado",235.0,220.0,3.0,210.0,7.0,15.0,039,90019,08,213.0,22.0
0807191976,"Kim CCD, Las Animas County, Colorado",151.0,131.0,0.0,120.0,11.0,20.0,071,91976,08,120.0,31.0
0803993325,"Simla CCD, Elbert County, Colorado",624.0,483.0,4.0,432.0,47.0,141.0,039,93325,08,436.0,188.0
0807192508,"Model CCD, Las Animas County, Colorado",59.0,50.0,0.0,34.0,16.0,9.0,071,92508,08,34.0,25.0
0807190361,"Branson CCD, Las Animas County, Colorado",94.0,79.0,0.0,62.0,17.0,15.0,071,90361,08,62.0,32.0
0807190038,"Aguilar CCD, Las Animas County, Colorado",434.0,338.0,0.0,252.0,86.0,96.0,071,90038,08,252.0,182.0
0807193838,"Weston CCD, Las Animas County, Colorado",605.0,417.0,9.0,367.0,41.0,188.0,071,93838,08,376.0,229.0
0807193648,"Trinidad CCD, Las Animas County, Colorado",4984.0,3828.0,88.0,3237.0,503.0,1156.0,071,93648,08,3325.0,1659.0
0812593952,"Yuma CCD, Yuma County, Colorado",2228.0,1646.0,35.0,1376.0,235.0,582.0,125,93952,08,1411.0,817.0
0812593914,"Wray CCD, Yuma County, Colorado",1495.0,1272.0,14.0,1088.0,170.0,223.0,125,93914,08,1102.0,393.0
0807391824,"Hugo CCD, Lincoln County, Colorado",376.0,312.0,11.0,270.0,31.0,64.0,073,91824,08,281.0,95.0
0810793933,"Yampa CCD, Routt County, Colorado",322.0,284.0,0.0,273.0,11.0,38.0,107,93933,08,273.0,49.0
0810791729,"Hayden CCD, Routt County, Colorado",1037.0,880.0,20.0,736.0,124.0,157.0,107,91729,08,756.0,281.0
0810793496,"Steamboat Springs CCD, Routt County, Colorado",6659.0,6332.0,6.0,6085.0,241.0,327.0,107,93496,08,6091.0,568.0
0810792717,"Oak Creek CCD, Routt County, Colorado",1460.0,1338.0,7.0,1278.0,53.0,122.0,107,92717,08,1285.0,175.0
0811793287,"Silverthorne CCD, Summit County, Colorado",3717.0,3594.0,42.0,2985.0,567.0,123.0,117,93287,08,3027.0,690.0
0811790380,"Breckenridge CCD, Summit County, Colorado",5738.0,5535.0,10.0,4764.0,761.0,203.0,117,90380,08,4774.0,964.0
0807390133,"Arriba CCD, Lincoln County, Colorado",166.0,123.0,1.0,83.0,39.0,43.0,073,90133,08,84.0,82.0
0807391919,"Karval CCD, Lincoln County, Colorado",171.0,129.0,6.0,118.0,5.0,42.0,073,91919,08,124.0,47.0
0807392261,"Limon CCD, Lincoln County, Colorado",764.0,685.0,15.0,630.0,40.0,79.0,073,92261,08,645.0,119.0
0801991843,"Idaho Springs CCD, Clear Creek County, Colorado",3097.0,2994.0,65.0,2634.0,295.0,103.0,019,91843,08,2699.0,398.0
0801991463,"Georgetown CCD, Clear Creek County, Colorado",1277.0,1082.0,1.0,908.0,173.0,195.0,019,91463,08,909.0,368.0
0800392584,"Mosca-Hooper CCD, Alamosa County, Colorado",429.0,329.0,4.0,240.0,85.0,100.0,003,92584,08,244.0,185.0
0800390076,"Alamosa CCD, Alamosa County, Colorado",5620.0,4600.0,69.0,3770.0,761.0,1020.0,003,90076,08,3839.0,1781.0
0802990988,"Delta CCD, Delta County, Colorado",5279.0,4218.0,84.0,3606.0,528.0,1061.0,029,90988,08,3690.0,1589.0
0802992831,"Paonia CCD, Delta County, Colorado",1490.0,1233.0,13.0,1053.0,167.0,257.0,029,92831,08,1066.0,424.0
0802990532,"Cedaredge CCD, Delta County, Colorado",3433.0,2847.0,64.0,2424.0,359.0,586.0,029,90532,08,2488.0,945.0
0802991786,"Hotchkiss CCD, Delta County, Colorado",1917.0,1668.0,18.0,1353.0,297.0,249.0,029,91786,08,1371.0,546.0
0804390836,"Cotopaxi CCD, Fremont County, Colorado",1708.0,1398.0,5.0,1288.0,105.0,310.0,043,90836,08,1293.0,415.0
0804392888,"Penrose-Portland CCD, Fremont County, Colorado",1634.0,1481.0,19.0,1296.0,166.0,153.0,043,92888,08,1315.0,319.0
0804391311,"Florence CCD, Fremont County, Colorado",2638.0,2206.0,0.0,2004.0,202.0,432.0,043,91311,08,2004.0,634.0
0810192983,"Pueblo CCD, Pueblo County, Colorado",45707.0,37092.0,416.0,29756.0,6920.0,8615.0,101,92983,08,30172.0,15535.0
0810190722,"Colorado City-Rye CCD, Pueblo County, Colorado",1750.0,1523.0,32.0,1298.0,193.0,227.0,101,90722,08,1330.0,420.0
0810191805,"Huerfano Valley CCD, Pueblo County, Colorado",319.0,253.0,14.0,161.0,78.0,66.0,101,91805,08,175.0,144.0
0810193154,"St. Charles Mesa CCD, Pueblo County, Colorado",3245.0,2724.0,4.0,2453.0,267.0,521.0,101,93154,08,2457.0,788.0
0810193002,"Pueblo West CCD, Pueblo County, Colorado",11303.0,10761.0,162.0,9502.0,1097.0,542.0,101,93002,08,9664.0,1639.0
0810190209,"Avondale CCD, Pueblo County, Colorado",964.0,819.0,9.0,711.0,99.0,145.0,101,90209,08,720.0,244.0
0810192660,"Northeast Pueblo CCD, Pueblo County, Colorado",201.0,160.0,1.0,133.0,26.0,41.0,101,92660,08,134.0,67.0
0808592546,"Montrose CCD, Montrose County, Colorado",13216.0,11195.0,81.0,9749.0,1365.0,2021.0,085,92546,08,9830.0,3386.0
0808592698,"Nucla CCD, Montrose County, Colorado",1072.0,899.0,49.0,687.0,163.0,173.0,085,92698,08,736.0,336.0
0808592736,"Olathe CCD, Montrose County, Colorado",2663.0,1941.0,57.0,1733.0,151.0,722.0,085,92736,08,1790.0,873.0
0808793781,"Weldona CCD, Morgan County, Colorado",370.0,331.0,2.0,282.0,47.0,39.0,087,93781,08,284.0,86.0
0808790418,"Brush CCD, Morgan County, Colorado",3072.0,2499.0,29.0,2147.0,323.0,573.0,087,90418,08,2176.0,896.0
