geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
2911522438,"Enterprise township, Linn County, Missouri",68.0,53.0,0.0,50.0,3.0,15.0,115,22438,29,50.0,18.0
2911528612,"Grantsville township, Linn County, Missouri",60.0,38.0,0.0,38.0,0.0,22.0,115,28612,29,38.0,22.0
2911553300,"North Salem township, Linn County, Missouri",37.0,33.0,0.0,31.0,2.0,4.0,115,53300,29,31.0,6.0
291154726,"Benton township, Linn County, Missouri",190.0,109.0,1.0,87.0,21.0,81.0,115,4726,29,88.0,102.0
2911535864,"Jackson township, Linn County, Missouri",59.0,39.0,3.0,36.0,0.0,20.0,115,35864,29,39.0,20.0
2911556378,"Parson Creek township, Linn County, Missouri",294.0,269.0,0.0,226.0,43.0,25.0,115,56378,29,226.0,68.0
2911581304,"Yellow Creek township, Linn County, Missouri",149.0,111.0,0.0,84.0,27.0,38.0,115,81304,29,84.0,65.0
2909180116,"Willow Springs township, Howell County, Missouri",2042.0,1636.0,5.0,1380.0,251.0,406.0,091,80116,29,1385.0,657.0
290914690,"Benton township, Howell County, Missouri",751.0,592.0,0.0,477.0,115.0,159.0,091,4690,29,477.0,274.0
2909168780,"South Fork township, Howell County, Missouri",460.0,418.0,29.0,313.0,76.0,42.0,091,68780,29,342.0,118.0
2909120188,"Dry Creek township, Howell County, Missouri",649.0,454.0,0.0,355.0,99.0,195.0,091,20188,29,355.0,294.0
2909133382,"Howell township, Howell County, Missouri",8193.0,6464.0,61.0,5357.0,1046.0,1729.0,091,33382,29,5418.0,2775.0
2909168078,"Sisson township, Howell County, Missouri",600.0,469.0,10.0,365.0,94.0,131.0,091,68078,29,375.0,225.0
2909150960,"Myatt township, Howell County, Missouri",232.0,209.0,0.0,170.0,39.0,23.0,091,50960,29,170.0,62.0
2909127748,"Goldsberry township, Howell County, Missouri",1592.0,1160.0,51.0,845.0,264.0,432.0,091,27748,29,896.0,696.0
2910138936,"Kingsville township, Johnson County, Missouri",538.0,435.0,1.0,368.0,66.0,103.0,101,38936,29,369.0,169.0
2910163146,"Rose Hill township, Johnson County, Missouri",322.0,257.0,0.0,210.0,47.0,65.0,101,63146,29,210.0,112.0
2910177110,"Warrensburg township, Johnson County, Missouri",8876.0,8299.0,13.0,7485.0,801.0,577.0,101,77110,29,7498.0,1378.0
2910177524,"Washington township, Johnson County, Missouri",2765.0,2605.0,0.0,2486.0,119.0,160.0,101,77524,29,2486.0,279.0
2910135846,"Jackson township, Johnson County, Missouri",2082.0,1873.0,57.0,1613.0,203.0,209.0,101,35846,29,1670.0,412.0
2910136836,"Jefferson township, Johnson County, Missouri",204.0,167.0,6.0,125.0,36.0,37.0,101,36836,29,131.0,73.0
2910113672,"Chilhowee township, Johnson County, Missouri",447.0,417.0,17.0,334.0,66.0,30.0,101,13672,29,351.0,96.0
2910168006,"Simpson township, Johnson County, Missouri",259.0,232.0,0.0,220.0,12.0,27.0,101,68006,29,220.0,39.0
2910115724,"Columbus township, Johnson County, Missouri",264.0,235.0,0.0,201.0,34.0,29.0,101,15724,29,201.0,63.0
2910129620,"Grover township, Johnson County, Missouri",211.0,167.0,0.0,152.0,15.0,44.0,101,29620,29,152.0,59.0
2910159312,"Post Oak township, Johnson County, Missouri",821.0,734.0,9.0,618.0,107.0,87.0,101,59312,29,627.0,194.0
2910145434,"Madison township, Johnson County, Missouri",1296.0,1052.0,18.0,881.0,153.0,244.0,101,45434,29,899.0,397.0
291052494,"Auglaize township, Laclede County, Missouri",739.0,616.0,23.0,545.0,48.0,123.0,105,2494,29,568.0,171.0
2910541186,"Lebanon township, Laclede County, Missouri",7672.0,6278.0,45.0,5327.0,906.0,1394.0,105,41186,29,5372.0,2300.0
2910521556,"Eldridge township, Laclede County, Missouri",289.0,228.0,0.0,121.0,107.0,61.0,105,21556,29,121.0,168.0
2910526596,"Gasconade township, Laclede County, Missouri",337.0,222.0,5.0,202.0,15.0,115.0,105,26596,29,207.0,130.0
2910577542,"Washington township, Laclede County, Missouri",604.0,517.0,0.0,457.0,60.0,87.0,105,77542,29,457.0,147.0
2910525660,"Franklin township, Laclede County, Missouri",247.0,164.0,3.0,142.0,19.0,83.0,105,25660,29,145.0,102.0
2909113168,"Chapel township, Howell County, Missouri",211.0,123.0,0.0,123.0,0.0,88.0,091,13168,29,123.0,88.0
2909134120,"Hutton Valley township, Howell County, Missouri",454.0,416.0,11.0,328.0,77.0,38.0,091,34120,29,339.0,115.0
2909167844,"Siloam Springs township, Howell County, Missouri",179.0,128.0,0.0,106.0,22.0,51.0,091,67844,29,106.0,73.0
2909169644,"Spring Creek township, Howell County, Missouri",841.0,671.0,32.0,629.0,10.0,170.0,091,69644,29,661.0,180.0
2910131240,"Hazel Hill township, Johnson County, Missouri",550.0,517.0,0.0,480.0,37.0,33.0,101,31240,29,480.0,70.0
2910112700,"Centerview township, Johnson County, Missouri",669.0,601.0,37.0,510.0,54.0,68.0,101,12700,29,547.0,122.0
2910149700,"Montserrat township, Johnson County, Missouri",614.0,537.0,0.0,465.0,72.0,77.0,101,49700,29,465.0,149.0
