geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
3108192543,"Precinct 8, Hamilton County, Nebraska",343.0,306.0,21.0,266.0,19.0,37.0,081,92543,31,287.0,56.0
3108192523,"Precinct 6, Hamilton County, Nebraska",345.0,317.0,0.0,301.0,16.0,28.0,081,92523,31,301.0,44.0
3108192473,"Precinct 1, Hamilton County, Nebraska",124.0,105.0,0.0,105.0,0.0,19.0,081,92473,31,105.0,19.0
3108192483,"Precinct 2, Hamilton County, Nebraska",289.0,246.0,0.0,223.0,23.0,43.0,081,92483,31,223.0,66.0
3108192503,"Precinct 4, Hamilton County, Nebraska",1767.0,1568.0,24.0,1333.0,211.0,199.0,081,92503,31,1357.0,410.0
3108192533,"Precinct 7, Hamilton County, Nebraska",244.0,231.0,4.0,215.0,12.0,13.0,081,92533,31,219.0,25.0
3108192493,"Precinct 3, Hamilton County, Nebraska",298.0,249.0,2.0,236.0,11.0,49.0,081,92493,31,238.0,60.0
3109592110,"Newton precinct, Jefferson County, Nebraska",68.0,42.0,0.0,41.0,1.0,26.0,095,92110,31,41.0,27.0
3109592405,"Pleasant precinct, Jefferson County, Nebraska",173.0,143.0,7.0,127.0,9.0,30.0,095,92405,31,134.0,39.0
3109592760,"Rock Creek precinct, Jefferson County, Nebraska",78.0,66.0,0.0,66.0,0.0,12.0,095,92760,31,66.0,12.0
3100990355,"Brewster precinct, Blaine County, Nebraska",53.0,45.0,0.0,44.0,1.0,8.0,009,90355,31,44.0,9.0
3100990765,"Dunning precinct, Blaine County, Nebraska",92.0,75.0,0.0,55.0,20.0,17.0,009,90765,31,55.0,37.0
3100992690,"Purdum precinct, Blaine County, Nebraska",87.0,83.0,0.0,83.0,0.0,4.0,009,92690,31,83.0,4.0
3103790005,"Adams precinct, Colfax County, Nebraska",385.0,298.0,3.0,268.0,27.0,87.0,037,90005,31,271.0,114.0
3103792868,"Schuyler city, Colfax County, Nebraska",1821.0,1387.0,0.0,1190.0,197.0,434.0,037,92868,31,1190.0,631.0
3103791755,"Lincoln precinct, Colfax County, Nebraska",336.0,261.0,10.0,222.0,29.0,75.0,037,91755,31,232.0,104.0
3103792725,"Richland precinct, Colfax County, Nebraska",132.0,102.0,2.0,97.0,3.0,30.0,037,92725,31,99.0,33.0
3103791975,"Midland precinct, Colfax County, Nebraska",85.0,58.0,0.0,55.0,3.0,27.0,037,91975,31,55.0,30.0
3103792780,"Rogers precinct, Colfax County, Nebraska",50.0,44.0,0.0,39.0,5.0,6.0,037,92780,31,39.0,11.0
3103791920,"Maple Creek precinct, Colfax County, Nebraska",53.0,46.0,0.0,32.0,14.0,7.0,037,91920,31,32.0,21.0
310012900,"Ayr township, Adams County, Nebraska",189.0,165.0,3.0,154.0,8.0,24.0,001,2900,31,157.0,32.0
3100128385,"Little Blue township, Adams County, Nebraska",102.0,94.0,0.0,94.0,0.0,8.0,001,28385,31,94.0,8.0
3100150545,"Verona township, Adams County, Nebraska",100.0,79.0,3.0,58.0,18.0,21.0,001,50545,31,61.0,39.0
3100145470,"Silver Lake township, Adams County, Nebraska",36.0,32.0,0.0,29.0,3.0,4.0,001,45470,31,29.0,7.0
3100110810,"Cottonwood township, Adams County, Nebraska",154.0,118.0,0.0,105.0,13.0,36.0,001,10810,31,105.0,49.0
3100120855,"Hanover township, Adams County, Nebraska",54.0,39.0,0.0,39.0,0.0,15.0,001,20855,31,39.0,15.0
3100125195,"Kenesaw township, Adams County, Nebraska",416.0,367.0,19.0,296.0,52.0,49.0,001,25195,31,315.0,101.0
3100142390,"Roseland township, Adams County, Nebraska",155.0,138.0,2.0,125.0,11.0,17.0,001,42390,31,127.0,28.0
3109592730,"Richland precinct, Jefferson County, Nebraska",83.0,57.0,8.0,49.0,0.0,26.0,095,92730,31,57.0,26.0
3109590935,"Eureka precinct, Jefferson County, Nebraska",117.0,91.0,0.0,82.0,9.0,26.0,095,90935,31,82.0,35.0
3109591115,"Gibson precinct, Jefferson County, Nebraska",62.0,62.0,0.0,36.0,26.0,0.0,095,91115,31,36.0,26.0
3109590620,"Cub Creek precinct, Jefferson County, Nebraska",73.0,53.0,4.0,42.0,7.0,20.0,095,90620,31,46.0,27.0
3109590940,"Fairbury precinct, Jefferson County, Nebraska",94.0,67.0,0.0,56.0,11.0,27.0,095,90940,31,56.0,38.0
3109591540,"Jefferson precinct, Jefferson County, Nebraska",125.0,91.0,6.0,70.0,15.0,34.0,095,91540,31,76.0,49.0
3109591955,"Meridian precinct, Jefferson County, Nebraska",54.0,33.0,0.0,24.0,9.0,21.0,095,91955,31,24.0,30.0
3109593350,"Washington precinct, Jefferson County, Nebraska",39.0,29.0,0.0,29.0,0.0,10.0,095,93350,31,29.0,10.0
3109590055,"Antelope precinct, Jefferson County, Nebraska",83.0,51.0,0.0,41.0,10.0,32.0,095,90055,31,41.0,42.0
3109590915,"Endicott precinct, Jefferson County, Nebraska",89.0,73.0,0.0,62.0,11.0,16.0,095,90915,31,62.0,27.0
3109590938,"Fairbury city, Jefferson County, Nebraska",1765.0,1439.0,19.0,1292.0,128.0,326.0,095,90938,31,1311.0,454.0
3109591770,"Lincoln precinct, Jefferson County, Nebraska",16.0,16.0,0.0,8.0,8.0,0.0,095,91770,31,8.0,8.0
3109590405,"Buckley precinct, Jefferson County, Nebraska",80.0,32.0,0.0,25.0,7.0,48.0,095,90405,31,25.0,55.0
3109592450,"Plymouth precinct, Jefferson County, Nebraska",309.0,232.0,9.0,203.0,20.0,77.0,095,92450,31,212.0,97.0
3109934055,"Newark township, Kearney County, Nebraska",28.0,28.0,0.0,28.0,0.0,0.0,099,34055,31,28.0,0.0
3109927050,"Liberty township, Kearney County, Nebraska",68.0,51.0,0.0,42.0,9.0,17.0,099,27050,31,42.0,26.0
3109927295,"Lincoln township, Kearney County, Nebraska",787.0,634.0,0.0,537.0,97.0,153.0,099,27295,31,537.0,250.0
3109929610,"Lowell township, Kearney County, Nebraska",105.0,79.0,6.0,69.0,4.0,26.0,099,29610,31,75.0,30.0
3109937070,"Oneida township, Kearney County, Nebraska",245.0,212.0,0.0,181.0,31.0,33.0,099,37070,31,181.0,64.0
3109931255,"May township, Kearney County, Nebraska",52.0,40.0,0.0,28.0,12.0,12.0,099,31255,31,28.0,24.0
310995315,"Blaine township, Kearney County, Nebraska",220.0,205.0,8.0,194.0,3.0,15.0,099,5315,31,202.0,18.0
3109928840,"Logan township, Kearney County, Nebraska",101.0,101.0,0.0,77.0,24.0,0.0,099,28840,31,77.0,24.0
3109910670,"Cosmo township, Kearney County, Nebraska",24.0,12.0,0.0,7.0,5.0,12.0,099,10670,31,7.0,17.0
3109914345,"Eaton township, Kearney County, Nebraska",103.0,101.0,2.0,98.0,1.0,2.0,099,14345,31,100.0,3.0
3109944980,"Sherman township, Kearney County, Nebraska",22.0,22.0,0.0,22.0,0.0,0.0,099,44980,31,22.0,0.0
3109921625,"Hayes township, Kearney County, Nebraska",587.0,511.0,0.0,467.0,44.0,76.0,099,21625,31,467.0,120.0
3109919875,"Grant township, Kearney County, Nebraska",23.0,12.0,0.0,12.0,0.0,11.0,099,19875,31,12.0,11.0
3109932375,"Mirage township, Kearney County, Nebraska",380.0,327.0,5.0,300.0,22.0,53.0,099,32375,31,305.0,75.0
3110192218,"Ogallala city, Keith County, Nebraska",2361.0,1994.0,8.0,1842.0,144.0,367.0,101,92218,31,1850.0,511.0
3110190385,"Brule precinct, Keith County, Nebraska",423.0,369.0,5.0,339.0,25.0,54.0,101,90385,31,344.0,79.0
3110192807,"Rural Ogallala precinct, Keith County, Nebraska",313.0,296.0,0.0,274.0,22.0,17.0,101,92807,31,274.0,39.0
3110191820,"Logan precinct, Keith County, Nebraska",100.0,87.0,0.0,84.0,3.0,13.0,101,91820,31,84.0,16.0
3110191840,"Lonergan precinct, Keith County, Nebraska",204.0,187.0,0.0,159.0,28.0,17.0,101,91840,31,159.0,45.0
3110193470,"Whitetail precinct, Keith County, Nebraska",131.0,50.0,0.0,40.0,10.0,81.0,101,93470,31,40.0,91.0
3110192325,"Paxton precinct, Keith County, Nebraska",457.0,406.0,15.0,328.0,63.0,51.0,101,92325,31,343.0,114.0
3111591580,"Kent precinct, Loup County, Nebraska",94.0,75.0,0.0,65.0,10.0,19.0,115,91580,31,65.0,29.0
3111591905,"Madison Square precinct, Loup County, Nebraska",98.0,76.0,1.0,62.0,13.0,22.0,115,91905,31,63.0,35.0
3103792920,"Shell Creek precinct, Colfax County, Nebraska",85.0,85.0,0.0,80.0,5.0,0.0,037,92920,31,80.0,5.0
