geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
4506592262,"Mount Carmel CCD, McCormick County, South Carolina",1039.0,934.0,0.0,837.0,97.0,105.0,065,92262,45,837.0,202.0
4505990663,"Clinton CCD, Laurens County, South Carolina",5375.0,3949.0,41.0,3077.0,831.0,1426.0,059,90663,45,3118.0,2257.0
4505991924,"Laurens CCD, Laurens County, South Carolina",8271.0,6402.0,27.0,5099.0,1276.0,1869.0,059,91924,45,5126.0,3145.0
4505991690,"Joanna CCD, Laurens County, South Carolina",862.0,587.0,7.0,504.0,76.0,275.0,059,91690,45,511.0,351.0
4506592561,"Parksville CCD, McCormick County, South Carolina",959.0,725.0,12.0,573.0,140.0,234.0,065,92561,45,585.0,374.0
4506592119,"McCormick CCD, McCormick County, South Carolina",2079.0,1483.0,0.0,1249.0,234.0,596.0,065,92119,45,1249.0,830.0
4507790533,"Central CCD, Pickens County, South Carolina",4787.0,4210.0,20.0,3401.0,789.0,577.0,077,90533,45,3421.0,1366.0
4507790936,"Easley CCD, Pickens County, South Carolina",15281.0,12287.0,21.0,11170.0,1096.0,2994.0,077,90936,45,11191.0,4090.0
4507792639,"Pickens CCD, Pickens County, South Carolina",6005.0,4532.0,86.0,3814.0,632.0,1473.0,077,92639,45,3900.0,2105.0
4507790949,"Easley East CCD, Pickens County, South Carolina",3890.0,3357.0,37.0,2768.0,552.0,533.0,077,90949,45,2805.0,1085.0
4507793146,"Six Mile CCD, Pickens County, South Carolina",4279.0,3471.0,33.0,3003.0,435.0,808.0,077,93146,45,3036.0,1243.0
4507790650,"Clemson CCD, Pickens County, South Carolina",5983.0,5574.0,51.0,5061.0,462.0,409.0,077,90650,45,5112.0,871.0
4507791950,"Liberty CCD, Pickens County, South Carolina",4890.0,3965.0,37.0,3120.0,808.0,925.0,077,91950,45,3157.0,1733.0
4508791742,"Jonesville CCD, Union County, South Carolina",1448.0,1065.0,8.0,764.0,293.0,383.0,087,91742,45,772.0,676.0
4508790507,"Carlisle CCD, Union County, South Carolina",770.0,497.0,14.0,410.0,73.0,273.0,087,90507,45,424.0,346.0
4508790832,"Cross Keys CCD, Union County, South Carolina",502.0,363.0,0.0,281.0,82.0,139.0,087,90832,45,281.0,221.0
4508793679,"West Springs CCD, Union County, South Carolina",892.0,687.0,0.0,553.0,134.0,205.0,087,93679,45,553.0,339.0
4508791989,"Lockhart CCD, Union County, South Carolina",1066.0,781.0,6.0,584.0,191.0,285.0,087,91989,45,590.0,476.0
4508793497,"Union CCD, Union County, South Carolina",6886.0,4893.0,47.0,3928.0,918.0,1993.0,087,93497,45,3975.0,2911.0
4508991495,"Hemingway CCD, Williamsburg County, South Carolina",1798.0,1189.0,22.0,708.0,459.0,609.0,089,91495,45,730.0,1068.0
4508993458,"Trio CCD, Williamsburg County, South Carolina",923.0,642.0,30.0,482.0,130.0,281.0,089,93458,45,512.0,411.0
4508991339,"Greeleyville CCD, Williamsburg County, South Carolina",960.0,605.0,0.0,368.0,237.0,355.0,089,91339,45,368.0,592.0
4508991768,"Kingstree CCD, Williamsburg County, South Carolina",5244.0,3488.0,47.0,2410.0,1031.0,1756.0,089,91768,45,2457.0,2787.0
4508992353,"Nesmith CCD, Williamsburg County, South Carolina",1023.0,643.0,0.0,489.0,154.0,380.0,089,92353,45,489.0,534.0
4508991898,"Lane CCD, Williamsburg County, South Carolina",928.0,674.0,0.0,484.0,190.0,254.0,089,91898,45,484.0,444.0
