geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
5002111950,"Castleton town, Rutland County, Vermont",1637.0,1472.0,0.0,1341.0,131.0,165.0,021,11950,50,1341.0,296.0
5002155600,"Pittsford town, Rutland County, Vermont",1305.0,1128.0,0.0,993.0,135.0,177.0,021,55600,50,993.0,312.0
5002165275,"Shrewsbury town, Rutland County, Vermont",452.0,437.0,11.0,397.0,29.0,15.0,021,65275,50,408.0,44.0
500217750,"Brandon town, Rutland County, Vermont",1652.0,1412.0,16.0,1200.0,196.0,240.0,021,7750,50,1216.0,436.0
5002134450,"Hubbardton town, Rutland County, Vermont",246.0,182.0,6.0,163.0,13.0,64.0,021,34450,50,169.0,77.0
5002137685,"Killington town, Rutland County, Vermont",346.0,319.0,3.0,279.0,37.0,27.0,021,37685,50,282.0,64.0
5002144800,"Middletown Springs town, Rutland County, Vermont",338.0,305.0,2.0,277.0,26.0,33.0,021,44800,50,279.0,59.0
5002144125,"Mendon town, Rutland County, Vermont",465.0,419.0,0.0,384.0,35.0,46.0,021,44125,50,384.0,81.0
5002147200,"Mount Holly town, Rutland County, Vermont",557.0,506.0,1.0,452.0,53.0,51.0,021,47200,50,453.0,104.0
5002182300,"West Rutland town, Rutland County, Vermont",977.0,813.0,20.0,689.0,104.0,164.0,021,82300,50,709.0,268.0
5002157250,"Proctor town, Rutland County, Vermont",705.0,619.0,9.0,579.0,31.0,86.0,021,57250,50,588.0,117.0
5002135425,"Ira town, Rutland County, Vermont",166.0,149.0,0.0,127.0,22.0,17.0,021,35425,50,127.0,39.0
500215200,"Benson town, Rutland County, Vermont",385.0,316.0,3.0,250.0,63.0,69.0,021,5200,50,253.0,132.0
5002114500,"Clarendon town, Rutland County, Vermont",1032.0,836.0,0.0,780.0,56.0,196.0,021,14500,50,780.0,252.0
