geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",48973.0,45457.0,1037.0,165.0,162.0,18.0,150.0,10.0,628.0,203.0,172.0,38.0,10.0,0.0,7.0,7.0,3.0,15.0,139.0,83.0,133.0,7.0,7.0,0.0,466.0,56.0,122,38460,02,48371.0,602.0
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",7293.0,6762.0,257.0,32.0,25.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,76.0,37.0,16.0,45.0,0.0,0.0,20.0,8.0,261,14420,02,7162.0,131.0
0206818765,"Denali census subarea, Denali Borough, Alaska",2222.0,1883.0,43.0,0.0,17.0,0.0,10.0,0.0,33.0,72.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,10.0,98.0,20.0,0.0,0.0,11.0,1.0,068,18765,02,2105.0,117.0
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",1594.0,1388.0,39.0,2.0,5.0,0.0,13.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,119.0,13.0,261,17350,02,1571.0,23.0
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",5327.0,4879.0,50.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,31.0,32.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,153.0,1.0,13.0,0.0,0.0,17.0,115.0,122,68610,02,4991.0,336.0
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",943.0,815.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,2.0,0.0,89.0,11.0,290,46060,02,932.0,11.0
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",1214.0,1073.0,10.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,15.0,0.0,0.0,71.0,25.0,164,42780,02,1164.0,50.0
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",6390.0,4981.0,188.0,2.0,12.0,0.0,23.0,0.0,540.0,371.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,13.0,0.0,15.0,38.0,0.0,0.0,156.0,29.0,240,72030,02,5928.0,462.0
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",2964.0,2594.0,17.0,0.0,4.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,288.0,34.0,290,42080,02,2924.0,40.0
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",1117.0,848.0,5.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,191.0,50.0,290,86690,02,1067.0,50.0
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",276200.0,228659.0,8960.0,3642.0,825.0,107.0,1414.0,160.0,1542.0,767.0,1273.0,538.0,1190.0,1786.0,380.0,315.0,177.0,378.0,4259.0,4182.0,5895.0,4248.0,253.0,56.0,4110.0,1084.0,020,3050,02,258937.0,17263.0
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",3242.0,1899.0,44.0,220.0,0.0,0.0,2.0,0.0,16.0,32.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,19.0,248.0,485.0,24.0,47.0,16.0,14.0,71.0,90.0,013,1598,02,2332.0,910.0
