geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
1210190481,"Central Pasco CCD, Pasco County, Florida",131465.0,107810.0,11797.0,3981.0,1204.0,241.0,487.0,108.0,430.0,118.0,1279.0,301.0,364.0,200.0,221.0,364.0,359.0,495.0,473.0,59.0,361.0,62.0,283.0,42.0,323.0,103.0,101,90481,12,125391.0,6074.0
1204190130,"Bell CCD, Gilchrist County, Florida",5320.0,5269.0,3.0,26.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,041,90130,12,5294.0,26.0
1212191950,"Live Oak CCD, Suwannee County, Florida",17292.0,14732.0,1045.0,1019.0,100.0,0.0,80.0,12.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,129.0,12.0,0.0,0.0,8.0,83.0,39.0,20.0,0.0,121,91950,12,16078.0,1214.0
1210192860,"Port Richey CCD, Pasco County, Florida",109189.0,98180.0,4620.0,1902.0,598.0,137.0,340.0,86.0,500.0,230.0,1037.0,366.0,0.0,10.0,255.0,104.0,26.0,18.0,91.0,27.0,147.0,183.0,34.0,64.0,197.0,37.0,101,92860,12,106025.0,3164.0
1205593120,"Sebring CCD, Highlands County, Florida",40701.0,34636.0,3253.0,2278.0,47.0,63.0,126.0,29.0,28.0,28.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,15.0,52.0,29.0,9.0,24.0,0.0,055,93120,12,38238.0,2463.0
1205591846,"Lake Placid CCD, Highlands County, Florida",22490.0,17725.0,2223.0,2231.0,149.0,0.0,38.0,0.0,0.0,18.0,70.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,055,91846,12,20228.0,2262.0
1205590091,"Avon Park CCD, Highlands County, Florida",32150.0,25079.0,3409.0,2067.0,198.0,166.0,77.0,0.0,4.0,0.0,117.0,25.0,11.0,0.0,12.0,34.0,90.0,0.0,536.0,151.0,100.0,53.0,7.0,0.0,7.0,7.0,055,90091,12,29647.0,2503.0
1212190299,"Branford CCD, Suwannee County, Florida",6627.0,6124.0,250.0,204.0,16.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,121,90299,12,6423.0,204.0
1210190741,"Dade City CCD, Pasco County, Florida",14102.0,10896.0,2011.0,941.0,0.0,0.0,0.0,7.0,8.0,0.0,75.0,7.0,0.0,0.0,9.0,0.0,46.0,0.0,53.0,0.0,10.0,14.0,0.0,0.0,0.0,25.0,101,90741,12,13108.0,994.0
1210192327,"New Port Richey CCD, Pasco County, Florida",160801.0,138715.0,8581.0,3550.0,820.0,87.0,633.0,120.0,669.0,449.0,3005.0,1032.0,82.0,27.0,89.0,291.0,225.0,398.0,442.0,90.0,218.0,199.0,405.0,316.0,291.0,67.0,101,92327,12,154175.0,6626.0
