geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
3504592970,"Shiprock-Sanostee CCD, San Juan County, New Mexico",16206.0,6068.0,105.0,15.0,10.0,0.0,5.0,0.0,0.0,0.0,17.0,11.0,0.0,26.0,0.0,0.0,0.0,0.0,72.0,2.0,6.0,10.0,0.0,2.0,8941.0,916.0,045,92970,35,15224.0,982.0
3504590360,"Bloomfield CCD, San Juan County, New Mexico",15322.0,10426.0,2651.0,931.0,27.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,996.0,243.0,045,90360,35,14143.0,1179.0
3504591290,"Farmington CCD, San Juan County, New Mexico",49885.0,38342.0,3749.0,1204.0,40.0,5.0,46.0,0.0,0.0,0.0,30.0,12.0,7.0,1.0,17.0,52.0,19.0,42.0,65.0,0.0,7.0,6.0,0.0,0.0,5534.0,707.0,045,91290,35,47856.0,2029.0
3504592160,"Naschitti CCD, San Juan County, New Mexico",1789.0,545.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1066.0,155.0,045,92160,35,1633.0,156.0
3504590180,"Aztec CCD, San Juan County, New Mexico",24345.0,20362.0,1708.0,688.0,70.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,27.0,7.0,8.0,0.0,0.0,0.0,1372.0,44.0,045,90180,35,23606.0,739.0
3503792730,"San Jon CCD, Quay County, New Mexico",463.0,434.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,037,92730,35,447.0,16.0
3503793540,"Tucumcari CCD, Quay County, New Mexico",6118.0,4560.0,1195.0,316.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,037,93540,35,5800.0,318.0
3502791500,"Hondo CCD, Lincoln County, New Mexico",1214.0,844.0,275.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,91500,35,1119.0,95.0
3503791830,"Logan-Nara Visa CCD, Quay County, New Mexico",1058.0,971.0,62.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,037,91830,35,1048.0,10.0
3503791530,"House-Forrest CCD, Quay County, New Mexico",291.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,037,91530,35,291.0,0.0
3502790780,"Corona CCD, Lincoln County, New Mexico",351.0,323.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,90780,35,345.0,6.0
3502790510,"Carrizozo CCD, Lincoln County, New Mexico",1186.0,882.0,219.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,027,90510,35,1128.0,58.0
3502790450,"Capitan CCD, Lincoln County, New Mexico",2664.0,2414.0,227.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,90450,35,2641.0,23.0
3502792700,"Ruidoso CCD, Lincoln County, New Mexico",13152.0,9974.0,1820.0,1113.0,57.0,0.0,11.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,027,92700,35,11900.0,1252.0
