geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
4000193250,"Stilwell East CCD, Adair County, Oklahoma",9065.0,7863.0,254.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,5.0,0.0,0.0,620.0,114.0,001,93250,40,8781.0,284.0
4000193796,"Westville CCD, Adair County, Oklahoma",4685.0,4503.0,90.0,4.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,50.0,0.0,001,93796,40,4662.0,23.0
4000193588,"Watts CCD, Adair County, Oklahoma",2386.0,2223.0,53.0,24.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,20.0,10.0,0.0,0.0,35.0,0.0,001,93588,40,2350.0,36.0
4000193263,"Stilwell West CCD, Adair County, Oklahoma",4454.0,4022.0,57.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,2.0,7.0,0.0,0.0,259.0,57.0,001,93263,40,4355.0,99.0
4013391612,"Konawa CCD, Seminole County, Oklahoma",2576.0,2458.0,15.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.0,133,91612,40,2562.0,14.0
4013392795,"Seminole South CCD, Seminole County, Oklahoma",2095.0,1982.0,10.0,5.0,0.0,0.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,133,92795,40,2090.0,5.0
4013393835,"Wewoka CCD, Seminole County, Oklahoma",6982.0,6705.0,87.0,54.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,96.0,23.0,133,93835,40,6901.0,81.0
4013392782,"Seminole North CCD, Seminole County, Oklahoma",11915.0,11239.0,280.0,95.0,13.0,0.0,24.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,0.0,0.0,180.0,32.0,133,92782,40,11750.0,165.0
4013793432,"Velma-Alma CCD, Stephens County, Oklahoma",1779.0,1727.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,93432,40,1771.0,8.0
4013791781,"Marlow CCD, Stephens County, Oklahoma",7979.0,7789.0,103.0,48.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,14.0,0.0,137,91781,40,7928.0,51.0
4013790650,"Comanche CCD, Stephens County, Oklahoma",5668.0,5388.0,88.0,175.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,137,90650,40,5493.0,175.0
4013790780,"Duncan CCD, Stephens County, Oklahoma",26205.0,24436.0,922.0,546.0,0.0,0.0,46.0,5.0,55.0,16.0,0.0,0.0,12.0,0.0,0.0,60.0,7.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,137,90780,40,25562.0,643.0
4002591560,"Keyes CCD, Cimarron County, Oklahoma",360.0,299.0,24.0,29.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,91560,40,329.0,31.0
4002590286,"Boise City CCD, Cimarron County, Oklahoma",1720.0,1401.0,213.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,025,90286,40,1614.0,106.0
4001193575,"Watonga CCD, Blaine County, Oklahoma",4360.0,3729.0,253.0,312.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,011,93575,40,4013.0,347.0
4001190416,"Canton CCD, Blaine County, Oklahoma",1464.0,1426.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,011,90416,40,1460.0,4.0
4001191170,"Geary CCD, Blaine County, Oklahoma",1706.0,1627.0,17.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,011,91170,40,1682.0,24.0
4001192392,"Okeene CCD, Blaine County, Oklahoma",1463.0,1372.0,53.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,011,92392,40,1437.0,26.0
4001990156,"Ardmore CCD, Carter County, Oklahoma",35428.0,32551.0,1411.0,644.0,81.0,0.0,78.0,16.0,43.0,0.0,102.0,11.0,0.0,9.0,105.0,62.0,36.0,20.0,62.0,16.0,68.0,0.0,0.0,0.0,106.0,7.0,019,90156,40,34643.0,785.0
4001993861,"Wilson CCD, Carter County, Oklahoma",3091.0,3073.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,93861,40,3091.0,0.0
4001990169,"Ardmore North CCD, Carter County, Oklahoma",2503.0,2354.0,85.0,45.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,019,90169,40,2456.0,47.0
4001991287,"Healdton North CCD, Carter County, Oklahoma",1242.0,1222.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,019,91287,40,1236.0,6.0
4001991274,"Healdton Central CCD, Carter County, Oklahoma",2819.0,2766.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,91274,40,2819.0,0.0
4002993705,"West Coal CCD, Coal County, Oklahoma",1742.0,1640.0,5.0,3.0,0.0,0.0,48.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,029,93705,40,1700.0,42.0
4002990871,"East Coal CCD, Coal County, Oklahoma",3576.0,3509.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,029,90871,40,3551.0,25.0
4005391625,"Lamont CCD, Grant County, Oklahoma",613.0,597.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,053,91625,40,601.0,12.0
4005391820,"Medford CCD, Grant County, Oklahoma",1648.0,1575.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,053,91820,40,1643.0,5.0
4005393510,"Wakita CCD, Grant County, Oklahoma",442.0,436.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,053,93510,40,436.0,6.0
4005393159,"Southwest Grant CCD, Grant County, Oklahoma",1485.0,1442.0,29.0,2.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,053,93159,40,1476.0,9.0
4005592275,"Northwest Greer CCD, Greer County, Oklahoma",244.0,238.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,055,92275,40,242.0,2.0
4005591768,"Mangum CCD, Greer County, Oklahoma",3116.0,2898.0,176.0,31.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,055,91768,40,3085.0,31.0
