geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
4106991938,"Mitchell CCD, Wheeler County, Oregon",712.0,704.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,069,91938,41,711.0,1.0
4104991411,"Ione-Lexington CCD, Morrow County, Oregon",987.0,895.0,28.0,62.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,049,91411,41,923.0,64.0
4104990323,"Boardman CCD, Morrow County, Oregon",7659.0,4554.0,1497.0,1525.0,0.0,2.0,13.0,10.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,049,90323,41,6112.0,1547.0
4104991309,"Heppner CCD, Morrow County, Oregon",1687.0,1663.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,049,91309,41,1665.0,22.0
4100792839,"Seaside CCD, Clatsop County, Oregon",8423.0,7492.0,415.0,308.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,21.0,0.0,1.0,25.0,15.0,0.0,0.0,0.0,0.0,007,92839,41,8076.0,347.0
4100790153,"Astoria CCD, Clatsop County, Oregon",24504.0,22466.0,965.0,431.0,81.0,0.0,155.0,14.0,43.0,13.0,76.0,0.0,10.0,0.0,5.0,30.0,0.0,0.0,29.0,5.0,54.0,47.0,7.0,8.0,14.0,51.0,007,90153,41,23905.0,599.0
4100791598,"Knappa-Brownsmead CCD, Clatsop County, Oregon",2056.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,007,91598,41,2056.0,0.0
4100791445,"Jewell CCD, Clatsop County, Oregon",965.0,913.0,21.0,11.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,91445,41,954.0,11.0
4101192567,"Powers CCD, Coos County, Oregon",987.0,955.0,0.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011,92567,41,972.0,15.0
4101190221,"Bandon CCD, Coos County, Oregon",6234.0,5749.0,220.0,167.0,0.0,0.0,18.0,0.0,17.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,011,90221,41,6033.0,201.0
4101192074,"Myrtle Point CCD, Coos County, Oregon",4461.0,4381.0,31.0,12.0,11.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011,92074,41,4449.0,12.0
4101190629,"Coos Bay CCD, Coos County, Oregon",28930.0,27296.0,698.0,301.0,2.0,5.0,41.0,0.0,36.0,8.0,87.0,3.0,6.0,0.0,102.0,31.0,36.0,41.0,34.0,14.0,119.0,8.0,0.0,0.0,62.0,0.0,011,90629,41,28519.0,411.0
4101191003,"Eastside CCD, Coos County, Oregon",5866.0,5559.0,132.0,63.0,0.0,0.0,61.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,011,91003,41,5752.0,114.0
4101190646,"Coquille CCD, Coos County, Oregon",7796.0,7636.0,76.0,0.0,0.0,46.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,011,90646,41,7738.0,58.0
4101192159,"North Bayside CCD, Coos County, Oregon",5536.0,5171.0,79.0,88.0,0.0,0.0,183.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,011,92159,41,5445.0,91.0
4101592533,"Port Orford CCD, Curry County, Oregon",2822.0,2790.0,18.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015,92533,41,2818.0,4.0
4101590051,"Agness CCD, Curry County, Oregon",7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015,90051,41,7.0,0.0
4101590357,"Brookings CCD, Curry County, Oregon",8694.0,8141.0,206.0,14.0,41.0,0.0,82.0,0.0,48.0,14.0,45.0,61.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,015,90357,41,8605.0,89.0
4101591207,"Gold Beach CCD, Curry County, Oregon",5085.0,4897.0,26.0,53.0,11.0,0.0,20.0,0.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,015,91207,41,4982.0,103.0
4101591275,"Harbor CCD, Curry County, Oregon",4910.0,4631.0,109.0,112.0,0.0,0.0,15.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015,91275,41,4798.0,112.0
4102190612,"Condon CCD, Gilliam County, Oregon",942.0,892.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,90612,41,910.0,32.0
4102190102,"Arlington CCD, Gilliam County, Oregon",863.0,794.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,021,90102,41,857.0,6.0
4102792431,"Parkdale CCD, Hood River County, Oregon",1791.0,1203.0,223.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,92431,41,1441.0,350.0
4102792380,"Odell CCD, Hood River County, Oregon",5632.0,3131.0,881.0,1557.0,43.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,027,92380,41,4066.0,1566.0
4102790850,"Dee CCD, Hood River County, Oregon",897.0,723.0,40.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,90850,41,763.0,134.0
4102790476,"Cascade Locks CCD, Hood River County, Oregon",1207.0,1134.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,90476,41,1154.0,53.0
4102791343,"Hood River CCD, Hood River County, Oregon",11893.0,9129.0,1277.0,1181.0,64.0,0.0,28.0,0.0,29.0,87.0,0.0,0.0,6.0,0.0,48.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,91343,41,10601.0,1292.0
4103792924,"Silver Lake-Fort Rock CCD, Lake County, Oregon",1696.0,1648.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,037,92924,41,1669.0,27.0
4103793417,"Warner Valley CCD, Lake County, Oregon",274.0,271.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,037,93417,41,273.0,1.0
