geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
5002111950,"Castleton town, Rutland County, Vermont",4507.0,4288.0,78.0,2.0,73.0,9.0,0.0,9.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,021,11950,50,4469.0,38.0
5002155600,"Pittsford town, Rutland County, Vermont",2819.0,2691.0,62.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,021,55600,50,2819.0,0.0
5002165275,"Shrewsbury town, Rutland County, Vermont",1092.0,1051.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,65275,50,1082.0,10.0
500217750,"Brandon town, Rutland County, Vermont",3554.0,3474.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,021,7750,50,3540.0,14.0
5002134450,"Hubbardton town, Rutland County, Vermont",528.0,507.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,34450,50,528.0,0.0
5002137685,"Killington town, Rutland County, Vermont",704.0,587.0,49.0,0.0,18.0,4.0,14.0,9.0,4.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,021,37685,50,691.0,13.0
5002144800,"Middletown Springs town, Rutland County, Vermont",791.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,021,44800,50,791.0,0.0
5002144125,"Mendon town, Rutland County, Vermont",925.0,862.0,10.0,0.0,21.0,0.0,13.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,44125,50,921.0,4.0
5002147200,"Mount Holly town, Rutland County, Vermont",1193.0,1129.0,11.0,0.0,49.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,47200,50,1193.0,0.0
5002182300,"West Rutland town, Rutland County, Vermont",2298.0,2139.0,59.0,13.0,18.0,0.0,6.0,0.0,44.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,021,82300,50,2279.0,19.0
5002157250,"Proctor town, Rutland County, Vermont",1576.0,1507.0,22.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,021,57250,50,1576.0,0.0
5002135425,"Ira town, Rutland County, Vermont",416.0,402.0,5.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,35425,50,413.0,3.0
500215200,"Benson town, Rutland County, Vermont",1013.0,1002.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,5200,50,1013.0,0.0
5002114500,"Clarendon town, Rutland County, Vermont",2363.0,2309.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021,14500,50,2363.0,0.0
5002116825,"Danby town, Rutland County, Vermont",1362.0,1299.0,29.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,021,16825,50,1362.0,0.0
