geoid,name,total,only_english,spanish_and_english,spanish_no_english,french_and_english,french_no_english,germanic_and_english,germanic_no_english,slavic_and_english,slavic_no_english,other_indoeuropean_and_english,other_indoeuropean_no_english,korean_and_english,korean_no_english,chinese_and_english,chinese_no_english,vietnamese_and_english,vietnamese_no_english,tagalog_and_english,tagalog_no_english,other_asian_and_english,other_asian_no_english,arabic_and_english,arabic_no_english,other_and_english,other_no_english,county,county subdivision,state,total_english,total_no_english
5305790272,"Bow CCD, Skagit County, Washington",5819.0,5002.0,195.0,234.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,2.0,0.0,0.0,18.0,318.0,057,90272,53,5248.0,571.0
5305793360,"Swinomish Reservation CCD, Skagit County, Washington",2837.0,2755.0,11.0,5.0,6.0,0.0,13.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,057,93360,53,2822.0,15.0
5305792096,"Mount Vernon CCD, Skagit County, Washington",33990.0,23040.0,4898.0,4400.0,68.0,0.0,49.0,9.0,74.0,400.0,103.0,50.0,0.0,48.0,58.0,56.0,11.0,0.0,245.0,171.0,192.0,16.0,11.0,0.0,19.0,72.0,057,92096,53,28768.0,5222.0
5305790384,"Burlington CCD, Skagit County, Washington",12877.0,9166.0,1846.0,1149.0,87.0,0.0,59.0,0.0,87.0,66.0,43.0,23.0,0.0,94.0,0.0,0.0,0.0,0.0,16.0,20.0,42.0,0.0,0.0,2.0,91.0,86.0,057,90384,53,11437.0,1440.0
5305790768,"Conway CCD, Skagit County, Washington",3254.0,3029.0,135.0,23.0,4.0,5.0,18.0,0.0,2.0,0.0,18.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,057,90768,53,3213.0,41.0
5305791536,"La Conner CCD, Skagit County, Washington",3197.0,2949.0,37.0,139.0,8.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,1.0,057,91536,53,3050.0,147.0
5305791776,"Lyman-Hamilton CCD, Skagit County, Washington",2551.0,2429.0,69.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,8.0,0.0,057,91776,53,2532.0,19.0
5305792944,"Sedro-Woolley CCD, Skagit County, Washington",13137.0,12098.0,601.0,250.0,24.0,0.0,54.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,75.0,0.0,0.0,0.0,19.0,1.0,057,92944,53,12878.0,259.0
5305790608,"Clear Lake CCD, Skagit County, Washington",1712.0,1575.0,25.0,3.0,0.0,0.0,15.0,0.0,67.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,057,90608,53,1682.0,30.0
5305790064,"Anacortes CCD, Skagit County, Washington",19868.0,18930.0,254.0,128.0,53.0,22.0,82.0,14.0,44.0,14.0,40.0,6.0,26.0,44.0,41.0,16.0,0.0,5.0,24.0,24.0,66.0,14.0,0.0,0.0,17.0,4.0,057,90064,53,19577.0,291.0
5306593232,"Springdale CCD, Stevens County, Washington",5149.0,4881.0,137.0,68.0,20.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,065,93232,53,5072.0,77.0
5306590560,"Chewelah CCD, Stevens County, Washington",5454.0,5341.0,52.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,065,90560,53,5445.0,9.0
5306590688,"Colville CCD, Stevens County, Washington",10652.0,10175.0,224.0,14.0,0.0,0.0,32.0,0.0,0.0,106.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,065,90688,53,10482.0,170.0
5306593216,"Spokane Reservation CCD, Stevens County, Washington",1929.0,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,8.0,065,93216,53,1921.0,8.0
5306591680,"Loon Lake CCD, Stevens County, Washington",10208.0,9862.0,106.0,25.0,16.0,0.0,38.0,0.0,51.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,065,91680,53,10180.0,28.0
5306591472,"Kettle Falls CCD, Stevens County, Washington",6483.0,6318.0,79.0,7.0,10.0,0.0,22.0,3.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,065,91472,53,6471.0,12.0
5306393200,"Spokane CCD, Spokane County, Washington",342877.0,316578.0,5637.0,2183.0,557.0,117.0,1079.0,212.0,3093.0,3388.0,1051.0,957.0,268.0,417.0,494.0,489.0,384.0,926.0,385.0,334.0,1686.0,1129.0,421.0,264.0,452.0,376.0,063,93200,53,332085.0,10792.0
5306390880,"Deer Park CCD, Spokane County, Washington",29290.0,28029.0,322.0,96.0,76.0,0.0,86.0,10.0,224.0,160.0,81.0,15.0,0.0,0.0,25.0,12.0,0.0,0.0,32.0,0.0,70.0,28.0,0.0,0.0,12.0,12.0,063,90880,53,28957.0,333.0
5306392816,"Rockford CCD, Spokane County, Washington",2631.0,2593.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,2.0,0.0,0.0,1.0,0.0,063,92816,53,2611.0,20.0
5306393584,"Valleyford CCD, Spokane County, Washington",2916.0,2906.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,93584,53,2916.0,0.0
5306390048,"Airway Heights CCD, Spokane County, Washington",13268.0,12150.0,261.0,162.0,27.0,16.0,51.0,0.0,51.0,203.0,17.0,22.0,39.0,34.0,7.0,19.0,0.0,3.0,49.0,20.0,24.0,43.0,0.0,0.0,63.0,7.0,063,90048,53,12739.0,529.0
5306390640,"Colbert CCD, Spokane County, Washington",10329.0,9778.0,52.0,12.0,9.0,7.0,6.0,20.0,359.0,69.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,063,90640,53,10212.0,117.0
5306391616,"Liberty Lake CCD, Spokane County, Washington",16895.0,15938.0,273.0,100.0,13.0,0.0,169.0,22.0,43.0,45.0,76.0,14.0,25.0,0.0,22.0,19.0,32.0,32.0,0.0,16.0,44.0,0.0,12.0,0.0,0.0,0.0,063,91616,53,16647.0,248.0
5306392080,"Mount Spokane CCD, Spokane County, Washington",5880.0,4987.0,167.0,0.0,0.0,0.0,29.0,13.0,533.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,063,92080,53,5761.0,119.0
5304392304,"Odessa CCD, Lincoln County, Washington",2898.0,2823.0,20.0,33.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,043,92304,53,2862.0,36.0
5304393760,"Wilbur CCD, Lincoln County, Washington",2681.0,2628.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,0.0,0.0,8.0,0.0,043,93760,53,2663.0,18.0
5304390848,"Davenport CCD, Lincoln County, Washington",4274.0,4168.0,9.0,0.0,0.0,0.0,17.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,043,90848,53,4274.0,0.0
5300793712,"Wenatchee CCD, Chelan County, Washington",37831.0,28100.0,5172.0,4029.0,29.0,0.0,79.0,0.0,74.0,16.0,70.0,47.0,8.0,18.0,8.0,39.0,0.0,0.0,0.0,0.0,8.0,37.0,0.0,0.0,95.0,2.0,007,93712,53,33643.0,4188.0
5300790448,"Cashmere CCD, Chelan County, Washington",10744.0,7946.0,1615.0,859.0,0.0,0.0,42.0,0.0,8.0,0.0,58.0,15.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,0.0,0.0,59.0,3.0,007,90448,53,9857.0,887.0
5300791600,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",6263.0,5840.0,192.0,104.0,4.0,0.0,40.0,0.0,6.0,15.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,007,91600,53,6124.0,139.0
5300793280,"Stehekin CCD, Chelan County, Washington",35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,93280,53,35.0,0.0
5300992592,"Port Angeles CCD, Clallam County, Washington",29462.0,28300.0,220.0,191.0,73.0,7.0,112.0,6.0,19.0,12.0,95.0,53.0,0.0,33.0,57.0,96.0,6.0,48.0,40.0,0.0,2.0,4.0,0.0,0.0,88.0,0.0,009,92592,53,29012.0,450.0
5300991168,"Forks CCD, Clallam County, Washington",6152.0,5371.0,189.0,501.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,2.0,009,91168,53,5645.0,507.0
5300990032,"Agnew-Carlsborg CCD, Clallam County, Washington",10137.0,9917.0,85.0,61.0,0.0,0.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,009,90032,53,10052.0,85.0
5300990816,"Crescent CCD, Clallam County, Washington",3454.0,3339.0,39.0,21.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,009,90816,53,3433.0,21.0
5301591664,"Longview-Kelso CCD, Cowlitz County, Washington",60094.0,55024.0,2188.0,1332.0,63.0,0.0,83.0,37.0,23.0,9.0,300.0,202.0,0.0,17.0,64.0,78.0,54.0,107.0,129.0,19.0,91.0,133.0,0.0,0.0,41.0,100.0,015,91664,53,58060.0,2034.0
5301591440,"Kalama CCD, Cowlitz County, Washington",6144.0,5921.0,34.0,10.0,0.0,0.0,15.0,7.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,015,91440,53,6091.0,53.0
5301592864,"Rose Valley CCD, Cowlitz County, Washington",4942.0,4818.0,36.0,11.0,0.0,0.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015,92864,53,4902.0,40.0
5301593856,"Woodland CCD, Cowlitz County, Washington",9974.0,8814.0,346.0,584.0,163.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,015,93856,53,9380.0,594.0
5301590464,"Castle Rock CCD, Cowlitz County, Washington",14535.0,14099.0,159.0,82.0,0.0,0.0,56.0,29.0,0.0,0.0,37.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,13.0,0.0,0.0,015,90464,53,14375.0,160.0
5301990832,"Curlew CCD, Ferry County, Washington",1293.0,1248.0,20.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,019,90832,53,1291.0,2.0
5301990704,"Colville Reservation CCD, Ferry County, Washington",1597.0,1491.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,0.0,0.0,63.0,0.0,019,90704,53,1588.0,9.0
