geoid,name,median,male,female,county,county subdivision,state
0900163480,"Redding town, Fairfield County, Connecticut",47.1,45.8,48.1,001,63480,09
0900174190,"Stratford town, Fairfield County, Connecticut",44.1,41.7,45.7,001,74190,09
0900173070,"Stamford town, Fairfield County, Connecticut",37.0,35.6,39.2,001,73070,09
0900150580,"New Canaan town, Fairfield County, Connecticut",43.2,42.8,43.6,001,50580,09
0900150860,"New Fairfield town, Fairfield County, Connecticut",45.1,45.1,45.1,001,50860,09
0900152980,"Newtown town, Fairfield County, Connecticut",45.0,44.5,45.5,001,52980,09
0900183430,"Weston town, Fairfield County, Connecticut",45.2,44.0,46.2,001,83430,09
090010,"County subdivisions not defined, Fairfield County, Connecticut",-666666666.0,-666666666.0,-666666666.0,001,0,09
0900123890,"Easton town, Fairfield County, Connecticut",49.0,48.2,49.5,001,23890,09
0900186370,"Wilton town, Fairfield County, Connecticut",43.2,42.3,44.0,001,86370,09
090018070,"Bridgeport town, Fairfield County, Connecticut",33.8,32.0,35.5,001,8070,09
0900118850,"Darien town, Fairfield County, Connecticut",39.4,39.2,39.6,001,18850,09
0900126620,"Fairfield town, Fairfield County, Connecticut",41.2,40.1,41.9,001,26620,09
090014720,"Bethel town, Fairfield County, Connecticut",43.2,39.4,45.7,001,4720,09
0900163970,"Ridgefield town, Fairfield County, Connecticut",45.1,45.0,45.4,001,63970,09
0900168170,"Shelton town, Fairfield County, Connecticut",46.8,46.1,47.6,001,68170,09
0900183500,"Westport town, Fairfield County, Connecticut",45.2,45.3,45.0,001,83500,09
0900118500,"Danbury town, Fairfield County, Connecticut",37.6,36.0,38.7,001,18500,09
090093250,"Beacon Falls town, New Haven County, Connecticut",43.7,45.7,40.0,009,3250,09
0900982870,"West Haven town, New Haven County, Connecticut",35.1,33.1,37.1,009,82870,09
090094580,"Bethany town, New Haven County, Connecticut",47.8,48.3,46.9,009,4580,09
0900922910,"East Haven town, New Haven County, Connecticut",43.1,40.7,46.1,009,22910,09
0900934950,"Guilford town, New Haven County, Connecticut",48.3,47.3,49.3,009,34950,09
0900944560,"Madison town, New Haven County, Connecticut",48.4,47.9,49.1,009,44560,09
0900946940,"Middlebury town, New Haven County, Connecticut",47.0,46.4,47.3,009,46940,09
0900987560,"Wolcott town, New Haven County, Connecticut",45.2,42.6,47.4,009,87560,09
0900978740,"Wallingford town, New Haven County, Connecticut",46.6,44.6,48.3,009,78740,09
0900987700,"Woodbridge town, New Haven County, Connecticut",47.7,46.3,49.2,009,87700,09
090091220,"Ansonia town, New Haven County, Connecticut",39.1,36.6,41.3,009,1220,09
0900949950,"Naugatuck town, New Haven County, Connecticut",39.2,37.1,42.6,009,49950,09
0900957600,"Orange town, New Haven County, Connecticut",45.8,44.5,46.9,009,57600,09
0900958300,"Oxford town, New Haven County, Connecticut",44.8,44.1,45.6,009,58300,09
0900962290,"Prospect town, New Haven County, Connecticut",45.1,41.4,48.6,009,62290,09
090090,"County subdivisions not defined, New Haven County, Connecticut",-666666666.0,-666666666.0,-666666666.0,009,0,09
090097310,"Branford town, New Haven County, Connecticut",47.5,47.2,47.7,009,7310,09
0900919550,"Derby town, New Haven County, Connecticut",40.9,37.6,43.6,009,19550,09
0900946520,"Meriden town, New Haven County, Connecticut",42.6,42.4,42.8,009,46520,09
0900952070,"New Haven town, New Haven County, Connecticut",30.7,29.7,31.6,009,52070,09
0900969640,"Southbury town, New Haven County, Connecticut",51.6,49.4,53.1,009,69640,09
0900914160,"Cheshire town, New Haven County, Connecticut",45.8,42.7,48.6,009,14160,09
0900953890,"North Branford town, New Haven County, Connecticut",48.0,48.2,47.9,009,53890,09
0900168310,"Sherman town, Fairfield County, Connecticut",48.9,50.3,47.7,001,68310,09
0900935650,"Hamden town, New Haven County, Connecticut",37.4,36.9,37.9,009,35650,09
0900156060,"Norwalk town, Fairfield County, Connecticut",39.2,37.4,41.2,001,56060,09
090018980,"Brookfield town, Fairfield County, Connecticut",43.6,41.7,44.8,001,8980,09
0900177200,"Trumbull town, Fairfield County, Connecticut",43.5,42.5,44.7,001,77200,09
0900967610,"Seymour town, New Haven County, Connecticut",40.8,39.6,42.7,009,67610,09
0900980070,"Waterbury town, New Haven County, Connecticut",34.7,32.7,36.3,009,80070,09
0900954870,"North Haven town, New Haven County, Connecticut",45.6,45.3,46.0,009,54870,09
0900947535,"Milford town, New Haven County, Connecticut",44.8,42.2,47.4,009,47535,09
0900537280,"Harwinton town, Litchfield County, Connecticut",47.6,47.7,47.6,005,37280,09
0900549460,"Morris town, Litchfield County, Connecticut",46.7,43.2,48.4,005,49460,09
0900560750,"Plymouth town, Litchfield County, Connecticut",43.5,42.0,43.8,005,60750,09
0900567960,"Sharon town, Litchfield County, Connecticut",58.9,60.5,57.8,005,67960,09
0900575730,"Thomaston town, Litchfield County, Connecticut",44.3,40.4,46.2,005,75730,09
0900566420,"Salisbury town, Litchfield County, Connecticut",55.1,55.7,54.7,005,66420,09
0900576570,"Torrington town, Litchfield County, Connecticut",45.2,44.3,46.0,005,76570,09
0900517240,"Cornwall town, Litchfield County, Connecticut",53.3,53.7,51.4,005,17240,09
0900532290,"Goshen town, Litchfield County, Connecticut",50.9,52.9,49.1,005,32290,09
0900552630,"New Milford town, Litchfield County, Connecticut",43.7,41.1,45.3,005,52630,09
0900580490,"Watertown town, Litchfield County, Connecticut",45.3,44.3,46.0,005,80490,09
0900516050,"Colebrook town, Litchfield County, Connecticut",45.8,43.9,46.5,005,16050,09
0900587910,"Woodbury town, Litchfield County, Connecticut",48.2,46.7,49.0,005,87910,09
090058210,"Bridgewater town, Litchfield County, Connecticut",54.6,55.0,54.0,005,8210,09
0900510940,"Canaan town, Litchfield County, Connecticut",52.6,51.9,53.2,005,10940,09
090054930,"Bethlehem town, Litchfield County, Connecticut",47.7,44.7,48.8,005,4930,09
0900543370,"Litchfield town, Litchfield County, Connecticut",51.1,48.4,53.8,005,43370,09
0900579510,"Warren town, Litchfield County, Connecticut",49.5,48.1,51.3,005,79510,09
0900553470,"Norfolk town, Litchfield County, Connecticut",54.1,54.1,54.2,005,53470,09
0900554030,"North Canaan town, Litchfield County, Connecticut",46.6,46.5,46.7,005,54030,09
0900565930,"Roxbury town, Litchfield County, Connecticut",50.7,51.1,50.3,005,65930,09
0900586440,"Winchester town, Litchfield County, Connecticut",48.0,43.9,50.6,005,86440,09
0900551350,"New Hartford town, Litchfield County, Connecticut",44.8,44.6,45.5,005,51350,09
0900579720,"Washington town, Litchfield County, Connecticut",55.5,54.7,55.9,005,79720,09
090052760,"Barkhamsted town, Litchfield County, Connecticut",45.6,45.4,45.8,005,2760,09
0900312270,"Canton town, Hartford County, Connecticut",47.4,47.1,47.9,003,12270,09
0900325990,"Enfield town, Hartford County, Connecticut",41.0,38.7,44.4,003,25990,09
0900352140,"Newington town, Hartford County, Connecticut",44.9,42.3,46.8,003,52140,09
0900360120,"Plainville town, Hartford County, Connecticut",43.4,41.5,44.8,003,60120,09
0900368940,"Simsbury town, Hartford County, Connecticut",44.7,43.4,46.1,003,68940,09
