geoid,name,median,male,female,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",34.9,36.4,33.7,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",43.6,44.6,42.9,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",37.6,35.3,41.7,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",38.6,36.1,40.6,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",37.9,40.0,37.8,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",40.4,37.4,40.9,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",40.4,39.7,41.6,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",36.3,37.8,35.8,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",36.0,35.4,36.9,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",38.7,36.1,41.1,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",44.2,37.4,54.5,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",40.6,40.3,42.2,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",42.3,39.6,45.6,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",48.0,46.7,48.4,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",43.6,41.8,51.4,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",45.7,44.7,50.6,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",45.2,39.8,47.3,269,90557,13
1308590284,"Blacks Mill CCD, Dawson County, Georgia",41.3,41.0,41.5,085,90284,13
1328992215,"North Twiggs CCD, Twiggs County, Georgia",44.4,42.1,45.8,289,92215,13
1328992821,"South Twiggs CCD, Twiggs County, Georgia",51.6,51.6,51.5,289,92821,13
1308792104,"Mount Pleasant CCD, Decatur County, Georgia",49.6,50.8,49.0,087,92104,13
1318793024,"Three Sisters Mountain CCD, Lumpkin County, Georgia",45.3,44.4,45.6,187,93024,13
1316592019,"Millen CCD, Jenkins County, Georgia",43.9,38.4,46.8,165,92019,13
1316592806,"South Jenkins CCD, Jenkins County, Georgia",34.7,31.2,38.3,165,92806,13
1329392671,"Salem CCD, Upson County, Georgia",46.8,43.5,49.4,293,92671,13
1327990591,"Cedar Crossing CCD, Toombs County, Georgia",47.5,48.4,47.3,279,90591,13
1318192807,"South Lincoln CCD, Lincoln County, Georgia",51.8,52.6,50.7,181,92807,13
1322190814,"Crawford CCD, Oglethorpe County, Georgia",42.5,41.8,44.0,221,90814,13
1302191891,"Macon East CCD, Bibb County, Georgia",34.4,33.2,36.0,021,91891,13
1325593180,"Vaughn CCD, Spalding County, Georgia",45.7,43.9,47.8,255,93180,13
1302191892,"Macon West CCD, Bibb County, Georgia",34.2,32.0,35.7,021,91892,13
1325593071,"Towalaga CCD, Spalding County, Georgia",47.8,45.9,49.4,255,93071,13
1325590942,"Digbey CCD, Spalding County, Georgia",46.4,53.5,44.7,255,90942,13
1316991351,"Gray-Macon East CCD, Jones County, Georgia",40.2,38.7,41.6,169,91351,13
1303593438,"Worthville CCD, Butts County, Georgia",41.5,41.0,41.5,035,93438,13
1303592822,"Southwest Butts CCD, Butts County, Georgia",37.8,34.8,50.7,035,92822,13
1327791052,"Eldorado CCD, Tift County, Georgia",47.2,45.3,47.8,277,91052,13
1300992015,"Milledgeville CCD, Baldwin County, Georgia",33.1,32.5,33.7,009,92015,13
1325791934,"Martin-Avalon CCD, Stephens County, Georgia",46.6,48.8,44.8,257,91934,13
1308393084,"Trenton CCD, Dade County, Georgia",43.6,40.8,46.0,083,93084,13
1307391383,"Grovetown-Harlem CCD, Columbia County, Georgia",32.4,31.4,32.8,073,91383,13
1300990992,"East Baldwin CCD, Baldwin County, Georgia",39.1,40.7,35.8,009,90992,13
1329591810,"Lookout Mountain CCD, Walker County, Georgia",44.0,44.7,43.1,295,91810,13
1312392805,"South Gilmer CCD, Gilmer County, Georgia",48.6,48.3,48.7,123,92805,13
1312392206,"North Gilmer CCD, Gilmer County, Georgia",51.9,51.9,51.9,123,92206,13
1321792810,"South Newton CCD, Newton County, Georgia",35.4,38.9,31.7,217,92810,13
1313590469,"Buford-Sugar Hill CCD, Gwinnett County, Georgia",36.0,34.3,37.3,135,90469,13
1310590719,"Coldwater CCD, Elbert County, Georgia",44.6,41.5,46.1,105,90719,13
1305192393,"Pooler-Bloomingdale CCD, Chatham County, Georgia",34.7,32.0,36.5,051,92393,13
1305193127,"Tybee Island-Wilmington Island CCD, Chatham County, Georgia",43.4,41.8,45.2,051,93127,13
1317391010,"East Lanier CCD, Lanier County, Georgia",45.2,45.3,45.2,173,91010,13
1300190273,"Big Satilla Creek CCD, Appling County, Georgia",38.1,43.8,34.6,001,90273,13
1300192905,"Surrency-Troper CCD, Appling County, Georgia",44.8,40.0,46.3,001,92905,13
1324192103,"Mountain City CCD, Rabun County, Georgia",49.7,48.2,49.9,241,92103,13
1302392198,"Northeast Bleckley CCD, Bleckley County, Georgia",58.7,49.8,64.6,023,92198,13
1311392331,"Peachtree City-Tyrone CCD, Fayette County, Georgia",41.5,40.9,42.1,113,92331,13
1312791599,"Jekyll Island CCD, Glynn County, Georgia",70.0,68.6,73.0,127,91599,13
1321591213,"Fort Benning CCD, Muscogee County, Georgia",20.5,20.4,22.2,215,91213,13
1329392902,"Sunset Village CCD, Upson County, Georgia",47.6,42.0,50.2,293,92902,13
1321590753,"Columbus West CCD, Muscogee County, Georgia",34.4,32.9,35.9,215,90753,13
1321590751,"Columbus East CCD, Muscogee County, Georgia",34.5,33.1,36.1,215,90751,13
