geoid,name,median,male,female,county,county subdivision,state
1711571357,"South Wheatland township, Macon County, Illinois",49.0,43.4,53.8,115,71357,17
1711518836,"Decatur township, Macon County, Illinois",37.4,35.0,39.6,115,18836,17
1711560677,"Pleasant View township, Macon County, Illinois",33.1,35.4,32.3,115,60677,17
1711544511,"Long Creek township, Macon County, Illinois",49.1,46.5,51.8,115,44511,17
1711551219,"Mount Zion township, Macon County, Illinois",42.3,42.6,41.5,115,51219,17
171153051,"Austin township, Macon County, Illinois",39.7,39.9,38.7,115,3051,17
1711537023,"Illini township, Macon County, Illinois",34.3,37.5,33.2,115,37023,17
1713791962,"Lynnville precinct, Morgan County, Illinois",55.2,39.7,60.0,137,91962,17
1711547085,"Maroa township, Macon County, Illinois",43.8,42.6,46.5,115,47085,17
171156769,"Blue Mound township, Macon County, Illinois",47.0,46.6,47.1,115,6769,17
1711534527,"Hickory Point township, Macon County, Illinois",40.6,38.9,42.3,115,34527,17
1711552974,"Niantic township, Macon County, Illinois",47.4,46.4,47.9,115,52974,17
1711554859,"Oakley township, Macon County, Illinois",59.3,60.3,57.5,115,54859,17
1713791712,"Jacksonville No. 2 precinct, Morgan County, Illinois",37.7,31.7,47.3,137,91712,17
1713791719,"Jacksonville No. 9 precinct, Morgan County, Illinois",54.0,54.8,52.7,137,91719,17
1713792268,"Nortonville precinct, Morgan County, Illinois",49.0,44.1,53.8,137,92268,17
1713792034,"Markham precinct, Morgan County, Illinois",36.1,34.7,36.2,137,92034,17
1713791715,"Jacksonville No. 5 precinct, Morgan County, Illinois",30.0,29.9,34.1,137,91715,17
1713791716,"Jacksonville No. 6 precinct, Morgan County, Illinois",37.4,37.5,37.1,137,91716,17
170671621,"Appanoose township, Hancock County, Illinois",57.2,42.5,59.5,067,1621,17
1706732993,"Harmony township, Hancock County, Illinois",47.5,46.2,50.2,067,32993,17
1706764876,"Rock Creek township, Hancock County, Illinois",54.4,51.2,55.5,067,64876,17
1706770499,"Sonora township, Hancock County, Illinois",48.4,38.8,52.8,067,70499,17
1706778422,"Walker township, Hancock County, Illinois",50.7,50.1,51.8,067,78422,17
1706714104,"Chili township, Hancock County, Illinois",38.9,38.3,42.3,067,14104,17
1711915612,"Collinsville township, Madison County, Illinois",39.8,39.0,40.7,119,15612,17
1706767054,"St. Mary township, Hancock County, Illinois",52.8,50.6,55.2,067,67054,17
1706718433,"Dallas City township, Hancock County, Illinois",50.1,54.3,46.5,067,18433,17
171191127,"Alton township, Madison County, Illinois",38.0,35.5,40.4,119,1127,17
1706781607,"Wilcox township, Hancock County, Illinois",57.4,55.5,57.6,067,81607,17
1711966872,"St. Jacob township, Madison County, Illinois",35.2,36.3,32.8,119,66872,17
1711983284,"Wood River township, Madison County, Illinois",39.6,38.2,41.5,119,83284,17
1711946877,"Marine township, Madison County, Illinois",43.2,41.2,44.9,119,46877,17
1711956068,"Omphghent township, Madison County, Illinois",42.4,44.7,41.5,119,56068,17
1711977486,"Venice township, Madison County, Illinois",37.9,32.9,43.5,119,77486,17
1711914260,"Chouteau township, Madison County, Illinois",41.8,42.7,41.2,119,14260,17
1711938245,"Jarvis township, Madison County, Illinois",36.5,36.5,36.6,119,38245,17
1711951583,"Nameoki township, Madison County, Illinois",39.8,39.0,41.7,119,51583,17
1711930939,"Granite City township, Madison County, Illinois",41.9,37.6,46.1,119,30939,17
1711933981,"Helvetia township, Madison County, Illinois",38.2,35.8,40.5,119,33981,17
1711927182,"Foster township, Madison County, Illinois",47.5,47.1,48.1,119,27182,17
1711950465,"Moro township, Madison County, Illinois",44.4,43.9,44.7,119,50465,17
1711960014,"Pin Oak township, Madison County, Illinois",45.0,44.6,45.5,119,60014,17
1711932421,"Hamel township, Madison County, Illinois",41.8,39.9,42.6,119,32421,17
1711922710,"Edwardsville township, Madison County, Illinois",34.0,33.7,34.3,119,22710,17
1711952428,"New Douglas township, Madison County, Illinois",43.5,43.8,42.9,119,52428,17
1711967275,"Saline township, Madison County, Illinois",46.0,42.0,48.6,119,67275,17
1711942652,"Leef township, Madison County, Illinois",41.0,41.2,40.1,119,42652,17
1711955834,"Olive township, Madison County, Illinois",43.4,42.4,43.9,119,55834,17
1711927130,"Fort Russell township, Madison County, Illinois",43.2,43.2,43.3,119,27130,17
1711930107,"Godfrey township, Madison County, Illinois",45.8,43.0,48.4,119,30107,17
1706325778,"Felix township, Grundy County, Illinois",35.1,33.4,37.5,063,25778,17
1706330432,"Goodfarm township, Grundy County, Illinois",44.1,43.8,44.7,063,30432,17
1706347800,"Mazon township, Grundy County, Illinois",35.3,32.2,37.1,063,47800,17
17119750,"Alhambra township, Madison County, Illinois",39.9,41.4,39.5,119,750,17
1706330549,"Goose Lake township, Grundy County, Illinois",56.3,53.6,58.4,063,30549,17
1706377850,"Vienna township, Grundy County, Illinois",40.4,41.3,37.6,063,77850,17
1706324400,"Erienna township, Grundy County, Illinois",57.4,58.5,56.8,063,24400,17
1706328677,"Garfield township, Grundy County, Illinois",40.8,38.9,42.5,063,28677,17
1706331381,"Greenfield township, Grundy County, Illinois",44.8,43.9,47.5,063,31381,17
1706353286,"Norman township, Grundy County, Illinois",41.1,41.6,40.6,063,53286,17
1706334657,"Highland township, Grundy County, Illinois",54.9,55.8,54.4,063,34657,17
1706367678,"Saratoga township, Grundy County, Illinois",39.8,39.8,39.8,063,67678,17
1706379345,"Wauponsee township, Grundy County, Illinois",45.9,45.6,45.9,063,79345,17
1706352038,"Nettle Creek township, Grundy County, Illinois",33.9,31.8,35.2,063,52038,17
170637653,"Braceville township, Grundy County, Illinois",34.7,34.5,34.9,063,7653,17
170633090,"Aux Sable township, Grundy County, Illinois",33.1,34.0,32.7,063,3090,17
1706350504,"Morris township, Grundy County, Illinois",36.0,34.6,41.8,063,50504,17
1709167262,"Salina township, Kankakee County, Illinois",51.4,53.2,50.1,091,67262,17
1709149906,"Momence township, Kankakee County, Illinois",43.8,42.8,44.9,091,49906,17
1709166651,"St. Anne township, Kankakee County, Illinois",40.6,36.3,43.9,091,66651,17
1709165195,"Rockville township, Kankakee County, Illinois",45.3,45.2,45.3,091,65195,17
1709143497,"Limestone township, Kankakee County, Illinois",45.8,44.4,46.3,091,43497,17
1709157017,"Otto township, Kankakee County, Illinois",39.4,37.8,44.7,091,57017,17
1709173690,"Sumner township, Kankakee County, Illinois",46.7,38.9,49.2,091,73690,17
170917484,"Bourbonnais township, Kankakee County, Illinois",33.9,32.3,35.3,091,7484,17
1709124465,"Essex township, Kankakee County, Illinois",41.7,40.6,43.4,091,24465,17
1709146513,"Manteno township, Kankakee County, Illinois",42.8,42.7,42.8,091,46513,17
1709128456,"Ganeer township, Kankakee County, Illinois",38.9,38.1,40.7,091,28456,17
1709138947,"Kankakee township, Kankakee County, Illinois",35.2,35.1,35.2,091,38947,17
1709154352,"Norton township, Kankakee County, Illinois",36.3,35.2,36.9,091,54352,17
1709158538,"Pembroke township, Kankakee County, Illinois",37.1,30.2,42.5,091,58538,17
170912245,"Aroma township, Kankakee County, Illinois",48.4,49.1,48.0,091,2245,17
17131126,"Abington township, Mercer County, Illinois",46.3,37.6,47.0,131,126,17
1713153806,"North Henderson township, Mercer County, Illinois",54.4,57.6,50.9,131,53806,17
1713163628,"Richland Grove township, Mercer County, Illinois",44.8,46.3,43.7,131,63628,17
1713159182,"Perryton township, Mercer County, Illinois",42.2,38.4,42.9,131,59182,17
1713131342,"Greene township, Mercer County, Illinois",48.4,44.7,51.0,131,31342,17
1713152233,"New Boston township, Mercer County, Illinois",52.8,55.4,50.9,131,52233,17
1713173339,"Suez township, Mercer County, Illinois",43.5,37.6,44.4,131,73339,17
1713155405,"Ohio Grove township, Mercer County, Illinois",43.4,46.3,43.1,131,55405,17
1713161795,"Preemption township, Mercer County, Illinois",40.2,40.7,39.8,131,61795,17
1713164551,"Rivoli township, Mercer County, Illinois",35.7,31.7,36.9,131,64551,17
1713123152,"Eliza township, Mercer County, Illinois",30.1,30.7,26.8,131,23152,17
1713148398,"Mercer township, Mercer County, Illinois",48.6,45.9,49.6,131,48398,17
1713139311,"Keithsburg township, Mercer County, Illinois",48.4,47.3,48.9,131,39311,17
1704343952,"Lisle township, DuPage County, Illinois",39.5,37.7,41.2,043,43952,17
1713149256,"Millersburg township, Mercer County, Illinois",47.9,47.7,49.5,131,49256,17
1713120968,"Duncan township, Mercer County, Illinois",31.5,31.9,30.8,131,20968,17
1706346175,"Maine township, Grundy County, Illinois",49.3,45.6,49.6,063,46175,17
1709159819,"Pilot township, Kankakee County, Illinois",40.3,37.6,47.4,091,59819,17
1709183856,"Yellowhead township, Kankakee County, Illinois",44.1,44.5,42.8,091,83856,17
1704349451,"Milton township, DuPage County, Illinois",38.5,37.1,40.1,043,49451,17
1704382413,"Winfield township, DuPage County, Illinois",36.0,35.2,36.9,043,82413,17
1704383947,"York township, DuPage County, Illinois",40.7,38.6,43.1,043,83947,17
1704314000,"Chicago city, DuPage County, Illinois",-666666666.0,-666666666.0,-666666666.0,043,14000,17
1704320604,"Downers Grove township, DuPage County, Illinois",43.0,41.2,44.4,043,20604,17
1704351635,"Naperville township, DuPage County, Illinois",35.9,35.4,36.5,043,51635,17
1716714858,"Clear Lake township, Sangamon County, Illinois",41.5,41.9,41.2,167,14858,17
1716716574,"Cotton Hill township, Sangamon County, Illinois",48.6,48.5,48.6,167,16574,17
1716747618,"Maxwell township, Sangamon County, Illinois",62.2,62.1,63.6,167,47618,17
1716711579,"Cartwright township, Sangamon County, Illinois",40.2,37.6,43.3,167,11579,17
1716712697,"Chatham township, Sangamon County, Illinois",36.4,37.8,35.3,167,12697,17
1716737881,"Island Grove township, Sangamon County, Illinois",46.9,46.1,50.1,167,37881,17
17043250,"Addison township, DuPage County, Illinois",38.2,37.4,39.1,043,250,17
170436600,"Bloomingdale township, DuPage County, Illinois",38.1,37.0,39.0,043,6600,17
1704379410,"Wayne township, DuPage County, Illinois",39.4,37.8,40.6,043,79410,17
1716748034,"Mechanicsburg township, Sangamon County, Illinois",45.2,45.4,44.5,167,48034,17
1716728651,"Gardner township, Sangamon County, Illinois",45.6,46.8,44.3,167,28651,17
1716752181,"New Berlin township, Sangamon County, Illinois",35.1,30.8,36.7,167,52181,17
1716718160,"Curran township, Sangamon County, Illinois",50.7,38.9,56.3,167,18160,17
171672928,"Auburn township, Sangamon County, Illinois",37.8,35.1,38.5,167,2928,17
171679486,"Buffalo Hart township, Sangamon County, Illinois",55.3,55.1,59.7,167,9486,17
1716720058,"Divernon township, Sangamon County, Illinois",46.7,44.8,49.0,167,20058,17
1716741976,"Lanesville township, Sangamon County, Illinois",39.3,39.6,37.7,167,41976,17
1716772013,"Springfield township, Sangamon County, Illinois",35.8,32.2,38.2,167,72013,17
1716783310,"Woodside township, Sangamon County, Illinois",45.1,43.7,46.6,167,83310,17
1716711046,"Capital township, Sangamon County, Illinois",38.9,36.4,41.0,167,11046,17
1716725323,"Fancy Creek township, Sangamon County, Illinois",47.9,45.7,49.3,167,25323,17
1716737140,"Illiopolis township, Sangamon County, Illinois",38.9,38.8,40.0,167,37140,17
1716781776,"Williams township, Sangamon County, Illinois",37.6,32.5,41.3,167,81776,17
1716716223,"Cooper township, Sangamon County, Illinois",49.5,49.8,49.3,167,16223,17
1716744186,"Loami township, Sangamon County, Illinois",37.7,35.6,42.6,167,44186,17
1716758187,"Pawnee township, Sangamon County, Illinois",37.0,34.4,38.9,167,58187,17
171673506,"Ball township, Sangamon County, Illinois",37.3,36.7,37.9,167,3506,17
1716764772,"Rochester township, Sangamon County, Illinois",43.4,42.8,44.0,167,64772,17
1716774340,"Talkington township, Sangamon County, Illinois",55.1,48.5,55.1,167,74340,17
1707516041,"Concord township, Iroquois County, Illinois",46.5,45.8,48.0,075,16041,17
1707563901,"Ridgeland township, Iroquois County, Illinois",44.1,44.3,44.0,075,63901,17
1707537725,"Iroquois township, Iroquois County, Illinois",46.2,46.3,46.2,075,37725,17
170752492,"Ashkum township, Iroquois County, Illinois",41.9,38.4,46.3,075,2492,17
1707572773,"Stockland township, Iroquois County, Illinois",59.3,65.0,57.4,075,72773,17
1707561665,"Prairie Green township, Iroquois County, Illinois",49.2,53.5,46.6,075,61665,17
1707548814,"Middleport township, Iroquois County, Illinois",50.5,50.6,50.4,075,48814,17
1702147631,"May township, Christian County, Illinois",47.2,45.5,51.5,021,47631,17
1718191792,"Jonesboro District 3 precinct, Union County, Illinois",47.8,47.3,50.3,181,91792,17
1718190990,"Dongola District 2 precinct, Union County, Illinois",36.4,39.3,36.3,181,90990,17
1718191764,"Jonesboro District 1 precinct, Union County, Illinois",37.9,37.3,39.1,181,91764,17
1718191782,"Jonesboro District 2 precinct, Union County, Illinois",47.7,43.2,49.9,181,91782,17
1718193484,"Union precinct, Union County, Illinois",48.6,45.4,50.7,181,93484,17
1713793210,"South Jacksonville No. 3 precinct, Morgan County, Illinois",52.2,48.8,52.3,137,93210,17
1713793212,"South Jacksonville No. 4 precinct, Morgan County, Illinois",52.1,52.5,48.8,137,93212,17
1719990432,"Blairsville precinct, Williamson County, Illinois",42.1,41.6,43.1,199,90432,17
