geoid,name,median,male,female,county,county subdivision,state
2011962925,"Sand Creek township, Meade County, Kansas",54.7,53.0,55.5,119,62925,20
2012514600,"Coffeyville city, Montgomery County, Kansas",36.0,35.2,37.1,125,14600,20
2011945350,"Meade Center township, Meade County, Kansas",42.8,40.4,45.6,119,45350,20
2011952075,"Odee township, Meade County, Kansas",59.8,65.3,55.8,119,52075,20
2012561925,"Rutland township, Montgomery County, Kansas",59.3,61.1,58.8,125,61925,20
2011924200,"Fowler township, Meade County, Kansas",41.0,33.2,46.2,119,24200,20
2012518700,"Drum Creek township, Montgomery County, Kansas",36.9,37.3,36.4,125,18700,20
2012540275,"Liberty township, Montgomery County, Kansas",54.9,55.1,54.8,125,40275,20
2012569750,"Sycamore township, Montgomery County, Kansas",44.8,50.6,39.1,125,69750,20
2011942000,"Logan township, Meade County, Kansas",54.9,56.8,51.9,119,42000,20
2011946025,"Mertilla township, Meade County, Kansas",25.1,15.5,32.4,119,46025,20
2011916450,"Crooked Creek township, Meade County, Kansas",57.3,60.1,50.3,119,16450,20
2012512850,"Cherokee township, Montgomery County, Kansas",64.1,66.0,59.1,125,12850,20
2012512925,"Cherryvale city, Montgomery County, Kansas",38.8,35.9,41.2,125,12925,20
2012533875,"Independence city, Montgomery County, Kansas",36.9,32.2,42.7,125,33875,20
2012510375,"Caney city, Montgomery County, Kansas",40.1,36.9,43.1,125,10375,20
2012533900,"Independence township, Montgomery County, Kansas",37.8,35.0,42.5,125,33900,20
2012554525,"Parker township, Montgomery County, Kansas",47.9,48.8,47.2,125,54525,20
2012523325,"Fawn Creek township, Montgomery County, Kansas",47.7,47.9,47.5,125,23325,20
2012542900,"Louisburg township, Montgomery County, Kansas",41.9,44.8,37.0,125,42900,20
2012576825,"West Cherry township, Montgomery County, Kansas",46.5,49.4,39.9,125,76825,20
2015728050,"Grant township, Republic County, Kansas",48.3,57.5,21.7,157,28050,20
2015740325,"Liberty township, Republic County, Kansas",62.4,-666666666.0,-666666666.0,157,40325,20
2015772300,"Union township, Republic County, Kansas",-666666666.0,-666666666.0,-666666666.0,157,72300,20
2015741075,"Lincoln township, Republic County, Kansas",55.2,55.6,54.6,157,41075,20
2015751575,"Norway township, Republic County, Kansas",53.6,53.6,47.8,157,51575,20
2015761200,"Rose Creek township, Republic County, Kansas",61.5,57.5,64.3,157,61200,20
2015720275,"Elk Creek township, Republic County, Kansas",75.6,76.2,75.4,157,20275,20
201575150,"Beaver township, Republic County, Kansas",43.2,36.7,43.9,157,5150,20
200658850,"Bryant township, Graham County, Kansas",-666666666.0,-666666666.0,-666666666.0,065,8850,20
2006532200,"Hill City township, Graham County, Kansas",51.4,47.4,54.4,065,32200,20
2006534000,"Indiana township, Graham County, Kansas",-666666666.0,-666666666.0,-666666666.0,065,34000,20
2006529950,"Happy township, Graham County, Kansas",-666666666.0,-666666666.0,-666666666.0,065,29950,20
200651325,"Allodium township, Graham County, Kansas",-666666666.0,-666666666.0,-666666666.0,065,1325,20
2006527175,"Graham township, Graham County, Kansas",59.3,66.0,-666666666.0,065,27175,20
2006548250,"Morlan township, Graham County, Kansas",33.7,32.9,44.5,065,48250,20
2006566300,"Solomon township, Graham County, Kansas",55.7,51.8,55.8,065,66300,20
2001561125,"Rosalia township, Butler County, Kansas",39.0,37.4,41.5,015,61125,20
2001541775,"Logan township, Butler County, Kansas",58.1,58.1,57.0,015,41775,20
2001522450,"Fairview township, Butler County, Kansas",45.7,35.4,60.1,015,22450,20
2001546875,"Milton township, Butler County, Kansas",38.5,34.2,45.4,015,46875,20
2001572050,"Union township, Butler County, Kansas",44.3,55.1,39.9,015,72050,20
2001518425,"Douglass township, Butler County, Kansas",37.1,35.8,38.1,015,18425,20
2001520075,"El Dorado city, Butler County, Kansas",35.9,34.3,37.2,015,20075,20
2001556850,"Plum Grove township, Butler County, Kansas",28.3,30.1,27.7,015,56850,20
2001567275,"Spring township, Butler County, Kansas",52.8,50.9,54.5,015,67275,20
2001571150,"Towanda township, Butler County, Kansas",35.9,27.2,40.7,015,71150,20
2001513575,"Clay township, Butler County, Kansas",70.1,66.0,70.4,015,13575,20
2001512750,"Chelsea township, Butler County, Kansas",49.3,49.4,48.0,015,12750,20
2001526400,"Glencoe township, Butler County, Kansas",41.8,41.0,45.8,015,26400,20
2001556200,"Pleasant township, Butler County, Kansas",40.2,39.9,42.3,015,56200,20
2001514175,"Clifford township, Butler County, Kansas",26.3,21.4,31.6,015,14175,20
2001522275,"Fairmount township, Butler County, Kansas",39.0,44.5,37.3,015,22275,20
