geoid,name,median,male,female,county,county subdivision,state
2103990968,"Cunningham CCD, Carlisle County, Kentucky",34.5,33.9,37.1,039,90968,21
2104192840,"Prestonville CCD, Carroll County, Kentucky",43.0,41.8,44.5,041,92840,21
2103990080,"Arlington CCD, Carlisle County, Kentucky",45.2,44.3,46.9,039,90080,21
2104190608,"Carrollton CCD, Carroll County, Kentucky",36.2,36.0,36.6,041,90608,21
2121991928,"Kirkmansville CCD, Todd County, Kentucky",42.5,45.4,37.7,219,91928,21
2103990160,"Bardwell CCD, Carlisle County, Kentucky",48.2,49.3,46.8,039,90160,21
2106592888,"Ravenna CCD, Estill County, Kentucky",46.0,45.6,46.3,065,92888,21
2105390032,"Albany CCD, Clinton County, Kentucky",44.8,44.1,45.5,053,90032,21
2105390944,"Cumberland City CCD, Clinton County, Kentucky",38.5,38.6,38.5,053,90944,21
2106591816,"Irvine CCD, Estill County, Kentucky",42.5,38.6,45.7,065,91816,21
2107793616,"Warsaw CCD, Gallatin County, Kentucky",39.0,38.0,40.4,077,93616,21
2107992664,"Paint Lick CCD, Garrard County, Kentucky",41.9,44.2,41.4,079,92664,21
2107991976,"Lancaster CCD, Garrard County, Kentucky",43.2,41.1,46.3,079,91976,21
2107990400,"Bryantsville CCD, Garrard County, Kentucky",41.7,40.3,44.5,079,90400,21
2116793064,"Salvisa-McAfee CCD, Mercer County, Kentucky",41.4,38.4,44.4,167,93064,21
2119190472,"Butler CCD, Pendleton County, Kentucky",40.4,39.7,41.3,191,90472,21
2116790424,"Burgin CCD, Mercer County, Kentucky",46.7,46.8,46.6,167,90424,21
2116791624,"Harrodsburg CCD, Mercer County, Kentucky",42.2,39.3,45.0,167,91624,21
2119191200,"Falmouth CCD, Pendleton County, Kentucky",42.3,40.3,42.7,191,91200,21
2120192408,"Mount Olivet CCD, Robertson County, Kentucky",47.1,46.6,47.4,201,92408,21
2120790384,"Bryan CCD, Russell County, Kentucky",49.9,49.6,50.7,207,90384,21
2120791120,"Eli CCD, Russell County, Kentucky",41.0,42.0,39.2,207,91120,21
2122993328,"Springfield CCD, Washington County, Kentucky",40.7,37.9,43.2,229,93328,21
2120791864,"Jamestown CCD, Russell County, Kentucky",44.0,43.3,46.5,207,91864,21
2120792984,"Russell Springs CCD, Russell County, Kentucky",42.4,40.6,44.0,207,92984,21
2121593448,"Taylorsville CCD, Spencer County, Kentucky",38.1,36.4,38.9,215,93448,21
2122993728,"Willisburg CCD, Washington County, Kentucky",42.7,45.4,40.0,229,93728,21
2101193144,"Sharpsburg CCD, Bath County, Kentucky",41.0,40.5,41.8,011,93144,21
2101193056,"Salt Lick CCD, Bath County, Kentucky",40.4,39.6,41.2,011,93056,21
2101192640,"Owingsville CCD, Bath County, Kentucky",37.9,37.2,40.6,011,92640,21
2100793696,"Wickliffe CCD, Ballard County, Kentucky",45.2,44.6,45.7,007,93696,21
2100790168,"Barlow CCD, Ballard County, Kentucky",42.2,42.1,42.3,007,90168,21
2100791952,"La Center CCD, Ballard County, Kentucky",43.3,41.0,45.4,007,91952,21
2100992944,"Rocky Hill CCD, Barren County, Kentucky",35.6,33.8,38.8,009,92944,21
2100991408,"Glasgow CCD, Barren County, Kentucky",42.6,41.0,44.1,009,91408,21
2100993496,"Tracy CCD, Barren County, Kentucky",41.7,38.4,47.4,009,93496,21
2100990640,"Cave City CCD, Barren County, Kentucky",34.2,32.4,35.9,009,90640,21
2100991744,"Hiseville CCD, Barren County, Kentucky",41.5,41.6,41.3,009,91744,21
2100993464,"Temple Hill CCD, Barren County, Kentucky",38.4,39.8,30.9,009,93464,21
2102191896,"Junction City CCD, Boyle County, Kentucky",41.8,39.8,45.1,021,91896,21
2102191000,"Danville CCD, Boyle County, Kentucky",39.4,36.3,42.4,021,91000,21
2102192744,"Perryville CCD, Boyle County, Kentucky",41.5,43.4,40.9,021,92744,21
2108791536,"Gresham CCD, Green County, Kentucky",43.6,43.6,43.6,087,91536,21
2108791504,"Greensburg CCD, Green County, Kentucky",47.4,44.7,49.0,087,91504,21
2108791064,"Donansburg CCD, Green County, Kentucky",40.9,43.5,39.3,087,91064,21
2108793408,"Summersville CCD, Green County, Kentucky",45.0,42.7,45.9,087,93408,21
2109192696,"Patesville CCD, Hancock County, Kentucky",34.7,35.3,33.9,091,92696,21
2109192032,"Lewisport CCD, Hancock County, Kentucky",42.0,41.4,42.8,091,92032,21
2109191640,"Hawesville CCD, Hancock County, Kentucky",42.4,40.0,45.6,091,91640,21
2109590648,"Cawood CCD, Harlan County, Kentucky",43.9,40.6,50.1,095,90648,21
2109591608,"Harlan CCD, Harlan County, Kentucky",39.1,37.7,40.6,095,91608,21
2109590056,"Alva CCD, Harlan County, Kentucky",43.5,45.6,42.2,095,90056,21
2109593584,"Wallins Creek CCD, Harlan County, Kentucky",43.6,43.5,43.8,095,93584,21
2109592824,"Poor Fork CCD, Harlan County, Kentucky",42.3,41.3,43.1,095,92824,21
2109592792,"Pine Mountain CCD, Harlan County, Kentucky",41.3,38.6,45.6,095,92792,21
2109590936,"Cumberland CCD, Harlan County, Kentucky",44.0,44.1,43.9,095,90936,21
2115993600,"Warfield CCD, Martin County, Kentucky",32.7,32.1,36.1,159,93600,21
2109393264,"Sonora CCD, Hardin County, Kentucky",33.6,33.2,33.7,093,93264,21
2109393664,"West Point CCD, Hardin County, Kentucky",36.6,34.4,39.3,093,93664,21
2109391128,"Elizabethtown CCD, Hardin County, Kentucky",37.8,36.0,39.4,093,91128,21
2109392880,"Radcliff CCD, Hardin County, Kentucky",36.8,34.8,39.0,093,92880,21
2109393416,"Summit CCD, Hardin County, Kentucky",38.3,40.1,36.2,093,93416,21
2109390656,"Cecilia CCD, Hardin County, Kentucky",47.0,33.9,54.5,093,90656,21
2113793632,"Waynesburg CCD, Lincoln County, Kentucky",37.7,36.6,38.8,137,93632,21
2113790888,"Crab Orchard CCD, Lincoln County, Kentucky",44.9,44.5,45.1,137,90888,21
2113791792,"Hustonville CCD, Lincoln County, Kentucky",41.8,40.1,44.1,137,91792,21
2113793344,"Stanford CCD, Lincoln County, Kentucky",40.3,37.5,43.9,137,93344,21
2114990496,"Calhoun CCD, McLean County, Kentucky",41.2,39.2,42.6,149,90496,21
2114993000,"Sacramento CCD, McLean County, Kentucky",48.5,49.4,46.9,149,93000,21
2114991832,"Island CCD, McLean County, Kentucky",31.4,34.4,28.8,149,91832,21
2114992056,"Livermore CCD, McLean County, Kentucky",42.1,38.5,48.7,149,92056,21
2117191312,"Fountain Run CCD, Monroe County, Kentucky",39.9,39.9,40.0,171,91312,21
2117193488,"Tompkinsville CCD, Monroe County, Kentucky",43.6,41.0,47.2,171,93488,21
2118390200,"Beaver Dam CCD, Ohio County, Kentucky",38.6,36.2,40.2,183,90200,21
2118391632,"Hartford CCD, Ohio County, Kentucky",43.7,39.8,45.7,183,91632,21
2118391776,"Horse Branch CCD, Ohio County, Kentucky",45.6,44.0,46.3,183,91776,21
2118391280,"Fordsville CCD, Ohio County, Kentucky",44.7,43.2,45.6,183,91280,21
2118391688,"Heflin-Beda CCD, Ohio County, Kentucky",34.2,34.9,32.8,183,91688,21
2119790728,"Clay City CCD, Powell County, Kentucky",38.9,39.5,36.7,197,90728,21
2118390672,"Centertown CCD, Ohio County, Kentucky",46.6,47.5,45.6,183,90672,21
