geoid,name,median,male,female,county,county subdivision,state
2500926150,"Gloucester city, Essex County, Massachusetts",49.0,47.2,50.5,009,26150,25
2500927900,"Hamilton town, Essex County, Massachusetts",40.5,35.8,44.7,009,27900,25
250115560,"Bernardston town, Franklin County, Massachusetts",49.7,49.5,50.2,011,5560,25
2501125730,"Gill town, Franklin County, Massachusetts",47.6,47.1,49.3,011,25730,25
2501129475,"Hawley town, Franklin County, Massachusetts",51.1,53.3,47.6,011,29475,25
2501161135,"Shelburne town, Franklin County, Massachusetts",53.1,52.8,53.4,011,61135,25
2501135180,"Leverett town, Franklin County, Massachusetts",50.9,47.8,51.8,011,35180,25
2501129650,"Heath town, Franklin County, Massachusetts",43.4,46.4,43.2,011,29650,25
2501135285,"Leyden town, Franklin County, Massachusetts",54.9,55.1,54.8,011,35285,25
2501147835,"Northfield town, Franklin County, Massachusetts",46.0,43.5,48.5,011,47835,25
2501572880,"Ware town, Hampshire County, Massachusetts",41.7,40.7,41.9,015,72880,25
2501546330,"Northampton city, Hampshire County, Massachusetts",39.4,41.6,37.0,015,46330,25
2501554030,"Plainfield town, Hampshire County, Massachusetts",50.2,47.9,52.9,015,54030,25
2501576380,"Westhampton town, Hampshire County, Massachusetts",46.3,49.3,43.3,015,76380,25
2501582175,"Worthington town, Hampshire County, Massachusetts",49.4,50.4,47.6,015,82175,25
250151325,"Amherst town, Hampshire County, Massachusetts",21.4,21.5,21.4,015,1325,25
2501526535,"Granby town, Hampshire County, Massachusetts",45.9,45.5,46.0,015,26535,25
2501526290,"Goshen town, Hampshire County, Massachusetts",48.2,50.7,42.8,015,26290,25
2501513590,"Chesterfield town, Hampshire County, Massachusetts",44.0,44.2,43.9,015,13590,25
2501527690,"Hadley town, Hampshire County, Massachusetts",47.4,44.8,51.5,015,27690,25
2501531785,"Huntington town, Hampshire County, Massachusetts",44.9,42.3,46.6,015,31785,25
2501552560,"Pelham town, Hampshire County, Massachusetts",52.4,55.4,50.3,015,52560,25
2501564145,"South Hadley town, Hampshire County, Massachusetts",40.3,44.3,37.0,015,64145,25
250154825,"Belchertown town, Hampshire County, Massachusetts",43.8,40.8,45.3,015,4825,25
2501540990,"Middlefield town, Hampshire County, Massachusetts",56.5,61.1,54.8,015,40990,25
2501562745,"Southampton town, Hampshire County, Massachusetts",46.4,45.3,48.2,015,62745,25
2501516040,"Cummington town, Hampshire County, Massachusetts",51.5,49.7,52.9,015,16040,25
