geoid,name,median,male,female,county,county subdivision,state
2302556520,"Palmyra town, Somerset County, Maine",44.5,42.7,45.7,025,56520,23
2302569505,"Solon town, Somerset County, Maine",47.1,46.2,47.7,025,69505,23
230257380,"Brighton plantation, Somerset County, Maine",49.6,56.5,40.9,025,7380,23
2302549205,"New Portland town, Somerset County, Maine",57.2,59.8,56.1,025,49205,23
2302569155,"Smithfield town, Somerset County, Maine",48.7,42.0,50.1,025,69155,23
2302523410,"Embden town, Somerset County, Maine",49.9,48.5,50.4,025,23410,23
2302553636,"Northwest Somerset UT, Somerset County, Maine",-666666666.0,-666666666.0,-666666666.0,025,53636,23
2302564850,"St. Albans town, Somerset County, Maine",41.7,42.3,41.4,025,64850,23
2302582840,"West Forks plantation, Somerset County, Maine",32.6,57.5,31.5,025,82840,23
2302542660,"Madison town, Somerset County, Maine",51.5,49.5,52.1,025,42660,23
230251395,"Anson town, Somerset County, Maine",43.9,44.4,43.4,025,1395,23
2302517285,"Dennistown plantation, Somerset County, Maine",46.9,46.5,64.2,025,17285,23
2302524320,"Fairfield town, Somerset County, Maine",40.9,40.7,42.2,025,24320,23
2302531740,"Hartland town, Somerset County, Maine",48.4,46.1,49.0,025,31740,23
2302547455,"Moscow town, Somerset County, Maine",46.6,44.5,52.4,025,47455,23
2302559705,"Pleasant Ridge plantation, Somerset County, Maine",68.5,69.8,59.5,025,59705,23
2302567238,"Seboomook Lake UT, Somerset County, Maine",65.0,-666666666.0,-666666666.0,025,67238,23
2300928450,"Gouldsboro town, Hancock County, Maine",49.8,49.7,49.8,009,28450,23
2300953620,"Northwest Hancock UT, Hancock County, Maine",-666666666.0,-666666666.0,-666666666.0,009,53620,23
2300955890,"Otis town, Hancock County, Maine",49.9,49.4,50.4,009,55890,23
2300917145,"Deer Isle town, Hancock County, Maine",55.6,55.4,56.4,009,17145,23
2300930970,"Hancock town, Hancock County, Maine",45.7,45.1,46.2,009,30970,23
2300955855,"Osborn town, Hancock County, Maine",47.3,38.8,47.9,009,55855,23
2300969750,"Sorrento town, Hancock County, Maine",48.0,44.5,52.8,009,69750,23
2300974580,"Stonington town, Hancock County, Maine",49.5,47.9,52.9,009,74580,23
2300974965,"Sullivan town, Hancock County, Maine",47.3,46.8,48.0,009,74965,23
230277870,"Brooks town, Waldo County, Maine",44.4,39.6,48.1,027,7870,23
2302726280,"Frankfort town, Waldo County, Maine",43.6,44.1,41.6,027,26280,23
2302737585,"Knox town, Waldo County, Maine",47.5,43.3,48.6,027,37585,23
230274125,"Belmont town, Waldo County, Maine",46.0,45.7,46.2,027,4125,23
2302746475,"Monroe town, Waldo County, Maine",48.2,48.3,48.2,027,46475,23
2302779480,"Waldo town, Waldo County, Maine",41.4,39.3,42.9,027,79480,23
2302746790,"Montville town, Waldo County, Maine",52.3,50.4,53.3,027,46790,23
2302756450,"Palermo town, Waldo County, Maine",49.0,48.8,50.1,027,56450,23
2302761210,"Prospect town, Waldo County, Maine",45.8,46.5,43.0,027,61210,23
2302766565,"Searsmont town, Waldo County, Maine",40.4,38.9,42.3,027,66565,23
2302774475,"Stockton Springs town, Waldo County, Maine",56.0,55.0,57.7,027,74475,23
2302777625,"Troy town, Waldo County, Maine",39.8,42.2,36.8,027,77625,23
2302752845,"Northport town, Waldo County, Maine",48.5,45.7,51.1,027,52845,23
2302778255,"Unity town, Waldo County, Maine",26.2,27.8,24.1,027,78255,23
2302726420,"Freedom town, Waldo County, Maine",43.3,43.0,43.5,027,26420,23
2302735240,"Islesboro town, Waldo County, Maine",52.3,52.1,53.9,027,35240,23
2302739055,"Liberty town, Waldo County, Maine",44.9,42.4,48.4,027,39055,23
2302739755,"Lincolnville town, Waldo County, Maine",51.9,49.9,52.9,027,39755,23
2302735450,"Jackson town, Waldo County, Maine",39.3,45.2,30.5,027,35450,23
2302775525,"Swanville town, Waldo County, Maine",44.7,43.6,45.7,027,75525,23
2302786760,"Winterport town, Waldo County, Maine",44.5,45.1,44.0,027,86760,23
2302747245,"Morrill town, Waldo County, Maine",44.4,42.4,46.2,027,47245,23
230279270,"Burnham town, Waldo County, Maine",49.6,48.6,49.8,027,9270,23
230199200,"Burlington town, Penobscot County, Maine",59.2,58.6,59.6,019,9200,23
2301914310,"Corinna town, Penobscot County, Maine",48.2,41.7,51.1,019,14310,23
2302766635,"Searsport town, Waldo County, Maine",53.1,45.9,57.0,027,66635,23
2302776610,"Thorndike town, Waldo County, Maine",40.5,40.8,40.2,027,76610,23
230196925,"Brewer city, Penobscot County, Maine",40.3,40.2,40.6,019,6925,23
