geoid,name,median,male,female,county,county subdivision,state
3802329420,"Garnet township, Divide County, North Dakota",63.6,-666666666.0,-666666666.0,023,29420,38
3802319500,"De Witt township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,19500,38
3802323140,"Elkhorn township, Divide County, North Dakota",6.8,-666666666.0,-666666666.0,023,23140,38
3802328220,"Frazier township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,28220,38
3802380900,"Upland township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,80900,38
3802346740,"Lincoln Valley township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,46740,38
3802363340,"Plumer township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,63340,38
3802373420,"Sioux Trail township, Divide County, North Dakota",37.5,12.8,37.7,023,73420,38
3802373700,"Smoky Butte township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,73700,38
3802310780,"Burg township, Divide County, North Dakota",8.7,-666666666.0,8.3,023,10780,38
3802314900,"Clinton township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,14900,38
3802326340,"Fillmore township, Divide County, North Dakota",61.1,52.9,62.3,023,26340,38
3802360700,"Palmer township, Divide County, North Dakota",56.4,59.4,-666666666.0,023,60700,38
3802336500,"Hayland township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,36500,38
3802352260,"Mentor township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,52260,38
380231900,"Ambrose township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,1900,38
380237940,"Blooming Valley township, Divide County, North Dakota",30.6,23.6,30.7,023,7940,38
3802315020,"Coalfield township, Divide County, North Dakota",39.7,27.9,39.8,023,15020,38
3802376300,"Stoneview township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,76300,38
3802331580,"Gooseneck township, Divide County, North Dakota",68.7,-666666666.0,68.5,023,31580,38
3802336300,"Hawkeye township, Divide County, North Dakota",-666666666.0,-666666666.0,-666666666.0,023,36300,38
3802380260,"Twin Butte township, Divide County, North Dakota",89.4,89.4,-666666666.0,023,80260,38
3802316940,"Crosby city, Divide County, North Dakota",63.1,61.0,63.9,023,16940,38
3802317940,"Daneville township, Divide County, North Dakota",50.4,53.1,29.0,023,17940,38
3804943820,"Lake George township, McHenry County, North Dakota",27.5,27.5,30.0,049,43820,38
3804919020,"Denbigh township, McHenry County, North Dakota",26.2,16.8,36.8,049,19020,38
3804932660,"Granville city, McHenry County, North Dakota",50.8,49.5,51.8,049,32660,38
3804941420,"Karlsruhe township, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,41420,38
3804943860,"Lake Hester township, McHenry County, North Dakota",61.2,47.9,61.2,049,43860,38
3804947260,"Little Deep township, McHenry County, North Dakota",32.1,-666666666.0,29.2,049,47260,38
3804959180,"Odin township, McHenry County, North Dakota",71.1,20.8,-666666666.0,049,59180,38
3804968310,"Rose Hill township, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,68310,38
3804975020,"Spring Grove township, McHenry County, North Dakota",56.8,56.8,56.8,049,75020,38
380497300,"Bjornson township, McHenry County, North Dakota",51.0,32.8,52.4,049,7300,38
3804925620,"Falsen township, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,25620,38
3804937260,"Hendrickson township, McHenry County, North Dakota",64.5,59.7,65.1,049,37260,38
3804957727,"Northeast McHenry UT, McHenry County, North Dakota",41.9,41.9,57.1,049,57727,38
3804971180,"Schiller township, McHenry County, North Dakota",55.7,57.0,53.9,049,71180,38
3804982580,"Wagar township, McHenry County, North Dakota",65.1,61.5,65.4,049,82580,38
3804930300,"Gilmore township, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,30300,38
3804981620,"Velva city, McHenry County, North Dakota",36.2,36.1,36.5,049,81620,38
380492220,"Anamoose city, McHenry County, North Dakota",51.0,49.3,52.5,049,2220,38
380494460,"Balfour city, McHenry County, North Dakota",60.6,61.0,49.0,049,4460,38
380496180,"Bergen city, McHenry County, North Dakota",58.0,59.5,56.5,049,6180,38
3804918660,"Deering township, McHenry County, North Dakota",53.0,55.4,50.6,049,18660,38
3804922580,"Egg Creek township, McHenry County, North Dakota",49.3,48.5,49.7,049,22580,38
3804932700,"Granville township, McHenry County, North Dakota",50.8,35.4,57.1,049,32700,38
3804944660,"Land township, McHenry County, North Dakota",61.7,71.5,61.4,049,44660,38
3804945500,"Lebanon township, McHenry County, North Dakota",31.8,31.7,39.2,049,45500,38
3804951660,"Meadow township, McHenry County, North Dakota",35.3,38.7,4.6,049,51660,38
3804958660,"Norwich township, McHenry County, North Dakota",45.9,40.9,47.5,049,58660,38
3804964420,"Pratt township, McHenry County, North Dakota",59.7,59.3,61.0,049,64420,38
3804979420,"Towner city, McHenry County, North Dakota",46.3,43.8,47.8,049,79420,38
3804981660,"Velva township, McHenry County, North Dakota",57.6,57.8,55.8,049,81660,38
3804986420,"Willow Creek township, McHenry County, North Dakota",33.6,-666666666.0,5.8,049,86420,38
3804941380,"Karlsruhe city, McHenry County, North Dakota",52.4,49.5,52.6,049,41380,38
3804942660,"Kief city, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,42660,38
3804957500,"Normal township, McHenry County, North Dakota",51.8,51.5,55.2,049,57500,38
380499860,"Brown township, McHenry County, North Dakota",51.1,51.8,50.3,049,9860,38
3804954980,"Mouse River township, McHenry County, North Dakota",-666666666.0,-666666666.0,-666666666.0,049,54980,38
3804918620,"Deering city, McHenry County, North Dakota",37.8,45.3,37.4,049,18620,38
3804943460,"Kottke Valley township, McHenry County, North Dakota",18.5,16.8,26.1,049,43460,38
3804945380,"Layton township, McHenry County, North Dakota",43.5,65.6,9.3,049,45380,38
3809970940,"Sauter township, Walsh County, North Dakota",33.0,7.8,62.5,099,70940,38
3809951780,"Medford township, Walsh County, North Dakota",56.9,58.4,56.2,099,51780,38
3809958980,"Oakwood township, Walsh County, North Dakota",47.6,49.1,44.7,099,58980,38
3807157722,"North Creel township, Ramsey County, North Dakota",37.6,35.6,46.1,071,57722,38
3804346320,"Liberty UT, Kidder County, North Dakota",29.4,29.3,34.6,043,46320,38
3804113282,"Central Hettinger UT, Hettinger County, North Dakota",42.4,42.5,-666666666.0,041,13282,38
3801535670,"Harriet-Lein township, Burleigh County, North Dakota",52.5,56.3,49.5,015,35670,38
3805379520,"Tri township, McKenzie County, North Dakota",33.5,33.8,32.6,053,79520,38
3809981980,"Vesta township, Walsh County, North Dakota",59.5,59.1,65.5,099,81980,38
3809969620,"St. Andrews township, Walsh County, North Dakota",60.4,60.8,53.2,099,69620,38
3809931060,"Golden township, Walsh County, North Dakota",56.7,53.5,59.5,099,31060,38
3809968940,"Rushford township, Walsh County, North Dakota",66.0,70.0,65.0,099,68940,38
3800110340,"Bucyrus township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,10340,38
3800149780,"Maine township, Adams County, North Dakota",54.1,23.5,-666666666.0,001,49780,38
3800178220,"Taylor Butte township, Adams County, North Dakota",64.9,68.3,64.6,001,78220,38
3800130340,"Gilstrap township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,30340,38
3800137740,"Hettinger township, Adams County, North Dakota",44.7,39.9,50.3,001,37740,38
3800114620,"Clermont township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,14620,38
3800136540,"Haynes city, Adams County, North Dakota",54.8,40.0,54.8,001,36540,38
3800137700,"Hettinger city, Adams County, North Dakota",45.3,37.9,48.8,001,37700,38
3800120700,"Duck Creek township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,20700,38
3800165900,"Reeder city, Adams County, North Dakota",52.3,47.8,63.5,001,65900,38
3800118100,"Darling Springs township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,18100,38
3800110300,"Bucyrus city, Adams County, North Dakota",57.5,42.0,-666666666.0,001,10300,38
3800138420,"Holden UT, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,38420,38
380015700,"Beisigl township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,5700,38
3800113270,"Central Adams UT, Adams County, North Dakota",41.9,46.5,41.4,001,13270,38
3800121495,"East Adams UT, Adams County, North Dakota",49.1,48.3,49.6,001,21495,38
3800159620,"Orange township, Adams County, North Dakota",41.1,52.2,40.6,001,59620,38
3800165940,"Reeder township, Adams County, North Dakota",28.6,28.5,63.5,001,65940,38
3800171380,"Scott township, Adams County, North Dakota",64.2,64.4,64.2,001,71380,38
3800174140,"South Fork township, Adams County, North Dakota",41.1,-666666666.0,-666666666.0,001,74140,38
3800187140,"Wolf Butte township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,87140,38
3800146500,"Lightning Creek township, Adams County, North Dakota",28.6,-666666666.0,12.5,001,46500,38
3800113500,"Chandler township, Adams County, North Dakota",-666666666.0,-666666666.0,-666666666.0,001,13500,38
3800113100,"Cedar township, Adams County, North Dakota",51.2,-666666666.0,-666666666.0,001,13100,38
380098460,"Bottineau city, Bottineau County, North Dakota",42.0,35.2,49.1,009,8460,38
3809317460,"Cusator township, Stutsman County, North Dakota",57.2,50.7,57.4,093,17460,38
3809322940,"Eldridge township, Stutsman County, North Dakota",48.1,50.2,31.9,093,22940,38
3809386740,"Winfield township, Stutsman County, North Dakota",54.2,50.3,55.1,093,86740,38
3809358280,"Northwest Stutsman UT, Stutsman County, North Dakota",-666666666.0,-666666666.0,-666666666.0,093,58280,38
