geoid,name,median,male,female,county,county subdivision,state
3610112265,"Canisteo town, Steuben County, New York",44.2,41.1,47.3,101,12265,36
3610173836,"Thurston town, Steuben County, New York",45.1,41.8,48.3,101,73836,36
3610176496,"Urbana town, Steuben County, New York",55.5,53.3,56.4,101,76496,36
3610118256,"Corning city, Steuben County, New York",39.2,37.4,40.6,101,18256,36
3610127551,"Fremont town, Steuben County, New York",47.1,47.2,46.9,101,27551,36
3610135837,"Howard town, Steuben County, New York",41.2,42.2,38.7,101,35837,36
3610159982,"Pulteney town, Steuben County, New York",46.5,45.4,50.0,101,59982,36
3610181457,"Wheeler town, Steuben County, New York",43.4,42.1,46.3,101,81457,36
3610142576,"Lindley town, Steuben County, New York",42.0,43.7,38.5,101,42576,36
361013342,"Avoca town, Steuben County, New York",47.0,49.0,46.5,101,3342,36
3610112991,"Caton town, Steuben County, New York",45.3,45.0,45.5,101,12991,36
3610175737,"Tuscarora town, Steuben County, New York",41.3,40.2,43.5,101,75737,36
3610175440,"Troupsburg town, Steuben County, New York",36.2,35.0,36.8,101,75440,36
3610160653,"Rathbone town, Steuben County, New York",35.0,35.4,34.7,101,60653,36
3610178883,"Wayne town, Steuben County, New York",53.7,53.1,54.4,101,78883,36
3610181105,"West Union town, Steuben County, New York",47.4,50.0,47.1,101,81105,36
3607577662,"Volney town, Oswego County, New York",41.8,40.9,44.6,075,77662,36
3607555585,"Oswego town, Oswego County, New York",20.7,20.9,20.5,075,55585,36
3607556154,"Palermo town, Oswego County, New York",43.0,41.6,43.4,075,56154,36
3607565992,"Scriba town, Oswego County, New York",45.1,45.1,45.1,075,65992,36
3607582073,"Williamstown town, Oswego County, New York",35.9,35.6,37.4,075,82073,36
3607561533,"Richland town, Oswego County, New York",36.8,36.7,36.9,075,61533,36
360751055,"Albion town, Oswego County, New York",40.1,41.3,38.8,075,1055,36
3607546822,"Mexico town, Oswego County, New York",40.4,38.7,41.9,075,46822,36
3607560873,"Redfield town, Oswego County, New York",44.6,44.6,47.1,075,60873,36
3607555453,"Orwell town, Oswego County, New York",32.8,28.7,44.3,075,55453,36
3607556352,"Parish town, Oswego County, New York",42.3,41.6,43.7,075,56352,36
3607532028,"Hannibal town, Oswego County, New York",39.4,39.0,39.7,075,32028,36
3607741531,"Laurens town, Otsego County, New York",47.4,45.8,48.1,077,41531,36
3607719895,"Decatur town, Otsego County, New York",43.5,43.2,46.1,077,19895,36
3607754881,"Oneonta city, Otsego County, New York",21.9,22.7,21.6,077,54881,36
3607723613,"Edmeston town, Otsego County, New York",45.7,45.5,46.1,077,23613,36
3607745920,"Maryland town, Otsego County, New York",48.4,46.2,50.1,077,45920,36
3607748494,"Morris town, Otsego County, New York",42.8,44.5,42.2,077,48494,36
3607754892,"Oneonta town, Otsego County, New York",43.8,41.4,47.8,077,54892,36
3607761467,"Richfield town, Otsego County, New York",45.0,38.5,49.1,077,61467,36
3607763638,"Roseboom town, Otsego County, New York",47.6,48.4,47.2,077,63638,36
3607783129,"Worcester town, Otsego County, New York",51.2,52.5,50.8,077,83129,36
3607755629,"Otego town, Otsego County, New York",49.6,49.2,50.3,077,55629,36
3607758343,"Pittsfield town, Otsego County, New York",44.3,45.6,40.7,077,58343,36
361170,"County subdivisions not defined, Wayne County, New York",-666666666.0,-666666666.0,-666666666.0,117,0,36
3611745645,"Marion town, Wayne County, New York",43.6,44.1,42.9,117,45645,36
3611782040,"Williamson town, Wayne County, New York",46.4,46.4,46.6,117,82040,36
3611755013,"Ontario town, Wayne County, New York",46.1,44.3,46.8,117,55013,36
3611782689,"Wolcott town, Wayne County, New York",41.0,39.7,43.3,117,82689,36
3600140002,"Knox town, Albany County, New York",41.0,35.6,44.2,001,40002,36
360011000,"Albany city, Albany County, New York",30.9,30.7,31.2,001,1000,36
3600116749,"Cohoes city, Albany County, New York",39.8,39.1,41.1,001,16749,36
3600178674,"Watervliet city, Albany County, New York",37.6,35.1,40.2,001,78674,36
360016211,"Berne town, Albany County, New York",47.7,47.1,48.3,001,6211,36
360016354,"Bethlehem town, Albany County, New York",42.8,40.9,45.0,001,6354,36
3600117343,"Colonie town, Albany County, New York",41.1,39.3,43.2,001,17343,36
3600130532,"Green Island town, Albany County, New York",39.4,32.8,40.8,001,30532,36
3600131104,"Guilderland town, Albany County, New York",40.0,38.4,41.5,001,31104,36
3601314069,"Chautauqua town, Chautauqua County, New York",45.7,42.5,48.4,013,14069,36
3601352155,"North Harmony town, Chautauqua County, New York",49.4,49.9,48.3,013,52155,36
3601358981,"Pomfret town, Chautauqua County, New York",31.3,27.2,34.6,013,58981,36
360130,"County subdivisions not defined, Chautauqua County, New York",-666666666.0,-666666666.0,-666666666.0,013,0,36
3601321105,"Dunkirk city, Chautauqua County, New York",39.1,38.8,39.3,013,21105,36
3601366960,"Sherman town, Chautauqua County, New York",29.0,28.1,31.0,013,66960,36
3601377530,"Villenova town, Chautauqua County, New York",52.7,53.1,51.4,013,77530,36
3601347592,"Mina town, Chautauqua County, New York",46.0,45.1,49.0,013,47592,36
3601359421,"Portland town, Chautauqua County, New York",38.0,33.5,44.6,013,59421,36
3601312639,"Carroll town, Chautauqua County, New York",54.0,54.9,53.0,013,12639,36
3601313860,"Charlotte town, Chautauqua County, New York",42.3,40.6,43.7,013,13860,36
3601371476,"Stockton town, Chautauqua County, New York",40.6,42.3,38.0,013,71476,36
3601379950,"Westfield town, Chautauqua County, New York",49.2,45.0,54.2,013,79950,36
360132605,"Arkwright town, Chautauqua County, New York",44.5,39.2,48.1,013,2605,36
3601338264,"Jamestown city, Chautauqua County, New York",38.1,36.5,39.3,013,38264,36
3601361885,"Ripley town, Chautauqua County, New York",43.9,43.4,45.3,013,61885,36
3601311451,"Busti town, Chautauqua County, New York",49.0,46.7,50.8,013,11451,36
3601323998,"Ellicott town, Chautauqua County, New York",46.0,42.7,50.1,013,23998,36
3601323976,"Ellery town, Chautauqua County, New York",49.5,48.2,50.0,013,23976,36
3601332050,"Hanover town, Chautauqua County, New York",44.9,44.9,44.8,013,32050,36
3601358926,"Poland town, Chautauqua County, New York",40.6,42.1,40.3,013,58926,36
3601315198,"Cherry Creek town, Chautauqua County, New York",39.4,38.9,41.5,013,15198,36
3601327606,"French Creek town, Chautauqua County, New York",35.4,35.3,35.8,013,27606,36
3601332248,"Harmony town, Chautauqua County, New York",43.4,45.5,42.0,013,32248,36
3601339507,"Kiantone town, Chautauqua County, New York",44.0,45.3,43.3,013,39507,36
3601366916,"Sheridan town, Chautauqua County, New York",50.0,47.8,51.6,013,66916,36
3601321116,"Dunkirk town, Chautauqua County, New York",57.7,54.7,60.1,013,21116,36
3601316595,"Clymer town, Chautauqua County, New York",32.6,31.0,33.1,013,16595,36
3601328838,"Gerry town, Chautauqua County, New York",51.6,49.0,52.6,013,28838,36
3601324053,"Ellington town, Chautauqua County, New York",40.6,39.6,41.5,013,24053,36
3604710022,"Brooklyn borough, Kings County, New York",34.8,33.3,36.2,047,10022,36
3606144919,"Manhattan borough, New York County, New York",37.1,36.5,37.6,061,44919,36
361074671,"Barton town, Tioga County, New York",39.9,39.3,42.1,107,4671,36
3610761511,"Richford town, Tioga County, New York",43.2,44.2,42.6,107,61511,36
361076145,"Berkshire town, Tioga County, New York",48.9,49.7,47.5,107,6145,36
3600150672,"New Scotland town, Albany County, New York",46.2,43.3,48.4,001,50672,36
3600179851,"Westerlo town, Albany County, New York",48.6,46.4,51.4,001,79851,36
3600116694,"Coeymans town, Albany County, New York",42.4,41.1,44.7,001,16694,36
3600161181,"Rensselaerville town, Albany County, New York",49.2,48.6,50.1,001,61181,36
360035573,"Belfast town, Allegany County, New York",31.8,30.1,36.8,003,5573,36
3600378201,"Ward town, Allegany County, New York",39.9,31.7,50.3,003,78201,36
360031319,"Allen town, Allegany County, New York",32.5,23.5,40.2,003,1319,36
360032187,"Angelica town, Allegany County, New York",43.3,39.9,46.4,003,2187,36
3600315990,"Clarksville town, Allegany County, New York",49.6,49.7,49.6,003,15990,36
3600328563,"Genesee town, Allegany County, New York",47.1,49.4,44.5,003,28563,36
3600327705,"Friendship town, Allegany County, New York",38.2,40.5,34.4,003,27705,36
3600330994,"Grove town, Allegany County, New York",55.9,59.0,54.5,003,30994,36
3607758420,"Plainfield town, Otsego County, New York",45.8,45.3,47.7,077,58420,36
3607779972,"Westford town, Otsego County, New York",44.2,44.7,43.3,077,79972,36
3607711209,"Burlington town, Otsego County, New York",41.6,41.7,41.5,077,11209,36
3607776012,"Unadilla town, Otsego County, New York",46.1,43.7,48.0,077,76012,36
3607724845,"Exeter town, Otsego County, New York",49.5,49.7,48.9,077,24845,36
3607746910,"Middlefield town, Otsego County, New York",53.9,53.1,54.9,077,46910,36
3607715253,"Cherry Valley town, Otsego County, New York",43.0,42.1,44.1,077,15253,36
3607711528,"Butternuts town, Otsego County, New York",50.1,49.5,50.5,077,11528,36
3607747240,"Milford town, Otsego County, New York",45.6,45.7,44.8,077,47240,36
3607750485,"New Lisbon town, Otsego County, New York",47.6,48.1,47.2,077,50485,36
3607755695,"Otsego town, Otsego County, New York",51.4,48.6,54.6,077,55695,36
3607732589,"Hartwick town, Otsego County, New York",41.6,40.3,43.7,077,32589,36
3607770310,"Springfield town, Otsego County, New York",45.5,48.1,41.8,077,70310,36
360392913,"Athens town, Greene County, New York",48.5,46.7,49.3,039,2913,36
3610138319,"Jasper town, Steuben County, New York",24.4,25.6,23.8,101,38319,36
3610111880,"Cameron town, Steuben County, New York",38.8,43.1,36.3,101,11880,36
3610118267,"Corning town, Steuben County, New York",42.5,42.9,41.8,101,18267,36
3610119675,"Dansville town, Steuben County, New York",43.2,44.4,39.6,101,19675,36
3610132567,"Hartsville town, Steuben County, New York",41.5,43.9,37.8,101,32567,36
3610116738,"Cohocton town, Steuben County, New York",43.0,42.0,43.1,101,16738,36
3610124647,"Erwin town, Steuben County, New York",39.8,37.4,42.3,101,24647,36
3610135672,"Hornell city, Steuben County, New York",38.2,36.5,39.2,101,35672,36
3610159718,"Prattsburgh town, Steuben County, New York",43.0,37.4,46.3,101,59718,36
