geoid,name,median,male,female,county,county subdivision,state
5103196087,"Timberlake district, Campbell County, Virginia",40.9,39.4,44.1,031,96087,51
5103190968,"Concord district, Campbell County, Virginia",47.3,46.5,48.3,031,90968,51
5103195623,"Seneca district, Campbell County, Virginia",45.4,46.7,44.7,031,95623,51
5103190504,"Brookneal district, Campbell County, Virginia",45.1,42.8,49.0,031,90504,51
5103195503,"Rustburg district, Campbell County, Virginia",40.9,38.3,42.4,031,95503,51
5108796119,"Tuckahoe district, Henrico County, Virginia",40.1,38.2,41.5,087,96119,51
5108793511,"Fairfield district, Henrico County, Virginia",38.5,35.0,41.2,087,93511,51
5108796079,"Three Chopt district, Henrico County, Virginia",36.6,36.0,36.9,087,96079,51
5108993975,"Iriswood district, Henry County, Virginia",44.8,42.7,46.7,089,93975,51
5108790496,"Brookland district, Henrico County, Virginia",37.2,35.5,39.2,087,90496,51
5108796175,"Varina district, Henrico County, Virginia",40.0,38.3,41.0,087,96175,51
5108990944,"Collinsville district, Henry County, Virginia",47.4,45.7,49.1,089,90944,51
5108995263,"Reed Creek district, Henry County, Virginia",45.8,44.2,49.1,089,95263,51
5108990288,"Blackberry district, Henry County, Virginia",45.8,44.8,47.1,089,90288,51
5108995295,"Ridgeway district, Henry County, Virginia",46.2,44.4,47.4,089,95295,51
5108993919,"Horsepasture district, Henry County, Virginia",50.1,48.5,51.8,089,93919,51
5109991080,"Dahlgren district, King George County, Virginia",33.3,30.8,34.7,099,91080,51
5109994039,"James Monroe district, King George County, Virginia",40.2,38.8,41.7,099,94039,51
5109995687,"Shiloh district, King George County, Virginia",37.1,37.4,36.0,099,95687,51
5109994031,"James Madison district, King George County, Virginia",36.5,36.6,36.4,099,94031,51
5110196327,"West Point district, King William County, Virginia",43.8,42.5,47.0,101,96327,51
5110190016,"Acquinton district, King William County, Virginia",42.3,42.1,42.6,101,90016,51
5110194479,"Mangohick district, King William County, Virginia",35.9,32.8,40.1,101,94479,51
5110994759,"Mountain Road district, Louisa County, Virginia",46.0,48.6,45.5,109,94759,51
5110995015,"Patrick Henry district, Louisa County, Virginia",44.9,45.6,44.8,109,95015,51
5110994375,"Louisa district, Louisa County, Virginia",42.3,38.4,44.8,109,94375,51
5110994711,"Mineral district, Louisa County, Virginia",47.5,42.0,49.9,109,94711,51
5110991040,"Cuckoo district, Louisa County, Virginia",52.1,50.0,53.2,109,91040,51
5110993767,"Green Spring district, Louisa County, Virginia",42.4,44.8,39.8,109,93767,51
5110993999,"Jackson district, Louisa County, Virginia",40.1,40.3,40.0,109,93999,51
5111590808,"Chesapeake district, Mathews County, Virginia",54.8,54.9,54.7,115,90808,51
5111596335,"Westville district, Mathews County, Virginia",55.8,55.4,57.1,115,96335,51
5111595055,"Piankatank district, Mathews County, Virginia",48.0,47.3,49.0,115,95055,51
5111994023,"Jamaica district, Middlesex County, Virginia",46.4,46.7,44.9,119,94023,51
5111995079,"Pine Top district, Middlesex County, Virginia",58.0,55.4,60.7,119,95079,51
5111995559,"Saluda district, Middlesex County, Virginia",50.4,49.4,50.9,119,95559,51
5114792593,"District 501, Prince Edward County, Virginia",45.6,47.6,43.8,147,92593,51
5114792613,"District 701, Prince Edward County, Virginia",46.5,37.6,51.7,147,92613,51
5114792583,"District 401, Prince Edward County, Virginia",21.8,21.0,50.8,147,92583,51
5114792563,"District 201, Prince Edward County, Virginia",40.1,30.9,45.4,147,92563,51
5114792623,"District 801, Prince Edward County, Virginia",20.6,21.1,20.5,147,92623,51
5114792603,"District 601, Prince Edward County, Virginia",46.4,47.3,46.1,147,92603,51
5114792573,"District 301, Prince Edward County, Virginia",40.1,38.2,41.0,147,92573,51
5114792553,"District 101, Prince Edward County, Virginia",23.4,23.5,23.3,147,92553,51
5114990352,"Bland district, Prince George County, Virginia",34.5,34.7,33.9,149,90352,51
5114990328,"Blackwater district, Prince George County, Virginia",49.7,39.7,55.2,149,90328,51
5114990472,"Brandon district, Prince George County, Virginia",43.2,46.9,40.0,149,90472,51
5114995343,"Rives district, Prince George County, Virginia",35.5,34.6,36.4,149,95343,51
5114996063,"Templeton district, Prince George County, Virginia",45.1,45.8,43.9,149,96063,51
5115991271,"District 1, Richmond County, Virginia",32.2,32.4,28.1,159,91271,51
5115991571,"District 3, Richmond County, Virginia",53.2,49.3,55.3,159,91571,51
5115991421,"District 2, Richmond County, Virginia",42.3,39.9,57.1,159,91421,51
5115991721,"District 4, Richmond County, Virginia",44.8,41.6,49.3,159,91721,51
