geoid,name,median,county,county subdivision,state
1000391924,"Lower Christiana CCD, New Castle County, Delaware",50246.0,003,91924,10
1000392960,"Piedmont CCD, New Castle County, Delaware",119308.0,003,92960,10
1000393996,"Wilmington CCD, New Castle County, Delaware",40221.0,003,93996,10
1000393256,"Red Lion CCD, New Castle County, Delaware",90565.0,003,93256,10
1000393848,"Upper Christiana CCD, New Castle County, Delaware",73350.0,003,93848,10
1000390148,"Brandywine CCD, New Castle County, Delaware",76861.0,003,90148,10
1000392072,"Middletown-Odessa CCD, New Castle County, Delaware",96816.0,003,92072,10
1000393108,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",72571.0,003,93108,10
1000591628,"Laurel-Delmar CCD, Sussex County, Delaware",53103.0,005,91628,10
1000592664,"Milton CCD, Sussex County, Delaware",61258.0,005,92664,10
1000392812,"New Castle CCD, New Castle County, Delaware",58933.0,003,92812,10
1000590296,"Bridgeville-Greenwood CCD, Sussex County, Delaware",51463.0,005,90296,10
1000591776,"Lewes CCD, Sussex County, Delaware",71212.0,005,91776,10
1000592516,"Millsboro CCD, Sussex County, Delaware",53810.0,005,92516,10
1000593404,"Seaford CCD, Sussex County, Delaware",50661.0,005,93404,10
1000592368,"Milford South CCD, Sussex County, Delaware",58613.0,005,92368,10
1000591036,"Georgetown CCD, Sussex County, Delaware",48304.0,005,91036,10
1000191480,"Kenton CCD, Kent County, Delaware",63324.0,001,91480,10
1000192220,"Milford North CCD, Kent County, Delaware",48109.0,001,92220,10
1000191332,"Harrington CCD, Kent County, Delaware",52764.0,001,91332,10
1000190888,"Felton CCD, Kent County, Delaware",49863.0,001,90888,10
1000190740,"Dover CCD, Kent County, Delaware",55948.0,001,90740,10
1000190444,"Central Kent CCD, Kent County, Delaware",65639.0,001,90444,10
1000193700,"Smyrna CCD, Kent County, Delaware",60514.0,001,93700,10
1000392738,"Newark CCD, New Castle County, Delaware",60190.0,003,92738,10
1000391110,"Glasgow CCD, New Castle County, Delaware",88435.0,003,91110,10
1000593552,"Selbyville-Frankford CCD, Sussex County, Delaware",62283.0,005,93552,10
