geoid,name,median,county,county subdivision,state
1914992484,"Liberty township, Plymouth County, Iowa",49926.0,149,92484,19
1914993925,"Sioux City city, Plymouth County, Iowa",-666666666.0,149,93925,19
1914994254,"Union township, Plymouth County, Iowa",93500.0,149,94254,19
1914991908,"Henry township, Plymouth County, Iowa",80677.0,149,91908,19
1914993507,"Preston township, Plymouth County, Iowa",24583.0,149,93507,19
1914993564,"Remsen township, Plymouth County, Iowa",56007.0,149,93564,19
1914992274,"Johnson township, Plymouth County, Iowa",91591.0,149,92274,19
1914992865,"Marion township, Plymouth County, Iowa",69844.0,149,92865,19
1914994545,"Washington township, Plymouth County, Iowa",48125.0,149,94545,19
1914992589,"Lincoln township, Plymouth County, Iowa",63125.0,149,92589,19
1914993921,"Sioux township, Plymouth County, Iowa",54179.0,149,93921,19
1914993462,"Portland township, Plymouth County, Iowa",50556.0,149,93462,19
1901990384,"Buffalo township, Buchanan County, Iowa",55750.0,019,90384,19
1901991461,"Fremont township, Buchanan County, Iowa",78125.0,019,91461,19
1901994458,"Washington township, Buchanan County, Iowa",46759.0,019,94458,19
1901994047,"Sumner township, Buchanan County, Iowa",67762.0,019,94047,19
1901991977,"Homer township, Buchanan County, Iowa",56848.0,019,91977,19
1901992751,"Madison township, Buchanan County, Iowa",49318.0,019,92751,19
1914394678,"West Holman township, Osceola County, Iowa",41512.0,143,94678,19
1901391252,"Evansdale city, Black Hawk County, Iowa",48651.0,013,91252,19
1906192285,"Julien township, Dubuque County, Iowa",-666666666.0,061,92285,19
1914391111,"East Holman township, Osceola County, Iowa",63182.0,143,91111,19
1907394746,"Willow township, Greene County, Iowa",88958.0,073,94746,19
1907390342,"Bristol township, Greene County, Iowa",-666666666.0,073,90342,19
1907390537,"Cedar township, Greene County, Iowa",90536.0,073,90537,19
1907391932,"Highland township, Greene County, Iowa",45250.0,073,91932,19
1907391830,"Hardin township, Greene County, Iowa",94808.0,073,91830,19
1907394497,"Washington township, Greene County, Iowa",48438.0,073,94497,19
1907391404,"Franklin township, Greene County, Iowa",47778.0,073,91404,19
1907390897,"Dawson township, Greene County, Iowa",83021.0,073,90897,19
1907391746,"Greenbrier township, Greene County, Iowa",36250.0,073,91746,19
1907392221,"Jefferson city, Greene County, Iowa",55170.0,073,92221,19
1907393804,"Scranton township, Greene County, Iowa",46771.0,073,93804,19
1907391653,"Grant township, Greene County, Iowa",-666666666.0,073,91653,19
1907392115,"Jackson township, Greene County, Iowa",100417.0,073,92115,19
1907392304,"Kendrick township, Greene County, Iowa",46250.0,073,92304,19
1908390372,"Buckeye township, Hardin County, Iowa",53750.0,083,90372,19
1908391158,"Eldora township, Hardin County, Iowa",68611.0,083,91158,19
1908391245,"Etna township, Hardin County, Iowa",50260.0,083,91245,19
1908390804,"Concord township, Hardin County, Iowa",84250.0,083,90804,19
1908393363,"Pleasant township, Hardin County, Iowa",50845.0,083,93363,19
1908390036,"Alden township, Hardin County, Iowa",52216.0,083,90036,19
1908591863,"Harrison township, Harrison County, Iowa",54531.0,085,91863,19
1908391206,"Ellis township, Hardin County, Iowa",37222.0,083,91206,19
1908391157,"Eldora city, Hardin County, Iowa",50417.0,083,91157,19
1908392121,"Jackson township, Hardin County, Iowa",-666666666.0,083,92121,19
1908393516,"Providence township, Hardin County, Iowa",67321.0,083,93516,19
1908390678,"Clay township, Hardin County, Iowa",54583.0,083,90678,19
1908590039,"Allen township, Harrison County, Iowa",57250.0,085,90039,19
1908590444,"Calhoun township, Harrison County, Iowa",117692.0,085,90444,19
1908590507,"Cass township, Harrison County, Iowa",46000.0,085,90507,19
1908594503,"Washington township, Harrison County, Iowa",55714.0,085,94503,19
1908593012,"Morgan township, Harrison County, Iowa",45417.0,085,93012,19
1908593534,"Raglan township, Harrison County, Iowa",90461.0,085,93534,19
1908590666,"Cincinnati township, Harrison County, Iowa",64375.0,085,90666,19
1908592223,"Jefferson township, Harrison County, Iowa",60893.0,085,92223,19
1908591038,"Douglas township, Harrison County, Iowa",79063.0,085,91038,19
1910991866,"Harrison township, Kossuth County, Iowa",34853.0,109,91866,19
1910990037,"Algona city, Kossuth County, Iowa",53891.0,109,90037,19
1910992565,"Lincoln township, Kossuth County, Iowa",130700.0,109,92565,19
1910993426,"Plum Creek township, Kossuth County, Iowa",79444.0,109,93426,19
1910993492,"Prairie township, Kossuth County, Iowa",-666666666.0,109,93492,19
1910993537,"Ramsey township, Kossuth County, Iowa",53750.0,109,93537,19
1910993636,"Riverdale township, Kossuth County, Iowa",64250.0,109,93636,19
1910991095,"Eagle township, Kossuth County, Iowa",66750.0,109,91095,19
1910992082,"Irvington township, Kossuth County, Iowa",64141.0,109,92082,19
1910993981,"Springfield township, Kossuth County, Iowa",-666666666.0,109,93981,19
1910994227,"Union township, Kossuth County, Iowa",71719.0,109,94227,19
1910991905,"Hebron township, Kossuth County, Iowa",-666666666.0,109,91905,19
1910991332,"Fenton township, Kossuth County, Iowa",53304.0,109,91332,19
1910992394,"Ledyard township, Kossuth County, Iowa",38125.0,109,92394,19
1910993864,"Sherman township, Kossuth County, Iowa",59750.0,109,93864,19
1910994071,"Swea township, Kossuth County, Iowa",58750.0,109,94071,19
1910990855,"Cresco township, Kossuth County, Iowa",78056.0,109,90855,19
1910991563,"German township, Kossuth County, Iowa",108333.0,109,91563,19
1910991767,"Greenwood township, Kossuth County, Iowa",43750.0,109,91767,19
1910990387,"Buffalo township, Kossuth County, Iowa",45556.0,109,90387,19
1910991521,"Garfield township, Kossuth County, Iowa",26667.0,109,91521,19
1910993810,"Seneca township, Kossuth County, Iowa",47917.0,109,93810,19
1910994644,"Wesley township, Kossuth County, Iowa",64375.0,109,94644,19
1910991668,"Grant township, Kossuth County, Iowa",91875.0,109,91668,19
1910992721,"Lotts Creek township, Kossuth County, Iowa",49464.0,109,92721,19
1910992730,"Lu Verne township, Kossuth County, Iowa",42500.0,109,92730,19
1910993459,"Portland township, Kossuth County, Iowa",77981.0,109,93459,19
1910994731,"Whittemore township, Kossuth County, Iowa",50875.0,109,94731,19
1910990417,"Burt township, Kossuth County, Iowa",42500.0,109,90417,19
1908391833,"Hardin township, Hardin County, Iowa",51244.0,083,91833,19
1908393858,"Sherman township, Hardin County, Iowa",60417.0,083,93858,19
1908394125,"Tipton township, Hardin County, Iowa",56176.0,083,94125,19
1908391662,"Grant township, Hardin County, Iowa",78125.0,083,91662,19
1908394215,"Union township, Hardin County, Iowa",53802.0,083,94215,19
1911593018,"Morning Sun township, Louisa County, Iowa",52721.0,115,93018,19
1911592874,"Marshall township, Louisa County, Iowa",-666666666.0,115,92874,19
1911590792,"Columbus City township, Louisa County, Iowa",56094.0,115,90792,19
1911591218,"Elm Grove township, Louisa County, Iowa",82917.0,115,91218,19
1911592235,"Jefferson township, Louisa County, Iowa",44856.0,115,92235,19
1911591620,"Grandview township, Louisa County, Iowa",54615.0,115,91620,19
1911593465,"Port Louisa township, Louisa County, Iowa",62434.0,115,93465,19
1911594416,"Wapello township, Louisa County, Iowa",54028.0,115,94416,19
1911590807,"Concord township, Louisa County, Iowa",32165.0,115,90807,19
1911593159,"Oakland township, Louisa County, Iowa",-666666666.0,115,93159,19
1911591170,"Eliot township, Louisa County, Iowa",58977.0,115,91170,19
1911594230,"Union township, Louisa County, Iowa",57656.0,115,94230,19
1911790216,"Benton township, Lucas County, Iowa",54375.0,117,90216,19
1911790549,"Cedar township, Lucas County, Iowa",64063.0,117,90549,19
1911792145,"Jackson township, Lucas County, Iowa",60288.0,117,92145,19
1911791230,"English township, Lucas County, Iowa",56172.0,117,91230,19
1911792568,"Lincoln township, Lucas County, Iowa",59423.0,117,92568,19
1911794713,"Whitebreast township, Lucas County, Iowa",52426.0,117,94713,19
1911794431,"Warren township, Lucas County, Iowa",59688.0,117,94431,19
1911790643,"Chariton city, Lucas County, Iowa",42738.0,117,90643,19
1911793240,"Otter Creek township, Lucas County, Iowa",86071.0,117,93240,19
1911794530,"Washington township, Lucas County, Iowa",43125.0,117,94530,19
1911794233,"Union township, Lucas County, Iowa",48125.0,117,94233,19
1911793366,"Pleasant township, Lucas County, Iowa",-666666666.0,117,93366,19
1911792469,"Liberty township, Lucas County, Iowa",65625.0,117,92469,19
1911990873,"Dale township, Lyon County, Iowa",48676.0,119,90873,19
1911991014,"Doon township, Lyon County, Iowa",69375.0,119,91014,19
1911991674,"Grant township, Lyon County, Iowa",60500.0,119,91674,19
1911993606,"Richland township, Lyon County, Iowa",60526.0,119,93606,19
1911993642,"Riverside township, Lyon County, Iowa",56806.0,119,93642,19
1911993915,"Sioux township, Lyon County, Iowa",72768.0,119,93915,19
1911992697,"Logan township, Lyon County, Iowa",116042.0,119,92697,19
1912992031,"Indian Creek township, Mills County, Iowa",50208.0,129,92031,19
1912992809,"Malvern city, Mills County, Iowa",65395.0,129,92809,19
1912993147,"Oak township, Mills County, Iowa",90489.0,129,93147,19
1912993897,"Silver Creek township, Mills County, Iowa",158375.0,129,93897,19
1912994719,"White Cloud township, Mills County, Iowa",90809.0,129,94719,19
1912990072,"Anderson township, Mills County, Iowa",61458.0,129,90072,19
1912990933,"Deer Creek township, Mills County, Iowa",-666666666.0,129,90933,19
1912992745,"Lyons township, Mills County, Iowa",61875.0,129,92745,19
1912991575,"Glenwood township, Mills County, Iowa",62623.0,129,91575,19
1912993741,"St. Marys township, Mills County, Iowa",52917.0,129,93741,19
1912990612,"Center township, Mills County, Iowa",108417.0,129,90612,19
1912993354,"Plattville township, Mills County, Iowa",53750.0,129,93354,19
1912992043,"Ingraham township, Mills County, Iowa",75500.0,129,92043,19
1912993540,"Rawles township, Mills County, Iowa",80052.0,129,93540,19
1913394671,"West Fork township, Monona County, Iowa",36538.0,133,94671,19
1913390084,"Ashton township, Monona County, Iowa",47375.0,133,90084,19
1913392355,"Lake township, Monona County, Iowa",96875.0,133,92355,19
1913393867,"Sherman township, Monona County, Iowa",42500.0,133,93867,19
1913393939,"Soldier township, Monona County, Iowa",42917.0,133,93939,19
1913390192,"Belvidere township, Monona County, Iowa",87000.0,133,90192,19
1913391416,"Franklin township, Monona County, Iowa",71406.0,133,91416,19
1913392817,"Maple township, Monona County, Iowa",43897.0,133,92817,19
1913393175,"Onawa city, Monona County, Iowa",31089.0,133,93175,19
1913390828,"Cooper township, Monona County, Iowa",50000.0,133,90828,19
1913393735,"St. Clair township, Monona County, Iowa",41750.0,133,93735,19
1913393996,"Spring Valley township, Monona County, Iowa",34688.0,133,93996,19
1913391299,"Fairview township, Monona County, Iowa",80962.0,133,91299,19
