geoid,name,median,county,county subdivision,state
4715390534,"District 3, Sequatchie County, Tennessee",42639.0,153,90534,47
4715390724,"District 4, Sequatchie County, Tennessee",49209.0,153,90724,47
4715191292,"District 7, Scott County, Tennessee",49188.0,151,91292,47
4715390344,"District 2, Sequatchie County, Tennessee",55354.0,153,90344,47
4715390914,"District 5, Sequatchie County, Tennessee",68304.0,153,90914,47
4715391104,"District 6, Sequatchie County, Tennessee",34583.0,153,91104,47
4708790658,"District 4, Jackson County, Tennessee",31734.0,087,90658,47
4708790088,"District 1, Jackson County, Tennessee",26985.0,087,90088,47
4711191252,"District 7, Macon County, Tennessee",27770.0,111,91252,47
4711191062,"District 6, Macon County, Tennessee",44875.0,111,91062,47
4711190682,"District 4, Macon County, Tennessee",37104.0,111,90682,47
4711190872,"District 5, Macon County, Tennessee",31436.0,111,90872,47
4711191442,"District 8, Macon County, Tennessee",60133.0,111,91442,47
4711191632,"District 9, Macon County, Tennessee",30000.0,111,91632,47
4711191822,"District 10, Macon County, Tennessee",35920.0,111,91822,47
4700790768,"District 5, Bledsoe County, Tennessee",46429.0,007,90768,47
4700790958,"District 6, Bledsoe County, Tennessee",45656.0,007,90958,47
4700990010,"District 1, Blount County, Tennessee",38004.0,009,90010,47
4700990200,"District 2, Blount County, Tennessee",50962.0,009,90200,47
4700990390,"District 3, Blount County, Tennessee",52245.0,009,90390,47
4700990580,"District 4, Blount County, Tennessee",52246.0,009,90580,47
4700990770,"District 5, Blount County, Tennessee",64291.0,009,90770,47
4700990960,"District 6, Blount County, Tennessee",50500.0,009,90960,47
4700991150,"District 7, Blount County, Tennessee",56582.0,009,91150,47
4700991340,"District 8, Blount County, Tennessee",50756.0,009,91340,47
4700991530,"District 9, Blount County, Tennessee",54148.0,009,91530,47
4700991720,"District 10, Blount County, Tennessee",47884.0,009,91720,47
4701190012,"District 1, Bradley County, Tennessee",57861.0,011,90012,47
4701190202,"District 2, Bradley County, Tennessee",61717.0,011,90202,47
4701190392,"District 3, Bradley County, Tennessee",38398.0,011,90392,47
4701190582,"District 4, Bradley County, Tennessee",50957.0,011,90582,47
4701190772,"District 5, Bradley County, Tennessee",31268.0,011,90772,47
4701190962,"District 6, Bradley County, Tennessee",46728.0,011,90962,47
4701191152,"District 7, Bradley County, Tennessee",45460.0,011,91152,47
4701390014,"District 1, Campbell County, Tennessee",36792.0,013,90014,47
4701390204,"District 2, Campbell County, Tennessee",35093.0,013,90204,47
4701390394,"District 3, Campbell County, Tennessee",39786.0,013,90394,47
4701390584,"District 4, Campbell County, Tennessee",41071.0,013,90584,47
4701590396,"District 3, Cannon County, Tennessee",60833.0,015,90396,47
4701390774,"District 5, Campbell County, Tennessee",26870.0,013,90774,47
4701590016,"District 1, Cannon County, Tennessee",42428.0,015,90016,47
4701590206,"District 2, Cannon County, Tennessee",42933.0,015,90206,47
4701590586,"District 4, Cannon County, Tennessee",49273.0,015,90586,47
4701590776,"District 5, Cannon County, Tennessee",33333.0,015,90776,47
4701790018,"District 1, Carroll County, Tennessee",44596.0,017,90018,47
4701790208,"District 2, Carroll County, Tennessee",39300.0,017,90208,47
4701790398,"District 3, Carroll County, Tennessee",31312.0,017,90398,47
4701790588,"District 4, Carroll County, Tennessee",31337.0,017,90588,47
4701790778,"District 5, Carroll County, Tennessee",33594.0,017,90778,47
4701790968,"District 6, Carroll County, Tennessee",40942.0,017,90968,47
4708991800,"District 10, Jefferson County, Tennessee",34579.0,089,91800,47
4708991230,"District 7, Jefferson County, Tennessee",44493.0,089,91230,47
4708991420,"District 8, Jefferson County, Tennessee",47282.0,089,91420,47
4710790298,"District 2, McMinn County, Tennessee",43656.0,107,90298,47
4703990800,"District 5, Decatur County, Tennessee",29250.0,039,90800,47
4703990230,"District 2, Decatur County, Tennessee",28047.0,039,90230,47
4703990420,"District 3, Decatur County, Tennessee",55875.0,039,90420,47
4703990610,"District 4, Decatur County, Tennessee",48750.0,039,90610,47
4703990990,"District 6, Decatur County, Tennessee",23750.0,039,90990,47
4703991180,"District 7, Decatur County, Tennessee",32368.0,039,91180,47
4703991370,"District 8, Decatur County, Tennessee",29940.0,039,91370,47
4703991560,"District 9, Decatur County, Tennessee",40602.0,039,91560,47
4704190042,"District 1, DeKalb County, Tennessee",40458.0,041,90042,47
4704190232,"District 2, DeKalb County, Tennessee",47139.0,041,90232,47
4704190422,"District 3, DeKalb County, Tennessee",40912.0,041,90422,47
4704190612,"District 4, DeKalb County, Tennessee",48021.0,041,90612,47
4704190802,"District 5, DeKalb County, Tennessee",34688.0,041,90802,47
4704190992,"District 6, DeKalb County, Tennessee",36218.0,041,90992,47
4704191182,"District 7, DeKalb County, Tennessee",38926.0,041,91182,47
4704390044,"District 1, Dickson County, Tennessee",42646.0,043,90044,47
4704390234,"District 2, Dickson County, Tennessee",41711.0,043,90234,47
4704390994,"District 6, Dickson County, Tennessee",69306.0,043,90994,47
4704390424,"District 3, Dickson County, Tennessee",49788.0,043,90424,47
4704390614,"District 4, Dickson County, Tennessee",39976.0,043,90614,47
4704390804,"District 5, Dickson County, Tennessee",46725.0,043,90804,47
4704391754,"District 10, Dickson County, Tennessee",47273.0,043,91754,47
4704391184,"District 7, Dickson County, Tennessee",61563.0,043,91184,47
4704391374,"District 8, Dickson County, Tennessee",29069.0,043,91374,47
4704391564,"District 9, Dickson County, Tennessee",39861.0,043,91564,47
4704391944,"District 11, Dickson County, Tennessee",44583.0,043,91944,47
4704392134,"District 12, Dickson County, Tennessee",63950.0,043,92134,47
4704590046,"District 1, Dyer County, Tennessee",41094.0,045,90046,47
4710191052,"District 6, Lewis County, Tennessee",37047.0,101,91052,47
4710191242,"District 7, Lewis County, Tennessee",51098.0,101,91242,47
4710191432,"District 8, Lewis County, Tennessee",34868.0,101,91432,47
4710191622,"District 9, Lewis County, Tennessee",25307.0,101,91622,47
4710390104,"District 1, Lincoln County, Tennessee",42116.0,103,90104,47
4710390294,"District 2, Lincoln County, Tennessee",50223.0,103,90294,47
4708991610,"District 9, Jefferson County, Tennessee",39826.0,089,91610,47
4709190092,"District 1, Johnson County, Tennessee",35559.0,091,90092,47
4709190282,"District 2, Johnson County, Tennessee",44973.0,091,90282,47
4709190472,"District 3, Johnson County, Tennessee",29609.0,091,90472,47
4709190662,"District 4, Johnson County, Tennessee",39944.0,091,90662,47
4709190852,"District 5, Johnson County, Tennessee",32222.0,091,90852,47
4709191042,"District 6, Johnson County, Tennessee",24079.0,091,91042,47
4709191232,"District 7, Johnson County, Tennessee",24555.0,091,91232,47
4709390094,"District 1, Knox County, Tennessee",24805.0,093,90094,47
4709390284,"District 2, Knox County, Tennessee",37189.0,093,90284,47
4709390474,"District 3, Knox County, Tennessee",57031.0,093,90474,47
4709390664,"District 4, Knox County, Tennessee",63919.0,093,90664,47
4709390854,"District 5, Knox County, Tennessee",99918.0,093,90854,47
4709391044,"District 6, Knox County, Tennessee",69700.0,093,91044,47
4709391234,"District 7, Knox County, Tennessee",59832.0,093,91234,47
4709391424,"District 8, Knox County, Tennessee",52337.0,093,91424,47
4709391614,"District 9, Knox County, Tennessee",40363.0,093,91614,47
4709590096,"District 1, Lake County, Tennessee",-666666666.0,095,90096,47
