geoid,name,median,county,county subdivision,state
4000193250,"Stilwell East CCD, Adair County, Oklahoma",22639.0,001,93250,40
4000193796,"Westville CCD, Adair County, Oklahoma",39500.0,001,93796,40
4000193588,"Watts CCD, Adair County, Oklahoma",45000.0,001,93588,40
4000193263,"Stilwell West CCD, Adair County, Oklahoma",-666666666.0,001,93263,40
4013391612,"Konawa CCD, Seminole County, Oklahoma",-666666666.0,133,91612,40
4013392795,"Seminole South CCD, Seminole County, Oklahoma",53750.0,133,92795,40
4013393835,"Wewoka CCD, Seminole County, Oklahoma",35357.0,133,93835,40
4013392782,"Seminole North CCD, Seminole County, Oklahoma",38333.0,133,92782,40
4013793432,"Velma-Alma CCD, Stephens County, Oklahoma",-666666666.0,137,93432,40
4013791781,"Marlow CCD, Stephens County, Oklahoma",26544.0,137,91781,40
4013790650,"Comanche CCD, Stephens County, Oklahoma",94342.0,137,90650,40
4013790780,"Duncan CCD, Stephens County, Oklahoma",37439.0,137,90780,40
4002591560,"Keyes CCD, Cimarron County, Oklahoma",37727.0,025,91560,40
4002590286,"Boise City CCD, Cimarron County, Oklahoma",41250.0,025,90286,40
4001193575,"Watonga CCD, Blaine County, Oklahoma",31964.0,011,93575,40
4001190416,"Canton CCD, Blaine County, Oklahoma",61250.0,011,90416,40
4001191170,"Geary CCD, Blaine County, Oklahoma",34583.0,011,91170,40
4001192392,"Okeene CCD, Blaine County, Oklahoma",18182.0,011,92392,40
4001990156,"Ardmore CCD, Carter County, Oklahoma",47067.0,019,90156,40
4001993861,"Wilson CCD, Carter County, Oklahoma",-666666666.0,019,93861,40
4001990169,"Ardmore North CCD, Carter County, Oklahoma",-666666666.0,019,90169,40
4001991287,"Healdton North CCD, Carter County, Oklahoma",74750.0,019,91287,40
4001991274,"Healdton Central CCD, Carter County, Oklahoma",-666666666.0,019,91274,40
4002993705,"West Coal CCD, Coal County, Oklahoma",-666666666.0,029,93705,40
4002990871,"East Coal CCD, Coal County, Oklahoma",26548.0,029,90871,40
4005391625,"Lamont CCD, Grant County, Oklahoma",41786.0,053,91625,40
4005391820,"Medford CCD, Grant County, Oklahoma",-666666666.0,053,91820,40
4005393510,"Wakita CCD, Grant County, Oklahoma",-666666666.0,053,93510,40
4005393159,"Southwest Grant CCD, Grant County, Oklahoma",51563.0,053,93159,40
4005592275,"Northwest Greer CCD, Greer County, Oklahoma",82917.0,055,92275,40
4005591768,"Mangum CCD, Greer County, Oklahoma",-666666666.0,055,91768,40
4005591196,"Granite CCD, Greer County, Oklahoma",-666666666.0,055,91196,40
4007391586,"Kingfisher CCD, Kingfisher County, Oklahoma",50653.0,073,91586,40
4007391326,"Hennessey CCD, Kingfisher County, Oklahoma",56250.0,073,91326,40
4007392379,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",-666666666.0,073,92379,40
4008792626,"Purcell CCD, McClain County, Oklahoma",58750.0,087,92626,40
4008790929,"East McClain CCD, McClain County, Oklahoma",-666666666.0,087,90929,40
4009190520,"Checotah CCD, McIntosh County, Oklahoma",48704.0,091,90520,40
4009191352,"Hitchita-Pierce CCD, McIntosh County, Oklahoma",-666666666.0,091,91352,40
4009191079,"Eufaula CCD, McIntosh County, Oklahoma",-666666666.0,091,91079,40
4009191248,"Hanna CCD, McIntosh County, Oklahoma",-666666666.0,091,91248,40
4009593081,"South Marshall CCD, Marshall County, Oklahoma",-666666666.0,095,93081,40
4009592210,"North Marshall CCD, Marshall County, Oklahoma",48811.0,095,92210,40
4009993770,"West Murray CCD, Murray County, Oklahoma",50469.0,099,93770,40
