geoid,name,median,county,county subdivision,state
0900163480,"Redding town, Fairfield County, Connecticut",131801.0,001,63480,09
0900174190,"Stratford town, Fairfield County, Connecticut",75448.0,001,74190,09
0900173070,"Stamford town, Fairfield County, Connecticut",110438.0,001,73070,09
0900150580,"New Canaan town, Fairfield County, Connecticut",187756.0,001,50580,09
0900150860,"New Fairfield town, Fairfield County, Connecticut",105301.0,001,50860,09
0900152980,"Newtown town, Fairfield County, Connecticut",114854.0,001,52980,09
0900183430,"Weston town, Fairfield County, Connecticut",230375.0,001,83430,09
090010,"County subdivisions not defined, Fairfield County, Connecticut",-666666666.0,001,0,09
0900123890,"Easton town, Fairfield County, Connecticut",143036.0,001,23890,09
0900186370,"Wilton town, Fairfield County, Connecticut",173611.0,001,86370,09
090018070,"Bridgeport town, Fairfield County, Connecticut",53696.0,001,8070,09
0900118850,"Darien town, Fairfield County, Connecticut",208922.0,001,18850,09
0900126620,"Fairfield town, Fairfield County, Connecticut",130612.0,001,26620,09
090014720,"Bethel town, Fairfield County, Connecticut",99213.0,001,4720,09
0900163970,"Ridgefield town, Fairfield County, Connecticut",151161.0,001,63970,09
0900168170,"Shelton town, Fairfield County, Connecticut",89952.0,001,68170,09
0900183500,"Westport town, Fairfield County, Connecticut",177212.0,001,83500,09
0900118500,"Danbury town, Fairfield County, Connecticut",76943.0,001,18500,09
090093250,"Beacon Falls town, New Haven County, Connecticut",87895.0,009,3250,09
0900982870,"West Haven town, New Haven County, Connecticut",58689.0,009,82870,09
090094580,"Bethany town, New Haven County, Connecticut",106786.0,009,4580,09
0900922910,"East Haven town, New Haven County, Connecticut",67303.0,009,22910,09
0900934950,"Guilford town, New Haven County, Connecticut",107147.0,009,34950,09
0900944560,"Madison town, New Haven County, Connecticut",107635.0,009,44560,09
0900946940,"Middlebury town, New Haven County, Connecticut",102577.0,009,46940,09
0900987560,"Wolcott town, New Haven County, Connecticut",87902.0,009,87560,09
0900978740,"Wallingford town, New Haven County, Connecticut",76383.0,009,78740,09
0900987700,"Woodbridge town, New Haven County, Connecticut",135074.0,009,87700,09
090091220,"Ansonia town, New Haven County, Connecticut",56292.0,009,1220,09
0900949950,"Naugatuck town, New Haven County, Connecticut",63693.0,009,49950,09
0900957600,"Orange town, New Haven County, Connecticut",111146.0,009,57600,09
0900958300,"Oxford town, New Haven County, Connecticut",105033.0,009,58300,09
0900962290,"Prospect town, New Haven County, Connecticut",108154.0,009,62290,09
090090,"County subdivisions not defined, New Haven County, Connecticut",-666666666.0,009,0,09
090097310,"Branford town, New Haven County, Connecticut",77781.0,009,7310,09
0900919550,"Derby town, New Haven County, Connecticut",67965.0,009,19550,09
0900946520,"Meriden town, New Haven County, Connecticut",65860.0,009,46520,09
0900952070,"New Haven town, New Haven County, Connecticut",52968.0,009,52070,09
0900969640,"Southbury town, New Haven County, Connecticut",88167.0,009,69640,09
0900914160,"Cheshire town, New Haven County, Connecticut",106397.0,009,14160,09
0900953890,"North Branford town, New Haven County, Connecticut",83650.0,009,53890,09
0900168310,"Sherman town, Fairfield County, Connecticut",109792.0,001,68310,09
0900935650,"Hamden town, New Haven County, Connecticut",79320.0,009,35650,09
0900156060,"Norwalk town, Fairfield County, Connecticut",101827.0,001,56060,09
090018980,"Brookfield town, Fairfield County, Connecticut",113247.0,001,8980,09
0900177200,"Trumbull town, Fairfield County, Connecticut",115157.0,001,77200,09
0900967610,"Seymour town, New Haven County, Connecticut",75029.0,009,67610,09
0900980070,"Waterbury town, New Haven County, Connecticut",52663.0,009,80070,09
0900954870,"North Haven town, New Haven County, Connecticut",97664.0,009,54870,09
0900947535,"Milford town, New Haven County, Connecticut",84818.0,009,47535,09
0900537280,"Harwinton town, Litchfield County, Connecticut",104886.0,005,37280,09
0900549460,"Morris town, Litchfield County, Connecticut",86875.0,005,49460,09
0900560750,"Plymouth town, Litchfield County, Connecticut",72165.0,005,60750,09
0900567960,"Sharon town, Litchfield County, Connecticut",85025.0,005,67960,09
0900575730,"Thomaston town, Litchfield County, Connecticut",67069.0,005,75730,09
0900566420,"Salisbury town, Litchfield County, Connecticut",83525.0,005,66420,09
0900576570,"Torrington town, Litchfield County, Connecticut",61875.0,005,76570,09
0900517240,"Cornwall town, Litchfield County, Connecticut",76711.0,005,17240,09
0900532290,"Goshen town, Litchfield County, Connecticut",95641.0,005,32290,09
0900552630,"New Milford town, Litchfield County, Connecticut",84755.0,005,52630,09
0900580490,"Watertown town, Litchfield County, Connecticut",80872.0,005,80490,09
0900516050,"Colebrook town, Litchfield County, Connecticut",85048.0,005,16050,09
0900587910,"Woodbury town, Litchfield County, Connecticut",84173.0,005,87910,09
090058210,"Bridgewater town, Litchfield County, Connecticut",97679.0,005,8210,09
0900510940,"Canaan town, Litchfield County, Connecticut",85192.0,005,10940,09
090054930,"Bethlehem town, Litchfield County, Connecticut",91332.0,005,4930,09
0900543370,"Litchfield town, Litchfield County, Connecticut",81354.0,005,43370,09
0900579510,"Warren town, Litchfield County, Connecticut",99583.0,005,79510,09
