geoid,name,median,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",49375.0,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",53438.0,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",37385.0,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",45275.0,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",35503.0,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",40277.0,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",34321.0,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",38614.0,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",85112.0,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",39152.0,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",49063.0,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",49250.0,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",46591.0,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",76042.0,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",51786.0,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",51094.0,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",36765.0,269,90557,13
1308590284,"Blacks Mill CCD, Dawson County, Georgia",66715.0,085,90284,13
1328992215,"North Twiggs CCD, Twiggs County, Georgia",32484.0,289,92215,13
1328992821,"South Twiggs CCD, Twiggs County, Georgia",34044.0,289,92821,13
1308792104,"Mount Pleasant CCD, Decatur County, Georgia",42813.0,087,92104,13
1318793024,"Three Sisters Mountain CCD, Lumpkin County, Georgia",52475.0,187,93024,13
1316592019,"Millen CCD, Jenkins County, Georgia",34010.0,165,92019,13
1316592806,"South Jenkins CCD, Jenkins County, Georgia",37005.0,165,92806,13
1329392671,"Salem CCD, Upson County, Georgia",47250.0,293,92671,13
1327990591,"Cedar Crossing CCD, Toombs County, Georgia",45625.0,279,90591,13
1318192807,"South Lincoln CCD, Lincoln County, Georgia",37273.0,181,92807,13
1322190814,"Crawford CCD, Oglethorpe County, Georgia",47455.0,221,90814,13
1302191891,"Macon East CCD, Bibb County, Georgia",38542.0,021,91891,13
1325593180,"Vaughn CCD, Spalding County, Georgia",54940.0,255,93180,13
1302191892,"Macon West CCD, Bibb County, Georgia",55566.0,021,91892,13
1325593071,"Towalaga CCD, Spalding County, Georgia",61875.0,255,93071,13
1325590942,"Digbey CCD, Spalding County, Georgia",56806.0,255,90942,13
1316991351,"Gray-Macon East CCD, Jones County, Georgia",58214.0,169,91351,13
1303593438,"Worthville CCD, Butts County, Georgia",53504.0,035,93438,13
1303592822,"Southwest Butts CCD, Butts County, Georgia",45000.0,035,92822,13
1327791052,"Eldorado CCD, Tift County, Georgia",40125.0,277,91052,13
1300992015,"Milledgeville CCD, Baldwin County, Georgia",40902.0,009,92015,13
1325791934,"Martin-Avalon CCD, Stephens County, Georgia",42444.0,257,91934,13
1308393084,"Trenton CCD, Dade County, Georgia",39833.0,083,93084,13
1307391383,"Grovetown-Harlem CCD, Columbia County, Georgia",56865.0,073,91383,13
1300990992,"East Baldwin CCD, Baldwin County, Georgia",61516.0,009,90992,13
1329591810,"Lookout Mountain CCD, Walker County, Georgia",71287.0,295,91810,13
1312392805,"South Gilmer CCD, Gilmer County, Georgia",50552.0,123,92805,13
1312392206,"North Gilmer CCD, Gilmer County, Georgia",58770.0,123,92206,13
1321792810,"South Newton CCD, Newton County, Georgia",47011.0,217,92810,13
1313590469,"Buford-Sugar Hill CCD, Gwinnett County, Georgia",81080.0,135,90469,13
1310590719,"Coldwater CCD, Elbert County, Georgia",43194.0,105,90719,13
1305192393,"Pooler-Bloomingdale CCD, Chatham County, Georgia",63636.0,051,92393,13
1305193127,"Tybee Island-Wilmington Island CCD, Chatham County, Georgia",75400.0,051,93127,13
1317391010,"East Lanier CCD, Lanier County, Georgia",32768.0,173,91010,13
1300190273,"Big Satilla Creek CCD, Appling County, Georgia",44637.0,001,90273,13
1300192905,"Surrency-Troper CCD, Appling County, Georgia",41375.0,001,92905,13
1324192103,"Mountain City CCD, Rabun County, Georgia",45288.0,241,92103,13
1302392198,"Northeast Bleckley CCD, Bleckley County, Georgia",45476.0,023,92198,13
1311392331,"Peachtree City-Tyrone CCD, Fayette County, Georgia",103758.0,113,92331,13
