geoid,name,median,county,county subdivision,state
5601593465,"Torrington CCD, Goshen County, Wyoming",48701.0,015,93465,56
5601591430,"Goshen Hole CCD, Goshen County, Wyoming",56379.0,015,91430,56
5601592585,"Rawhide Creek CCD, Goshen County, Wyoming",108854.0,015,92585,56
5604191155,"Evanston CCD, Uinta County, Wyoming",53993.0,041,91155,56
5604190440,"Bridger Valley CCD, Uinta County, Wyoming",76376.0,041,90440,56
5604393300,"Ten Sleep CCD, Washakie County, Wyoming",56827.0,043,93300,56
5604393795,"Worland CCD, Washakie County, Wyoming",51717.0,043,93795,56
5601793410,"Thermopolis West CCD, Hot Springs County, Wyoming",49340.0,017,93410,56
5601793355,"Thermopolis East CCD, Hot Springs County, Wyoming",26786.0,017,93355,56
5601391045,"Dubois CCD, Fremont County, Wyoming",48000.0,013,91045,56
5601392035,"Lander CCD, Fremont County, Wyoming",62049.0,013,92035,56
5601393080,"Shoshoni CCD, Fremont County, Wyoming",40625.0,013,93080,56
5603592475,"Pinedale CCD, Sublette County, Wyoming",84074.0,035,92475,56
5603590385,"Boulder CCD, Sublette County, Wyoming",-666666666.0,035,90385,56
5603590330,"Big Piney CCD, Sublette County, Wyoming",77552.0,035,90330,56
5604593520,"Upton CCD, Weston County, Wyoming",66250.0,045,93520,56
5604592255,"Newcastle CCD, Weston County, Wyoming",60738.0,045,92255,56
5600390688,"Central Big Horn CCD, Big Horn County, Wyoming",48512.0,003,90688,56
5600392393,"North Big Horn CCD, Big Horn County, Wyoming",53750.0,003,92393,56
5601393742,"Wind River Reservation CCD, Fremont County, Wyoming",56498.0,013,93742,56
5601793744,"Wind River Reservation CCD, Hot Springs County, Wyoming",87798.0,017,93744,56
5600393142,"South Big Horn CCD, Big Horn County, Wyoming",57063.0,003,93142,56
5602791128,"East Niobrara CCD, Niobrara County, Wyoming",50655.0,027,91128,56
5602793603,"West Niobrara CCD, Niobrara County, Wyoming",35323.0,027,93603,56
5600591265,"Gillette South CCD, Campbell County, Wyoming",92464.0,005,91265,56
5600591210,"Gillette North CCD, Campbell County, Wyoming",75700.0,005,91210,56
5602390055,"Afton CCD, Lincoln County, Wyoming",62944.0,023,90055,56
5602391980,"Kemmerer West CCD, Lincoln County, Wyoming",80972.0,023,91980,56
5602391925,"Kemmerer East CCD, Lincoln County, Wyoming",64873.0,023,91925,56
5601991870,"Kaycee CCD, Johnson County, Wyoming",55871.0,019,91870,56
5601990495,"Buffalo CCD, Johnson County, Wyoming",51502.0,019,90495,56
5602590550,"Casper CCD, Natrona County, Wyoming",55675.0,025,90550,56
5602590660,"Casper South CCD, Natrona County, Wyoming",82445.0,025,90660,56
5602590605,"Casper North CCD, Natrona County, Wyoming",54718.0,025,90605,56
5602591705,"Hells Half Acre CCD, Natrona County, Wyoming",70733.0,025,91705,56
5602190770,"Cheyenne East CCD, Laramie County, Wyoming",91707.0,021,90770,56
5602190715,"Cheyenne CCD, Laramie County, Wyoming",61116.0,021,90715,56
