geoid,name,median,county,county subdivision,state
3504592970,"Shiprock-Sanostee CCD, San Juan County, New Mexico",288.0,045,92970,35
3504590360,"Bloomfield CCD, San Juan County, New Mexico",705.0,045,90360,35
3504591290,"Farmington CCD, San Juan County, New Mexico",834.0,045,91290,35
3504592160,"Naschitti CCD, San Juan County, New Mexico",215.0,045,92160,35
3504590180,"Aztec CCD, San Juan County, New Mexico",745.0,045,90180,35
3503792730,"San Jon CCD, Quay County, New Mexico",508.0,037,92730,35
3503793540,"Tucumcari CCD, Quay County, New Mexico",424.0,037,93540,35
3502791500,"Hondo CCD, Lincoln County, New Mexico",625.0,027,91500,35
3503791830,"Logan-Nara Visa CCD, Quay County, New Mexico",393.0,037,91830,35
3503791530,"House-Forrest CCD, Quay County, New Mexico",421.0,037,91530,35
3502790780,"Corona CCD, Lincoln County, New Mexico",463.0,027,90780,35
3502790510,"Carrizozo CCD, Lincoln County, New Mexico",411.0,027,90510,35
3502790450,"Capitan CCD, Lincoln County, New Mexico",711.0,027,90450,35
3502792700,"Ruidoso CCD, Lincoln County, New Mexico",720.0,027,92700,35
3500591410,"Hagerman CCD, Chaves County, New Mexico",484.0,005,91410,35
3500592280,"Northwest Chaves CCD, Chaves County, New Mexico",844.0,005,92280,35
3500593240,"Southwest Chaves CCD, Chaves County, New Mexico",572.0,005,93240,35
3500590960,"Dexter CCD, Chaves County, New Mexico",634.0,005,90960,35
3500593090,"Southeast Chaves CCD, Chaves County, New Mexico",563.0,005,93090,35
3500592670,"Roswell CCD, Chaves County, New Mexico",667.0,005,92670,35
3500592190,"Northeast Chaves CCD, Chaves County, New Mexico",-666666666.0,005,92190,35
3502591950,"Lovington CCD, Lea County, New Mexico",583.0,025,91950,35
3502591620,"Jal CCD, Lea County, New Mexico",504.0,025,91620,35
3502591470,"Hobbs CCD, Lea County, New Mexico",750.0,025,91470,35
3502591230,"Eunice CCD, Lea County, New Mexico",440.0,025,91230,35
3502593360,"Tatum CCD, Lea County, New Mexico",390.0,025,93360,35
3504992880,"Santa Fe South CCD, Santa Fe County, New Mexico",1155.0,049,92880,35
3504992820,"Santa Fe CCD, Santa Fe County, New Mexico",1024.0,049,92820,35
3504992850,"Santa Fe North CCD, Santa Fe County, New Mexico",673.0,049,92850,35
3505990660,"Clayton North CCD, Union County, New Mexico",497.0,059,90660,35
3505990690,"Clayton South CCD, Union County, New Mexico",538.0,059,90690,35
3505193510,"Truth or Consequences West CCD, Sierra County, New Mexico",436.0,051,93510,35
3505193480,"Truth or Consequences East CCD, Sierra County, New Mexico",440.0,051,93480,35
3505391980,"Magdalena CCD, Socorro County, New Mexico",273.0,053,91980,35
3505390630,"Claunch CCD, Socorro County, New Mexico",-666666666.0,053,90630,35
