geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",51780.0,42643.0,5924.0,1441.0,1678.0,94.0,122,38460,02
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",7671.0,6063.0,464.0,250.0,886.0,8.0,261,14420,02
0206818765,"Denali census subarea, Denali Borough, Alaska",2287.0,1539.0,70.0,118.0,400.0,160.0,068,18765,02
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",1705.0,1390.0,118.0,167.0,24.0,6.0,261,17350,02
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",5611.0,4590.0,285.0,299.0,321.0,116.0,122,68610,02
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",1007.0,866.0,95.0,36.0,7.0,3.0,290,46060,02
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",1286.0,1127.0,81.0,54.0,22.0,2.0,164,42780,02
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",6772.0,5483.0,602.0,432.0,196.0,59.0,240,72030,02
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",3166.0,2714.0,206.0,114.0,96.0,36.0,290,42080,02
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",1209.0,1100.0,52.0,27.0,22.0,8.0,290,86690,02
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",294072.0,235360.0,37387.0,5503.0,12934.0,2888.0,020,3050,02
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",3323.0,2725.0,173.0,131.0,206.0,88.0,013,1598,02
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",4725.0,4007.0,396.0,106.0,216.0,0.0,198,64310,02
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",1027.0,747.0,98.0,62.0,107.0,13.0,230,70810,02
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,198,34575,02
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",1657.0,1520.0,94.0,15.0,28.0,0.0,198,48873,02
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",2443.0,2184.0,143.0,46.0,52.0,18.0,275,86420,02
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",2055.0,1792.0,102.0,92.0,57.0,12.0,105,33390,02
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",62.0,56.0,2.0,4.0,0.0,0.0,105,40560,02
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",5738.0,4486.0,453.0,117.0,414.0,268.0,016,1615,02
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",905.0,717.0,77.0,66.0,45.0,0.0,060,9050,02
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",13551.0,11296.0,982.0,450.0,660.0,163.0,150,41200,02
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",7555.0,6537.0,693.0,123.0,195.0,7.0,188,56270,02
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",8727.0,6985.0,858.0,471.0,356.0,57.0,220,70590,02
020503580,"Aniak census subarea, Bethel Census Area, Alaska",1423.0,1247.0,126.0,32.0,18.0,0.0,050,3580,02
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",16212.0,14097.0,1541.0,470.0,100.0,4.0,050,45510,02
0218555970,"North Slope census subarea, North Slope Borough, Alaska",9577.0,8142.0,666.0,428.0,321.0,20.0,185,55970,02
0215842185,"Kusilvak census subarea, Kusilvak Census Area, Alaska",7943.0,7274.0,370.0,219.0,79.0,1.0,158,42185,02
0219560360,"Petersburg census subarea, Petersburg Borough, Alaska",3231.0,2822.0,237.0,75.0,84.0,13.0,195,60360,02
0209024450,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",98368.0,75876.0,11665.0,1862.0,7699.0,1266.0,090,24450,02
0213039010,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",13552.0,10894.0,1533.0,336.0,672.0,117.0,130,39010,02
0217047440,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",99815.0,83775.0,8717.0,3992.0,2973.0,358.0,170,47440,02
0218054970,"Nome census subarea, Nome Census Area, Alaska",9672.0,8225.0,855.0,309.0,265.0,18.0,180,54970,02
0207019000,"Dillingham census subarea, Dillingham Census Area, Alaska",4899.0,4208.0,452.0,174.0,55.0,10.0,070,19000,02
0210031160,"Haines census subarea, Haines Borough, Alaska",2531.0,2093.0,263.0,118.0,36.0,21.0,100,31160,02
0228286498,"Yakutat census subarea, Yakutat City and Borough, Alaska",676.0,529.0,76.0,22.0,49.0,0.0,282,86498,02
0211036450,"Juneau census subarea, Juneau City and Borough, Alaska",32178.0,26131.0,3736.0,580.0,1505.0,226.0,110,36450,02
