geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0900163480,"Redding town, Fairfield County, Connecticut",9217.0,8145.0,817.0,21.0,197.0,37.0,001,63480,09
0900174190,"Stratford town, Fairfield County, Connecticut",52242.0,48758.0,2059.0,580.0,764.0,81.0,001,74190,09
0900173070,"Stamford town, Fairfield County, Connecticut",126922.0,109200.0,10656.0,764.0,4668.0,1634.0,001,73070,09
0900150580,"New Canaan town, Fairfield County, Connecticut",20291.0,17474.0,2272.0,39.0,462.0,44.0,001,50580,09
0900150860,"New Fairfield town, Fairfield County, Connecticut",13934.0,13026.0,461.0,2.0,399.0,46.0,001,50860,09
0900152980,"Newtown town, Fairfield County, Connecticut",27900.0,25651.0,1189.0,447.0,528.0,85.0,001,52980,09
0900183430,"Weston town, Fairfield County, Connecticut",10305.0,9517.0,476.0,32.0,188.0,92.0,001,83430,09
090010,"County subdivisions not defined, Fairfield County, Connecticut",0.0,0.0,0.0,0.0,0.0,0.0,001,0,09
0900123890,"Easton town, Fairfield County, Connecticut",7584.0,7104.0,383.0,12.0,74.0,11.0,001,23890,09
0900186370,"Wilton town, Fairfield County, Connecticut",18544.0,16561.0,1078.0,22.0,760.0,123.0,001,86370,09
090018070,"Bridgeport town, Fairfield County, Connecticut",145638.0,119378.0,18550.0,1798.0,3655.0,2257.0,001,8070,09
0900118850,"Darien town, Fairfield County, Connecticut",21461.0,19339.0,1100.0,68.0,768.0,186.0,001,18850,09
0900126620,"Fairfield town, Fairfield County, Connecticut",61077.0,53765.0,4210.0,531.0,2088.0,483.0,001,26620,09
090014720,"Bethel town, Fairfield County, Connecticut",19249.0,18002.0,983.0,156.0,108.0,0.0,001,4720,09
0900163970,"Ridgefield town, Fairfield County, Connecticut",25086.0,23048.0,1165.0,170.0,522.0,181.0,001,63970,09
0900168170,"Shelton town, Fairfield County, Connecticut",41089.0,36685.0,2600.0,751.0,961.0,92.0,001,68170,09
0900183500,"Westport town, Fairfield County, Connecticut",27588.0,24671.0,1502.0,97.0,1115.0,203.0,001,83500,09
0900118500,"Danbury town, Fairfield County, Connecticut",83493.0,73132.0,6048.0,549.0,2642.0,1122.0,001,18500,09
090093250,"Beacon Falls town, New Haven County, Connecticut",6032.0,5740.0,254.0,0.0,38.0,0.0,009,3250,09
0900982870,"West Haven town, New Haven County, Connecticut",54663.0,46347.0,5229.0,1042.0,1049.0,996.0,009,82870,09
090094580,"Bethany town, New Haven County, Connecticut",5514.0,5044.0,385.0,24.0,12.0,49.0,009,4580,09
0900922910,"East Haven town, New Haven County, Connecticut",28666.0,25257.0,2586.0,274.0,537.0,12.0,009,22910,09
0900934950,"Guilford town, New Haven County, Connecticut",22243.0,20304.0,1155.0,324.0,403.0,57.0,009,34950,09
0900944560,"Madison town, New Haven County, Connecticut",18116.0,16334.0,955.0,344.0,292.0,191.0,009,44560,09
0900946940,"Middlebury town, New Haven County, Connecticut",7620.0,7282.0,244.0,89.0,5.0,0.0,009,46940,09
0900987560,"Wolcott town, New Haven County, Connecticut",16635.0,15994.0,331.0,199.0,111.0,0.0,009,87560,09
0900978740,"Wallingford town, New Haven County, Connecticut",44684.0,41721.0,2165.0,390.0,379.0,29.0,009,78740,09
0900987700,"Woodbridge town, New Haven County, Connecticut",8829.0,8004.0,403.0,114.0,219.0,89.0,009,87700,09
090091220,"Ansonia town, New Haven County, Connecticut",18674.0,17239.0,881.0,458.0,77.0,19.0,009,1220,09
