geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
1711571357,"South Wheatland township, Macon County, Illinois",3998.0,3644.0,291.0,42.0,21.0,0.0,115,71357,17
1711518836,"Decatur township, Macon County, Illinois",50469.0,39354.0,8578.0,1692.0,730.0,115.0,115,18836,17
1711560677,"Pleasant View township, Macon County, Illinois",1475.0,1330.0,39.0,106.0,0.0,0.0,115,60677,17
1711544511,"Long Creek township, Macon County, Illinois",10301.0,9395.0,554.0,96.0,247.0,9.0,115,44511,17
1711551219,"Mount Zion township, Macon County, Illinois",7083.0,6552.0,446.0,28.0,57.0,0.0,115,51219,17
171153051,"Austin township, Macon County, Illinois",197.0,184.0,13.0,0.0,0.0,0.0,115,3051,17
1711537023,"Illini township, Macon County, Illinois",1752.0,1542.0,93.0,114.0,0.0,3.0,115,37023,17
1713791962,"Lynnville precinct, Morgan County, Illinois",517.0,430.0,80.0,0.0,7.0,0.0,137,91962,17
1711547085,"Maroa township, Macon County, Illinois",1865.0,1689.0,111.0,47.0,0.0,18.0,115,47085,17
171156769,"Blue Mound township, Macon County, Illinois",881.0,853.0,9.0,14.0,0.0,5.0,115,6769,17
1711534527,"Hickory Point township, Macon County, Illinois",17764.0,14480.0,2165.0,715.0,367.0,37.0,115,34527,17
1711552974,"Niantic township, Macon County, Illinois",610.0,559.0,35.0,3.0,13.0,0.0,115,52974,17
1711554859,"Oakley township, Macon County, Illinois",1002.0,875.0,83.0,44.0,0.0,0.0,115,54859,17
1713791712,"Jacksonville No. 2 precinct, Morgan County, Illinois",1526.0,1361.0,149.0,16.0,0.0,0.0,137,91712,17
1713791719,"Jacksonville No. 9 precinct, Morgan County, Illinois",1023.0,667.0,292.0,56.0,0.0,8.0,137,91719,17
1713792268,"Nortonville precinct, Morgan County, Illinois",299.0,262.0,37.0,0.0,0.0,0.0,137,92268,17
1713792034,"Markham precinct, Morgan County, Illinois",783.0,590.0,186.0,0.0,7.0,0.0,137,92034,17
1713791715,"Jacksonville No. 5 precinct, Morgan County, Illinois",701.0,618.0,35.0,25.0,23.0,0.0,137,91715,17
1713791716,"Jacksonville No. 6 precinct, Morgan County, Illinois",1126.0,799.0,160.0,167.0,0.0,0.0,137,91716,17
170671621,"Appanoose township, Hancock County, Illinois",460.0,440.0,8.0,0.0,0.0,12.0,067,1621,17
1706732993,"Harmony township, Hancock County, Illinois",418.0,370.0,38.0,0.0,10.0,0.0,067,32993,17
1706764876,"Rock Creek township, Hancock County, Illinois",322.0,314.0,1.0,0.0,7.0,0.0,067,64876,17
1706770499,"Sonora township, Hancock County, Illinois",645.0,538.0,86.0,0.0,0.0,21.0,067,70499,17
1706778422,"Walker township, Hancock County, Illinois",326.0,322.0,4.0,0.0,0.0,0.0,067,78422,17
1706714104,"Chili township, Hancock County, Illinois",504.0,484.0,20.0,0.0,0.0,0.0,067,14104,17
1711915612,"Collinsville township, Madison County, Illinois",35553.0,30236.0,2451.0,1709.0,980.0,177.0,119,15612,17
1706767054,"St. Mary township, Hancock County, Illinois",513.0,495.0,4.0,11.0,3.0,0.0,067,67054,17
1706718433,"Dallas City township, Hancock County, Illinois",1110.0,1051.0,16.0,17.0,26.0,0.0,067,18433,17
171191127,"Alton township, Madison County, Illinois",26706.0,23331.0,2291.0,431.0,638.0,15.0,119,1127,17
1706781607,"Wilcox township, Hancock County, Illinois",99.0,99.0,0.0,0.0,0.0,0.0,067,81607,17
1711966872,"St. Jacob township, Madison County, Illinois",2618.0,2266.0,156.0,181.0,15.0,0.0,119,66872,17
1711983284,"Wood River township, Madison County, Illinois",30453.0,26843.0,2633.0,595.0,366.0,16.0,119,83284,17
1711946877,"Marine township, Madison County, Illinois",2129.0,1986.0,89.0,35.0,15.0,4.0,119,46877,17
1711956068,"Omphghent township, Madison County, Illinois",2578.0,2292.0,260.0,15.0,11.0,0.0,119,56068,17
1711977486,"Venice township, Madison County, Illinois",5565.0,4845.0,395.0,86.0,218.0,21.0,119,77486,17
1711914260,"Chouteau township, Madison County, Illinois",8042.0,6751.0,984.0,168.0,128.0,11.0,119,14260,17
1711938245,"Jarvis township, Madison County, Illinois",14172.0,12680.0,751.0,344.0,397.0,0.0,119,38245,17
1711951583,"Nameoki township, Madison County, Illinois",12333.0,10728.0,1047.0,189.0,369.0,0.0,119,51583,17
1711930939,"Granite City township, Madison County, Illinois",26221.0,23118.0,1930.0,805.0,345.0,23.0,119,30939,17
1711933981,"Helvetia township, Madison County, Illinois",8313.0,6817.0,919.0,439.0,138.0,0.0,119,33981,17
1711927182,"Foster township, Madison County, Illinois",4003.0,3798.0,170.0,35.0,0.0,0.0,119,27182,17
1711950465,"Moro township, Madison County, Illinois",3484.0,3235.0,210.0,21.0,18.0,0.0,119,50465,17
1711960014,"Pin Oak township, Madison County, Illinois",3904.0,3745.0,102.0,5.0,52.0,0.0,119,60014,17
1711932421,"Hamel township, Madison County, Illinois",2448.0,2316.0,125.0,0.0,7.0,0.0,119,32421,17
1711922710,"Edwardsville township, Madison County, Illinois",37769.0,30101.0,3545.0,2800.0,1066.0,257.0,119,22710,17
1711952428,"New Douglas township, Madison County, Illinois",507.0,471.0,29.0,7.0,0.0,0.0,119,52428,17
1711967275,"Saline township, Madison County, Illinois",6235.0,5354.0,559.0,289.0,33.0,0.0,119,67275,17
1711942652,"Leef township, Madison County, Illinois",688.0,616.0,55.0,5.0,12.0,0.0,119,42652,17
1711955834,"Olive township, Madison County, Illinois",1665.0,1433.0,142.0,59.0,31.0,0.0,119,55834,17
1711927130,"Fort Russell township, Madison County, Illinois",8999.0,7746.0,956.0,239.0,58.0,0.0,119,27130,17
1711930107,"Godfrey township, Madison County, Illinois",17438.0,15290.0,1504.0,392.0,239.0,13.0,119,30107,17
1706325778,"Felix township, Grundy County, Illinois",4351.0,3791.0,380.0,128.0,47.0,5.0,063,25778,17
1706330432,"Goodfarm township, Grundy County, Illinois",391.0,391.0,0.0,0.0,0.0,0.0,063,30432,17
1706347800,"Mazon township, Grundy County, Illinois",1527.0,1453.0,51.0,19.0,4.0,0.0,063,47800,17
17119750,"Alhambra township, Madison County, Illinois",1432.0,1262.0,94.0,62.0,14.0,0.0,119,750,17
1706330549,"Goose Lake township, Grundy County, Illinois",1330.0,1259.0,30.0,41.0,0.0,0.0,063,30549,17
1706377850,"Vienna township, Grundy County, Illinois",702.0,675.0,20.0,1.0,3.0,3.0,063,77850,17
1706324400,"Erienna township, Grundy County, Illinois",2502.0,2211.0,225.0,36.0,30.0,0.0,063,24400,17
1706328677,"Garfield township, Grundy County, Illinois",1391.0,1266.0,78.0,39.0,8.0,0.0,063,28677,17
1706331381,"Greenfield township, Grundy County, Illinois",1208.0,1160.0,23.0,24.0,1.0,0.0,063,31381,17
1706353286,"Norman township, Grundy County, Illinois",305.0,224.0,81.0,0.0,0.0,0.0,063,53286,17
1706334657,"Highland township, Grundy County, Illinois",326.0,322.0,0.0,4.0,0.0,0.0,063,34657,17
1706367678,"Saratoga township, Grundy County, Illinois",6136.0,5288.0,511.0,298.0,39.0,0.0,063,67678,17
1706379345,"Wauponsee township, Grundy County, Illinois",2245.0,2030.0,148.0,67.0,0.0,0.0,063,79345,17
1706352038,"Nettle Creek township, Grundy County, Illinois",529.0,485.0,24.0,20.0,0.0,0.0,063,52038,17
170637653,"Braceville township, Grundy County, Illinois",6262.0,5555.0,521.0,137.0,49.0,0.0,063,7653,17
170633090,"Aux Sable township, Grundy County, Illinois",12998.0,12025.0,169.0,667.0,137.0,0.0,063,3090,17
1706350504,"Morris township, Grundy County, Illinois",7257.0,5874.0,938.0,385.0,51.0,9.0,063,50504,17
1709167262,"Salina township, Kankakee County, Illinois",1181.0,1103.0,69.0,4.0,5.0,0.0,091,67262,17
1709149906,"Momence township, Kankakee County, Illinois",3687.0,3301.0,314.0,35.0,37.0,0.0,091,49906,17
1709166651,"St. Anne township, Kankakee County, Illinois",2228.0,2101.0,115.0,6.0,0.0,6.0,091,66651,17
1709165195,"Rockville township, Kankakee County, Illinois",842.0,787.0,14.0,0.0,7.0,34.0,091,65195,17
1709143497,"Limestone township, Kankakee County, Illinois",4872.0,4501.0,240.0,77.0,36.0,18.0,091,43497,17
1709157017,"Otto township, Kankakee County, Illinois",2323.0,1784.0,320.0,161.0,58.0,0.0,091,57017,17
1709173690,"Sumner township, Kankakee County, Illinois",784.0,767.0,8.0,9.0,0.0,0.0,091,73690,17
170917484,"Bourbonnais township, Kankakee County, Illinois",38983.0,34157.0,2955.0,1011.0,730.0,130.0,091,7484,17
1709124465,"Essex township, Kankakee County, Illinois",1591.0,1513.0,11.0,67.0,0.0,0.0,091,24465,17
1709146513,"Manteno township, Kankakee County, Illinois",10941.0,9290.0,961.0,542.0,131.0,17.0,091,46513,17
1709128456,"Ganeer township, Kankakee County, Illinois",3076.0,2982.0,55.0,9.0,30.0,0.0,091,28456,17
1709138947,"Kankakee township, Kankakee County, Illinois",26445.0,23366.0,1715.0,898.0,433.0,33.0,091,38947,17
1709154352,"Norton township, Kankakee County, Illinois",1112.0,1018.0,33.0,42.0,9.0,10.0,091,54352,17
1709158538,"Pembroke township, Kankakee County, Illinois",2088.0,2008.0,32.0,42.0,6.0,0.0,091,58538,17
170912245,"Aroma township, Kankakee County, Illinois",4943.0,4420.0,399.0,86.0,38.0,0.0,091,2245,17
17131126,"Abington township, Mercer County, Illinois",380.0,362.0,4.0,11.0,3.0,0.0,131,126,17
1713153806,"North Henderson township, Mercer County, Illinois",408.0,385.0,0.0,22.0,1.0,0.0,131,53806,17
1713163628,"Richland Grove township, Mercer County, Illinois",2132.0,1917.0,38.0,139.0,38.0,0.0,131,63628,17
1713159182,"Perryton township, Mercer County, Illinois",395.0,380.0,15.0,0.0,0.0,0.0,131,59182,17
1713131342,"Greene township, Mercer County, Illinois",1299.0,1251.0,13.0,35.0,0.0,0.0,131,31342,17
1713152233,"New Boston township, Mercer County, Illinois",850.0,723.0,108.0,11.0,8.0,0.0,131,52233,17
1713173339,"Suez township, Mercer County, Illinois",608.0,535.0,17.0,54.0,0.0,2.0,131,73339,17
1713155405,"Ohio Grove township, Mercer County, Illinois",150.0,141.0,9.0,0.0,0.0,0.0,131,55405,17
1713161795,"Preemption township, Mercer County, Illinois",1848.0,1730.0,77.0,7.0,30.0,4.0,131,61795,17
1713164551,"Rivoli township, Mercer County, Illinois",1427.0,1197.0,55.0,47.0,128.0,0.0,131,64551,17
1713123152,"Eliza township, Mercer County, Illinois",522.0,522.0,0.0,0.0,0.0,0.0,131,23152,17
1713148398,"Mercer township, Mercer County, Illinois",3889.0,3367.0,328.0,168.0,26.0,0.0,131,48398,17
1713139311,"Keithsburg township, Mercer County, Illinois",618.0,522.0,90.0,6.0,0.0,0.0,131,39311,17
1704343952,"Lisle township, DuPage County, Illinois",118293.0,103305.0,6826.0,5138.0,2144.0,880.0,043,43952,17
1713149256,"Millersburg township, Mercer County, Illinois",727.0,670.0,11.0,30.0,16.0,0.0,131,49256,17
1713120968,"Duncan township, Mercer County, Illinois",408.0,408.0,0.0,0.0,0.0,0.0,131,20968,17
1706346175,"Maine township, Grundy County, Illinois",292.0,272.0,20.0,0.0,0.0,0.0,063,46175,17
1709159819,"Pilot township, Kankakee County, Illinois",1992.0,1797.0,124.0,46.0,25.0,0.0,091,59819,17
1709183856,"Yellowhead township, Kankakee County, Illinois",2601.0,2311.0,116.0,90.0,77.0,7.0,091,83856,17
1704349451,"Milton township, DuPage County, Illinois",117061.0,101695.0,7793.0,3686.0,2770.0,1117.0,043,49451,17
1704382413,"Winfield township, DuPage County, Illinois",46420.0,41258.0,3173.0,1485.0,296.0,208.0,043,82413,17
1704383947,"York township, DuPage County, Illinois",124654.0,109303.0,8172.0,4272.0,2011.0,896.0,043,83947,17
1704314000,"Chicago city, DuPage County, Illinois",0.0,0.0,0.0,0.0,0.0,0.0,043,14000,17
1704320604,"Downers Grove township, DuPage County, Illinois",147660.0,132727.0,7692.0,4935.0,1766.0,540.0,043,20604,17
1704351635,"Naperville township, DuPage County, Illinois",100740.0,83237.0,7757.0,6202.0,2304.0,1240.0,043,51635,17
1716714858,"Clear Lake township, Sangamon County, Illinois",8478.0,7258.0,1018.0,115.0,87.0,0.0,167,14858,17
1716716574,"Cotton Hill township, Sangamon County, Illinois",773.0,736.0,28.0,9.0,0.0,0.0,167,16574,17
1716747618,"Maxwell township, Sangamon County, Illinois",316.0,316.0,0.0,0.0,0.0,0.0,167,47618,17
1716711579,"Cartwright township, Sangamon County, Illinois",1419.0,1297.0,98.0,17.0,0.0,7.0,167,11579,17
1716712697,"Chatham township, Sangamon County, Illinois",7207.0,5933.0,874.0,230.0,170.0,0.0,167,12697,17
1716737881,"Island Grove township, Sangamon County, Illinois",600.0,569.0,12.0,13.0,6.0,0.0,167,37881,17
17043250,"Addison township, DuPage County, Illinois",88608.0,79417.0,4890.0,3136.0,690.0,475.0,043,250,17
170436600,"Bloomingdale township, DuPage County, Illinois",111644.0,96471.0,9033.0,3940.0,1335.0,865.0,043,6600,17
1704379410,"Wayne township, DuPage County, Illinois",66644.0,60831.0,3009.0,2034.0,440.0,330.0,043,79410,17
1716748034,"Mechanicsburg township, Sangamon County, Illinois",2658.0,2368.0,223.0,51.0,16.0,0.0,167,48034,17
1716728651,"Gardner township, Sangamon County, Illinois",4247.0,3796.0,245.0,91.0,115.0,0.0,167,28651,17
1716752181,"New Berlin township, Sangamon County, Illinois",1787.0,1480.0,246.0,50.0,8.0,3.0,167,52181,17
1716718160,"Curran township, Sangamon County, Illinois",1375.0,1222.0,153.0,0.0,0.0,0.0,167,18160,17
171672928,"Auburn township, Sangamon County, Illinois",6244.0,5744.0,417.0,49.0,34.0,0.0,167,2928,17
171679486,"Buffalo Hart township, Sangamon County, Illinois",128.0,128.0,0.0,0.0,0.0,0.0,167,9486,17
1716720058,"Divernon township, Sangamon County, Illinois",1311.0,1091.0,192.0,11.0,17.0,0.0,167,20058,17
1716741976,"Lanesville township, Sangamon County, Illinois",156.0,156.0,0.0,0.0,0.0,0.0,167,41976,17
1716772013,"Springfield township, Sangamon County, Illinois",5695.0,4744.0,807.0,25.0,111.0,8.0,167,72013,17
1716783310,"Woodside township, Sangamon County, Illinois",11200.0,9623.0,1136.0,207.0,141.0,93.0,167,83310,17
1716711046,"Capital township, Sangamon County, Illinois",114658.0,93247.0,14673.0,4116.0,2219.0,403.0,167,11046,17
1716725323,"Fancy Creek township, Sangamon County, Illinois",5708.0,5257.0,308.0,141.0,2.0,0.0,167,25323,17
1716737140,"Illiopolis township, Sangamon County, Illinois",1339.0,1156.0,98.0,45.0,40.0,0.0,167,37140,17
1716781776,"Williams township, Sangamon County, Illinois",3518.0,3204.0,94.0,214.0,6.0,0.0,167,81776,17
1716716223,"Cooper township, Sangamon County, Illinois",704.0,559.0,139.0,6.0,0.0,0.0,167,16223,17
1716744186,"Loami township, Sangamon County, Illinois",1052.0,907.0,102.0,30.0,13.0,0.0,167,44186,17
1716758187,"Pawnee township, Sangamon County, Illinois",3004.0,2806.0,165.0,12.0,21.0,0.0,167,58187,17
171673506,"Ball township, Sangamon County, Illinois",6951.0,6200.0,615.0,103.0,16.0,17.0,167,3506,17
1716764772,"Rochester township, Sangamon County, Illinois",5365.0,4984.0,290.0,86.0,5.0,0.0,167,64772,17
1716774340,"Talkington township, Sangamon County, Illinois",200.0,200.0,0.0,0.0,0.0,0.0,167,74340,17
1707516041,"Concord township, Iroquois County, Illinois",474.0,434.0,1.0,0.0,39.0,0.0,075,16041,17
1707563901,"Ridgeland township, Iroquois County, Illinois",328.0,306.0,13.0,9.0,0.0,0.0,075,63901,17
1707537725,"Iroquois township, Iroquois County, Illinois",638.0,574.0,41.0,8.0,15.0,0.0,075,37725,17
170752492,"Ashkum township, Iroquois County, Illinois",1435.0,1318.0,88.0,27.0,2.0,0.0,075,2492,17
1707572773,"Stockland township, Iroquois County, Illinois",152.0,152.0,0.0,0.0,0.0,0.0,075,72773,17
1707561665,"Prairie Green township, Iroquois County, Illinois",159.0,114.0,0.0,45.0,0.0,0.0,075,61665,17
1707548814,"Middleport township, Iroquois County, Illinois",4142.0,3415.0,565.0,58.0,104.0,0.0,075,48814,17
1702147631,"May township, Christian County, Illinois",1597.0,1469.0,90.0,25.0,13.0,0.0,021,47631,17
1718191792,"Jonesboro District 3 precinct, Union County, Illinois",558.0,510.0,40.0,8.0,0.0,0.0,181,91792,17
1718190990,"Dongola District 2 precinct, Union County, Illinois",581.0,578.0,3.0,0.0,0.0,0.0,181,90990,17
1718191764,"Jonesboro District 1 precinct, Union County, Illinois",1134.0,1042.0,61.0,31.0,0.0,0.0,181,91764,17
1718191782,"Jonesboro District 2 precinct, Union County, Illinois",1119.0,1042.0,71.0,6.0,0.0,0.0,181,91782,17
1718193484,"Union precinct, Union County, Illinois",624.0,584.0,26.0,14.0,0.0,0.0,181,93484,17
1713793210,"South Jacksonville No. 3 precinct, Morgan County, Illinois",996.0,895.0,48.0,53.0,0.0,0.0,137,93210,17
1713793212,"South Jacksonville No. 4 precinct, Morgan County, Illinois",801.0,573.0,228.0,0.0,0.0,0.0,137,93212,17
1719990432,"Blairsville precinct, Williamson County, Illinois",5758.0,5176.0,381.0,168.0,33.0,0.0,199,90432,17
1719990648,"Carterville precinct, Williamson County, Illinois",9607.0,8593.0,620.0,286.0,108.0,0.0,199,90648,17
1719990846,"Corinth precinct, Williamson County, Illinois",1192.0,1151.0,41.0,0.0,0.0,0.0,199,90846,17
1719990882,"Crab Orchard precinct, Williamson County, Illinois",1381.0,1285.0,96.0,0.0,0.0,0.0,199,90882,17
1719990918,"Creal Springs precinct, Williamson County, Illinois",1875.0,1791.0,32.0,27.0,25.0,0.0,199,90918,17
1719991062,"East Marion precinct, Williamson County, Illinois",10642.0,9433.0,732.0,273.0,204.0,0.0,199,91062,17
1719991548,"Grassy precinct, Williamson County, Illinois",476.0,433.0,0.0,35.0,8.0,0.0,199,91548,17
1719991620,"Herrin precinct, Williamson County, Illinois",15092.0,13385.0,973.0,510.0,190.0,34.0,199,91620,17
1713792934,"Prentice-Sinclair precinct, Morgan County, Illinois",394.0,368.0,0.0,23.0,3.0,0.0,137,92934,17
1719991836,"Lake Creek precinct, Williamson County, Illinois",3620.0,3229.0,315.0,18.0,58.0,0.0,199,91836,17
1719993204,"Southern precinct, Williamson County, Illinois",3493.0,2854.0,138.0,162.0,339.0,0.0,199,93204,17
1719993294,"Stonefort precinct, Williamson County, Illinois",973.0,938.0,27.0,8.0,0.0,0.0,199,93294,17
1719993690,"West Marion precinct, Williamson County, Illinois",12719.0,11038.0,1031.0,483.0,147.0,20.0,199,93690,17
1713792232,"Murrayville precinct, Morgan County, Illinois",824.0,746.0,61.0,13.0,4.0,0.0,137,92232,17
1713793206,"South Jacksonville No. 1 precinct, Morgan County, Illinois",888.0,816.0,39.0,18.0,15.0,0.0,137,93206,17
1713793208,"South Jacksonville No. 2 precinct, Morgan County, Illinois",508.0,474.0,13.0,21.0,0.0,0.0,137,93208,17
1718190180,"Anna District 4 precinct, Union County, Illinois",800.0,747.0,10.0,43.0,0.0,0.0,181,90180,17
1718190198,"Anna District 5 precinct, Union County, Illinois",697.0,564.0,21.0,10.0,102.0,0.0,181,90198,17
1713392640,"Precinct 19, Monroe County, Illinois",697.0,655.0,29.0,13.0,0.0,0.0,133,92640,17
1713392645,"Precinct 20, Monroe County, Illinois",1229.0,1104.0,87.0,20.0,9.0,9.0,133,92645,17
1713392550,"Precinct 1, Monroe County, Illinois",481.0,452.0,11.0,16.0,2.0,0.0,133,92550,17
1713392555,"Precinct 2, Monroe County, Illinois",466.0,340.0,0.0,15.0,111.0,0.0,133,92555,17
1713392560,"Precinct 3, Monroe County, Illinois",1025.0,800.0,51.0,135.0,39.0,0.0,133,92560,17
1713392565,"Precinct 4, Monroe County, Illinois",923.0,846.0,77.0,0.0,0.0,0.0,133,92565,17
1713392570,"Precinct 5, Monroe County, Illinois",521.0,449.0,0.0,72.0,0.0,0.0,133,92570,17
1713392575,"Precinct 6, Monroe County, Illinois",914.0,891.0,23.0,0.0,0.0,0.0,133,92575,17
1713392580,"Precinct 7, Monroe County, Illinois",338.0,326.0,12.0,0.0,0.0,0.0,133,92580,17
1713392585,"Precinct 8, Monroe County, Illinois",1244.0,1058.0,151.0,0.0,35.0,0.0,133,92585,17
1713392590,"Precinct 9, Monroe County, Illinois",1000.0,983.0,0.0,17.0,0.0,0.0,133,92590,17
1713392595,"Precinct 10, Monroe County, Illinois",672.0,622.0,8.0,9.0,33.0,0.0,133,92595,17
1713392600,"Precinct 11, Monroe County, Illinois",1015.0,862.0,135.0,18.0,0.0,0.0,133,92600,17
1713392605,"Precinct 12, Monroe County, Illinois",926.0,811.0,115.0,0.0,0.0,0.0,133,92605,17
1713392610,"Precinct 13, Monroe County, Illinois",532.0,518.0,0.0,0.0,0.0,14.0,133,92610,17
1713392615,"Precinct 14, Monroe County, Illinois",1013.0,1005.0,8.0,0.0,0.0,0.0,133,92615,17
1713392620,"Precinct 15, Monroe County, Illinois",621.0,571.0,38.0,12.0,0.0,0.0,133,92620,17
1713392625,"Precinct 16, Monroe County, Illinois",807.0,766.0,0.0,0.0,41.0,0.0,133,92625,17
