geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
2500926150,"Gloucester city, Essex County, Massachusetts",29650.0,26969.0,1957.0,273.0,391.0,60.0,009,26150,25
2500927900,"Hamilton town, Essex County, Massachusetts",7954.0,7050.0,511.0,178.0,99.0,116.0,009,27900,25
250115560,"Bernardston town, Franklin County, Massachusetts",2174.0,1988.0,143.0,13.0,21.0,9.0,011,5560,25
2501125730,"Gill town, Franklin County, Massachusetts",1589.0,1434.0,83.0,47.0,25.0,0.0,011,25730,25
2501129475,"Hawley town, Franklin County, Massachusetts",425.0,398.0,24.0,3.0,0.0,0.0,011,29475,25
2501161135,"Shelburne town, Franklin County, Massachusetts",1922.0,1745.0,81.0,25.0,65.0,6.0,011,61135,25
2501135180,"Leverett town, Franklin County, Massachusetts",1977.0,1853.0,43.0,50.0,25.0,6.0,011,35180,25
2501129650,"Heath town, Franklin County, Massachusetts",762.0,756.0,6.0,0.0,0.0,0.0,011,29650,25
2501135285,"Leyden town, Franklin County, Massachusetts",673.0,644.0,29.0,0.0,0.0,0.0,011,35285,25
2501147835,"Northfield town, Franklin County, Massachusetts",2964.0,2744.0,115.0,42.0,57.0,6.0,011,47835,25
2501572880,"Ware town, Hampshire County, Massachusetts",9701.0,9132.0,290.0,268.0,11.0,0.0,015,72880,25
2501546330,"Northampton city, Hampshire County, Massachusetts",28324.0,22929.0,2988.0,1125.0,1101.0,181.0,015,46330,25
2501554030,"Plainfield town, Hampshire County, Massachusetts",664.0,634.0,9.0,11.0,6.0,4.0,015,54030,25
2501576380,"Westhampton town, Hampshire County, Massachusetts",1795.0,1679.0,57.0,27.0,32.0,0.0,015,76380,25
2501582175,"Worthington town, Hampshire County, Massachusetts",1244.0,1125.0,60.0,39.0,20.0,0.0,015,82175,25
250151325,"Amherst town, Hampshire County, Massachusetts",39720.0,20095.0,8827.0,6813.0,3109.0,876.0,015,1325,25
2501526535,"Granby town, Hampshire County, Massachusetts",6229.0,6000.0,55.0,120.0,54.0,0.0,015,26535,25
2501526290,"Goshen town, Hampshire County, Massachusetts",1084.0,990.0,23.0,66.0,5.0,0.0,015,26290,25
2501513590,"Chesterfield town, Hampshire County, Massachusetts",1289.0,1241.0,19.0,24.0,5.0,0.0,015,13590,25
2501527690,"Hadley town, Hampshire County, Massachusetts",5293.0,4619.0,393.0,64.0,100.0,117.0,015,27690,25
2501531785,"Huntington town, Hampshire County, Massachusetts",1964.0,1906.0,42.0,16.0,0.0,0.0,015,31785,25
2501552560,"Pelham town, Hampshire County, Massachusetts",1274.0,1161.0,66.0,35.0,12.0,0.0,015,52560,25
2501564145,"South Hadley town, Hampshire County, Massachusetts",17690.0,14888.0,1530.0,578.0,519.0,175.0,015,64145,25
250154825,"Belchertown town, Hampshire County, Massachusetts",14822.0,13320.0,622.0,485.0,380.0,15.0,015,4825,25
2501540990,"Middlefield town, Hampshire County, Massachusetts",455.0,450.0,0.0,5.0,0.0,0.0,015,40990,25
2501562745,"Southampton town, Hampshire County, Massachusetts",6076.0,5758.0,132.0,122.0,47.0,17.0,015,62745,25
2501516040,"Cummington town, Hampshire County, Massachusetts",857.0,816.0,10.0,3.0,28.0,0.0,015,16040,25
2501579915,"Williamsburg town, Hampshire County, Massachusetts",2466.0,2282.0,138.0,30.0,16.0,0.0,015,79915,25
2501529265,"Hatfield town, Hampshire County, Massachusetts",3290.0,2986.0,148.0,97.0,59.0,0.0,015,29265,25
250190,"County subdivisions not defined, Nantucket County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,019,0,25
2501943790,"Nantucket town, Nantucket County, Massachusetts",10805.0,9518.0,624.0,370.0,230.0,63.0,019,43790,25
2502556585,"Revere city, Suffolk County, Massachusetts",53267.0,46675.0,2843.0,2159.0,715.0,875.0,025,56585,25
2502513205,"Chelsea city, Suffolk County, Massachusetts",38576.0,32734.0,3567.0,1133.0,589.0,553.0,025,13205,25
250257000,"Boston city, Suffolk County, Massachusetts",661701.0,525771.0,66529.0,28231.0,27485.0,13685.0,025,7000,25
250250,"County subdivisions not defined, Suffolk County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,025,0,25
