geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
3610112265,"Canisteo town, Steuben County, New York",3257.0,3135.0,101.0,5.0,16.0,0.0,101,12265,36
3610173836,"Thurston town, Steuben County, New York",1264.0,1217.0,27.0,17.0,3.0,0.0,101,73836,36
3610176496,"Urbana town, Steuben County, New York",2119.0,1968.0,55.0,73.0,23.0,0.0,101,76496,36
3610118256,"Corning city, Steuben County, New York",10709.0,9092.0,1034.0,348.0,180.0,55.0,101,18256,36
3610127551,"Fremont town, Steuben County, New York",993.0,911.0,15.0,16.0,51.0,0.0,101,27551,36
3610135837,"Howard town, Steuben County, New York",1553.0,1464.0,75.0,8.0,6.0,0.0,101,35837,36
3610159982,"Pulteney town, Steuben County, New York",1366.0,1192.0,46.0,66.0,51.0,11.0,101,59982,36
3610181457,"Wheeler town, Steuben County, New York",1136.0,995.0,92.0,39.0,10.0,0.0,101,81457,36
3610142576,"Lindley town, Steuben County, New York",1958.0,1813.0,98.0,28.0,16.0,3.0,101,42576,36
361013342,"Avoca town, Steuben County, New York",2000.0,1800.0,173.0,8.0,19.0,0.0,101,3342,36
3610112991,"Caton town, Steuben County, New York",1890.0,1768.0,77.0,45.0,0.0,0.0,101,12991,36
3610175737,"Tuscarora town, Steuben County, New York",1337.0,1225.0,97.0,5.0,10.0,0.0,101,75737,36
3610175440,"Troupsburg town, Steuben County, New York",1191.0,1038.0,78.0,0.0,75.0,0.0,101,75440,36
3610160653,"Rathbone town, Steuben County, New York",1125.0,1005.0,92.0,0.0,28.0,0.0,101,60653,36
3610178883,"Wayne town, Steuben County, New York",1020.0,913.0,49.0,58.0,0.0,0.0,101,78883,36
3610181105,"West Union town, Steuben County, New York",276.0,243.0,29.0,0.0,4.0,0.0,101,81105,36
3607577662,"Volney town, Oswego County, New York",5777.0,5095.0,503.0,179.0,0.0,0.0,075,77662,36
3607555585,"Oswego town, Oswego County, New York",7907.0,5467.0,521.0,1685.0,166.0,68.0,075,55585,36
3607556154,"Palermo town, Oswego County, New York",3559.0,3279.0,174.0,50.0,56.0,0.0,075,56154,36
3607565992,"Scriba town, Oswego County, New York",6587.0,6190.0,372.0,0.0,12.0,13.0,075,65992,36
3607582073,"Williamstown town, Oswego County, New York",1221.0,1069.0,78.0,74.0,0.0,0.0,075,82073,36
3607561533,"Richland town, Oswego County, New York",5535.0,4600.0,766.0,150.0,19.0,0.0,075,61533,36
360751055,"Albion town, Oswego County, New York",2249.0,2033.0,163.0,48.0,5.0,0.0,075,1055,36
