geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
5601593465,"Torrington CCD, Goshen County, Wyoming",11807.0,9552.0,1318.0,350.0,572.0,15.0,015,93465,56
5601591430,"Goshen Hole CCD, Goshen County, Wyoming",1146.0,968.0,60.0,3.0,114.0,1.0,015,91430,56
5601592585,"Rawhide Creek CCD, Goshen County, Wyoming",383.0,374.0,9.0,0.0,0.0,0.0,015,92585,56
5604191155,"Evanston CCD, Uinta County, Wyoming",14225.0,11444.0,1821.0,572.0,343.0,45.0,041,91155,56
5604190440,"Bridger Valley CCD, Uinta County, Wyoming",6161.0,5637.0,232.0,109.0,183.0,0.0,041,90440,56
5604393300,"Ten Sleep CCD, Washakie County, Wyoming",725.0,690.0,23.0,8.0,4.0,0.0,043,93300,56
5604393795,"Worland CCD, Washakie County, Wyoming",7442.0,6382.0,679.0,260.0,112.0,9.0,043,93795,56
5601793410,"Thermopolis West CCD, Hot Springs County, Wyoming",4027.0,3384.0,203.0,189.0,224.0,27.0,017,93410,56
5601793355,"Thermopolis East CCD, Hot Springs County, Wyoming",410.0,347.0,22.0,26.0,11.0,4.0,017,93355,56
5601391045,"Dubois CCD, Fremont County, Wyoming",1590.0,1399.0,119.0,13.0,59.0,0.0,013,91045,56
5601392035,"Lander CCD, Fremont County, Wyoming",11089.0,9390.0,1103.0,208.0,388.0,0.0,013,92035,56
5601393080,"Shoshoni CCD, Fremont County, Wyoming",653.0,592.0,35.0,0.0,25.0,1.0,013,93080,56
5603592475,"Pinedale CCD, Sublette County, Wyoming",6958.0,5306.0,849.0,314.0,417.0,72.0,035,92475,56
5603590385,"Boulder CCD, Sublette County, Wyoming",190.0,167.0,4.0,7.0,12.0,0.0,035,90385,56
5603590330,"Big Piney CCD, Sublette County, Wyoming",2841.0,2596.0,72.0,142.0,29.0,2.0,035,90330,56
5604593520,"Upton CCD, Weston County, Wyoming",1347.0,1086.0,57.0,36.0,168.0,0.0,045,93520,56
5604592255,"Newcastle CCD, Weston County, Wyoming",5651.0,4854.0,353.0,345.0,99.0,0.0,045,92255,56
5600390688,"Central Big Horn CCD, Big Horn County, Wyoming",3340.0,2832.0,224.0,136.0,141.0,7.0,003,90688,56
5600392393,"North Big Horn CCD, Big Horn County, Wyoming",5369.0,4550.0,404.0,121.0,288.0,6.0,003,92393,56
5601393742,"Wind River Reservation CCD, Fremont County, Wyoming",26449.0,21698.0,2835.0,1060.0,798.0,58.0,013,93742,56
5601793744,"Wind River Reservation CCD, Hot Springs County, Wyoming",262.0,240.0,7.0,0.0,15.0,0.0,017,93744,56
5600393142,"South Big Horn CCD, Big Horn County, Wyoming",3053.0,2501.0,232.0,188.0,131.0,1.0,003,93142,56
5602791128,"East Niobrara CCD, Niobrara County, Wyoming",892.0,775.0,74.0,38.0,5.0,0.0,027,91128,56
5602793603,"West Niobrara CCD, Niobrara County, Wyoming",1561.0,1291.0,144.0,96.0,30.0,0.0,027,93603,56
5600591265,"Gillette South CCD, Campbell County, Wyoming",17786.0,13368.0,1926.0,748.0,1651.0,93.0,005,91265,56
5600591210,"Gillette North CCD, Campbell County, Wyoming",29682.0,24829.0,3234.0,609.0,995.0,15.0,005,91210,56
5602390055,"Afton CCD, Lincoln County, Wyoming",12945.0,10604.0,1020.0,502.0,730.0,89.0,023,90055,56
5602391980,"Kemmerer West CCD, Lincoln County, Wyoming",1374.0,1197.0,35.0,32.0,110.0,0.0,023,91980,56
5602391925,"Kemmerer East CCD, Lincoln County, Wyoming",4251.0,3724.0,208.0,87.0,210.0,22.0,023,91925,56
5601991870,"Kaycee CCD, Johnson County, Wyoming",866.0,844.0,0.0,22.0,0.0,0.0,019,91870,56
5601990495,"Buffalo CCD, Johnson County, Wyoming",7598.0,6797.0,429.0,198.0,147.0,27.0,019,90495,56
5602590550,"Casper CCD, Natrona County, Wyoming",54256.0,45638.0,5743.0,1095.0,1482.0,298.0,025,90550,56
5602590660,"Casper South CCD, Natrona County, Wyoming",13378.0,11262.0,1226.0,163.0,694.0,33.0,025,90660,56
5602590605,"Casper North CCD, Natrona County, Wyoming",5870.0,5394.0,312.0,19.0,49.0,96.0,025,90605,56
5602591705,"Hells Half Acre CCD, Natrona County, Wyoming",6735.0,5319.0,968.0,267.0,170.0,11.0,025,91705,56
5602190770,"Cheyenne East CCD, Laramie County, Wyoming",10441.0,9484.0,413.0,45.0,394.0,105.0,021,90770,56
5602190715,"Cheyenne CCD, Laramie County, Wyoming",76096.0,61125.0,8938.0,1616.0,4140.0,277.0,021,90715,56
5602190825,"Cheyenne West CCD, Laramie County, Wyoming",6337.0,5304.0,252.0,41.0,707.0,33.0,021,90825,56
5602192420,"Pine Bluffs CCD, Laramie County, Wyoming",3209.0,2651.0,422.0,97.0,27.0,12.0,021,92420,56
5600990990,"Douglas CCD, Converse County, Wyoming",9582.0,8165.0,675.0,419.0,311.0,12.0,009,90990,56
5600991375,"Glenrock CCD, Converse County, Wyoming",4259.0,3697.0,296.0,207.0,59.0,0.0,009,91375,56
5603991815,"Jackson Hole CCD, Teton County, Wyoming",21520.0,17880.0,1501.0,587.0,1380.0,172.0,039,91815,56
5603993905,"Yellowstone National Park CCD, Teton County, Wyoming",602.0,214.0,14.0,11.0,242.0,121.0,039,93905,56
5603990110,"Alta CCD, Teton County, Wyoming",515.0,475.0,0.0,0.0,40.0,0.0,039,90110,56
5603791540,"Green River South CCD, Sweetwater County, Wyoming",3911.0,3272.0,368.0,22.0,249.0,0.0,037,91540,56
5603791485,"Green River North CCD, Sweetwater County, Wyoming",11053.0,8892.0,1663.0,180.0,318.0,0.0,037,91485,56
5603792750,"Rock Springs North CCD, Sweetwater County, Wyoming",28311.0,22736.0,3354.0,591.0,1569.0,61.0,037,92750,56
5603793575,"Wamsutter CCD, Sweetwater County, Wyoming",378.0,325.0,38.0,6.0,9.0,0.0,037,93575,56
5603792805,"Rock Springs South CCD, Sweetwater County, Wyoming",129.0,129.0,0.0,0.0,0.0,0.0,037,92805,56
5603193630,"Wheatland CCD, Platte County, Wyoming",6064.0,5135.0,220.0,465.0,212.0,32.0,031,93630,56
5603190880,"Chugwater CCD, Platte County, Wyoming",479.0,464.0,8.0,0.0,7.0,0.0,031,90880,56
5603191320,"Glendo CCD, Platte County, Wyoming",601.0,530.0,11.0,0.0,60.0,0.0,031,91320,56
5603191595,"Guernsey CCD, Platte County, Wyoming",1491.0,1272.0,67.0,34.0,106.0,12.0,031,91595,56
5603392970,"Sheridan South CCD, Sheridan County, Wyoming",6045.0,5878.0,63.0,92.0,12.0,0.0,033,92970,56
5603393025,"Sheridan West CCD, Sheridan County, Wyoming",2706.0,2499.0,116.0,33.0,30.0,28.0,033,93025,56
5603392915,"Sheridan CCD, Sheridan County, Wyoming",21042.0,16932.0,2393.0,813.0,877.0,27.0,033,92915,56
5601192200,"Moorcroft CCD, Crook County, Wyoming",3328.0,2979.0,85.0,157.0,107.0,0.0,011,92200,56
5601193190,"Sundance CCD, Crook County, Wyoming",2882.0,2677.0,85.0,36.0,83.0,1.0,011,93190,56
5601191760,"Hulett CCD, Crook County, Wyoming",1101.0,874.0,108.0,27.0,92.0,0.0,011,91760,56
5602990935,"Cody CCD, Park County, Wyoming",16237.0,14092.0,1290.0,201.0,643.0,11.0,029,90935,56
5602992145,"Meeteetse CCD, Park County, Wyoming",1105.0,961.0,106.0,22.0,16.0,0.0,029,92145,56
5602993850,"Yellowstone National Park CCD, Park County, Wyoming",240.0,76.0,0.0,29.0,133.0,2.0,029,93850,56
5602992530,"Powell CCD, Park County, Wyoming",11398.0,9732.0,896.0,274.0,484.0,12.0,029,92530,56
5600193135,"South Albany CCD, Albany County, Wyoming",1471.0,1198.0,187.0,6.0,65.0,15.0,001,93135,56
5600191100,"East Albany CCD, Albany County, Wyoming",96.0,80.0,16.0,0.0,0.0,0.0,001,91100,56
5600192695,"Rock River CCD, Albany County, Wyoming",390.0,371.0,19.0,0.0,0.0,0.0,001,92695,56
5600192090,"Laramie CCD, Albany County, Wyoming",35650.0,24536.0,6038.0,1766.0,2997.0,313.0,001,92090,56
5600791650,"Hanna CCD, Carbon County, Wyoming",1440.0,1280.0,28.0,71.0,61.0,0.0,007,91650,56
5600792640,"Rawlins CCD, Carbon County, Wyoming",10395.0,8758.0,815.0,423.0,334.0,65.0,007,92640,56
5600792860,"Saratoga CCD, Carbon County, Wyoming",3630.0,3345.0,117.0,38.0,116.0,14.0,007,92860,56
5601391842,"Jeffrey City CCD, Fremont County, Wyoming",85.0,85.0,0.0,0.0,0.0,0.0,013,91842,56
