geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",260.0,174.0,23.0,20.0,43.0,0.0,122,38460,02
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",13.0,2.0,0.0,0.0,11.0,0.0,261,14420,02
0206818765,"Denali census subarea, Denali Borough, Alaska",4.0,4.0,0.0,0.0,0.0,0.0,068,18765,02
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,261,17350,02
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",51.0,42.0,0.0,9.0,0.0,0.0,122,68610,02
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",3.0,3.0,0.0,0.0,0.0,0.0,290,46060,02
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",9.0,9.0,0.0,0.0,0.0,0.0,164,42780,02
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",117.0,18.0,0.0,95.0,4.0,0.0,240,72030,02
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",1.0,1.0,0.0,0.0,0.0,0.0,290,42080,02
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,290,86690,02
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",16184.0,12281.0,2654.0,136.0,970.0,143.0,020,3050,02
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",175.0,118.0,4.0,0.0,49.0,4.0,013,1598,02
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",10.0,9.0,0.0,0.0,1.0,0.0,198,64310,02
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",9.0,7.0,2.0,0.0,0.0,0.0,230,70810,02
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,198,34575,02
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,198,48873,02
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",4.0,2.0,0.0,0.0,2.0,0.0,275,86420,02
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",62.0,42.0,0.0,20.0,0.0,0.0,105,33390,02
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,105,40560,02
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",295.0,152.0,13.0,3.0,115.0,12.0,016,1615,02
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",4.0,4.0,0.0,0.0,0.0,0.0,060,9050,02
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",27.0,3.0,1.0,3.0,20.0,0.0,150,41200,02
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",58.0,55.0,0.0,0.0,0.0,3.0,188,56270,02
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",85.0,75.0,0.0,5.0,4.0,1.0,220,70590,02
020503580,"Aniak census subarea, Bethel Census Area, Alaska",1.0,0.0,1.0,0.0,0.0,0.0,050,3580,02
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",119.0,90.0,6.0,3.0,20.0,0.0,050,45510,02
0218555970,"North Slope census subarea, North Slope Borough, Alaska",64.0,50.0,6.0,3.0,5.0,0.0,185,55970,02
0215842185,"Kusilvak census subarea, Kusilvak Census Area, Alaska",63.0,45.0,0.0,2.0,16.0,0.0,158,42185,02
0219560360,"Petersburg census subarea, Petersburg Borough, Alaska",19.0,12.0,6.0,0.0,1.0,0.0,195,60360,02
0209024450,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",4209.0,2653.0,764.0,82.0,626.0,84.0,090,24450,02
0213039010,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",75.0,49.0,0.0,20.0,6.0,0.0,130,39010,02
0217047440,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",1129.0,818.0,74.0,187.0,40.0,10.0,170,47440,02
0218054970,"Nome census subarea, Nome Census Area, Alaska",71.0,24.0,9.0,5.0,27.0,6.0,180,54970,02
0207019000,"Dillingham census subarea, Dillingham Census Area, Alaska",22.0,11.0,6.0,0.0,0.0,5.0,070,19000,02
0210031160,"Haines census subarea, Haines Borough, Alaska",1.0,1.0,0.0,0.0,0.0,0.0,100,31160,02
0228286498,"Yakutat census subarea, Yakutat City and Borough, Alaska",6.0,2.0,0.0,0.0,4.0,0.0,282,86498,02
0211036450,"Juneau census subarea, Juneau City and Borough, Alaska",343.0,219.0,56.0,30.0,38.0,0.0,110,36450,02
