geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
3718792968,"Skinnersville township, Washington County, North Carolina",297.0,282.0,0.0,0.0,0.0,15.0,187,92968,37
3718792540,"Plymouth township, Washington County, North Carolina",3647.0,3373.0,234.0,40.0,0.0,0.0,187,92540,37
3718792876,"Scuppernong township, Washington County, North Carolina",384.0,372.0,12.0,0.0,0.0,0.0,187,92876,37
3718791768,"Lees Mill township, Washington County, North Carolina",1503.0,1314.0,70.0,5.0,108.0,6.0,187,91768,37
3702990784,"Courthouse township, Camden County, North Carolina",726.0,687.0,0.0,37.0,2.0,0.0,029,90784,37
3702992920,"Shiloh township, Camden County, North Carolina",257.0,234.0,0.0,8.0,0.0,15.0,029,92920,37
3702993044,"South Mills township, Camden County, North Carolina",492.0,492.0,0.0,0.0,0.0,0.0,029,93044,37
3704393192,"Sweetwater township, Clay County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,043,93192,37
3704392944,"Shooting Creek township, Clay County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,043,92944,37
3704393792,"Tusquittee township, Clay County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,043,93792,37
3704390360,"Brasstown township, Clay County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,043,90360,37
3704391436,"Hayesville township, Clay County, North Carolina",150.0,48.0,55.0,47.0,0.0,0.0,043,91436,37
3705190288,"Black River township, Cumberland County, North Carolina",357.0,242.0,99.0,16.0,0.0,0.0,051,90288,37
3705190968,"Eastover township, Cumberland County, North Carolina",3381.0,2849.0,236.0,202.0,94.0,0.0,051,90968,37
3705190832,"Cross Creek township, Cumberland County, North Carolina",28656.0,22041.0,4833.0,858.0,741.0,183.0,051,90832,37
3705192724,"Rockfish township, Cumberland County, North Carolina",17741.0,15352.0,1489.0,362.0,441.0,97.0,051,92724,37
3705192892,"Seventy-First township, Cumberland County, North Carolina",41323.0,33761.0,4851.0,786.0,1648.0,277.0,051,92892,37
3705191296,"Grays Creek township, Cumberland County, North Carolina",1458.0,1283.0,48.0,0.0,127.0,0.0,051,91296,37
3705190192,"Beaver Dam township, Cumberland County, North Carolina",72.0,72.0,0.0,0.0,0.0,0.0,051,90192,37
3705192460,"Pearces Mill township, Cumberland County, North Carolina",6784.0,5819.0,503.0,278.0,184.0,0.0,051,92460,37
3705190532,"Carvers Creek township, Cumberland County, North Carolina",9536.0,7659.0,1461.0,80.0,254.0,82.0,051,90532,37
3705191964,"Manchester township, Cumberland County, North Carolina",7355.0,4659.0,984.0,382.0,1161.0,169.0,051,91964,37
3705190572,"Cedar Creek township, Cumberland County, North Carolina",3347.0,2792.0,461.0,7.0,87.0,0.0,051,90572,37
3707193048,"South Point township, Gaston County, North Carolina",3089.0,2195.0,430.0,322.0,142.0,0.0,071,93048,37
3707190844,"Crowders Mountain township, Gaston County, North Carolina",2504.0,1986.0,64.0,370.0,84.0,0.0,071,90844,37
3707191216,"Gastonia township, Gaston County, North Carolina",21404.0,17101.0,2865.0,856.0,559.0,23.0,071,91216,37
3701192090,"Minneapolis township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,92090,37
3701190148,"Banner Elk township, Avery County, North Carolina",113.0,63.0,10.0,35.0,5.0,0.0,011,90148,37
3701190510,"Carey's Flat township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,90510,37
3701192708,"Roaring Creek township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,92708,37
3701192586,"Pyatte township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,92586,37
3701191826,"Linville township, Avery County, North Carolina",1.0,0.0,0.0,1.0,0.0,0.0,011,91826,37
3701192502,"Pineola township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,92502,37
3701190052,"Altamont township, Avery County, North Carolina",16.0,0.0,0.0,16.0,0.0,0.0,011,90052,37
3701191558,"Hughes township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,91558,37
3701191154,"Frank township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,91154,37
3701190812,"Cranberry township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,90812,37
3701190212,"Beech Mountain township, Avery County, North Carolina",8.0,8.0,0.0,0.0,0.0,0.0,011,90212,37
3701191442,"Heaton township, Avery County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,011,91442,37
3702191932,"Lower Hominy township, Buncombe County, North Carolina",257.0,257.0,0.0,0.0,0.0,0.0,021,91932,37
3702192648,"Reems Creek township, Buncombe County, North Carolina",34.0,18.0,0.0,0.0,16.0,0.0,021,92648,37
3702191776,"Leicester township, Buncombe County, North Carolina",502.0,414.0,36.0,47.0,5.0,0.0,021,91776,37
3702191176,"French Broad township, Buncombe County, North Carolina",89.0,29.0,43.0,17.0,0.0,0.0,021,91176,37
3702191604,"Ivy township, Buncombe County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,021,91604,37
3702191816,"Limestone township, Buncombe County, North Carolina",701.0,675.0,0.0,5.0,21.0,0.0,021,91816,37
3702193840,"Upper Hominy township, Buncombe County, North Carolina",61.0,53.0,3.0,5.0,0.0,0.0,021,93840,37
3702190108,"Avery Creek township, Buncombe County, North Carolina",378.0,358.0,0.0,20.0,0.0,0.0,021,90108,37
3702190380,"Broad River township, Buncombe County, North Carolina",6.0,0.0,0.0,3.0,3.0,0.0,021,90380,37
3702191056,"Fairview township, Buncombe County, North Carolina",375.0,375.0,0.0,0.0,0.0,0.0,021,91056,37
3702192832,"Sandy Mush township, Buncombe County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,021,92832,37
3705991660,"Jerusalem township, Davie County, North Carolina",300.0,270.0,0.0,30.0,0.0,0.0,059,91660,37
3705991192,"Fulton township, Davie County, North Carolina",32.0,32.0,0.0,0.0,0.0,0.0,059,91192,37
3705992100,"Mocksville township, Davie County, North Carolina",1559.0,1325.0,207.0,27.0,0.0,0.0,059,92100,37
3705990472,"Calahaln township, Davie County, North Carolina",147.0,139.0,8.0,0.0,0.0,0.0,059,90472,37
3705991080,"Farmington township, Davie County, North Carolina",181.0,171.0,10.0,0.0,0.0,0.0,059,91080,37
3705992896,"Shady Grove township, Davie County, North Carolina",212.0,199.0,0.0,13.0,0.0,0.0,059,92896,37
3705793796,"Tyro township, Davidson County, North Carolina",405.0,255.0,103.0,0.0,47.0,0.0,057,93796,37
3714992816,"Saluda township, Polk County, North Carolina",36.0,26.0,10.0,0.0,0.0,0.0,149,92816,37
3714990740,"Columbus township, Polk County, North Carolina",196.0,141.0,13.0,34.0,8.0,0.0,149,90740,37
3714993980,"White Oak township, Polk County, North Carolina",191.0,191.0,0.0,0.0,0.0,0.0,149,93980,37
3714993776,"Tryon township, Polk County, North Carolina",308.0,286.0,0.0,0.0,22.0,0.0,149,93776,37
3714990772,"Cooper Gap township, Polk County, North Carolina",19.0,19.0,0.0,0.0,0.0,0.0,149,90772,37
3715191800,"Liberty township, Randolph County, North Carolina",483.0,410.0,50.0,23.0,0.0,0.0,151,91800,37
3715192532,"Pleasant Grove township, Randolph County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,151,92532,37
3715190084,"Asheboro township, Randolph County, North Carolina",3608.0,2992.0,391.0,154.0,71.0,0.0,151,90084,37
3715193808,"Union township, Randolph County, North Carolina",2.0,2.0,0.0,0.0,0.0,0.0,151,93808,37
3715190716,"Coleridge township, Randolph County, North Carolina",252.0,252.0,0.0,0.0,0.0,0.0,151,90716,37
3715192268,"New Market township, Randolph County, North Carolina",191.0,181.0,10.0,0.0,0.0,0.0,151,92268,37
3715193768,"Trinity township, Randolph County, North Carolina",926.0,798.0,0.0,110.0,18.0,0.0,151,93768,37
3715190584,"Cedar Grove township, Randolph County, North Carolina",144.0,134.0,0.0,10.0,0.0,0.0,151,90584,37
3715190748,"Concord township, Randolph County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,151,90748,37
3715191172,"Franklinville township, Randolph County, North Carolina",520.0,435.0,79.0,6.0,0.0,0.0,151,91172,37
3715190388,"Brower township, Randolph County, North Carolina",134.0,134.0,0.0,0.0,0.0,0.0,151,90388,37
3715190732,"Columbia township, Randolph County, North Carolina",849.0,808.0,21.0,5.0,15.0,0.0,151,90732,37
3715192580,"Providence township, Randolph County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,151,92580,37
3715192668,"Richland township, Randolph County, North Carolina",462.0,419.0,2.0,41.0,0.0,0.0,151,92668,37
3715190116,"Back Creek township, Randolph County, North Carolina",53.0,38.0,0.0,3.0,12.0,0.0,151,90116,37
3715191784,"Level Cross township, Randolph County, North Carolina",52.0,52.0,0.0,0.0,0.0,0.0,151,91784,37
3715192252,"New Hope township, Randolph County, North Carolina",22.0,22.0,0.0,0.0,0.0,0.0,151,92252,37
3715191276,"Grant township, Randolph County, North Carolina",250.0,237.0,13.0,0.0,0.0,0.0,151,91276,37
3715192620,"Randleman township, Randolph County, North Carolina",783.0,645.0,63.0,0.0,75.0,0.0,151,92620,37
3715193208,"Tabernacle township, Randolph County, North Carolina",98.0,15.0,83.0,0.0,0.0,0.0,151,93208,37
3715791564,"Huntsville township, Rockingham County, North Carolina",504.0,502.0,1.0,0.0,1.0,0.0,157,91564,37
3715791752,"Leaksville township, Rockingham County, North Carolina",4184.0,3619.0,306.0,230.0,1.0,28.0,157,91752,37
3715792232,"New Bethel township, Rockingham County, North Carolina",189.0,182.0,6.0,0.0,1.0,0.0,157,92232,37
3715792568,"Price township, Rockingham County, North Carolina",87.0,87.0,0.0,0.0,0.0,0.0,157,92568,37
3715792960,"Simpsonville township, Rockingham County, North Carolina",180.0,155.0,25.0,0.0,0.0,0.0,157,92960,37
3715793936,"Wentworth township, Rockingham County, North Carolina",1394.0,1234.0,93.0,43.0,24.0,0.0,157,93936,37
3715792020,"Mayo township, Rockingham County, North Carolina",833.0,767.0,46.0,0.0,20.0,0.0,157,92020,37
3715792652,"Reidsville township, Rockingham County, North Carolina",5798.0,4833.0,727.0,157.0,20.0,61.0,157,92652,37
3715791956,"Madison township, Rockingham County, North Carolina",1293.0,1099.0,113.0,45.0,36.0,0.0,157,91956,37
3715794032,"Williamsburg township, Rockingham County, North Carolina",1341.0,1341.0,0.0,0.0,0.0,0.0,157,94032,37
3715792772,"Ruffin township, Rockingham County, North Carolina",1134.0,1007.0,8.0,83.0,36.0,0.0,157,92772,37
3716990876,"Danbury township, Stokes County, North Carolina",26.0,13.0,6.0,7.0,0.0,0.0,169,90876,37
3716994108,"Yadkin township, Stokes County, North Carolina",420.0,336.0,84.0,0.0,0.0,0.0,169,94108,37
3716990208,"Beaver Island township, Stokes County, North Carolina",265.0,265.0,0.0,0.0,0.0,0.0,169,90208,37
3716992852,"Sauratown township, Stokes County, North Carolina",762.0,738.0,0.0,21.0,3.0,0.0,169,92852,37
3716990260,"Big Creek township, Stokes County, North Carolina",59.0,36.0,0.0,0.0,23.0,0.0,169,90260,37
3716992028,"Meadows township, Stokes County, North Carolina",187.0,52.0,135.0,0.0,0.0,0.0,169,92028,37
3716992588,"Quaker Gap township, Stokes County, North Carolina",103.0,102.0,0.0,0.0,1.0,0.0,169,92588,37
3716992480,"Peters Creek township, Stokes County, North Carolina",6.0,6.0,0.0,0.0,0.0,0.0,169,92480,37
3716993016,"Snow Creek township, Stokes County, North Carolina",3.0,0.0,0.0,0.0,3.0,0.0,169,93016,37
3716593080,"Spring Hill township, Scotland County, North Carolina",2203.0,1882.0,272.0,8.0,17.0,24.0,165,93080,37
3716594036,"Williamson township, Scotland County, North Carolina",1862.0,1762.0,91.0,1.0,8.0,0.0,165,94036,37
3716591748,"Laurel Hill township, Scotland County, North Carolina",1087.0,944.0,52.0,67.0,24.0,0.0,165,91748,37
3716593132,"Stewartsville township, Scotland County, North Carolina",8412.0,6636.0,868.0,723.0,163.0,22.0,165,93132,37
3718992320,"North Fork township, Watauga County, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,189,92320,37
3707190872,"Dallas township, Gaston County, North Carolina",1954.0,1630.0,179.0,133.0,12.0,0.0,071,90872,37
3707192692,"Riverbend township, Gaston County, North Carolina",3213.0,2975.0,51.0,91.0,96.0,0.0,071,92692,37
3707190644,"Cherryville township, Gaston County, North Carolina",1132.0,980.0,118.0,34.0,0.0,0.0,071,90644,37
3708191952,"Madison township, Guilford County, North Carolina",1266.0,1249.0,10.0,7.0,0.0,0.0,081,91952,37
3708190672,"Clay township, Guilford County, North Carolina",500.0,498.0,0.0,1.0,1.0,0.0,081,90672,37
3708190896,"Deep River township, Guilford County, North Carolina",2324.0,1957.0,172.0,116.0,79.0,0.0,081,90896,37
3708191304,"Greene township, Guilford County, North Carolina",197.0,197.0,0.0,0.0,0.0,0.0,081,91304,37
3708191228,"Gilmer township, Guilford County, North Carolina",54960.0,47238.0,4611.0,2083.0,865.0,163.0,081,91228,37
3708192104,"Monroe township, Guilford County, North Carolina",2464.0,2304.0,77.0,1.0,82.0,0.0,081,92104,37
3708191096,"Fentress township, Guilford County, North Carolina",1054.0,1009.0,7.0,24.0,14.0,0.0,081,91096,37
3708193176,"Sumner township, Guilford County, North Carolina",1896.0,1529.0,260.0,44.0,63.0,0.0,081,93176,37
3708191484,"High Point township, Guilford County, North Carolina",32026.0,25845.0,4466.0,923.0,624.0,168.0,081,91484,37
3708192360,"Oak Ridge township, Guilford County, North Carolina",856.0,847.0,8.0,1.0,0.0,0.0,081,92360,37
