geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
2500926150,"Gloucester city, Essex County, Massachusetts",29650.0,14388.0,15262.0,26969.0,13035.0,13934.0,1957.0,1057.0,900.0,273.0,95.0,178.0,391.0,175.0,216.0,60.0,26.0,34.0,009,26150,25
2500927900,"Hamilton town, Essex County, Massachusetts",7954.0,4026.0,3928.0,7050.0,3554.0,3496.0,511.0,250.0,261.0,178.0,97.0,81.0,99.0,60.0,39.0,116.0,65.0,51.0,009,27900,25
250115560,"Bernardston town, Franklin County, Massachusetts",2174.0,1089.0,1085.0,1988.0,990.0,998.0,143.0,76.0,67.0,13.0,7.0,6.0,21.0,11.0,10.0,9.0,5.0,4.0,011,5560,25
2501125730,"Gill town, Franklin County, Massachusetts",1589.0,854.0,735.0,1434.0,739.0,695.0,83.0,68.0,15.0,47.0,36.0,11.0,25.0,11.0,14.0,0.0,0.0,0.0,011,25730,25
2501129475,"Hawley town, Franklin County, Massachusetts",425.0,204.0,221.0,398.0,182.0,216.0,24.0,19.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011,29475,25
2501161135,"Shelburne town, Franklin County, Massachusetts",1922.0,828.0,1094.0,1745.0,775.0,970.0,81.0,37.0,44.0,25.0,12.0,13.0,65.0,4.0,61.0,6.0,0.0,6.0,011,61135,25
2501135180,"Leverett town, Franklin County, Massachusetts",1977.0,1011.0,966.0,1853.0,955.0,898.0,43.0,16.0,27.0,50.0,34.0,16.0,25.0,3.0,22.0,6.0,3.0,3.0,011,35180,25
2501129650,"Heath town, Franklin County, Massachusetts",762.0,393.0,369.0,756.0,391.0,365.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011,29650,25
2501135285,"Leyden town, Franklin County, Massachusetts",673.0,329.0,344.0,644.0,321.0,323.0,29.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,011,35285,25
2501147835,"Northfield town, Franklin County, Massachusetts",2964.0,1508.0,1456.0,2744.0,1414.0,1330.0,115.0,47.0,68.0,42.0,19.0,23.0,57.0,22.0,35.0,6.0,6.0,0.0,011,47835,25
2501572880,"Ware town, Hampshire County, Massachusetts",9701.0,4788.0,4913.0,9132.0,4584.0,4548.0,290.0,58.0,232.0,268.0,135.0,133.0,11.0,11.0,0.0,0.0,0.0,0.0,015,72880,25
2501546330,"Northampton city, Hampshire County, Massachusetts",28324.0,12443.0,15881.0,22929.0,10227.0,12702.0,2988.0,1233.0,1755.0,1125.0,461.0,664.0,1101.0,454.0,647.0,181.0,68.0,113.0,015,46330,25
2501554030,"Plainfield town, Hampshire County, Massachusetts",664.0,351.0,313.0,634.0,332.0,302.0,9.0,3.0,6.0,11.0,9.0,2.0,6.0,3.0,3.0,4.0,4.0,0.0,015,54030,25
2501576380,"Westhampton town, Hampshire County, Massachusetts",1795.0,856.0,939.0,1679.0,802.0,877.0,57.0,20.0,37.0,27.0,23.0,4.0,32.0,11.0,21.0,0.0,0.0,0.0,015,76380,25
2501582175,"Worthington town, Hampshire County, Massachusetts",1244.0,573.0,671.0,1125.0,522.0,603.0,60.0,34.0,26.0,39.0,17.0,22.0,20.0,0.0,20.0,0.0,0.0,0.0,015,82175,25
250151325,"Amherst town, Hampshire County, Massachusetts",39720.0,19808.0,19912.0,20095.0,9044.0,11051.0,8827.0,4961.0,3866.0,6813.0,3702.0,3111.0,3109.0,1688.0,1421.0,876.0,413.0,463.0,015,1325,25
2501526535,"Granby town, Hampshire County, Massachusetts",6229.0,3017.0,3212.0,6000.0,2878.0,3122.0,55.0,38.0,17.0,120.0,91.0,29.0,54.0,10.0,44.0,0.0,0.0,0.0,015,26535,25
2501526290,"Goshen town, Hampshire County, Massachusetts",1084.0,530.0,554.0,990.0,497.0,493.0,23.0,3.0,20.0,66.0,25.0,41.0,5.0,5.0,0.0,0.0,0.0,0.0,015,26290,25
2501513590,"Chesterfield town, Hampshire County, Massachusetts",1289.0,618.0,671.0,1241.0,597.0,644.0,19.0,10.0,9.0,24.0,11.0,13.0,5.0,0.0,5.0,0.0,0.0,0.0,015,13590,25
2501527690,"Hadley town, Hampshire County, Massachusetts",5293.0,2276.0,3017.0,4619.0,1991.0,2628.0,393.0,137.0,256.0,64.0,32.0,32.0,100.0,16.0,84.0,117.0,100.0,17.0,015,27690,25
2501531785,"Huntington town, Hampshire County, Massachusetts",1964.0,1001.0,963.0,1906.0,970.0,936.0,42.0,25.0,17.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,015,31785,25
2501552560,"Pelham town, Hampshire County, Massachusetts",1274.0,547.0,727.0,1161.0,481.0,680.0,66.0,39.0,27.0,35.0,24.0,11.0,12.0,3.0,9.0,0.0,0.0,0.0,015,52560,25
2501564145,"South Hadley town, Hampshire County, Massachusetts",17690.0,6903.0,10787.0,14888.0,6252.0,8636.0,1530.0,336.0,1194.0,578.0,187.0,391.0,519.0,128.0,391.0,175.0,0.0,175.0,015,64145,25
250154825,"Belchertown town, Hampshire County, Massachusetts",14822.0,7219.0,7603.0,13320.0,6448.0,6872.0,622.0,212.0,410.0,485.0,274.0,211.0,380.0,270.0,110.0,15.0,15.0,0.0,015,4825,25
2501540990,"Middlefield town, Hampshire County, Massachusetts",455.0,194.0,261.0,450.0,189.0,261.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,015,40990,25
2501562745,"Southampton town, Hampshire County, Massachusetts",6076.0,3051.0,3025.0,5758.0,2893.0,2865.0,132.0,55.0,77.0,122.0,67.0,55.0,47.0,19.0,28.0,17.0,17.0,0.0,015,62745,25
2501516040,"Cummington town, Hampshire County, Massachusetts",857.0,412.0,445.0,816.0,391.0,425.0,10.0,3.0,7.0,3.0,0.0,3.0,28.0,18.0,10.0,0.0,0.0,0.0,015,16040,25
2501579915,"Williamsburg town, Hampshire County, Massachusetts",2466.0,1141.0,1325.0,2282.0,1044.0,1238.0,138.0,76.0,62.0,30.0,10.0,20.0,16.0,11.0,5.0,0.0,0.0,0.0,015,79915,25
2501529265,"Hatfield town, Hampshire County, Massachusetts",3290.0,1650.0,1640.0,2986.0,1491.0,1495.0,148.0,82.0,66.0,97.0,50.0,47.0,59.0,27.0,32.0,0.0,0.0,0.0,015,29265,25
250190,"County subdivisions not defined, Nantucket County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,0,25
2501943790,"Nantucket town, Nantucket County, Massachusetts",10805.0,5760.0,5045.0,9518.0,4962.0,4556.0,624.0,412.0,212.0,370.0,251.0,119.0,230.0,73.0,157.0,63.0,62.0,1.0,019,43790,25
2502556585,"Revere city, Suffolk County, Massachusetts",53267.0,27080.0,26187.0,46675.0,23552.0,23123.0,2843.0,1631.0,1212.0,2159.0,1218.0,941.0,715.0,225.0,490.0,875.0,454.0,421.0,025,56585,25
2502513205,"Chelsea city, Suffolk County, Massachusetts",38576.0,19433.0,19143.0,32734.0,16368.0,16366.0,3567.0,1786.0,1781.0,1133.0,691.0,442.0,589.0,310.0,279.0,553.0,278.0,275.0,025,13205,25
250257000,"Boston city, Suffolk County, Massachusetts",661701.0,318241.0,343460.0,525771.0,249579.0,276192.0,66529.0,33916.0,32613.0,28231.0,14061.0,14170.0,27485.0,13993.0,13492.0,13685.0,6692.0,6993.0,025,7000,25
250250,"County subdivisions not defined, Suffolk County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,0,25
2500112995,"Chatham town, Barnstable County, Massachusetts",6121.0,2941.0,3180.0,5636.0,2754.0,2882.0,216.0,102.0,114.0,119.0,42.0,77.0,79.0,43.0,36.0,71.0,0.0,71.0,001,12995,25
2500119295,"Eastham town, Barnstable County, Massachusetts",4883.0,2261.0,2622.0,4424.0,2098.0,2326.0,237.0,82.0,155.0,99.0,43.0,56.0,123.0,38.0,85.0,0.0,0.0,0.0,001,19295,25
2500123105,"Falmouth town, Barnstable County, Massachusetts",31017.0,14826.0,16191.0,28276.0,13536.0,14740.0,1615.0,779.0,836.0,627.0,269.0,358.0,402.0,215.0,187.0,97.0,27.0,70.0,001,23105,25
250017175,"Bourne town, Barnstable County, Massachusetts",19620.0,9932.0,9688.0,17488.0,8763.0,8725.0,1032.0,544.0,488.0,423.0,216.0,207.0,639.0,371.0,268.0,38.0,38.0,0.0,001,7175,25
2500116775,"Dennis town, Barnstable County, Massachusetts",13894.0,6443.0,7451.0,12503.0,5731.0,6772.0,1024.0,550.0,474.0,195.0,92.0,103.0,144.0,70.0,74.0,28.0,0.0,28.0,001,16775,25
