geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
2606524120,"East Lansing city, Ingham County, Michigan",46275.0,22774.0,23501.0,20530.0,10096.0,10434.0,10646.0,5130.0,5516.0,10962.0,5441.0,5521.0,2364.0,1176.0,1188.0,1773.0,931.0,842.0,065,24120,26
2606547200,"Leslie township, Ingham County, Michigan",2461.0,1226.0,1235.0,2262.0,1124.0,1138.0,119.0,70.0,49.0,53.0,23.0,30.0,27.0,9.0,18.0,0.0,0.0,0.0,065,47200,26
2606552180,"Mason city, Ingham County, Michigan",8254.0,4262.0,3992.0,6387.0,3161.0,3226.0,1143.0,681.0,462.0,602.0,366.0,236.0,114.0,46.0,68.0,8.0,8.0,0.0,065,52180,26
2606546020,"Lansing charter township, Ingham County, Michigan",8100.0,4100.0,4000.0,6049.0,3011.0,3038.0,1074.0,548.0,526.0,741.0,404.0,337.0,181.0,110.0,71.0,55.0,27.0,28.0,065,46020,26
2606547180,"Leslie city, Ingham County, Michigan",1924.0,936.0,988.0,1635.0,814.0,821.0,133.0,63.0,70.0,156.0,59.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,065,47180,26
2606549040,"Locke township, Ingham County, Michigan",1665.0,821.0,844.0,1537.0,772.0,765.0,57.0,19.0,38.0,54.0,16.0,38.0,17.0,14.0,3.0,0.0,0.0,0.0,065,49040,26
2606553140,"Meridian charter township, Ingham County, Michigan",41483.0,19551.0,21932.0,32862.0,15330.0,17532.0,4638.0,2253.0,2385.0,2261.0,1115.0,1146.0,1071.0,531.0,540.0,651.0,322.0,329.0,065,53140,26
2606560800,"Onondaga township, Ingham County, Michigan",3145.0,1597.0,1548.0,2716.0,1362.0,1354.0,199.0,113.0,86.0,212.0,107.0,105.0,0.0,0.0,0.0,18.0,15.0,3.0,065,60800,26
2606547080,"Leroy township, Ingham County, Michigan",3506.0,1782.0,1724.0,3164.0,1586.0,1578.0,172.0,81.0,91.0,170.0,115.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,065,47080,26
260654240,"Aurelius township, Ingham County, Michigan",4205.0,2097.0,2108.0,3941.0,1955.0,1986.0,121.0,64.0,57.0,124.0,78.0,46.0,19.0,0.0,19.0,0.0,0.0,0.0,065,4240,26
26065800,"Alaiedon township, Ingham County, Michigan",2880.0,1440.0,1440.0,2651.0,1318.0,1333.0,102.0,54.0,48.0,74.0,47.0,27.0,47.0,21.0,26.0,6.0,0.0,6.0,065,800,26
2606587420,"Williamston city, Ingham County, Michigan",3891.0,1968.0,1923.0,3277.0,1686.0,1591.0,444.0,207.0,237.0,170.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,065,87420,26
2606586520,"Wheatfield township, Ingham County, Michigan",1849.0,876.0,973.0,1720.0,823.0,897.0,65.0,27.0,38.0,64.0,26.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,065,86520,26
2606540640,"Ingham township, Ingham County, Michigan",2447.0,1203.0,1244.0,2315.0,1135.0,1180.0,78.0,36.0,42.0,31.0,15.0,16.0,23.0,17.0,6.0,0.0,0.0,0.0,065,40640,26
