geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
2709548328,"Onamia township, Mille Lacs County, Minnesota",517.0,283.0,234.0,460.0,258.0,202.0,36.0,17.0,19.0,19.0,8.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,095,48328,27
2709549480,"Page township, Mille Lacs County, Minnesota",698.0,382.0,316.0,629.0,348.0,281.0,18.0,9.0,9.0,48.0,25.0,23.0,3.0,0.0,3.0,0.0,0.0,0.0,095,49480,27
2709532516,"Kathio township, Mille Lacs County, Minnesota",1323.0,648.0,675.0,1205.0,599.0,606.0,75.0,36.0,39.0,26.0,9.0,17.0,6.0,0.0,6.0,11.0,4.0,7.0,095,32516,27
2709552540,"Princeton township, Mille Lacs County, Minnesota",2125.0,1108.0,1017.0,1988.0,1018.0,970.0,31.0,26.0,5.0,106.0,64.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,095,52540,27
2709514500,"Dailey township, Mille Lacs County, Minnesota",176.0,92.0,84.0,165.0,86.0,79.0,2.0,2.0,0.0,7.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,095,14500,27
2709517810,"East Side township, Mille Lacs County, Minnesota",590.0,302.0,288.0,529.0,259.0,270.0,13.0,9.0,4.0,16.0,13.0,3.0,32.0,21.0,11.0,0.0,0.0,0.0,095,17810,27
2709525586,"Greenbush township, Mille Lacs County, Minnesota",1219.0,702.0,517.0,1075.0,632.0,443.0,50.0,26.0,24.0,94.0,44.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,095,25586,27
2709552522,"Princeton city, Mille Lacs County, Minnesota",4529.0,1955.0,2574.0,3791.0,1631.0,2160.0,190.0,84.0,106.0,529.0,240.0,289.0,19.0,0.0,19.0,0.0,0.0,0.0,095,52522,27
2712919322,"Emmet township, Renville County, Minnesota",218.0,112.0,106.0,213.0,110.0,103.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,19322,27
2712919628,"Ericson township, Renville County, Minnesota",224.0,113.0,111.0,216.0,109.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0,1.0,0.0,129,19628,27
2712946600,"Norfolk township, Renville County, Minnesota",120.0,59.0,61.0,109.0,55.0,54.0,8.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,129,46600,27
2712913852,"Crooks township, Renville County, Minnesota",191.0,95.0,96.0,183.0,89.0,94.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,129,13852,27
2712953656,"Redwood Falls city, Renville County, Minnesota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,53656,27
271293484,"Bandon township, Renville County, Minnesota",184.0,112.0,72.0,184.0,112.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,3484,27
271296076,"Bird Island city, Renville County, Minnesota",867.0,427.0,440.0,805.0,385.0,420.0,54.0,34.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,129,6076,27
271297912,"Brookfield township, Renville County, Minnesota",162.0,89.0,73.0,157.0,86.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,7912,27
2712922364,"Franklin city, Renville County, Minnesota",529.0,270.0,259.0,426.0,220.0,206.0,15.0,11.0,4.0,86.0,39.0,47.0,2.0,0.0,2.0,0.0,0.0,0.0,129,22364,27
2712928610,"Henryville township, Renville County, Minnesota",156.0,81.0,75.0,154.0,79.0,75.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,28610,27
2712941624,"Melville township, Renville County, Minnesota",212.0,127.0,85.0,204.0,123.0,81.0,6.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,41624,27
2712949606,"Palmyra township, Renville County, Minnesota",192.0,102.0,90.0,188.0,100.0,88.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,129,49606,27
2712952486,"Preston Lake township, Renville County, Minnesota",200.0,112.0,88.0,190.0,105.0,85.0,2.0,2.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,129,52486,27
2712968026,"Wang township, Renville County, Minnesota",217.0,105.0,112.0,205.0,100.0,105.0,0.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,129,68026,27
2712970852,"Winfield township, Renville County, Minnesota",199.0,108.0,91.0,192.0,106.0,86.0,6.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,70852,27
271295968,"Birch Cooley township, Renville County, Minnesota",161.0,80.0,81.0,140.0,75.0,65.0,2.0,1.0,1.0,19.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,129,5968,27
271298488,"Buffalo Lake city, Renville County, Minnesota",745.0,349.0,396.0,698.0,332.0,366.0,36.0,17.0,19.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,129,8488,27
2712940832,"Martinsburg township, Renville County, Minnesota",150.0,83.0,67.0,143.0,78.0,65.0,5.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,129,40832,27
2700717954,"Eckles township, Beltrami County, Minnesota",1477.0,757.0,720.0,1234.0,637.0,597.0,134.0,67.0,67.0,99.0,45.0,54.0,10.0,8.0,2.0,0.0,0.0,0.0,007,17954,27
2712948256,"Olivia city, Renville County, Minnesota",2387.0,1150.0,1237.0,2026.0,964.0,1062.0,201.0,108.0,93.0,79.0,39.0,40.0,81.0,39.0,42.0,0.0,0.0,0.0,129,48256,27
271294546,"Beaver Falls township, Renville County, Minnesota",182.0,102.0,80.0,180.0,100.0,80.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,4546,27
271299208,"Cairo township, Renville County, Minnesota",209.0,109.0,100.0,208.0,109.0,99.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129,9208,27
271299478,"Camp township, Renville County, Minnesota",158.0,91.0,67.0,150.0,86.0,64.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129,9478,27
2712914716,"Danube city, Renville County, Minnesota",583.0,281.0,302.0,511.0,250.0,261.0,3.0,3.0,0.0,65.0,28.0,37.0,4.0,0.0,4.0,0.0,0.0,0.0,129,14716,27
2712928124,"Hector city, Renville County, Minnesota",951.0,465.0,486.0,888.0,430.0,458.0,28.0,13.0,15.0,17.0,13.0,4.0,18.0,9.0,9.0,0.0,0.0,0.0,129,28124,27
2703342002,"Midway township, Cottonwood County, Minnesota",184.0,87.0,97.0,161.0,77.0,84.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,18.0,7.0,11.0,033,42002,27
2703310108,"Carson township, Cottonwood County, Minnesota",312.0,163.0,149.0,303.0,158.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,033,10108,27
