geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
4400542400,"Little Compton town, Newport County, Rhode Island",3521.0,1671.0,1850.0,3269.0,1569.0,1700.0,115.0,30.0,85.0,3.0,0.0,3.0,117.0,64.0,53.0,17.0,8.0,9.0,005,42400,44
4400545460,"Middletown town, Newport County, Rhode Island",15996.0,7579.0,8417.0,13253.0,6141.0,7112.0,1138.0,572.0,566.0,92.0,57.0,35.0,1226.0,677.0,549.0,287.0,132.0,155.0,005,45460,44
4400549960,"Newport city, Newport County, Rhode Island",24539.0,12114.0,12425.0,17245.0,8351.0,8894.0,2088.0,976.0,1112.0,704.0,165.0,539.0,3973.0,2316.0,1657.0,529.0,306.0,223.0,005,49960,44
440050,"County subdivisions not defined, Newport County, Rhode Island",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005,0,44
4400536820,"Jamestown town, Newport County, Rhode Island",5467.0,2637.0,2830.0,4823.0,2331.0,2492.0,201.0,89.0,112.0,117.0,23.0,94.0,232.0,132.0,100.0,94.0,62.0,32.0,005,36820,44
4400557880,"Portsmouth town, Newport County, Rhode Island",17267.0,8692.0,8575.0,15483.0,7877.0,7606.0,785.0,364.0,421.0,248.0,125.0,123.0,709.0,284.0,425.0,42.0,42.0,0.0,005,57880,44
4400570880,"Tiverton town, Newport County, Rhode Island",15766.0,7980.0,7786.0,14713.0,7332.0,7381.0,351.0,205.0,146.0,231.0,167.0,64.0,449.0,267.0,182.0,22.0,9.0,13.0,005,70880,44
4400374300,"Warwick city, Kent County, Rhode Island",80279.0,38628.0,41651.0,72194.0,34297.0,37897.0,3756.0,1908.0,1848.0,2690.0,1495.0,1195.0,1543.0,909.0,634.0,96.0,19.0,77.0,003,74300,44
4400318640,"Coventry town, Kent County, Rhode Island",34534.0,16719.0,17815.0,31235.0,15215.0,16020.0,1559.0,570.0,989.0,1166.0,579.0,587.0,484.0,302.0,182.0,90.0,53.0,37.0,003,18640,44
4400378440,"West Warwick town, Kent County, Rhode Island",28354.0,13844.0,14510.0,24187.0,11796.0,12391.0,2404.0,1126.0,1278.0,1268.0,625.0,643.0,435.0,282.0,153.0,60.0,15.0,45.0,003,78440,44
