geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
4715390534,"District 3, Sequatchie County, Tennessee",1206.0,538.0,668.0,1100.0,519.0,581.0,89.0,19.0,70.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,153,90534,47
4715390724,"District 4, Sequatchie County, Tennessee",1632.0,647.0,985.0,1294.0,461.0,833.0,67.0,33.0,34.0,230.0,138.0,92.0,41.0,15.0,26.0,0.0,0.0,0.0,153,90724,47
4715191292,"District 7, Scott County, Tennessee",3666.0,1890.0,1776.0,3282.0,1695.0,1587.0,250.0,133.0,117.0,51.0,25.0,26.0,83.0,37.0,46.0,0.0,0.0,0.0,151,91292,47
4715390344,"District 2, Sequatchie County, Tennessee",1818.0,828.0,990.0,1749.0,807.0,942.0,16.0,0.0,16.0,29.0,16.0,13.0,24.0,5.0,19.0,0.0,0.0,0.0,153,90344,47
4715390914,"District 5, Sequatchie County, Tennessee",1760.0,955.0,805.0,1641.0,882.0,759.0,19.0,19.0,0.0,100.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,153,90914,47
4715391104,"District 6, Sequatchie County, Tennessee",2216.0,1157.0,1059.0,2123.0,1123.0,1000.0,24.0,24.0,0.0,69.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,153,91104,47
4708790658,"District 4, Jackson County, Tennessee",1413.0,710.0,703.0,1366.0,684.0,682.0,21.0,5.0,16.0,10.0,5.0,5.0,16.0,16.0,0.0,0.0,0.0,0.0,087,90658,47
4708790088,"District 1, Jackson County, Tennessee",1858.0,1005.0,853.0,1708.0,906.0,802.0,37.0,24.0,13.0,93.0,63.0,30.0,20.0,12.0,8.0,0.0,0.0,0.0,087,90088,47
4711191252,"District 7, Macon County, Tennessee",1747.0,862.0,885.0,1683.0,840.0,843.0,17.0,0.0,17.0,47.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,111,91252,47
4711191062,"District 6, Macon County, Tennessee",1836.0,846.0,990.0,1676.0,739.0,937.0,23.0,10.0,13.0,137.0,97.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,111,91062,47
4711190682,"District 4, Macon County, Tennessee",2556.0,1310.0,1246.0,2197.0,1087.0,1110.0,272.0,187.0,85.0,28.0,7.0,21.0,59.0,29.0,30.0,0.0,0.0,0.0,111,90682,47
4711190872,"District 5, Macon County, Tennessee",2392.0,1043.0,1349.0,2363.0,1025.0,1338.0,11.0,6.0,5.0,18.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,111,90872,47
4711191442,"District 8, Macon County, Tennessee",2308.0,1277.0,1031.0,2153.0,1220.0,933.0,78.0,36.0,42.0,31.0,21.0,10.0,46.0,0.0,46.0,0.0,0.0,0.0,111,91442,47
4711191632,"District 9, Macon County, Tennessee",2095.0,1096.0,999.0,1815.0,930.0,885.0,42.0,42.0,0.0,66.0,28.0,38.0,172.0,96.0,76.0,0.0,0.0,0.0,111,91632,47
4711191822,"District 10, Macon County, Tennessee",2788.0,1135.0,1653.0,2064.0,805.0,1259.0,490.0,177.0,313.0,202.0,121.0,81.0,32.0,32.0,0.0,0.0,0.0,0.0,111,91822,47
4700790768,"District 5, Bledsoe County, Tennessee",2077.0,1283.0,794.0,1994.0,1236.0,758.0,19.0,0.0,19.0,0.0,0.0,0.0,64.0,47.0,17.0,0.0,0.0,0.0,007,90768,47
