geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0803991190,"Elizabeth CCD, Elbert County, Colorado",1518.0,1308.0,9.0,187.0,14.0,0.0,039,91190,08
0803990019,"Agate CCD, Elbert County, Colorado",37.0,31.0,5.0,1.0,0.0,0.0,039,90019,08
0807191976,"Kim CCD, Las Animas County, Colorado",29.0,27.0,0.0,2.0,0.0,0.0,071,91976,08
0803993325,"Simla CCD, Elbert County, Colorado",43.0,43.0,0.0,0.0,0.0,0.0,039,93325,08
0807192508,"Model CCD, Las Animas County, Colorado",71.0,65.0,3.0,3.0,0.0,0.0,071,92508,08
0807190361,"Branson CCD, Las Animas County, Colorado",32.0,27.0,5.0,0.0,0.0,0.0,071,90361,08
0807190038,"Aguilar CCD, Las Animas County, Colorado",334.0,322.0,0.0,5.0,7.0,0.0,071,90038,08
0807193838,"Weston CCD, Las Animas County, Colorado",346.0,309.0,22.0,0.0,15.0,0.0,071,93838,08
0807193648,"Trinidad CCD, Las Animas County, Colorado",5083.0,4201.0,648.0,183.0,51.0,0.0,071,93648,08
0812593952,"Yuma CCD, Yuma County, Colorado",1331.0,948.0,239.0,107.0,16.0,21.0,125,93952,08
0812593914,"Wray CCD, Yuma County, Colorado",729.0,649.0,10.0,70.0,0.0,0.0,125,93914,08
0807391824,"Hugo CCD, Lincoln County, Colorado",62.0,53.0,0.0,9.0,0.0,0.0,073,91824,08
0810793933,"Yampa CCD, Routt County, Colorado",58.0,27.0,30.0,1.0,0.0,0.0,107,93933,08
0810791729,"Hayden CCD, Routt County, Colorado",243.0,202.0,18.0,0.0,23.0,0.0,107,91729,08
0810793496,"Steamboat Springs CCD, Routt County, Colorado",1250.0,1168.0,69.0,12.0,1.0,0.0,107,93496,08
0810792717,"Oak Creek CCD, Routt County, Colorado",126.0,112.0,3.0,4.0,7.0,0.0,107,92717,08
0811793287,"Silverthorne CCD, Summit County, Colorado",3601.0,3060.0,300.0,126.0,40.0,75.0,117,93287,08
0811790380,"Breckenridge CCD, Summit County, Colorado",552.0,389.0,128.0,9.0,26.0,0.0,117,90380,08
0807390133,"Arriba CCD, Lincoln County, Colorado",14.0,13.0,1.0,0.0,0.0,0.0,073,90133,08
0807391919,"Karval CCD, Lincoln County, Colorado",57.0,57.0,0.0,0.0,0.0,0.0,073,91919,08
0807392261,"Limon CCD, Lincoln County, Colorado",1120.0,972.0,25.0,114.0,9.0,0.0,073,92261,08
