geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
1210190481,"Central Pasco CCD, Pasco County, Florida",26601.0,22968.0,1598.0,1181.0,457.0,397.0,101,90481,12
1204190130,"Bell CCD, Gilchrist County, Florida",40.0,38.0,2.0,0.0,0.0,0.0,041,90130,12
1212191950,"Live Oak CCD, Suwannee County, Florida",2468.0,1919.0,330.0,134.0,66.0,19.0,121,91950,12
1210192860,"Port Richey CCD, Pasco County, Florida",11025.0,9336.0,881.0,492.0,262.0,54.0,101,92860,12
1205593120,"Sebring CCD, Highlands County, Florida",6626.0,4991.0,1037.0,293.0,75.0,230.0,055,93120,12
1205591846,"Lake Placid CCD, Highlands County, Florida",5275.0,4537.0,467.0,111.0,64.0,96.0,055,91846,12
1205590091,"Avon Park CCD, Highlands County, Florida",6735.0,5099.0,936.0,261.0,23.0,416.0,055,90091,12
1212190299,"Branford CCD, Suwannee County, Florida",366.0,338.0,0.0,28.0,0.0,0.0,121,90299,12
1210190741,"Dade City CCD, Pasco County, Florida",4321.0,3867.0,290.0,115.0,49.0,0.0,101,90741,12
1210192327,"New Port Richey CCD, Pasco County, Florida",20591.0,17787.0,1227.0,715.0,711.0,151.0,101,92327,12
1204193432,"Trenton CCD, Gilchrist County, Florida",892.0,533.0,102.0,248.0,9.0,0.0,041,93432,12
1212190858,"Dowling Park CCD, Suwannee County, Florida",340.0,303.0,7.0,24.0,0.0,6.0,121,90858,12
1212192002,"McAlpin-Wellborn CCD, Suwannee County, Florida",590.0,375.0,102.0,113.0,0.0,0.0,121,92002,12
1200191248,"Gainesville CCD, Alachua County, Florida",18103.0,11900.0,2894.0,2637.0,417.0,255.0,001,91248,12
1200191469,"Hawthorne CCD, Alachua County, Florida",169.0,169.0,0.0,0.0,0.0,0.0,001,91469,12
1200192314,"Newberry-Archer CCD, Alachua County, Florida",1705.0,1491.0,146.0,16.0,46.0,6.0,001,92314,12
1200192184,"Micanopy CCD, Alachua County, Florida",115.0,97.0,14.0,4.0,0.0,0.0,001,92184,12
1200191495,"High Springs-Alachua CCD, Alachua County, Florida",3269.0,2648.0,367.0,125.0,85.0,44.0,001,91495,12
1200193536,"Waldo CCD, Alachua County, Florida",321.0,318.0,3.0,0.0,0.0,0.0,001,93536,12
1202790078,"Arcadia West CCD, DeSoto County, Florida",1763.0,1483.0,39.0,98.0,0.0,143.0,027,90078,12
1202790065,"Arcadia East CCD, DeSoto County, Florida",9041.0,7847.0,417.0,440.0,77.0,260.0,027,90065,12
1201390026,"Altha CCD, Calhoun County, Florida",30.0,30.0,0.0,0.0,0.0,0.0,013,90026,12
1201390169,"Blountstown CCD, Calhoun County, Florida",655.0,542.0,11.0,102.0,0.0,0.0,013,90169,12
1202391183,"Fort White CCD, Columbia County, Florida",684.0,535.0,0.0,125.0,23.0,1.0,023,91183,12
1201592899,"Punta Gorda CCD, Charlotte County, Florida",2733.0,1759.0,229.0,574.0,70.0,101.0,015,92899,12
1201591352,"Grove City-Rotonda CCD, Charlotte County, Florida",1701.0,1520.0,153.0,0.0,28.0,0.0,015,91352,12
1201592834,"Port Charlotte CCD, Charlotte County, Florida",7327.0,5683.0,958.0,517.0,147.0,22.0,015,92834,12
1202392366,"North Columbia CCD, Columbia County, Florida",14.0,14.0,0.0,0.0,0.0,0.0,023,92366,12
1202391820,"Lake City CCD, Columbia County, Florida",3220.0,2225.0,329.0,557.0,94.0,15.0,023,91820,12
1202990702,"Cross City South CCD, Dixie County, Florida",224.0,206.0,0.0,17.0,0.0,1.0,029,90702,12
1202990689,"Cross City North CCD, Dixie County, Florida",383.0,285.0,0.0,98.0,0.0,0.0,029,90689,12
1208593250,"Stuart CCD, Martin County, Florida",6045.0,5423.0,94.0,349.0,108.0,71.0,085,93250,12
1208591586,"Indiantown CCD, Martin County, Florida",5954.0,5203.0,402.0,322.0,0.0,27.0,085,91586,12
1208592873,"Port Salerno-Hobe Sound CCD, Martin County, Florida",8091.0,7148.0,391.0,248.0,76.0,228.0,085,92873,12
1211593484,"Venice CCD, Sarasota County, Florida",2182.0,1495.0,446.0,133.0,78.0,30.0,115,93484,12
1210791612,"Interlachen-Florahome CCD, Putnam County, Florida",1756.0,1490.0,198.0,26.0,42.0,0.0,107,91612,12
1210790663,"Crescent City CCD, Putnam County, Florida",3370.0,3018.0,255.0,89.0,5.0,3.0,107,90663,12
1210792574,"Palatka CCD, Putnam County, Florida",1475.0,1398.0,77.0,0.0,0.0,0.0,107,92574,12
1211591599,"Interior County CCD, Sarasota County, Florida",1217.0,942.0,146.0,109.0,20.0,0.0,115,91599,12
1210790923,"East Palatka CCD, Putnam County, Florida",444.0,292.0,26.0,14.0,97.0,15.0,107,90923,12
1211590975,"Englewood CCD, Sarasota County, Florida",443.0,443.0,0.0,0.0,0.0,0.0,115,90975,12
1211591963,"Longboat Key CCD, Sarasota County, Florida",147.0,127.0,11.0,0.0,9.0,0.0,115,91963,12
1211592431,"North Port CCD, Sarasota County, Florida",4473.0,4231.0,70.0,0.0,121.0,51.0,115,92431,12
1211593107,"Sarasota CCD, Sarasota County, Florida",24476.0,19415.0,3384.0,849.0,336.0,492.0,115,93107,12
1212592925,"Raiford CCD, Union County, Florida",154.0,96.0,0.0,48.0,10.0,0.0,125,92925,12
1212591807,"Lake Butler CCD, Union County, Florida",482.0,226.0,0.0,229.0,27.0,0.0,125,91807,12
1212593731,"Worthington Springs CCD, Union County, Florida",174.0,158.0,16.0,0.0,0.0,0.0,125,93731,12
1205393230,"Spring Hill CCD, Hernando County, Florida",18481.0,15549.0,932.0,1356.0,499.0,145.0,053,93230,12
1212790832,"DeLand CCD, Volusia County, Florida",8706.0,7389.0,517.0,418.0,215.0,167.0,127,90832,12
1201191417,"Hallandale Beach CCD, Broward County, Florida",17410.0,13505.0,1603.0,1440.0,308.0,554.0,011,91417,12
1205191781,"LaBelle CCD, Hendry County, Florida",10760.0,8795.0,1026.0,184.0,194.0,561.0,051,91781,12
1212790793,"DeBary-Orange City CCD, Volusia County, Florida",6977.0,5586.0,661.0,193.0,336.0,201.0,127,90793,12
1211392218,"Midway CCD, Santa Rosa County, Florida",1048.0,768.0,125.0,0.0,155.0,0.0,113,92218,12
1211393659,"Whiting Field CCD, Santa Rosa County, Florida",18.0,0.0,0.0,6.0,12.0,0.0,113,93659,12
1211393127,"Skyline CCD, Santa Rosa County, Florida",446.0,339.0,25.0,48.0,26.0,8.0,113,93127,12
1211392309,"Navarre Beach CCD, Santa Rosa County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,113,92309,12
1211391500,"Holley-Navarre CCD, Santa Rosa County, Florida",2638.0,2113.0,121.0,21.0,367.0,16.0,113,91500,12
1212990949,"East Wakulla CCD, Wakulla County, Florida",931.0,631.0,64.0,232.0,4.0,0.0,129,90949,12
1213390442,"Caryville CCD, Washington County, Florida",64.0,64.0,0.0,0.0,0.0,0.0,133,90442,12
1213393497,"Vernon CCD, Washington County, Florida",643.0,392.0,29.0,218.0,4.0,0.0,133,93497,12
1212993627,"West Wakulla CCD, Wakulla County, Florida",201.0,201.0,0.0,0.0,0.0,0.0,129,93627,12
1213390546,"Chipley CCD, Washington County, Florida",160.0,152.0,0.0,8.0,0.0,0.0,133,90546,12
1200793237,"Starke CCD, Bradford County, Florida",671.0,582.0,2.0,87.0,0.0,0.0,007,93237,12
1200790312,"Brooker CCD, Bradford County, Florida",23.0,23.0,0.0,0.0,0.0,0.0,007,90312,12
1200791430,"Hampton CCD, Bradford County, Florida",109.0,109.0,0.0,0.0,0.0,0.0,007,91430,12
1200791898,"Lawtey CCD, Bradford County, Florida",218.0,122.0,0.0,96.0,0.0,0.0,007,91898,12
1200992106,"Melbourne CCD, Brevard County, Florida",13202.0,11091.0,1090.0,638.0,231.0,152.0,009,92106,12
1200993224,"Space Center CCD, Brevard County, Florida",0.0,0.0,0.0,0.0,0.0,0.0,009,93224,12
1200993419,"Titusville CCD, Brevard County, Florida",3513.0,2864.0,507.0,15.0,49.0,78.0,009,93419,12
1200990624,"Cocoa-Rockledge CCD, Brevard County, Florida",11572.0,9903.0,990.0,330.0,246.0,103.0,009,90624,12
1200992119,"Melbourne Shores-Floridana Beach CCD, Brevard County, Florida",366.0,347.0,0.0,0.0,19.0,0.0,009,92119,12
1200992132,"Merritt Island CCD, Brevard County, Florida",3496.0,3044.0,194.0,118.0,94.0,46.0,009,92132,12
1200990611,"Cocoa Beach-Cape Canaveral CCD, Brevard County, Florida",1113.0,884.0,135.0,20.0,30.0,44.0,009,90611,12
1200992587,"Palm Bay CCD, Brevard County, Florida",17166.0,13803.0,2091.0,742.0,411.0,119.0,009,92587,12
1200991573,"Indialantic-Melbourne Beach CCD, Brevard County, Florida",2778.0,2174.0,335.0,66.0,147.0,56.0,009,91573,12
1200992028,"Malabar CCD, Brevard County, Florida",625.0,554.0,36.0,21.0,14.0,0.0,009,92028,12
1200993588,"West Brevard CCD, Brevard County, Florida",344.0,344.0,0.0,0.0,0.0,0.0,009,93588,12
1201992509,"Orange Park CCD, Clay County, Florida",9397.0,6609.0,759.0,1249.0,544.0,236.0,019,92509,12
1201992197,"Middleburg-Clay Hill CCD, Clay County, Florida",6221.0,5162.0,167.0,524.0,236.0,132.0,019,92197,12
1201992678,"Penney Farms CCD, Clay County, Florida",1169.0,438.0,141.0,577.0,0.0,13.0,019,92678,12
1201991300,"Green Cove Springs CCD, Clay County, Florida",1340.0,1018.0,9.0,170.0,92.0,51.0,019,91300,12
1201991742,"Keystone Heights CCD, Clay County, Florida",533.0,476.0,0.0,47.0,10.0,0.0,019,91742,12
1206790767,"Day CCD, Lafayette County, Florida",348.0,189.0,0.0,159.0,0.0,0.0,067,90767,12
1206792093,"Mayo CCD, Lafayette County, Florida",789.0,782.0,0.0,4.0,3.0,0.0,067,92093,12
1206991235,"Fruitland Park-Lady Lake CCD, Lake County, Florida",1787.0,1604.0,127.0,47.0,0.0,9.0,069,91235,12
1206991365,"Groveland-Mascotte CCD, Lake County, Florida",6442.0,5852.0,268.0,162.0,137.0,23.0,069,91365,12
1206991924,"Leesburg East CCD, Lake County, Florida",1481.0,1255.0,159.0,0.0,67.0,0.0,069,91924,12
1206991014,"Eustis CCD, Lake County, Florida",3732.0,3388.0,268.0,76.0,0.0,0.0,069,91014,12
1206990585,"Clermont CCD, Lake County, Florida",21010.0,15609.0,2150.0,2122.0,370.0,759.0,069,90585,12
1206991541,"Howey-in-the-Hills-Okahumpka CCD, Lake County, Florida",736.0,664.0,39.0,33.0,0.0,0.0,069,91541,12
1206993445,"Umatilla CCD, Lake County, Florida",1664.0,1584.0,60.0,19.0,0.0,1.0,069,93445,12
1206993393,"Tavares CCD, Lake County, Florida",2937.0,2236.0,380.0,93.0,220.0,8.0,069,93393,12
1206991911,"Leesburg CCD, Lake County, Florida",2511.0,1919.0,390.0,24.0,33.0,145.0,069,91911,12
1206992262,"Mount Dora CCD, Lake County, Florida",3942.0,3441.0,185.0,234.0,59.0,23.0,069,92262,12
1208993757,"Yulee CCD, Nassau County, Florida",1508.0,1261.0,72.0,64.0,36.0,75.0,089,93757,12
1208990364,"Callahan-Hilliard CCD, Nassau County, Florida",459.0,315.0,127.0,11.0,6.0,0.0,089,90364,12
1208991079,"Fernandina Beach CCD, Nassau County, Florida",862.0,770.0,22.0,70.0,0.0,0.0,089,91079,12
1210390572,"Clearwater CCD, Pinellas County, Florida",39408.0,32168.0,4822.0,1026.0,729.0,663.0,103,90572,12
1210393042,"St. Petersburg CCD, Pinellas County, Florida",31074.0,25782.0,3194.0,1018.0,716.0,364.0,103,93042,12
1210393380,"Tarpon Springs CCD, Pinellas County, Florida",11077.0,9326.0,973.0,488.0,235.0,55.0,103,93380,12
1210393036,"St. Pete Beach CCD, Pinellas County, Florida",637.0,515.0,0.0,43.0,32.0,47.0,103,93036,12
